# time mean_radius area m_irreducible areal_radius
1.424000000000000057e+02 9.265816441999999986e-01 1.267158100000000047e+02 1.587743979000000083e+00 3.175487957000000083e+00
1.427199999999999989e+02 1.083401993999999924e+00 1.398632412000000045e+02 1.668079966000000081e+00 3.336159932000000161e+00
1.430399999999999920e+02 1.178785940000000032e+00 1.477430722000000003e+02 1.714425569000000094e+00 3.428851138000000187e+00
1.433600000000000136e+02 1.252510103000000097e+00 1.537416957000000082e+02 1.748883602000000037e+00 3.497767205000000157e+00
1.436800000000000068e+02 1.312940562000000089e+00 1.585857501000000127e+02 1.776221623000000083e+00 3.552443246999999804e+00
1.440000000000000000e+02 1.364114639000000073e+00 1.626266655000000014e+02 1.798709179999999908e+00 3.597418359000000176e+00
1.443199999999999932e+02 1.408668384000000051e+00 1.660893472999999858e+02 1.817757567999999990e+00 3.635515137000000063e+00
1.446399999999999864e+02 1.448010996000000050e+00 1.690969287000000065e+02 1.834141900000000103e+00 3.668283799000000123e+00
1.449600000000000080e+02 1.483201060000000071e+00 1.717410978999999998e+02 1.848426515000000103e+00 3.696853030999999845e+00
1.452800000000000011e+02 1.514954300000000087e+00 1.740846024999999884e+02 1.860995197000000045e+00 3.721990395000000174e+00
1.455999999999999943e+02 1.543790580000000023e+00 1.761735328999999979e+02 1.872127418999999904e+00 3.744254838999999890e+00
1.459199999999999875e+02 1.570118270000000038e+00 1.780442389000000105e+02 1.882040804000000067e+00 3.764081608000000134e+00
1.462400000000000091e+02 1.594235169000000063e+00 1.797239211000000125e+02 1.890897618999999974e+00 3.781795236999999865e+00
1.465600000000000023e+02 1.616390004999999963e+00 1.812353879000000063e+02 1.898832136000000004e+00 3.797664272000000008e+00
1.468799999999999955e+02 1.636804809000000027e+00 1.825988620999999910e+02 1.905961420999999989e+00 3.811922841999999978e+00
1.471999999999999886e+02 1.655675250999999903e+00 1.838320483999999908e+02 1.912386571999999951e+00 3.824773142999999820e+00
1.475200000000000102e+02 1.673137467000000100e+00 1.849478589999999940e+02 1.918181624999999890e+00 3.836363249999999780e+00
1.478400000000000034e+02 1.689326673999999917e+00 1.859588166000000058e+02 1.923417039999999911e+00 3.846834079999999823e+00
1.481599999999999966e+02 1.704370707999999901e+00 1.868765721000000042e+02 1.928157482000000034e+00 3.856314962999999985e+00
1.484799999999999898e+02 1.718361145999999895e+00 1.877098387000000059e+02 1.932451445000000101e+00 3.864902890000000202e+00
1.488000000000000114e+02 1.731376642000000077e+00 1.884661825999999962e+02 1.936340767999999990e+00 3.872681535999999980e+00
1.491200000000000045e+02 1.743496850000000098e+00 1.891530539999999974e+02 1.939866088999999905e+00 3.879732177999999809e+00
1.494399999999999977e+02 1.754791959999999928e+00 1.897770107000000053e+02 1.943062960000000006e+00 3.886125921000000094e+00
1.497599999999999909e+02 1.765306371999999957e+00 1.903425775000000044e+02 1.945956129999999895e+00 3.891912259999999790e+00
1.500800000000000125e+02 1.775085594000000100e+00 1.908542528000000118e+02 1.948569916000000068e+00 3.897139832000000137e+00
1.504000000000000057e+02 1.784182678000000077e+00 1.913169685999999956e+02 1.950930586999999994e+00 3.901861173999999988e+00
1.507199999999999989e+02 1.792638941000000097e+00 1.917346609999999885e+02 1.953059109000000015e+00 3.906118218000000031e+00
1.510399999999999920e+02 1.800484358000000062e+00 1.921103525000000047e+02 1.954971618000000078e+00 3.909943236999999794e+00
1.513600000000000136e+02 1.807748686999999910e+00 1.924469727000000034e+02 1.956683642000000001e+00 3.913367284000000001e+00
1.516800000000000068e+02 1.814465269999999908e+00 1.927476293999999939e+02 1.958211491999999998e+00 3.916422985000000079e+00
1.520000000000000000e+02 1.820664139000000015e+00 1.930151012999999978e+02 1.959569705999999911e+00 3.919139411999999822e+00
1.523199999999999932e+02 1.826372440999999958e+00 1.932518841000000123e+02 1.960771296000000108e+00 3.921542592999999854e+00
1.526399999999999864e+02 1.831613756999999953e+00 1.934601472999999885e+02 1.961827551999999919e+00 3.923655103000000199e+00
1.529600000000000080e+02 1.836407568999999906e+00 1.936417040000000043e+02 1.962747894000000048e+00 3.925495789000000180e+00
1.532800000000000011e+02 1.840781508000000066e+00 1.937989037000000110e+02 1.963544418999999985e+00 3.927088839000000053e+00
1.535999999999999943e+02 1.844762263000000013e+00 1.939339621999999963e+02 1.964228497999999989e+00 3.928456994999999896e+00
1.539199999999999875e+02 1.848369673999999963e+00 1.940485368999999878e+02 1.964808636999999969e+00 3.929617273999999938e+00
1.542400000000000091e+02 1.851625276999999903e+00 1.941443548999999962e+02 1.965293672000000047e+00 3.930587345000000177e+00
