t re(Psi4_2_0) im(Psi4_2_0)  
0.000000000000000000e+00 6.333948519350219539e-12 1.409453241518575413e-17
1.600000000000000033e-01 6.328437269445431381e-12 1.396141652751818234e-17
3.200000000000000067e-01 6.320721519578577711e-12 1.377505428474612389e-17
4.799999999999999822e-01 6.310801269749825742e-12 1.353544568692879572e-17
6.400000000000000133e-01 6.298676519959104387e-12 1.324259073402303236e-17
8.000000000000000444e-01 6.288799891029504506e-12 1.257874691860795811e-17
9.599999999999999645e-01 6.278499810467209550e-12 1.173455974519317771e-17
1.120000000000000107e+00 6.267776278272179936e-12 1.071002921369954161e-17
1.280000000000000027e+00 6.256629294444513408e-12 9.505155324134366803e-18
1.439999999999999947e+00 6.272653031465197285e-12 8.668582965307488266e-18
1.600000000000000089e+00 6.299290985845704282e-12 7.871125203929517077e-18
1.760000000000000009e+00 6.336543157586044094e-12 7.112782040088603819e-18
1.919999999999999929e+00 6.384409546686167446e-12 6.393553473616078628e-18
2.080000000000000071e+00 6.442273755741648764e-12 5.380580144638104026e-18
2.240000000000000213e+00 6.510505623195097348e-12 4.273577669200980147e-18
2.399999999999999911e+00 6.589105149046816121e-12 3.072546047255630830e-18
2.560000000000000053e+00 6.678072333296347063e-12 1.777485278750977332e-18
2.720000000000000195e+00 6.734876468515628245e-12 8.921163009471833543e-19
2.879999999999999893e+00 6.785035979161529945e-12 1.142065515614016306e-19
3.040000000000000036e+00 6.828550865234166060e-12 -5.562439694403782213e-19
3.200000000000000178e+00 6.865421126733455813e-12 -1.119235262065657121e-18
3.359999999999999876e+00 6.855765586453731894e-12 -1.507033777347153501e-18
3.520000000000000018e+00 6.823512950718546069e-12 -1.760279644605399373e-18
3.680000000000000160e+00 6.768663219527785247e-12 -1.878972863947887049e-18
3.839999999999999858e+00 6.691216392881561711e-12 -1.863113435268894916e-18
4.000000000000000000e+00 6.603841063385223476e-12 -1.707298547592462705e-18
4.160000000000000142e+00 6.498936075475508419e-12 -1.414769887528823949e-18
4.320000000000000284e+00 6.376501429152575676e-12 -9.855274550951121078e-19
4.480000000000000426e+00 6.236537124416241877e-12 -4.195712501906258888e-19
4.639999999999999680e+00 6.138420602393377989e-12 2.413106962228896934e-19
4.799999999999999822e+00 6.046525398407939304e-12 1.022191202782810132e-18
4.959999999999999964e+00 5.960851512459916127e-12 1.923070269388845272e-18
5.120000000000000107e+00 5.881398944549107319e-12 2.943947896054587126e-18
