t re(Psi4_2_0) im(Psi4_2_0)  
0.000000000000000000e+00 4.278412383645201331e-12 4.200886614341191386e-18
1.600000000000000033e-01 4.254679263133415351e-12 4.182312232155770911e-18
3.200000000000000067e-01 4.221454998983949991e-12 4.156868777324866068e-18
4.799999999999999822e-01 4.139348327831660542e-12 4.066719495775577255e-18
6.400000000000000133e-01 3.977912305650620686e-12 3.977242240946517346e-18
8.000000000000000444e-01 3.881255388036912239e-12 3.590298424354035500e-18
9.599999999999999645e-01 3.796306161580596638e-12 3.027346347923174067e-18
1.120000000000000107e+00 3.773543602167784065e-12 2.753770863832965241e-18
1.280000000000000027e+00 3.579627588184415202e-12 2.423033466830497379e-18
1.439999999999999947e+00 3.668814804402127931e-12 2.341606953035602015e-18
1.600000000000000089e+00 3.869485468130164561e-12 2.391696372051630239e-18
1.760000000000000009e+00 4.122391928097870222e-12 2.449235416166742451e-18
1.919999999999999929e+00 4.555448996860665166e-12 2.549670340192990148e-18
2.080000000000000071e+00 4.780866461128213024e-12 2.531810540049254205e-18
2.240000000000000213e+00 4.927669673415285887e-12 2.381018922093150726e-18
2.399999999999999911e+00 5.045556231747727465e-12 2.419419632900682185e-18
2.560000000000000053e+00 5.381404721289224123e-12 2.400820141672710012e-18
2.720000000000000195e+00 5.433707227951805619e-12 2.220077078936582143e-18
2.879999999999999893e+00 5.395830293869906463e-12 1.981791350730891749e-18
3.040000000000000036e+00 5.398944167250065679e-12 1.705168619711540713e-18
3.200000000000000178e+00 5.265722956001365374e-12 1.238058100078245242e-18
3.359999999999999876e+00 5.240173339133748538e-12 1.045682194899283871e-18
3.520000000000000018e+00 5.270424991697529760e-12 9.061107237604416166e-19
3.680000000000000160e+00 5.222677686077149982e-12 1.357150824277256538e-18
3.839999999999999858e+00 5.005052259231526326e-12 2.938694314024778182e-18
4.000000000000000000e+00 4.802534809694476887e-12 3.384379125494863325e-18
4.160000000000000142e+00 4.555186992233393207e-12 3.510832474843881469e-18
4.320000000000000284e+00 4.224320451674454055e-12 3.854967715958634960e-18
4.480000000000000426e+00 3.924187716375320526e-12 4.813660087218008904e-18
4.639999999999999680e+00 3.587437290056980425e-12 5.191161315981690256e-18
4.799999999999999822e+00 3.203228175871452173e-12 5.355368975250935606e-18
4.959999999999999964e+00 2.861029880016753789e-12 5.793155181323008353e-18
