t re(Psi4_2_0) im(Psi4_2_0)  
0.000000000000000000e+00 4.108106313173817146e-10 2.132749096566929760e-15
1.600000000000000033e-01 4.105762910446748909e-10 2.056188475219835683e-15
3.200000000000000067e-01 4.101857239234961794e-10 1.928587439640642416e-15
4.799999999999999822e-01 4.102005700598225764e-10 1.728916815143608262e-15
6.400000000000000133e-01 4.104336160850064741e-10 1.464186326622098693e-15
8.000000000000000444e-01 4.107911948494892489e-10 1.202490772831274644e-15
9.599999999999999645e-01 4.113045287364588492e-10 9.211318875196435206e-16
1.120000000000000107e+00 4.113527372960418956e-10 6.902233871683546747e-16
1.280000000000000027e+00 4.111427806782002308e-10 4.863940329533273648e-16
1.439999999999999947e+00 4.099664581900338805e-10 3.717824391487084978e-16
1.600000000000000089e+00 4.080598367291818046e-10 3.256757343294535652e-16
1.760000000000000009e+00 4.056676885816495895e-10 3.696129641575366997e-16
1.919999999999999929e+00 4.027084229854365794e-10 4.964144467441777750e-16
2.080000000000000071e+00 4.005058899496127462e-10 6.987268361318921337e-16
2.240000000000000213e+00 3.986188061378253616e-10 9.790012476384660972e-16
2.399999999999999911e+00 3.982945689147760689e-10 1.297990774310349668e-15
2.560000000000000053e+00 3.991173791588885547e-10 1.668777718472720803e-15
2.720000000000000195e+00 4.009757282934035583e-10 2.026468975597922802e-15
2.879999999999999893e+00 4.039067858439173227e-10 2.392695580527008010e-15
3.040000000000000036e+00 4.064062149040235661e-10 2.708377015025182203e-15
3.200000000000000178e+00 4.089754611091788998e-10 2.993206785187033167e-15
3.359999999999999876e+00 4.100526634358350939e-10 3.195019925808643971e-15
3.520000000000000018e+00 4.101584422251592615e-10 3.331204758628113797e-15
3.680000000000000160e+00 4.090762117900745451e-10 3.374485543627757668e-15
3.839999999999999858e+00 4.068781673595922950e-10 3.333954194164547100e-15
4.000000000000000000e+00 4.048383319661612961e-10 3.211813918454202705e-15
4.160000000000000142e+00 4.025320312656320911e-10 3.007330313779299124e-15
4.320000000000000284e+00 4.015338835255618240e-10 2.746683733621635974e-15
4.480000000000000426e+00 4.013190159900810357e-10 2.421147393510685420e-15
4.639999999999999680e+00 4.024199517843353668e-10 2.078126423707875380e-15
4.799999999999999822e+00 4.046591831999382670e-10 1.701819114166164629e-15
4.959999999999999964e+00 4.071980796063510828e-10 1.342540859625479571e-15
5.120000000000000107e+00 4.103161845470867676e-10 9.835198618426503727e-16
5.280000000000000249e+00 4.126510626975307762e-10 6.781254877043976675e-16
5.440000000000000391e+00 4.146568591658834419e-10 4.085679482680142949e-16
5.599999999999999645e+00 4.155795251214080175e-10 2.135898882437604022e-16
5.759999999999999787e+00 4.156704101743432955e-10 8.027709273784992069e-17
5.919999999999999929e+00 4.152410684446403674e-10 2.895216154566092571e-17
6.080000000000000071e+00 4.141876485589749820e-10 5.284089472736801783e-17
6.240000000000000213e+00 4.134111671425594915e-10 1.485384666756635747e-16
6.400000000000000355e+00 4.126112853203124275e-10 3.171798193137336520e-16
6.559999999999999609e+00 4.124284934254242302e-10 5.370056399378156916e-16
6.719999999999999751e+00 4.126492946801550336e-10 8.152690327987588903e-16
6.879999999999999893e+00 4.131770014320281968e-10 1.115344726663996010e-15
7.040000000000000036e+00 4.140438428985349510e-10 1.449441145257896509e-15
7.200000000000000178e+00 4.146320014843154430e-10 1.772999553894636561e-15
7.360000000000000320e+00 4.151474163878215269e-10 2.100872864106096383e-15
7.519999999999999574e+00 4.150692321598275443e-10 2.393717506448894740e-15
7.679999999999999716e+00 4.145710672834073015e-10 2.664648004040789695e-15
7.839999999999999858e+00 4.136836013704837187e-10 2.880140029902833135e-15
8.000000000000000000e+00 4.123966078837463296e-10 3.051368359725612504e-15
8.160000000000000142e+00 4.112256104632410183e-10 3.163452904460262187e-15
8.320000000000000284e+00 4.099987678956277905e-10 3.221353693884455917e-15
8.480000000000000426e+00 4.092326593978521694e-10 3.231236265597999465e-15
8.640000000000000568e+00 4.087550918976116124e-10 3.191045440409080080e-15
8.800000000000000711e+00 4.086148188430374330e-10 3.122308518714251700e-15
8.960000000000000853e+00 4.087955890847543533e-10 3.017849733690871492e-15
9.119999999999999218e+00 4.088200498071545821e-10 2.909019548376173773e-15
9.279999999999999361e+00 4.088473186154364427e-10 2.785367808445589165e-15
9.439999999999999503e+00 4.082699311878178930e-10 2.677044138916132583e-15
9.599999999999999645e+00 4.072903756315475508e-10 2.573998664849065922e-15
9.759999999999999787e+00 4.056992171390090582e-10 2.499298073062894221e-15
9.919999999999999929e+00 4.035662673127326708e-10 2.445253467951992264e-15
1.008000000000000007e+01 4.013128194084313750e-10 2.422636095026366661e-15
1.024000000000000021e+01 3.987984423408567553e-10 2.427855539193276510e-15
1.040000000000000036e+01 3.968232136028975618e-10 2.455115992989772849e-15
1.056000000000000050e+01 3.951204406969214541e-10 2.506349392325105891e-15
1.072000000000000064e+01 3.943228605379572327e-10 2.556505127962600156e-15
1.088000000000000078e+01 3.942195608209826658e-10 2.613933403008707639e-15
1.103999999999999915e+01 3.948510883220342273e-10 2.652690223163237250e-15
1.119999999999999929e+01 3.962039274490893676e-10 2.681423586593398685e-15
1.135999999999999943e+01 3.977356711760004111e-10 2.671229826110207588e-15
1.151999999999999957e+01 3.996271218448237347e-10 2.631743497274438443e-15
1.167999999999999972e+01 4.011684135273417066e-10 2.546600947509861779e-15
1.183999999999999986e+01 4.025961681996105684e-10 2.421256727590789233e-15
1.200000000000000000e+01 4.035250341738108778e-10 2.256383849489940970e-15
1.216000000000000014e+01 4.040834620125426015e-10 2.051757975817771084e-15
1.232000000000000028e+01 4.044160002403337620e-10 1.829054345137434575e-15
1.248000000000000043e+01 4.044744660156806365e-10 1.581047877989309033e-15
1.264000000000000057e+01 4.047353314327215099e-10 1.345227821416485315e-15
1.280000000000000071e+01 4.050397724600857945e-10 1.109097759723396993e-15
1.296000000000000085e+01 4.057901298021573315e-10 9.221993096043113169e-16
1.311999999999999922e+01 4.068522898908159975e-10 7.680185987922001732e-16
1.327999999999999936e+01 4.082652081492233330e-10 6.855392807449408025e-16
1.343999999999999950e+01 4.100158994363226133e-10 6.617668044087612614e-16
1.359999999999999964e+01 4.117980553495841924e-10 7.241941388864048817e-16
1.375999999999999979e+01 4.137137786898577307e-10 8.636569611538666204e-16
1.391999999999999993e+01 4.153656996026869105e-10 1.081950769173193918e-15
1.408000000000000007e+01 4.168862747062213215e-10 1.378477063548816413e-15
1.424000000000000021e+01 4.180409902897175808e-10 1.731039434670399443e-15
1.440000000000000036e+01 4.189080175901025226e-10 2.147036685784233528e-15
1.456000000000000050e+01 4.194801396270328295e-10 2.577188113581194534e-15
1.472000000000000064e+01 4.197597620606188049e-10 3.037920619077613102e-15
1.488000000000000078e+01 4.198416749873801564e-10 3.478702361536742729e-15
1.503999999999999915e+01 4.196942817084847019e-10 3.916377287940513384e-15
1.519999999999999929e+01 4.193518710965355502e-10 4.295138729647776807e-15
1.535999999999999943e+01 4.188030135273345084e-10 4.633588909637106452e-15
1.551999999999999957e+01 4.179740760400433024e-10 4.887306657081653988e-15
1.567999999999999972e+01 4.168896029549334986e-10 5.071099029002774190e-15
1.583999999999999986e+01 4.154605781825695566e-10 5.163774403651285187e-15
1.600000000000000000e+01 4.137166737527576018e-10 5.172396654853338142e-15
1.616000000000000014e+01 4.116861931707975664e-10 5.103192779403371376e-15
1.632000000000000028e+01 4.093597019349156892e-10 4.954087111697869005e-15
1.648000000000000043e+01 4.069336610691765693e-10 4.761156382078760605e-15
1.664000000000000057e+01 4.043425835655603109e-10 4.512375013715673981e-15
1.680000000000000071e+01 4.018804921239371552e-10 4.250104622311383883e-15
1.696000000000000085e+01 3.994493791776740896e-10 3.960224669298265069e-15
1.712000000000000099e+01 3.973082304573389277e-10 3.689681672292643699e-15
1.728000000000000114e+01 3.953707173860867780e-10 3.422826791941855895e-15
1.744000000000000128e+01 3.937637831025821432e-10 3.195798963531578587e-15
1.760000000000000142e+01 3.924451132272750487e-10 2.996551875279215944e-15
1.776000000000000156e+01 3.914051862004427634e-10 2.841758689200342441e-15
1.792000000000000171e+01 3.906471758753129800e-10 2.725861684518815137e-15
1.807999999999999829e+01 3.900994668248778105e-10 2.646599381199508530e-15
1.823999999999999844e+01 3.897859308581276317e-10 2.604725605944585625e-15
1.839999999999999858e+01 3.896662996084004649e-10 2.583477533946528695e-15
1.855999999999999872e+01 3.897539958645941829e-10 2.588442773511200764e-15
1.871999999999999886e+01 3.900929339397215339e-10 2.591359868600058635e-15
1.887999999999999901e+01 3.906684757294381453e-10 2.601649304691927836e-15
1.903999999999999915e+01 3.915953799188419681e-10 2.601384366386154121e-15
1.919999999999999929e+01 3.928353936128922181e-10 2.596540625476623911e-15
1.935999999999999943e+01 3.945058453822168082e-10 2.578873748468620366e-15
1.951999999999999957e+01 3.965676257032768919e-10 2.551131846597289273e-15
1.967999999999999972e+01 3.990548749342134317e-10 2.519001755397618427e-15
1.983999999999999986e+01 4.019562129556344057e-10 2.480587862984843313e-15
2.000000000000000000e+01 4.051607399169804966e-10 2.459314432324393756e-15
2.016000000000000014e+01 4.087054224350966761e-10 2.447373375754774572e-15
2.032000000000000028e+01 4.123273178696299011e-10 2.466381371245353219e-15
2.048000000000000043e+01 4.161140737673632957e-10 2.509132859475281761e-15
2.064000000000000057e+01 4.197029465105710712e-10 2.601417030796155619e-15
2.080000000000000071e+01 4.232148506384973801e-10 2.734637488510466388e-15
2.096000000000000085e+01 4.262775119543954765e-10 2.923420906769399152e-15
2.112000000000000099e+01 4.290150218571784438e-10 3.162891727656412275e-15
2.128000000000000114e+01 4.311348901625254360e-10 3.450377622748795197e-15
2.144000000000000128e+01 4.327346135985363706e-10 3.786769368147771865e-15
2.160000000000000142e+01 4.336550459361074594e-10 4.147804181798750487e-15
2.176000000000000156e+01 4.339492359182843102e-10 4.541569657934046870e-15
2.192000000000000171e+01 4.335943706195197386e-10 4.929656071511251243e-15
2.207999999999999829e+01 4.325980543483209079e-10 5.324866664288386617e-15
2.223999999999999844e+01 4.310371769484263849e-10 5.682748474173351645e-15
2.239999999999999858e+01 4.288861084719137842e-10 6.018119155248109587e-15
2.255999999999999872e+01 4.262737444306605820e-10 6.289779257298629800e-15
2.271999999999999886e+01 4.231571196540346627e-10 6.511461930440196171e-15
2.287999999999999901e+01 4.196859741354986882e-10 6.647090330217913006e-15
2.303999999999999915e+01 4.158103945438949223e-10 6.708690071542594371e-15
2.319999999999999929e+01 4.117008356496160396e-10 6.686961410708970437e-15
2.335999999999999943e+01 4.073004791958666015e-10 6.585004262307418478e-15
2.351999999999999957e+01 4.028223882617676833e-10 6.409044698803696826e-15
2.367999999999999972e+01 3.981955418209439907e-10 6.157007362694575220e-15
2.383999999999999986e+01 3.936963761287875979e-10 5.856467341226613993e-15
2.400000000000000000e+01 3.892327457668319814e-10 5.498232938609000451e-15
2.416000000000000014e+01 3.851370739304833067e-10 5.125659575110489265e-15
2.432000000000000028e+01 3.812985528879471182e-10 4.724295443812635657e-15
2.448000000000000043e+01 3.780607162322887150e-10 4.341506149550489425e-15
2.464000000000000057e+01 3.753090527658322612e-10 3.961503157412257372e-15
2.480000000000000071e+01 3.733288979194378448e-10 3.630789057060338382e-15
2.496000000000000085e+01 3.720251398828166501e-10 3.333862985014821865e-15
2.512000000000000099e+01 3.715622665627332555e-10 3.100331684727150885e-15
2.528000000000000114e+01 3.718854486569352140e-10 2.920326241723078260e-15
2.544000000000000128e+01 3.730093468558547867e-10 2.811968973856504311e-15
2.560000000000000142e+01 3.749290742626818404e-10 2.769219108609504291e-15
2.576000000000000156e+01 3.775196541097113164e-10 2.784511712659200460e-15
2.592000000000000171e+01 3.808227453195139803e-10 2.860368430478916923e-15
2.607999999999999829e+01 3.846064917266015512e-10 2.982255681311676948e-15
2.623999999999999844e+01 3.889481787194693990e-10 3.155017992029340839e-15
2.639999999999999858e+01 3.935390914863036092e-10 3.355920562736685297e-15
2.655999999999999872e+01 3.984821349643802601e-10 3.592541660071285705e-15
2.671999999999999886e+01 4.034111524633493548e-10 3.842759613340583970e-15
2.687999999999999901e+01 4.084481962133287826e-10 4.113948312745326700e-15
2.703999999999999915e+01 4.131883176564120973e-10 4.387702940510248000e-15
2.719999999999999929e+01 4.177664996452291802e-10 4.670158435813516386e-15
2.735999999999999943e+01 4.217791065031084164e-10 4.946566826993849104e-15
2.751999999999999957e+01 4.253606834556089410e-10 5.221844104573135251e-15
2.767999999999999972e+01 4.281747901483521212e-10 5.490378018314618642e-15
2.783999999999999986e+01 4.303335733661298005e-10 5.754039318265959918e-15
2.800000000000000000e+01 4.316418648652945734e-10 6.014894197221468043e-15
2.816000000000000014e+01 4.321647207270566238e-10 6.272253924234314440e-15
2.832000000000000028e+01 4.318946007278485385e-10 6.523371815430857489e-15
2.848000000000000043e+01 4.308340182755236576e-10 6.769163432064774695e-15
2.864000000000000057e+01 4.291561646923648325e-10 7.008623960013314354e-15
2.880000000000000071e+01 4.268033095376182127e-10 7.242088337335600609e-15
2.896000000000000085e+01 4.240708465212912378e-10 7.458771893111566353e-15
2.912000000000000099e+01 4.208603110733944043e-10 7.662269517647047865e-15
2.928000000000000114e+01 4.175075646894303323e-10 7.838999146993127220e-15
2.944000000000000128e+01 4.139006535375898200e-10 7.993488135646346862e-15
2.960000000000000142e+01 4.103495744450291761e-10 8.108002346422995009e-15
2.976000000000000156e+01 4.067509951360238581e-10 8.188453158422726449e-15
2.992000000000000171e+01 4.033582318763338657e-10 8.218736007811512731e-15
3.007999999999999829e+01 4.000868459107082956e-10 8.204219082521096893e-15
3.023999999999999844e+01 3.971367691962889518e-10 8.132490018985940345e-15
3.039999999999999858e+01 3.944413577473586771e-10 8.007686271675028241e-15
3.055999999999999872e+01 3.921599850453823375e-10 7.830685955016567839e-15
3.071999999999999886e+01 3.902395265965480648e-10 7.601196364358727478e-15
3.087999999999999901e+01 3.888017618105328463e-10 7.333935208124937863e-15
3.103999999999999915e+01 3.878060975507772726e-10 7.023996583648808641e-15
3.119999999999999929e+01 3.873206756878171925e-10 6.697334396500829471e-15
3.135999999999999943e+01 3.873227822648142508e-10 6.345297344791940764e-15
3.151999999999999957e+01 3.878027727856737931e-10 6.007309225837740629e-15
3.167999999999999972e+01 3.887638620824311622e-10 5.670228773823825809e-15
3.183999999999999986e+01 3.901021588995493978e-10 5.373077142337157273e-15
3.200000000000000000e+01 3.918522936555296704e-10 5.102847280180494704e-15
3.215999999999999659e+01 3.938185590798822198e-10 4.894542066600423329e-15
3.232000000000000028e+01 3.960661909294284532e-10 4.736493875195372319e-15
3.247999999999999687e+01 3.983309304280474747e-10 4.655198058555949828e-15
3.264000000000000057e+01 4.007008638344455949e-10 4.641822832581873549e-15
3.279999999999999716e+01 4.028789159622984811e-10 4.703477372095370897e-15
3.296000000000000085e+01 4.049641118737148128e-10 4.837791952171111376e-15
3.311999999999999744e+01 4.066697381670754332e-10 5.044400681531088655e-15
3.328000000000000114e+01 4.080913659762525847e-10 5.323425523793206723e-15
3.343999999999999773e+01 4.089964629581672695e-10 5.652900883438794424e-15
3.360000000000000142e+01 4.094625398938354459e-10 6.040148625637644548e-15
3.375999999999999801e+01 4.093558834425631381e-10 6.455499571670029736e-15
3.392000000000000171e+01 4.087210647179212257e-10 6.908843447799212019e-15
3.407999999999999829e+01 4.075600577027891532e-10 7.364497901122647717e-15
3.424000000000000199e+01 4.058722044028758058e-10 7.834357049339230684e-15
3.439999999999999858e+01 4.038144371993036061e-10 8.286799739978210601e-15
3.456000000000000227e+01 4.013344452983643561e-10 8.732366357229818100e-15
3.471999999999999886e+01 3.987305371984340848e-10 9.139249561233004223e-15
3.488000000000000256e+01 3.959032767333780227e-10 9.518051798445042139e-15
3.503999999999999915e+01 3.932398114570238070e-10 9.853645083505377965e-15
3.520000000000000284e+01 3.906110921847645863e-10 1.015107207819028752e-14
3.535999999999999943e+01 3.884109815407991787e-10 1.039880798040425830e-14
3.552000000000000313e+01 3.865081919837379732e-10 1.060069439081326658e-14
3.567999999999999972e+01 3.852158955273784127e-10 1.075474901484262467e-14
3.584000000000000341e+01 3.844297015004526323e-10 1.086163261729276355e-14
3.600000000000000000e+01 3.843226266181137382e-10 1.092425100422460789e-14
3.615999999999999659e+01 3.848369986419823937e-10 1.094163557366081084e-14
3.632000000000000028e+01 3.859925851188835503e-10 1.091889038910338873e-14
3.647999999999999687e+01 3.877827968665455846e-10 1.085431409600907252e-14
3.664000000000000057e+01 3.901063482764044657e-10 1.075970188906135309e-14
3.679999999999999716e+01 3.929970012179754368e-10 1.063112203667516537e-14
3.696000000000000085e+01 3.962807896685095968e-10 1.047908468791938944e-14
3.711999999999999744e+01 4.000157023022632657e-10 1.030008645970174071e-14
3.728000000000000114e+01 4.039871567212123706e-10 1.010454416008554560e-14
3.743999999999999773e+01 4.082666803913650219e-10 9.888985519751107090e-15
3.760000000000000142e+01 4.125945297826989661e-10 9.671682765843144500e-15
3.775999999999999801e+01 4.170572860718886152e-10 9.446545156046182326e-15
3.792000000000000171e+01 4.213203901438873222e-10 9.224699966335159111e-15
3.807999999999999829e+01 4.254953617037141172e-10 9.002438104698831791e-15
3.824000000000000199e+01 4.291543323790266215e-10 8.798165439358231651e-15
3.839999999999999858e+01 4.324399249606247394e-10 8.605746680935692836e-15
3.856000000000000227e+01 4.348618420762361205e-10 8.445551462912033367e-15
3.871999999999999886e+01 4.365835161832945837e-10 8.310789907500840842e-15
3.888000000000000256e+01 4.371491137860119199e-10 8.224925621220222787e-15
3.903999999999999915e+01 4.367105793829706019e-10 8.180137401947752903e-15
3.920000000000000284e+01 4.349845661181758747e-10 8.196780565424393502e-15
3.935999999999999943e+01 4.320655229436265760e-10 8.268070006483273333e-15
3.952000000000000313e+01 4.279702320635523911e-10 8.406428551484770206e-15
3.967999999999999972e+01 4.226930994098683830e-10 8.607715258342352615e-15
3.984000000000000341e+01 4.166078669062178418e-10 8.873317990730778612e-15
4.000000000000000000e+01 4.095899539113823738e-10 9.202774127452340865e-15
4.015999999999999659e+01 4.023235792297429442e-10 9.584526634080761073e-15
4.032000000000000028e+01 3.945806699265030719e-10 1.002242785528171035e-14
4.047999999999999687e+01 3.872128641298268231e-10 1.050003631017627018e-14
4.064000000000000057e+01 3.799362824636702451e-10 1.102283249251077035e-14
4.079999999999999716e+01 3.735772881746515889e-10 1.156145996032124855e-14
4.096000000000000085e+01 3.678604268472350738e-10 1.212570419411803993e-14
4.111999999999999744e+01 3.634096520884883388e-10 1.268220828406976591e-14
4.128000000000000114e+01 3.600169793627055239e-10 1.324209119996621897e-14
4.143999999999999773e+01 3.579964019904083580e-10 1.376578906402607170e-14
4.160000000000000142e+01 3.572432555314176582e-10 1.426648983541194361e-14
4.175999999999999801e+01 3.577489108715534077e-10 1.471096833019996559e-14
4.192000000000000171e+01 3.595162443822118749e-10 1.511029960967284941e-14
4.207999999999999829e+01 3.622796767815357091e-10 1.543590092719365539e-14
4.224000000000000199e+01 3.661277344968109352e-10 1.569729986486963730e-14
4.239999999999999858e+01 3.706418141361583743e-10 1.588117341298486925e-14
4.256000000000000227e+01 3.759614501635439049e-10 1.599196257489129572e-14
4.271999999999999886e+01 3.816086568725775131e-10 1.603037389658612031e-14
4.288000000000000256e+01 3.877427628320461164e-10 1.599617186276574260e-14
4.303999999999999915e+01 3.938820028067761283e-10 1.590138664765803451e-14
