t rho
0.000000000000000000e+00 2.047674264063970104e-03
3.152508781294806675e-03 2.047682511852519892e-03
6.305017562589613350e-03 2.047705194390870079e-03
9.457526343884418291e-03 2.047741703266720090e-03
1.261003512517922670e-02 2.047784392045500206e-03
1.576254390647403164e-02 2.047836642746919851e-03
1.891505268776883658e-02 2.047895801683500064e-03
2.206756146906364846e-02 2.047962932392430151e-03
2.522007025035845340e-02 2.048035913382179919e-03
2.837257903165325834e-02 2.048108013038600021e-03
3.152508781294806328e-02 2.048177931359179867e-03
3.467759659424286822e-02 2.048251431511129844e-03
3.783010537553767316e-02 2.048315721242849937e-03
4.098261415683248504e-02 2.048359915632709874e-03
4.413512293812729692e-02 2.048392530680260160e-03
4.728763171942209492e-02 2.048438059104470098e-03
5.044014050071690680e-02 2.048507987768830030e-03
5.359264928201171174e-02 2.048590168429449947e-03
5.674515806330651668e-02 2.048672340249429839e-03
5.989766684460132162e-02 2.048732404809129951e-03
6.305017562589612656e-02 2.048779640934440208e-03
6.620268440719093150e-02 2.048835292185600086e-03
6.935519318848573644e-02 2.048889113738809956e-03
7.250770196978055526e-02 2.048918801313860151e-03
7.566021075107534632e-02 2.048922541040749858e-03
7.881271953237016514e-02 2.048929044915099966e-03
8.196522831366497008e-02 2.048976129628400124e-03
8.511773709495977502e-02 2.049075831880279967e-03
8.827024587625459384e-02 2.049180352157610203e-03
9.142275465754938490e-02 2.049281495207039890e-03
9.457526343884418984e-02 2.049406495501099931e-03
9.772777222013899479e-02 2.049566985040890063e-03
1.008802810014338136e-01 2.049757570373240100e-03
1.040327897827286185e-01 2.049970380556270007e-03
1.071852985640234235e-01 2.050191185521669894e-03
1.103378073453182145e-01 2.050337203832029980e-03
1.134903161266130334e-01 2.050251889672640142e-03
1.166428249079078383e-01 2.049766932451619998e-03
1.197953336892026432e-01 2.048736490177479989e-03
1.229478424704974621e-01 2.047132831523189832e-03
1.261003512517922531e-01 2.045149675031910155e-03
1.292528600330870581e-01 2.043233629372120160e-03
1.324053688143818630e-01 2.041874034187670002e-03
1.355578775956766679e-01 2.041293522783399917e-03
1.387103863769714729e-01 2.041414478422960178e-03
1.418628951582663056e-01 2.042028200875200140e-03
1.450154039395611105e-01 2.042833908023830147e-03
1.481679127208558877e-01 2.043521410569060053e-03
1.513204215021506926e-01 2.043995167049080137e-03
1.544729302834455253e-01 2.044406312843480202e-03
1.576254390647403303e-01 2.044952885755080014e-03
1.607779478460351352e-01 2.045661998880750083e-03
1.639304566273299402e-01 2.046402517570470106e-03
1.670829654086247451e-01 2.047097830710020196e-03
1.702354741899195500e-01 2.047809451986929916e-03
1.733879829712143550e-01 2.048591420082999850e-03
1.765404917525091877e-01 2.049371156124610120e-03
1.796930005338039649e-01 2.049974182011349982e-03
1.828455093150987698e-01 2.050280386574510061e-03
1.859980180963935747e-01 2.050350367421269887e-03
1.891505268776883797e-01 2.050326107695219814e-03
1.923030356589831846e-01 2.050274011156389981e-03
1.954555444402779896e-01 2.050158110909599922e-03
1.986080532215727945e-01 2.049918369589739855e-03
2.017605620028676272e-01 2.049554714833039856e-03
2.049130707841624321e-01 2.049116802315129830e-03
2.080655795654572371e-01 2.048679535679279878e-03
2.112180883467520420e-01 2.048304600068059835e-03
2.143705971280468470e-01 2.048007084686109813e-03
2.175231059093416242e-01 2.047748871245460168e-03
2.206756146906364291e-01 2.047473537545899894e-03
2.238281234719312340e-01 2.047155115055909833e-03
2.269806322532260667e-01 2.046819991154749923e-03
2.301331410345208717e-01 2.046520230316149856e-03
2.332856498158156766e-01 2.046290405525059801e-03
2.364381585971104816e-01 2.046122484374609911e-03
2.395906673784052865e-01 2.045978336854770152e-03
2.427431761597000914e-01 2.045835434774039875e-03
2.458956849409949241e-01 2.045703536126580041e-03
2.490481937222897291e-01 2.045623322513050006e-03
2.522007025035845063e-01 2.045638338328559843e-03
2.553532112848793112e-01 2.045722082784019909e-03
2.585057200661741161e-01 2.045836909978459867e-03
2.616582288474689211e-01 2.045938281331309994e-03
2.648107376287637260e-01 2.046014214400810119e-03
2.679632464100585310e-01 2.046080364765199850e-03
2.711157551913533359e-01 2.046153685755900190e-03
2.742682639726481408e-01 2.046243901883649900e-03
2.774207727539429458e-01 2.046348214309089922e-03
2.805732815352377507e-01 2.046450049096459976e-03
2.837257903165326112e-01 2.046533314466050107e-03
2.868782990978274161e-01 2.046599992434399926e-03
2.900308078791222210e-01 2.046659608322670167e-03
2.931833166604170260e-01 2.046716673279420137e-03
2.963358254417117754e-01 2.046773246219870009e-03
2.994883342230065804e-01 2.046826604541079810e-03
3.026408430043013853e-01 2.046872604480260045e-03
3.057933517855961902e-01 2.046911541042160075e-03
3.089458605668910507e-01 2.046952226508419979e-03
3.120983693481858556e-01 2.047006528782290176e-03
3.152508781294806606e-01 2.047074684447700195e-03
3.184033869107754655e-01 2.047146288016419863e-03
3.215558956920702705e-01 2.047210060495940117e-03
3.247084044733650754e-01 2.047261911887669848e-03
3.278609132546598803e-01 2.047310515878150196e-03
3.310134220359546853e-01 2.047370730365549903e-03
3.341659308172494902e-01 2.047449370678979929e-03
3.373184395985442952e-01 2.047539344593510106e-03
3.404709483798391001e-01 2.047627870692049924e-03
3.436234571611339050e-01 2.047705328029850169e-03
3.467759659424287100e-01 2.047768512386729991e-03
3.499284747237235704e-01 2.047821087226029801e-03
3.530809835050183754e-01 2.047868953381990105e-03
3.562334922863130693e-01 2.047907526847139986e-03
3.593860010676079297e-01 2.047930727179520047e-03
3.625385098489027347e-01 2.047935369702109931e-03
3.656910186301975396e-01 2.047920440692429980e-03
3.688435274114923446e-01 2.047890894450699831e-03
3.719960361927871495e-01 2.047850164273219958e-03
3.751485449740819544e-01 2.047782192724749949e-03
3.783010537553767594e-01 2.047676439238570005e-03
3.814535625366715643e-01 2.047534546344099895e-03
3.846060713179663693e-01 2.047358929181319984e-03
3.877585800992611742e-01 2.047149827219020123e-03
3.909110888805559791e-01 2.046911735018119936e-03
3.940635976618507841e-01 2.046652265816949982e-03
3.972161064431455890e-01 2.046374374177600038e-03
4.003686152244404495e-01 2.046083380566630049e-03
4.035211240057352544e-01 2.045795046828900125e-03
4.066736327870300594e-01 2.045529125687149848e-03
4.098261415683248643e-01 2.045300296193239969e-03
4.129786503496196692e-01 2.045117601411359891e-03
4.161311591309144742e-01 2.044986966063060217e-03
4.192836679122092791e-01 2.044909444684940049e-03
4.224361766935040841e-01 2.044884586664220093e-03
4.255886854747988890e-01 2.044923652740740071e-03
4.287411942560936939e-01 2.045019002209020210e-03
4.318937030373884989e-01 2.045151280409030024e-03
4.350462118186832483e-01 2.045312761286010011e-03
4.381987205999780532e-01 2.045504693009350065e-03
4.413512293812728582e-01 2.045726418506210037e-03
4.445037381625676631e-01 2.045969525451689884e-03
4.476562469438624681e-01 2.046217897007720186e-03
4.508087557251573285e-01 2.046452902995020157e-03
4.539612645064521335e-01 2.046667280738219841e-03
4.571137732877469384e-01 2.046866877639429930e-03
4.602662820690417433e-01 2.047057085360690001e-03
4.634187908503365483e-01 2.047231539270109955e-03
4.665712996316313532e-01 2.047376786117899999e-03
4.697238084129261582e-01 2.047483863779529789e-03
4.728763171942209631e-01 2.047549690617100036e-03
4.760288259755157680e-01 2.047582974634080087e-03
4.791813347568105730e-01 2.047593647123860036e-03
4.823338435381053779e-01 2.047581563052819787e-03
4.854863523194001829e-01 2.047544125679720203e-03
4.886388611006949878e-01 2.047488992215400205e-03
4.917913698819898483e-01 2.047408508017320179e-03
4.949438786632846532e-01 2.047291451718620103e-03
4.980963874445794581e-01 2.047142697853590078e-03
5.012488962258742076e-01 2.046983615226209870e-03
5.044014050071690125e-01 2.046835171007820205e-03
5.075539137884638174e-01 2.046703554419910132e-03
5.107064225697586224e-01 2.046579114750160088e-03
5.138589313510534273e-01 2.046447501566869918e-03
5.170114401323482323e-01 2.046306798192740108e-03
5.201639489136430372e-01 2.046169415563610025e-03
5.233164576949378421e-01 2.046049230897540108e-03
5.264689664762326471e-01 2.045953972633139922e-03
5.296214752575274520e-01 2.045885338533419938e-03
5.327739840388222570e-01 2.045835968768609792e-03
5.359264928201170619e-01 2.045789111152429823e-03
5.390790016014118669e-01 2.045733324317470115e-03
5.422315103827066718e-01 2.045671650684420181e-03
5.453840191640014767e-01 2.045622072212030171e-03
5.485365279452962817e-01 2.045607455793999833e-03
5.516890367265910866e-01 2.045631398329689991e-03
5.548415455078858916e-01 2.045680449173839857e-03
5.579940542891806965e-01 2.045733595660119853e-03
5.611465630704755014e-01 2.045770709420770099e-03
5.642990718517704174e-01 2.045781349192610146e-03
5.674515806330652223e-01 2.045772135519980175e-03
5.706040894143600273e-01 2.045766763056260183e-03
5.737565981956548322e-01 2.045785907604689806e-03
5.769091069769496372e-01 2.045836982625969837e-03
5.800616157582444421e-01 2.045928955535420129e-03
5.832141245395392470e-01 2.046057482016579859e-03
5.863666333208340520e-01 2.046193695901430201e-03
5.895191421021288569e-01 2.046297696802810203e-03
5.926716508834235508e-01 2.046347078584879933e-03
5.958241596647183558e-01 2.046345836030129869e-03
5.989766684460131607e-01 2.046319272195569906e-03
6.021291772273079657e-01 2.046311971266200156e-03
6.052816860086027706e-01 2.046351613265310135e-03
6.084341947898975755e-01 2.046443859748079807e-03
6.115867035711923805e-01 2.046584085276849981e-03
6.147392123524872964e-01 2.046755202715119792e-03
6.178917211337821014e-01 2.046917601043929998e-03
6.210442299150769063e-01 2.047024452386440093e-03
6.241967386963717113e-01 2.047052528571589869e-03
6.273492474776665162e-01 2.047007305687650099e-03
6.305017562589613211e-01 2.046923978079959877e-03
6.336542650402560151e-01 2.046826186135970206e-03
6.368067738215509310e-01 2.046770894808130209e-03
6.399592826028456249e-01 2.046787197374879894e-03
6.431117913841405409e-01 2.046848552024240105e-03
6.462643001654352348e-01 2.046928696302310023e-03
6.494168089467301508e-01 2.047006382427250110e-03
6.525693177280248447e-01 2.047049858717849870e-03
6.557218265093197607e-01 2.047031145646229823e-03
6.588743352906144546e-01 2.046939540845660148e-03
6.620268440719093705e-01 2.046760039303430201e-03
6.651793528532040645e-01 2.046507802152390011e-03
6.683318616344989804e-01 2.046232785938859825e-03
6.714843704157937854e-01 2.045987891703650134e-03
6.746368791970885903e-01 2.045805980266979934e-03
6.777893879783833953e-01 2.045697761508600068e-03
6.809418967596782002e-01 2.045656380227839962e-03
6.840944055409730051e-01 2.045671905211370045e-03
6.872469143222678101e-01 2.045727189365209933e-03
6.903994231035626150e-01 2.045793946611920103e-03
6.935519318848574200e-01 2.045833681973239972e-03
6.967044406661522249e-01 2.045819909245709910e-03
6.998569494474471409e-01 2.045752372428929784e-03
7.030094582287418348e-01 2.045645196053220115e-03
7.061619670100367507e-01 2.045506108047599834e-03
7.093144757913314447e-01 2.045368366350679926e-03
7.124669845726261386e-01 2.045268615257850135e-03
7.156194933539210545e-01 2.045226984373059876e-03
7.187720021352158595e-01 2.045267540131880113e-03
7.219245109165106644e-01 2.045382804142889966e-03
7.250770196978054694e-01 2.045546359337719819e-03
7.282295284791002743e-01 2.045726771594990039e-03
7.313820372603950792e-01 2.045928118570009956e-03
7.345345460416898842e-01 2.046153357306540032e-03
7.376870548229846891e-01 2.046374287852129829e-03
7.408395636042794941e-01 2.046553902188520072e-03
7.439920723855742990e-01 2.046672825942660000e-03
7.471445811668692150e-01 2.046723159268670159e-03
7.502970899481639089e-01 2.046708482912710202e-03
7.534495987294588248e-01 2.046665859741190162e-03
7.566021075107535188e-01 2.046617599591230106e-03
7.597546162920484347e-01 2.046547512294719789e-03
7.629071250733431286e-01 2.046462790222419812e-03
7.660596338546380446e-01 2.046387329395599978e-03
7.692121426359327385e-01 2.046339459136770154e-03
7.723646514172276545e-01 2.046330268222559898e-03
7.755171601985223484e-01 2.046353704506940086e-03
7.786696689798172644e-01 2.046392603741870042e-03
7.818221777611119583e-01 2.046430734353189927e-03
7.849746865424068742e-01 2.046456912997889847e-03
7.881271953237015682e-01 2.046460178828779855e-03
7.912797041049963731e-01 2.046434429623530081e-03
7.944322128862911780e-01 2.046376078191599820e-03
7.975847216675859830e-01 2.046297816943059948e-03
8.007372304488808989e-01 2.046199453942279881e-03
8.038897392301755929e-01 2.046081126457639874e-03
8.070422480114705088e-01 2.045954054503469881e-03
8.101947567927652027e-01 2.045826732815950004e-03
8.133472655740601187e-01 2.045708322298619899e-03
8.164997743553548126e-01 2.045607072734299987e-03
8.196522831366497286e-01 2.045524956384040059e-03
8.228047919179444225e-01 2.045461146736220117e-03
8.259573006992393385e-01 2.045418772446920032e-03
8.291098094805340324e-01 2.045406767271540187e-03
8.322623182618289484e-01 2.045416491978610182e-03
8.354148270431236423e-01 2.045437979543570164e-03
8.385673358244185582e-01 2.045462559341309876e-03
8.417198446057132522e-01 2.045488867108210141e-03
8.448723533870081681e-01 2.045513279154440121e-03
8.480248621683028620e-01 2.045533996418530138e-03
8.511773709495977780e-01 2.045556440759279792e-03
8.543298797308925829e-01 2.045582924774829846e-03
8.574823885121873879e-01 2.045611812060079901e-03
8.606348972934821928e-01 2.045641389750810137e-03
8.637874060747769978e-01 2.045673050549620068e-03
8.669399148560718027e-01 2.045705628408509783e-03
8.700924236373664966e-01 2.045740258182019919e-03
8.732449324186614126e-01 2.045780053257429797e-03
8.763974411999561065e-01 2.045828139354739957e-03
8.795499499812510225e-01 2.045885172223609830e-03
8.827024587625457164e-01 2.045948333081399825e-03
8.858549675438406323e-01 2.046013508534469914e-03
8.890074763251353263e-01 2.046079110948290179e-03
8.921599851064302422e-01 2.046146090483830053e-03
8.953124938877249361e-01 2.046213974958269784e-03
8.984650026690198521e-01 2.046279916040069993e-03
9.016175114503146570e-01 2.046342325750440116e-03
9.047700202316094620e-01 2.046400646008810116e-03
9.079225290129042669e-01 2.046453744187120075e-03
9.110750377941990719e-01 2.046500745574370179e-03
9.142275465754938768e-01 2.046542718515750089e-03
9.173800553567886817e-01 2.046573787242649857e-03
9.205325641380834867e-01 2.046589376102049811e-03
9.236850729193782916e-01 2.046588943870619910e-03
9.268375817006730966e-01 2.046576449521819979e-03
9.299900904819679015e-01 2.046552371695290092e-03
9.331425992632627064e-01 2.046514191341049921e-03
9.362951080445576224e-01 2.046464024600850012e-03
9.394476168258523163e-01 2.046411207716839972e-03
9.426001256071472323e-01 2.046351671685669830e-03
9.457526343884419262e-01 2.046282913300200186e-03
9.489051431697366201e-01 2.046213977531879946e-03
9.520576519510315361e-01 2.046153137739559983e-03
9.552101607323263410e-01 2.046101049431280072e-03
9.583626695136211460e-01 2.046055243607060054e-03
9.615151782949159509e-01 2.046015669401450056e-03
9.646676870762107558e-01 2.045989500805530086e-03
9.678201958575055608e-01 2.045969093899929845e-03
9.709727046388003657e-01 2.045953687911780151e-03
9.741252134200951707e-01 2.045944661214730165e-03
9.772777222013899756e-01 2.045946355628320071e-03
9.804302309826847805e-01 2.045961872324779905e-03
9.835827397639796965e-01 2.045988353925560187e-03
9.867352485452743904e-01 2.046022053517539997e-03
9.898877573265693064e-01 2.046057696920130110e-03
