t ham
0.000000000000000000e+00 5.294718906028240153e-06
2.399999999999999911e-01 inf
4.799999999999999822e-01 5.630909268119419688e-06
7.199999999999999734e-01 inf
9.599999999999999645e-01 5.729441439360089604e-06
1.199999999999999956e+00 inf
1.439999999999999947e+00 5.761166097963340042e-06
1.679999999999999938e+00 inf
1.919999999999999929e+00 5.757063565495000315e-06
2.160000000000000142e+00 inf
2.399999999999999911e+00 5.754794457808310046e-06
2.640000000000000124e+00 inf
2.879999999999999893e+00 5.780173261618950308e-06
3.120000000000000107e+00 inf
3.359999999999999876e+00 5.798813550355550222e-06
3.600000000000000089e+00 inf
3.839999999999999858e+00 5.824179254294130065e-06
4.080000000000000071e+00 inf
4.320000000000000284e+00 5.849588506631740351e-06
4.559999999999999609e+00 inf
4.799999999999999822e+00 5.865463876040849685e-06
5.040000000000000036e+00 inf
5.280000000000000249e+00 5.881676985893119796e-06
5.519999999999999574e+00 inf
5.759999999999999787e+00 5.895804842377509814e-06
6.000000000000000000e+00 inf
6.240000000000000213e+00 5.914676618357550376e-06
6.480000000000000426e+00 inf
6.719999999999999751e+00 5.941737630839889632e-06
6.959999999999999964e+00 inf
7.200000000000000178e+00 5.963272123934860026e-06
7.440000000000000391e+00 inf
7.679999999999999716e+00 5.978539922093730330e-06
7.919999999999999929e+00 inf
8.160000000000000142e+00 6.000002638498670088e-06
8.400000000000000355e+00 inf
8.640000000000000568e+00 6.020989374755390153e-06
8.880000000000000782e+00 inf
9.119999999999999218e+00 6.041205724685119929e-06
9.359999999999999432e+00 inf
9.599999999999999645e+00 6.059682676579550135e-06
9.839999999999999858e+00 inf
1.008000000000000007e+01 6.086637297341530006e-06
1.032000000000000028e+01 inf
1.056000000000000050e+01 6.107405174235140254e-06
1.080000000000000071e+01 inf
1.103999999999999915e+01 6.132437751968500199e-06
1.127999999999999936e+01 inf
1.151999999999999957e+01 6.166974891564190084e-06
1.175999999999999979e+01 inf
1.200000000000000000e+01 6.198065302897289659e-06
1.224000000000000021e+01 inf
1.248000000000000043e+01 6.229526601323219795e-06
1.272000000000000064e+01 inf
1.296000000000000085e+01 6.256320175307630244e-06
1.319999999999999929e+01 inf
1.343999999999999950e+01 6.288032357461329863e-06
1.367999999999999972e+01 inf
1.391999999999999993e+01 6.319782092001350045e-06
1.416000000000000014e+01 inf
1.440000000000000036e+01 6.354728665427680086e-06
1.464000000000000057e+01 inf
1.488000000000000078e+01 6.384512032261819630e-06
1.511999999999999922e+01 inf
1.535999999999999943e+01 6.412075800053719967e-06
1.559999999999999964e+01 inf
1.583999999999999986e+01 6.438928853277180350e-06
1.607999999999999829e+01 inf
1.632000000000000028e+01 6.465091284235889659e-06
1.655999999999999872e+01 inf
1.680000000000000071e+01 6.487494840024590274e-06
1.703999999999999915e+01 inf
1.728000000000000114e+01 6.513995597815529919e-06
1.751999999999999957e+01 inf
1.776000000000000156e+01 6.535607936422680174e-06
1.800000000000000000e+01 inf
1.823999999999999844e+01 6.559948824459160199e-06
1.848000000000000043e+01 inf
1.871999999999999886e+01 6.584398334787229989e-06
1.896000000000000085e+01 inf
1.919999999999999929e+01 6.609587663060379930e-06
1.944000000000000128e+01 inf
1.967999999999999972e+01 6.637167342757580412e-06
1.992000000000000171e+01 inf
2.016000000000000014e+01 6.661321060554139776e-06
2.039999999999999858e+01 inf
2.064000000000000057e+01 6.684577841904980062e-06
2.087999999999999901e+01 inf
2.112000000000000099e+01 6.708553284283560343e-06
2.135999999999999943e+01 inf
2.160000000000000142e+01 6.725552039877859666e-06
2.183999999999999986e+01 inf
2.207999999999999829e+01 6.749998388196970141e-06
2.232000000000000028e+01 inf
2.255999999999999872e+01 6.766245013948939723e-06
2.280000000000000071e+01 inf
2.303999999999999915e+01 6.793198875270360076e-06
2.328000000000000114e+01 inf
2.351999999999999957e+01 6.815827121284789893e-06
2.376000000000000156e+01 inf
2.400000000000000000e+01 6.842768408626090025e-06
2.423999999999999844e+01 inf
2.448000000000000043e+01 6.860035698292599983e-06
2.471999999999999886e+01 inf
2.496000000000000085e+01 6.889098972475919765e-06
2.519999999999999929e+01 inf
2.544000000000000128e+01 6.910955624490850035e-06
2.567999999999999972e+01 inf
2.592000000000000171e+01 6.936838835619710234e-06
2.616000000000000014e+01 inf
2.639999999999999858e+01 6.957556674750509577e-06
2.664000000000000057e+01 inf
2.687999999999999901e+01 6.984770434544189581e-06
2.712000000000000099e+01 inf
2.735999999999999943e+01 7.007295486405980090e-06
2.760000000000000142e+01 inf
2.783999999999999986e+01 7.035053725257260370e-06
2.807999999999999829e+01 inf
2.832000000000000028e+01 7.059682610166529809e-06
2.855999999999999872e+01 inf
2.880000000000000071e+01 7.085845207471300325e-06
2.903999999999999915e+01 inf
2.928000000000000114e+01 7.107054313847939986e-06
2.951999999999999957e+01 inf
2.976000000000000156e+01 7.131370036063869848e-06
3.000000000000000000e+01 inf
3.023999999999999844e+01 7.161752714671339654e-06
3.048000000000000043e+01 inf
3.071999999999999886e+01 7.184555188085380360e-06
3.096000000000000085e+01 inf
3.119999999999999929e+01 7.207852497262299850e-06
3.144000000000000128e+01 inf
3.167999999999999972e+01 7.233774901770930001e-06
3.192000000000000171e+01 inf
3.215999999999999659e+01 7.271358786842180038e-06
3.239999999999999858e+01 inf
3.264000000000000057e+01 7.288864927329340108e-06
3.288000000000000256e+01 inf
3.311999999999999744e+01 7.318834078305409879e-06
3.335999999999999943e+01 inf
3.360000000000000142e+01 7.350223020562599726e-06
3.384000000000000341e+01 inf
3.407999999999999829e+01 7.369719050763490300e-06
3.432000000000000028e+01 inf
3.456000000000000227e+01 7.411766936303990216e-06
3.479999999999999716e+01 inf
3.503999999999999915e+01 7.434514683265209972e-06
3.528000000000000114e+01 inf
3.552000000000000313e+01 7.454576022115759978e-06
3.575999999999999801e+01 inf
3.600000000000000000e+01 7.486364786557710176e-06
3.624000000000000199e+01 inf
3.647999999999999687e+01 7.515355038367500310e-06
3.671999999999999886e+01 inf
3.696000000000000085e+01 7.546514310331570312e-06
3.720000000000000284e+01 inf
3.743999999999999773e+01 7.578930714394610422e-06
3.767999999999999972e+01 inf
3.792000000000000171e+01 7.601520800256669664e-06
3.815999999999999659e+01 inf
3.839999999999999858e+01 7.636365653841409583e-06
3.864000000000000057e+01 inf
3.888000000000000256e+01 7.665862217571200272e-06
3.911999999999999744e+01 inf
3.935999999999999943e+01 7.687658904681649871e-06
3.960000000000000142e+01 inf
3.984000000000000341e+01 7.726249919543920678e-06
4.007999999999999829e+01 inf
4.032000000000000028e+01 7.763724762912669242e-06
4.056000000000000227e+01 inf
4.079999999999999716e+01 7.782517245031400578e-06
4.103999999999999915e+01 inf
4.128000000000000114e+01 7.825051081698729917e-06
4.152000000000000313e+01 inf
4.175999999999999801e+01 7.855131668126749664e-06
4.200000000000000000e+01 inf
4.224000000000000199e+01 7.899593515432679693e-06
4.247999999999999687e+01 inf
4.271999999999999886e+01 7.928066533324779533e-06
4.296000000000000085e+01 inf
4.320000000000000284e+01 7.958718002298140778e-06
4.343999999999999773e+01 inf
4.367999999999999972e+01 7.995889160957080769e-06
4.392000000000000171e+01 inf
4.415999999999999659e+01 8.025350889966649566e-06
4.439999999999999858e+01 inf
4.464000000000000057e+01 8.055018344546559453e-06
4.488000000000000256e+01 inf
4.511999999999999744e+01 8.093485682525249406e-06
4.535999999999999943e+01 inf
4.560000000000000142e+01 8.128625680001860470e-06
4.584000000000000341e+01 inf
4.607999999999999829e+01 8.168697663674129723e-06
4.632000000000000028e+01 inf
4.656000000000000227e+01 8.210285881047039877e-06
4.679999999999999716e+01 inf
4.703999999999999915e+01 8.238964835893379879e-06
4.728000000000000114e+01 inf
4.752000000000000313e+01 8.273360977048450774e-06
4.775999999999999801e+01 inf
4.800000000000000000e+01 8.316276909544920319e-06
4.824000000000000199e+01 inf
4.847999999999999687e+01 8.350499011939400027e-06
4.871999999999999886e+01 inf
4.896000000000000085e+01 8.387063999641699544e-06
4.920000000000000284e+01 inf
4.943999999999999773e+01 8.430050243463209291e-06
4.967999999999999972e+01 inf
4.992000000000000171e+01 8.455026252346760344e-06
5.015999999999999659e+01 inf
5.039999999999999858e+01 8.504739105690140366e-06
5.064000000000000057e+01 inf
5.088000000000000256e+01 8.535988757590099767e-06
5.111999999999999744e+01 inf
5.135999999999999943e+01 8.561519053267719668e-06
5.160000000000000142e+01 inf
5.184000000000000341e+01 8.611002731309059526e-06
5.207999999999999829e+01 inf
5.232000000000000028e+01 8.640347521473529536e-06
5.256000000000000227e+01 inf
5.279999999999999716e+01 8.683044258658930597e-06
5.303999999999999915e+01 inf
5.328000000000000114e+01 8.718240399623559747e-06
5.352000000000000313e+01 inf
5.375999999999999801e+01 8.760647363195519342e-06
5.400000000000000000e+01 inf
5.424000000000000199e+01 8.807339143085519568e-06
5.447999999999999687e+01 inf
5.471999999999999886e+01 8.849683181529119488e-06
5.496000000000000085e+01 inf
5.520000000000000284e+01 8.888447301858659166e-06
5.543999999999999773e+01 inf
5.567999999999999972e+01 8.919242739605250155e-06
5.592000000000000171e+01 inf
5.615999999999999659e+01 8.964132942219040740e-06
5.639999999999999858e+01 inf
5.664000000000000057e+01 9.000745273203299208e-06
5.688000000000000256e+01 inf
5.711999999999999744e+01 9.043535762300619431e-06
5.735999999999999943e+01 inf
5.760000000000000142e+01 9.079133740089080786e-06
5.784000000000000341e+01 inf
5.807999999999999829e+01 9.130157962888990755e-06
5.832000000000000028e+01 inf
5.856000000000000227e+01 9.164917202116610657e-06
5.879999999999999716e+01 inf
5.903999999999999915e+01 9.214599609850149608e-06
5.928000000000000114e+01 inf
5.952000000000000313e+01 9.245740416062989941e-06
5.975999999999999801e+01 inf
6.000000000000000000e+01 9.287096000182590110e-06
6.024000000000000199e+01 inf
6.047999999999999687e+01 9.313277410732359352e-06
6.071999999999999886e+01 inf
6.096000000000000085e+01 9.365450374091510187e-06
6.120000000000000284e+01 inf
6.143999999999999773e+01 9.407807045438680045e-06
6.167999999999999972e+01 inf
6.192000000000000171e+01 9.432501682735490426e-06
6.215999999999999659e+01 inf
6.239999999999999858e+01 9.475895095565170748e-06
6.264000000000000057e+01 inf
6.288000000000000256e+01 9.528011212786430804e-06
6.311999999999999744e+01 inf
6.335999999999999943e+01 9.558186665398830161e-06
6.360000000000000142e+01 inf
6.384000000000000341e+01 9.609476019732380688e-06
6.407999999999999829e+01 inf
6.431999999999999318e+01 9.639469621160280246e-06
6.456000000000000227e+01 inf
6.479999999999999716e+01 9.692128762602730715e-06
6.504000000000000625e+01 inf
6.528000000000000114e+01 9.733905870217899651e-06
6.551999999999999602e+01 inf
6.576000000000000512e+01 9.777615702182510812e-06
6.600000000000000000e+01 inf
6.623999999999999488e+01 9.811196838848500795e-06
6.648000000000000398e+01 inf
6.671999999999999886e+01 9.852824552765060534e-06
6.695999999999999375e+01 inf
6.720000000000000284e+01 9.896445407178519699e-06
6.743999999999999773e+01 inf
6.768000000000000682e+01 9.932954141252859666e-06
6.792000000000000171e+01 inf
6.815999999999999659e+01 9.992575656831239640e-06
6.840000000000000568e+01 inf
6.864000000000000057e+01 1.002869613874799995e-05
6.887999999999999545e+01 inf
6.912000000000000455e+01 1.006225692037620015e-05
6.935999999999999943e+01 inf
6.959999999999999432e+01 1.011777683714409944e-05
6.984000000000000341e+01 inf
7.007999999999999829e+01 1.014318257476799994e-05
7.031999999999999318e+01 inf
7.056000000000000227e+01 1.020604812903579962e-05
7.079999999999999716e+01 inf
7.104000000000000625e+01 1.025250188792379981e-05
