t ham
0.000000000000000000e+00 4.060868904986280307e-06
7.500000000000000000e-01 3.991690734744350419e-06
1.500000000000000000e+00 4.080284191947019749e-06
2.250000000000000000e+00 4.148303668144950121e-06
3.000000000000000000e+00 3.789909175449029800e-06
3.750000000000000000e+00 3.845475370985889686e-06
4.500000000000000000e+00 4.052844489803300105e-06
5.250000000000000000e+00 4.281779952156079732e-06
6.000000000000000000e+00 4.076775917686860148e-06
6.750000000000000000e+00 3.991465280381440189e-06
7.500000000000000000e+00 3.805322027027050187e-06
8.250000000000000000e+00 3.897407732441659749e-06
9.000000000000000000e+00 3.789021352961580188e-06
9.750000000000000000e+00 4.143042813422789885e-06
1.050000000000000000e+01 3.964559208620769653e-06
1.125000000000000000e+01 4.142197523721769832e-06
1.200000000000000000e+01 4.013849305033140197e-06
1.275000000000000000e+01 4.039052159645110242e-06
1.350000000000000000e+01 4.047173285217120327e-06
1.425000000000000000e+01 4.186067045221190190e-06
1.500000000000000000e+01 3.976717135143499644e-06
1.575000000000000000e+01 3.967911907675899941e-06
1.650000000000000000e+01 4.155022089691189903e-06
1.725000000000000000e+01 4.018328497275370051e-06
1.800000000000000000e+01 3.829104759076300206e-06
1.875000000000000000e+01 4.045289553928190299e-06
1.950000000000000000e+01 3.862272049973000295e-06
2.025000000000000000e+01 3.933278401350619967e-06
2.100000000000000000e+01 3.881214315378139800e-06
2.175000000000000000e+01 4.174021890835080224e-06
2.250000000000000000e+01 3.848874168741319853e-06
2.325000000000000000e+01 3.692952627251510173e-06
2.400000000000000000e+01 4.168256884184629733e-06
2.475000000000000000e+01 3.939201929136030128e-06
2.550000000000000000e+01 3.918470904417989754e-06
2.625000000000000000e+01 3.993499589028679752e-06
2.700000000000000000e+01 4.008886197790210240e-06
2.775000000000000000e+01 4.093674706071180222e-06
2.850000000000000000e+01 4.140280313139010002e-06
2.925000000000000000e+01 3.820705509616040372e-06
3.000000000000000000e+01 3.961638846587659593e-06
3.075000000000000000e+01 4.115136099055349764e-06
3.150000000000000000e+01 4.081680757172599690e-06
3.225000000000000000e+01 4.000627376704670070e-06
3.300000000000000000e+01 4.141506791685639963e-06
3.375000000000000000e+01 3.688714515045709889e-06
3.450000000000000000e+01 4.074993150961160348e-06
3.525000000000000000e+01 4.162543293896259733e-06
3.600000000000000000e+01 3.877647078582569606e-06
3.675000000000000000e+01 4.100639304310880177e-06
3.750000000000000000e+01 4.366627989443439995e-06
3.825000000000000000e+01 3.845083050462640042e-06
3.900000000000000000e+01 3.992407173296850071e-06
3.975000000000000000e+01 3.990506912699780331e-06
4.050000000000000000e+01 4.027081362795119883e-06
4.125000000000000000e+01 3.737572077054680046e-06
4.200000000000000000e+01 4.040486588836659920e-06
