t ham
0.000000000000000000e+00 4.883402104151810032e-06
1.199999999999999956e+00 4.085507927023229618e-06
2.399999999999999911e+00 4.257238294754190383e-06
3.600000000000000089e+00 3.916308885788619894e-06
4.799999999999999822e+00 3.590157530644990015e-06
6.000000000000000000e+00 3.851890267431829969e-06
7.200000000000000178e+00 3.960746651928299798e-06
8.400000000000000355e+00 3.668757573062470025e-06
9.599999999999999645e+00 3.697633031547830034e-06
1.080000000000000071e+01 3.886058235072829753e-06
1.200000000000000000e+01 3.983069504614320331e-06
1.319999999999999929e+01 3.818281126527360037e-06
1.440000000000000036e+01 3.832470825019889697e-06
1.559999999999999964e+01 3.747662881022180039e-06
1.680000000000000071e+01 3.901815363686509611e-06
1.800000000000000000e+01 4.146317697139119805e-06
1.919999999999999929e+01 3.608469102128470112e-06
2.039999999999999858e+01 3.852980315986220002e-06
2.160000000000000142e+01 3.839113194969400002e-06
2.280000000000000071e+01 3.913140547955640020e-06
2.400000000000000000e+01 4.212125031250890034e-06
2.519999999999999929e+01 3.683287380024360159e-06
2.639999999999999858e+01 3.879255733736610029e-06
2.760000000000000142e+01 3.676264051992080136e-06
2.880000000000000071e+01 3.748264187336280096e-06
3.000000000000000000e+01 3.767574064342959913e-06
3.119999999999999929e+01 4.167412207025489794e-06
3.239999999999999858e+01 3.563850483876579930e-06
3.360000000000000142e+01 3.804624462193640173e-06
3.479999999999999716e+01 3.639458483805499861e-06
3.600000000000000000e+01 4.019318699440319874e-06
3.720000000000000284e+01 3.669506167261849866e-06
3.839999999999999858e+01 3.635639846776410186e-06
3.960000000000000142e+01 3.800232785441700022e-06
4.079999999999999716e+01 3.796150747322430210e-06
4.200000000000000000e+01 4.023792746366550189e-06
4.320000000000000284e+01 3.776193195114930020e-06
4.439999999999999858e+01 3.586019326181240132e-06
4.560000000000000142e+01 3.872432110574269900e-06
4.679999999999999716e+01 3.773529632762479872e-06
4.800000000000000000e+01 3.996110467852569698e-06
4.920000000000000284e+01 3.711391399989309901e-06
5.039999999999999858e+01 3.774269701744400196e-06
5.160000000000000142e+01 3.751926049420299835e-06
5.279999999999999716e+01 3.751143232698360119e-06
5.400000000000000000e+01 3.752578528161180110e-06
5.520000000000000284e+01 3.934250144120670174e-06
5.639999999999999858e+01 3.758775647694900090e-06
5.760000000000000142e+01 3.925545863248649881e-06
5.879999999999999716e+01 3.920836741062930299e-06
6.000000000000000000e+01 3.863674051994909605e-06
6.120000000000000284e+01 3.537992295885589833e-06
6.239999999999999858e+01 3.710807637538060075e-06
6.360000000000000142e+01 3.777652556465429897e-06
6.479999999999999716e+01 3.486034173789720089e-06
6.600000000000000000e+01 3.903436990787600356e-06
6.720000000000000284e+01 3.741905355790350097e-06
6.840000000000000568e+01 3.911534639462970130e-06
6.959999999999999432e+01 3.815420812194209867e-06
7.079999999999999716e+01 3.908796243236210157e-06
7.200000000000000000e+01 3.720128175440059872e-06
7.320000000000000284e+01 3.675333123531960165e-06
7.440000000000000568e+01 4.221667271444989742e-06
7.559999999999999432e+01 3.685060672869260091e-06
7.679999999999999716e+01 3.773935370650339790e-06
7.800000000000000000e+01 3.970538780218670024e-06
7.920000000000000284e+01 3.719095241459960164e-06
8.040000000000000568e+01 3.974351330332200250e-06
8.159999999999999432e+01 3.794512612745759843e-06
8.279999999999999716e+01 3.674321525058450106e-06
8.400000000000000000e+01 3.637115900813450159e-06
8.520000000000000284e+01 3.819920981139620075e-06
8.640000000000000568e+01 3.955774243956390139e-06
8.759999999999999432e+01 3.897635302458379619e-06
8.879999999999999716e+01 3.863901651962820369e-06
9.000000000000000000e+01 3.651147116876700165e-06
9.120000000000000284e+01 3.651994897215670208e-06
9.240000000000000568e+01 3.659772417046549848e-06
9.359999999999999432e+01 3.816958921204850264e-06
9.479999999999999716e+01 4.121614832760310403e-06
9.600000000000000000e+01 3.628619848209380061e-06
9.720000000000000284e+01 3.798736842784079943e-06
9.840000000000000568e+01 3.818359101936939905e-06
9.959999999999999432e+01 3.720773432917300041e-06
1.007999999999999972e+02 4.016890220450530177e-06
1.020000000000000000e+02 3.798393228644639848e-06
1.032000000000000028e+02 3.896216184161659956e-06
1.044000000000000057e+02 3.497454622536940014e-06
1.055999999999999943e+02 3.781598585899300157e-06
1.067999999999999972e+02 3.754633052465669973e-06
1.080000000000000000e+02 3.686782907464220158e-06
1.092000000000000028e+02 3.959676315383810240e-06
1.104000000000000057e+02 4.011396063844090407e-06
1.115999999999999943e+02 3.699645190429870002e-06
1.127999999999999972e+02 3.633905985358159895e-06
1.140000000000000000e+02 3.582745420883729835e-06
1.152000000000000028e+02 3.739822145497699975e-06
1.164000000000000057e+02 3.988285172554700275e-06
1.175999999999999943e+02 4.256143927806850126e-06
1.187999999999999972e+02 3.978990243512409840e-06
1.200000000000000000e+02 3.863828454985059772e-06
1.212000000000000028e+02 3.862660773007039894e-06
1.224000000000000057e+02 3.798418839072969948e-06
1.235999999999999943e+02 3.635503818308180069e-06
1.247999999999999972e+02 3.849158068462459943e-06
1.260000000000000000e+02 4.151172907620130010e-06
1.272000000000000028e+02 3.536429646347809836e-06
1.284000000000000057e+02 4.065708148684329995e-06
1.295999999999999943e+02 4.148226816973459622e-06
1.308000000000000114e+02 3.793522717193809933e-06
1.320000000000000000e+02 3.874111553157320040e-06
1.331999999999999886e+02 3.819155532640100098e-06
1.344000000000000057e+02 3.559325858670429912e-06
1.355999999999999943e+02 3.789035999427209847e-06
1.368000000000000114e+02 3.652326210767650030e-06
1.380000000000000000e+02 3.692968708054930125e-06
1.391999999999999886e+02 3.606265042886999905e-06
1.404000000000000057e+02 3.812285620175770182e-06
1.415999999999999943e+02 3.817688519690670092e-06
1.428000000000000114e+02 3.761045226006140161e-06
1.440000000000000000e+02 4.160186205617649896e-06
1.451999999999999886e+02 3.753375749637819987e-06
1.464000000000000057e+02 3.967833270842609878e-06
1.475999999999999943e+02 3.759723949598560204e-06
1.488000000000000114e+02 3.605995091316260030e-06
1.500000000000000000e+02 3.958446942196389993e-06
1.511999999999999886e+02 3.918053716624790185e-06
1.524000000000000057e+02 3.685576170431599790e-06
