t ham
0.000000000000000000e+00 4.638479861777629860e-06
9.599999999999999645e-01 4.232544681067049759e-06
1.919999999999999929e+00 4.464805131019359879e-06
2.879999999999999893e+00 4.378054551947420377e-06
3.839999999999999858e+00 4.467685641436080006e-06
4.799999999999999822e+00 4.128315033299390293e-06
5.759999999999999787e+00 4.200882204338069605e-06
6.719999999999999751e+00 4.129508865017570312e-06
7.679999999999999716e+00 4.286681744855220184e-06
8.640000000000000568e+00 4.300940171532739582e-06
9.599999999999999645e+00 4.333379417300040317e-06
1.056000000000000050e+01 4.358495880223520297e-06
1.151999999999999957e+01 4.138880722794349655e-06
1.248000000000000043e+01 4.183021896805740336e-06
1.343999999999999950e+01 4.225882374672659643e-06
1.440000000000000036e+01 4.293171232552489599e-06
1.535999999999999943e+01 4.325263516880560327e-06
1.632000000000000028e+01 4.360090395069570176e-06
1.728000000000000114e+01 4.101000541833259714e-06
1.823999999999999844e+01 4.290076369912849898e-06
1.919999999999999929e+01 4.519000965571130030e-06
2.016000000000000014e+01 4.098767812754699750e-06
2.112000000000000099e+01 4.162225170899789730e-06
2.207999999999999829e+01 4.182600280987669793e-06
2.303999999999999915e+01 4.243461393474009947e-06
2.400000000000000000e+01 3.797992085681609825e-06
2.496000000000000085e+01 4.265698313398859983e-06
2.592000000000000171e+01 4.425661442654069877e-06
2.687999999999999901e+01 4.311088166513980185e-06
2.783999999999999986e+01 4.097672980084059962e-06
2.880000000000000071e+01 4.098705285372059899e-06
2.976000000000000156e+01 4.180056624859220268e-06
3.071999999999999886e+01 4.221025033764050374e-06
3.167999999999999972e+01 4.227960892852070274e-06
3.264000000000000057e+01 4.404676933316259673e-06
3.360000000000000142e+01 4.372442644266269841e-06
3.456000000000000227e+01 4.025569910333169774e-06
3.552000000000000313e+01 4.340676290792689825e-06
3.647999999999999687e+01 4.210830597912650381e-06
3.743999999999999773e+01 4.194905549776080354e-06
3.839999999999999858e+01 4.369149747790919933e-06
3.935999999999999943e+01 4.074299199451360413e-06
4.032000000000000028e+01 4.271653169903769715e-06
4.128000000000000114e+01 4.277660215807009717e-06
4.224000000000000199e+01 4.191810109498139624e-06
4.320000000000000284e+01 4.329335415549170031e-06
4.415999999999999659e+01 3.958092424099319589e-06
4.511999999999999744e+01 4.389572976702499997e-06
4.607999999999999829e+01 4.211376919194940241e-06
4.703999999999999915e+01 4.393270398123219914e-06
4.800000000000000000e+01 4.141172883034570213e-06
4.896000000000000085e+01 4.041607866681620044e-06
4.992000000000000171e+01 4.282566715525179851e-06
5.088000000000000256e+01 4.295300253622980186e-06
5.184000000000000341e+01 4.295421645650560317e-06
5.279999999999999716e+01 4.259646395274240154e-06
5.375999999999999801e+01 4.229930555933559825e-06
5.471999999999999886e+01 4.167258027317679916e-06
5.567999999999999972e+01 4.413718646001229751e-06
5.664000000000000057e+01 4.146856168883769911e-06
5.760000000000000142e+01 4.097241228898260204e-06
5.856000000000000227e+01 4.020108839060390313e-06
5.952000000000000313e+01 4.072134754795719707e-06
6.047999999999999687e+01 4.203350709809760202e-06
6.143999999999999773e+01 4.191252103041470315e-06
6.239999999999999858e+01 4.427126927989229756e-06
6.335999999999999943e+01 4.392787514583669994e-06
6.431999999999999318e+01 4.089051423585470045e-06
6.528000000000000114e+01 4.322764763145120153e-06
6.623999999999999488e+01 4.257193395804349634e-06
6.720000000000000284e+01 4.306007754751259681e-06
6.815999999999999659e+01 4.313242395430590259e-06
6.912000000000000455e+01 4.199429686517150338e-06
7.007999999999999829e+01 4.152678104261280280e-06
7.104000000000000625e+01 4.441744120041010084e-06
7.200000000000000000e+01 4.323860058465800324e-06
7.295999999999999375e+01 4.170737523518880099e-06
7.392000000000000171e+01 4.139024542771769808e-06
7.487999999999999545e+01 3.954606661080400080e-06
7.584000000000000341e+01 4.026902172379310014e-06
7.679999999999999716e+01 4.027856555487580183e-06
7.776000000000000512e+01 4.283251794210360181e-06
7.871999999999999886e+01 4.190281990915510086e-06
7.968000000000000682e+01 4.239650633887820339e-06
8.064000000000000057e+01 4.593899678129559690e-06
8.159999999999999432e+01 4.237695213448600078e-06
8.256000000000000227e+01 4.094059321537149794e-06
8.351999999999999602e+01 4.236425221601260104e-06
8.448000000000000398e+01 3.967409902340580133e-06
8.543999999999999773e+01 4.095859721396300389e-06
8.640000000000000568e+01 4.122830119465820086e-06
8.735999999999999943e+01 4.264414914782920056e-06
8.831999999999999318e+01 4.278332531993179726e-06
8.928000000000000114e+01 4.492858282040100101e-06
9.023999999999999488e+01 4.256381349969739670e-06
9.120000000000000284e+01 4.243551186462469903e-06
9.215999999999999659e+01 4.229934661974189738e-06
9.312000000000000455e+01 4.094332179380060155e-06
9.407999999999999829e+01 4.470168064463710070e-06
9.504000000000000625e+01 4.092421333359659691e-06
9.600000000000000000e+01 4.044109178030110330e-06
9.695999999999999375e+01 4.251994128696710002e-06
9.792000000000000171e+01 4.162114311718190196e-06
9.887999999999999545e+01 4.105723748984949913e-06
9.984000000000000341e+01 4.136513840564030273e-06
1.007999999999999972e+02 4.277729913709440193e-06
1.017600000000000051e+02 4.260057328940379671e-06
1.027199999999999989e+02 4.260597902239269584e-06
1.036800000000000068e+02 4.066275912860539953e-06
1.046400000000000006e+02 4.258080251161060331e-06
1.055999999999999943e+02 4.279466865345030230e-06
1.065600000000000023e+02 4.143218252741159888e-06
1.075199999999999960e+02 3.970497216501949604e-06
1.084800000000000040e+02 4.355759344394300386e-06
1.094399999999999977e+02 4.169005643567609964e-06
1.104000000000000057e+02 4.259791723874530184e-06
1.113599999999999994e+02 4.064052757181379633e-06
1.123199999999999932e+02 3.992569653210529650e-06
1.132800000000000011e+02 4.058587993807620028e-06
1.142399999999999949e+02 4.301260970289660163e-06
1.152000000000000028e+02 4.180291811857440088e-06
1.161599999999999966e+02 4.177504090870680028e-06
1.171200000000000045e+02 4.121400001977710169e-06
1.180799999999999983e+02 4.417909661666409822e-06
1.190400000000000063e+02 4.033486061358480172e-06
1.200000000000000000e+02 4.130672211687790114e-06
1.209599999999999937e+02 4.121757548367359701e-06
1.219200000000000017e+02 4.147291923757080281e-06
1.228799999999999955e+02 3.882998992339880095e-06
1.238400000000000034e+02 4.072153542388479786e-06
1.247999999999999972e+02 4.242855523794879629e-06
1.257600000000000051e+02 4.313598901580700183e-06
1.267199999999999989e+02 4.101625749591710066e-06
1.276800000000000068e+02 4.187100957532689792e-06
1.286399999999999864e+02 4.146186532399239727e-06
1.295999999999999943e+02 4.042268144269800206e-06
1.305600000000000023e+02 4.067484719560500087e-06
1.315200000000000102e+02 4.057294921959899869e-06
1.324799999999999898e+02 4.311968148485950044e-06
1.334399999999999977e+02 4.137354584690559683e-06
1.344000000000000057e+02 4.122823215012149606e-06
1.353600000000000136e+02 4.150846139799210213e-06
1.363199999999999932e+02 4.295141036534299871e-06
1.372800000000000011e+02 4.308927669670269711e-06
1.382400000000000091e+02 4.115940714862959646e-06
1.391999999999999886e+02 4.195673258220419673e-06
1.401599999999999966e+02 4.107545738254610225e-06
1.411200000000000045e+02 4.313884267578890374e-06
1.420800000000000125e+02 4.163718381568609956e-06
1.430399999999999920e+02 4.325575271189230029e-06
1.440000000000000000e+02 4.429198370311340194e-06
1.449600000000000080e+02 4.093186980022109926e-06
1.459199999999999875e+02 4.165168034058690313e-06
1.468799999999999955e+02 4.300664336509860025e-06
1.478400000000000034e+02 4.222673422607379981e-06
1.488000000000000114e+02 4.228652806745520249e-06
1.497599999999999909e+02 4.356337769453019701e-06
1.507199999999999989e+02 4.283079831276469772e-06
1.516800000000000068e+02 4.209729952905610280e-06
1.526399999999999864e+02 4.024622671918899613e-06
1.535999999999999943e+02 4.188938469101590093e-06
1.545600000000000023e+02 4.288109942143499593e-06
1.555200000000000102e+02 4.187337920754619997e-06
1.564799999999999898e+02 4.059629025115049732e-06
1.574399999999999977e+02 4.011328815864120199e-06
1.584000000000000057e+02 4.162750009998919939e-06
1.593600000000000136e+02 4.148919747230409849e-06
1.603199999999999932e+02 3.983622491397969771e-06
1.612800000000000011e+02 4.363453649728659797e-06
1.622400000000000091e+02 4.144769273003529937e-06
1.631999999999999886e+02 4.034225005135670352e-06
1.641599999999999966e+02 4.304264172696869752e-06
1.651200000000000045e+02 4.016285011602419925e-06
1.660800000000000125e+02 4.202345338356769764e-06
1.670399999999999920e+02 4.136610631013359874e-06
1.680000000000000000e+02 4.047609275809599897e-06
1.689600000000000080e+02 4.120678314866249685e-06
1.699199999999999875e+02 4.288876441581749972e-06
1.708799999999999955e+02 4.243315674910489684e-06
1.718400000000000034e+02 4.209913364559079765e-06
1.728000000000000114e+02 4.205473495621879628e-06
1.737599999999999909e+02 4.038891200330200378e-06
1.747199999999999989e+02 4.031574913296789780e-06
1.756800000000000068e+02 4.079617932975820192e-06
1.766399999999999864e+02 4.116680145727689589e-06
1.775999999999999943e+02 4.378655330293250067e-06
1.785600000000000023e+02 4.131666311882489803e-06
1.795200000000000102e+02 4.178617317020200181e-06
1.804799999999999898e+02 4.108839388900279657e-06
1.814399999999999977e+02 3.802704856347180029e-06
1.824000000000000057e+02 4.410847138211940218e-06
1.833600000000000136e+02 4.155134199409500093e-06
1.843199999999999932e+02 3.993430428186479819e-06
1.852800000000000011e+02 3.991943385163550198e-06
1.862400000000000091e+02 4.220316858905629858e-06
1.871999999999999886e+02 4.066744592900890200e-06
1.881599999999999966e+02 3.994669087380209630e-06
1.891200000000000045e+02 4.064396569130870131e-06
1.900800000000000125e+02 4.221747586209540062e-06
