t ham
0.000000000000000000e+00 4.633363154116390306e-06
9.599999999999999645e-01 4.278800441119109585e-06
1.919999999999999929e+00 4.167382883661580127e-06
2.879999999999999893e+00 4.190109930383259686e-06
3.839999999999999858e+00 4.321497323205829610e-06
4.799999999999999822e+00 4.181727688544309918e-06
5.759999999999999787e+00 4.233582007683399797e-06
6.719999999999999751e+00 4.265261922596450316e-06
7.679999999999999716e+00 4.161927270931859852e-06
8.640000000000000568e+00 4.081937542117879735e-06
9.599999999999999645e+00 4.140882256716780069e-06
1.056000000000000050e+01 4.295841378645869803e-06
1.151999999999999957e+01 4.261688866979270304e-06
1.248000000000000043e+01 4.181168814659390205e-06
1.343999999999999950e+01 4.071415038269820034e-06
1.440000000000000036e+01 4.242031243363729650e-06
1.535999999999999943e+01 4.100428883786309588e-06
1.632000000000000028e+01 4.424535655046340333e-06
1.728000000000000114e+01 4.133717516952010322e-06
1.823999999999999844e+01 4.015446435834429638e-06
1.919999999999999929e+01 4.076142211201109918e-06
2.016000000000000014e+01 4.283717265592239942e-06
2.112000000000000099e+01 4.110119099511930382e-06
2.207999999999999829e+01 4.167399716648149965e-06
2.303999999999999915e+01 3.834980659125170249e-06
2.400000000000000000e+01 4.009108098853859841e-06
2.496000000000000085e+01 4.241049836939339709e-06
2.592000000000000171e+01 4.128504275917839707e-06
2.687999999999999901e+01 4.250014005364989727e-06
2.783999999999999986e+01 4.110706544990120004e-06
2.880000000000000071e+01 4.046498451904440310e-06
2.976000000000000156e+01 4.172451510332729724e-06
3.071999999999999886e+01 4.239024712950289919e-06
3.167999999999999972e+01 4.217497112662700333e-06
3.264000000000000057e+01 4.097040549544729785e-06
3.360000000000000142e+01 3.962127785483949768e-06
3.456000000000000227e+01 4.098227903995529782e-06
3.552000000000000313e+01 4.215601831929819725e-06
3.647999999999999687e+01 4.406614259401780372e-06
3.743999999999999773e+01 4.149884215150620124e-06
3.839999999999999858e+01 4.185762965895679774e-06
3.935999999999999943e+01 4.092657077858279691e-06
4.032000000000000028e+01 4.272753842314379715e-06
4.128000000000000114e+01 4.141628834999889851e-06
4.224000000000000199e+01 4.101212180891710059e-06
4.320000000000000284e+01 4.389007739362990089e-06
4.415999999999999659e+01 4.147155882022860278e-06
4.511999999999999744e+01 4.165056710700850338e-06
4.607999999999999829e+01 4.218428807331219657e-06
4.703999999999999915e+01 4.176881773264289986e-06
4.800000000000000000e+01 4.057242748268730039e-06
4.896000000000000085e+01 4.069239853579509850e-06
4.992000000000000171e+01 4.086807243246489661e-06
5.088000000000000256e+01 4.204042127784170328e-06
5.184000000000000341e+01 4.328524000432369624e-06
5.279999999999999716e+01 4.123379236732819709e-06
5.375999999999999801e+01 4.201082352814870085e-06
5.471999999999999886e+01 4.288851806666309587e-06
5.567999999999999972e+01 4.070239311084139586e-06
5.664000000000000057e+01 4.052776064556890249e-06
5.760000000000000142e+01 4.200785120626789873e-06
5.856000000000000227e+01 4.182385527912050017e-06
5.952000000000000313e+01 4.245548189295720005e-06
6.047999999999999687e+01 4.146291225908899647e-06
6.143999999999999773e+01 4.023622773257839609e-06
6.239999999999999858e+01 4.107668026414390039e-06
6.335999999999999943e+01 4.075433922555529945e-06
6.431999999999999318e+01 4.165790311847609881e-06
6.528000000000000114e+01 4.479587174729610165e-06
6.623999999999999488e+01 3.973314416892879796e-06
6.720000000000000284e+01 4.084754946442479940e-06
6.815999999999999659e+01 4.243461704520050386e-06
6.912000000000000455e+01 4.274102456605549670e-06
7.007999999999999829e+01 4.233143759641509922e-06
7.104000000000000625e+01 4.151248912942300155e-06
7.200000000000000000e+01 4.247676670596240335e-06
7.295999999999999375e+01 4.180993004442910038e-06
7.392000000000000171e+01 4.166070308837239646e-06
7.487999999999999545e+01 4.169790364423749899e-06
7.584000000000000341e+01 4.080533724282520303e-06
7.679999999999999716e+01 4.007300013686099749e-06
7.776000000000000512e+01 4.095993143014939595e-06
7.871999999999999886e+01 3.996974327442880238e-06
7.968000000000000682e+01 4.235850734457749923e-06
8.064000000000000057e+01 4.080477659494350132e-06
8.159999999999999432e+01 4.144225733342409812e-06
8.256000000000000227e+01 4.226603420415289693e-06
8.351999999999999602e+01 4.125152301833290254e-06
8.448000000000000398e+01 4.138992492768860244e-06
8.543999999999999773e+01 4.177778395648939602e-06
8.640000000000000568e+01 4.119718205364890353e-06
8.735999999999999943e+01 4.196147625054879911e-06
8.831999999999999318e+01 4.133939631416479969e-06
8.928000000000000114e+01 3.914777959985340266e-06
9.023999999999999488e+01 3.983544404042110020e-06
9.120000000000000284e+01 4.249943037144400387e-06
9.215999999999999659e+01 4.247691519770180217e-06
9.312000000000000455e+01 4.356166174452030370e-06
9.407999999999999829e+01 4.121642627125400052e-06
9.504000000000000625e+01 4.125803948379490117e-06
9.600000000000000000e+01 3.968801074648530241e-06
9.695999999999999375e+01 3.948715776646350131e-06
9.792000000000000171e+01 4.008671164426100191e-06
9.887999999999999545e+01 4.096358528305069698e-06
9.984000000000000341e+01 4.128380095295950394e-06
1.007999999999999972e+02 4.121842509806470245e-06
1.017600000000000051e+02 4.202473340776749815e-06
1.027199999999999989e+02 4.116896938452250408e-06
1.036800000000000068e+02 4.094112199478030033e-06
1.046400000000000006e+02 4.164472533955099843e-06
1.055999999999999943e+02 4.185199656390089792e-06
1.065600000000000023e+02 4.066511510416269664e-06
1.075199999999999960e+02 4.038490817740309760e-06
1.084800000000000040e+02 4.049980220198630083e-06
1.094399999999999977e+02 4.098458539463820281e-06
1.104000000000000057e+02 4.150963461885100364e-06
1.113599999999999994e+02 4.247737230318119908e-06
1.123199999999999932e+02 4.302729366333510242e-06
1.132800000000000011e+02 3.920092048526209812e-06
1.142399999999999949e+02 4.223057521875949618e-06
1.152000000000000028e+02 4.185052189411230324e-06
1.161599999999999966e+02 4.257603061442139864e-06
1.171200000000000045e+02 3.926181066678350066e-06
1.180799999999999983e+02 4.144655538650759920e-06
1.190400000000000063e+02 4.039098351940920254e-06
1.200000000000000000e+02 4.216345003135319930e-06
1.209599999999999937e+02 4.117663645883370370e-06
1.219200000000000017e+02 4.127977512933490305e-06
1.228799999999999955e+02 3.908278033519619733e-06
1.238400000000000034e+02 4.092999526707159648e-06
1.247999999999999972e+02 4.053858619634849690e-06
1.257600000000000051e+02 4.218207224170540409e-06
1.267199999999999989e+02 4.259944696673950237e-06
1.276800000000000068e+02 4.224311484826329863e-06
1.286399999999999864e+02 4.198295793188880286e-06
1.295999999999999943e+02 4.235865148230789969e-06
1.305600000000000023e+02 4.090978255344329784e-06
1.315200000000000102e+02 4.240221778786350327e-06
1.324799999999999898e+02 4.183601428798550210e-06
1.334399999999999977e+02 4.222112213775210410e-06
1.344000000000000057e+02 4.265856163364599835e-06
1.353600000000000136e+02 4.123152054020340336e-06
1.363199999999999932e+02 4.109960103753790125e-06
1.372800000000000011e+02 4.093333094655829904e-06
1.382400000000000091e+02 3.944475195311830105e-06
