t ham
0.000000000000000000e+00 4.740056112696699614e-06
9.599999999999999645e-01 4.112604763534189626e-06
1.919999999999999929e+00 4.131952200580829793e-06
2.879999999999999893e+00 4.062292043095800367e-06
3.839999999999999858e+00 4.147646723149180373e-06
4.799999999999999822e+00 4.088616827577139733e-06
5.759999999999999787e+00 4.177393226454549864e-06
6.719999999999999751e+00 4.006820175180199835e-06
7.679999999999999716e+00 4.132814550598420414e-06
8.640000000000000568e+00 4.216330452624310407e-06
9.599999999999999645e+00 4.232117538360309588e-06
1.056000000000000050e+01 4.169704570910070333e-06
1.151999999999999957e+01 4.091516968198370304e-06
1.248000000000000043e+01 4.094263434407959912e-06
1.343999999999999950e+01 4.084154834791539649e-06
1.440000000000000036e+01 4.082971699990650409e-06
1.535999999999999943e+01 4.013354983704369992e-06
1.632000000000000028e+01 4.047394201285789790e-06
1.728000000000000114e+01 4.043339468406990354e-06
1.823999999999999844e+01 3.876656535089729658e-06
1.919999999999999929e+01 3.916495994619909723e-06
2.016000000000000014e+01 3.981830934875330115e-06
2.112000000000000099e+01 4.042829450861659897e-06
2.207999999999999829e+01 3.851515856867439893e-06
2.303999999999999915e+01 3.846667742687090292e-06
2.400000000000000000e+01 3.978643765780339852e-06
2.496000000000000085e+01 3.909731788589549892e-06
2.592000000000000171e+01 3.900428482634739961e-06
2.687999999999999901e+01 4.104041152058480212e-06
2.783999999999999986e+01 4.074534220470130132e-06
2.880000000000000071e+01 3.850991090772800388e-06
2.976000000000000156e+01 4.081420742419209807e-06
3.071999999999999886e+01 3.954778699257600235e-06
3.167999999999999972e+01 4.075592125409080187e-06
3.264000000000000057e+01 4.085615225202240090e-06
3.360000000000000142e+01 4.048608779857599953e-06
3.456000000000000227e+01 4.127763899142949635e-06
3.552000000000000313e+01 4.134585892783330400e-06
3.647999999999999687e+01 4.125420166008689729e-06
3.743999999999999773e+01 3.887815725607960061e-06
3.839999999999999858e+01 4.285471642383369792e-06
3.935999999999999943e+01 3.886930273948920022e-06
4.032000000000000028e+01 4.070751443291239778e-06
4.128000000000000114e+01 3.733921188675350104e-06
4.224000000000000199e+01 4.116011119575489700e-06
4.320000000000000284e+01 3.858410845303439852e-06
4.415999999999999659e+01 3.980292455711870292e-06
4.511999999999999744e+01 4.239470545666180410e-06
4.607999999999999829e+01 4.018989790887390252e-06
4.703999999999999915e+01 3.918578455691159762e-06
4.800000000000000000e+01 3.876362624132049690e-06
4.896000000000000085e+01 3.768993890763869881e-06
4.992000000000000171e+01 3.733175405923269865e-06
5.088000000000000256e+01 3.835584269069680073e-06
5.184000000000000341e+01 4.055930662848920185e-06
5.279999999999999716e+01 3.889644571872530332e-06
5.375999999999999801e+01 3.998616684493810139e-06
5.471999999999999886e+01 3.823387937689299604e-06
5.567999999999999972e+01 4.075804421129329918e-06
5.664000000000000057e+01 3.931853221556720058e-06
5.760000000000000142e+01 4.112920373325390395e-06
5.856000000000000227e+01 4.043001368171280191e-06
5.952000000000000313e+01 4.159178896451330094e-06
6.047999999999999687e+01 4.112125953923650042e-06
6.143999999999999773e+01 3.827836393617119613e-06
6.239999999999999858e+01 3.964530823552530192e-06
6.335999999999999943e+01 4.190013039089269738e-06
6.431999999999999318e+01 3.871653432131509679e-06
6.528000000000000114e+01 3.805550339374350015e-06
6.623999999999999488e+01 3.924866314433740044e-06
6.720000000000000284e+01 3.986064697747079663e-06
6.815999999999999659e+01 3.881548207751580043e-06
6.912000000000000455e+01 4.130118383773910226e-06
7.007999999999999829e+01 3.972670782640219889e-06
7.104000000000000625e+01 4.052463162756210416e-06
7.200000000000000000e+01 3.800561018139909858e-06
7.295999999999999375e+01 4.118259492823859862e-06
7.392000000000000171e+01 3.943008483998680377e-06
7.487999999999999545e+01 3.990008663260480101e-06
7.584000000000000341e+01 4.020175429668140203e-06
7.679999999999999716e+01 3.969794284171910104e-06
7.776000000000000512e+01 3.785669269960569917e-06
7.871999999999999886e+01 3.764204117601790124e-06
7.968000000000000682e+01 4.155037149591029947e-06
8.064000000000000057e+01 3.854986047180490266e-06
8.159999999999999432e+01 3.980579491065179913e-06
8.256000000000000227e+01 4.118877948179729924e-06
8.351999999999999602e+01 3.995462712948839911e-06
8.448000000000000398e+01 3.776066470623809977e-06
8.543999999999999773e+01 4.127673391240699686e-06
8.640000000000000568e+01 3.888438799887719898e-06
8.735999999999999943e+01 3.878355842978160119e-06
