t ham
0.000000000000000000e+00 4.788583081672359634e-06
9.599999999999999645e-01 4.294922894875640205e-06
1.919999999999999929e+00 4.191029853331310119e-06
2.879999999999999893e+00 4.276180060988870215e-06
3.839999999999999858e+00 4.461030145413319594e-06
4.799999999999999822e+00 4.268916027610259836e-06
5.759999999999999787e+00 4.244762587877929660e-06
6.719999999999999751e+00 4.140179555887279963e-06
7.679999999999999716e+00 4.338583701856740277e-06
8.640000000000000568e+00 4.159049898622440325e-06
9.599999999999999645e+00 4.324950630117040413e-06
1.056000000000000050e+01 4.395170627761199856e-06
1.151999999999999957e+01 4.283071708326100047e-06
1.248000000000000043e+01 4.332791996921700195e-06
1.343999999999999950e+01 4.051922150079150358e-06
1.440000000000000036e+01 4.128948627993959997e-06
1.535999999999999943e+01 4.319934313702709743e-06
1.632000000000000028e+01 4.256122270107210125e-06
1.728000000000000114e+01 4.072398445896660119e-06
1.823999999999999844e+01 4.595342279965839928e-06
1.919999999999999929e+01 4.042159856580959662e-06
2.016000000000000014e+01 4.005837510293780410e-06
2.112000000000000099e+01 4.070513944641590193e-06
2.207999999999999829e+01 4.342198282226410239e-06
2.303999999999999915e+01 4.111889651090950388e-06
2.400000000000000000e+01 4.401262569661800143e-06
2.496000000000000085e+01 4.202205038500339860e-06
2.592000000000000171e+01 3.952909720937239826e-06
2.687999999999999901e+01 4.192351733747070370e-06
2.783999999999999986e+01 4.379515769615839627e-06
2.880000000000000071e+01 4.005569515505930114e-06
2.976000000000000156e+01 4.184048195873260163e-06
3.071999999999999886e+01 4.034555254642680300e-06
3.167999999999999972e+01 4.268610201879229662e-06
3.264000000000000057e+01 4.027778295558639763e-06
3.360000000000000142e+01 4.243269055113080352e-06
3.456000000000000227e+01 4.127134552795479796e-06
3.552000000000000313e+01 4.424225513588700221e-06
3.647999999999999687e+01 3.978260938038929698e-06
3.743999999999999773e+01 4.210576580579610388e-06
3.839999999999999858e+01 4.351158842649030037e-06
3.935999999999999943e+01 4.392118447163449780e-06
4.032000000000000028e+01 4.283620218415359780e-06
4.128000000000000114e+01 4.336675477508309769e-06
4.224000000000000199e+01 4.380292445894130340e-06
4.320000000000000284e+01 4.124096671094740137e-06
4.415999999999999659e+01 4.148203045215229671e-06
4.511999999999999744e+01 4.144602788172359814e-06
4.607999999999999829e+01 4.084247053622749751e-06
4.703999999999999915e+01 4.240737511863259689e-06
4.800000000000000000e+01 4.239811572359890420e-06
4.896000000000000085e+01 4.362777357357800159e-06
4.992000000000000171e+01 4.363955322454449680e-06
5.088000000000000256e+01 4.193717634712100163e-06
5.184000000000000341e+01 4.232539115832270261e-06
5.279999999999999716e+01 4.173778465283529754e-06
5.375999999999999801e+01 4.267433659896129752e-06
5.471999999999999886e+01 4.293409240276240213e-06
5.567999999999999972e+01 4.324226425492689914e-06
5.664000000000000057e+01 4.411824786266069744e-06
5.760000000000000142e+01 4.011189599070129976e-06
5.856000000000000227e+01 4.050243796949660136e-06
5.952000000000000313e+01 4.142840833103779915e-06
6.047999999999999687e+01 4.290573160846419794e-06
6.143999999999999773e+01 4.234503406590750146e-06
6.239999999999999858e+01 3.982916048466100417e-06
6.335999999999999943e+01 4.022119948600769913e-06
6.431999999999999318e+01 4.218828550230559582e-06
6.528000000000000114e+01 4.394300739685560345e-06
6.623999999999999488e+01 4.349245570353940058e-06
