t ham
0.000000000000000000e+00 4.612893117848930129e-06
9.599999999999999645e-01 4.420409823852359740e-06
1.919999999999999929e+00 4.481190887849500409e-06
2.879999999999999893e+00 4.219877461612660108e-06
3.839999999999999858e+00 4.287345126680209829e-06
4.799999999999999822e+00 4.226857827344089921e-06
5.759999999999999787e+00 4.359115674263619745e-06
6.719999999999999751e+00 4.209818683719900105e-06
7.679999999999999716e+00 4.108502552336630027e-06
8.640000000000000568e+00 4.158394280163819848e-06
9.599999999999999645e+00 3.865609494880639635e-06
1.056000000000000050e+01 4.290708469137839759e-06
1.151999999999999957e+01 3.937247987916049912e-06
1.248000000000000043e+01 4.207254562784640145e-06
1.343999999999999950e+01 4.064658162339589781e-06
