t ham
0.000000000000000000e+00 5.824488905991610225e-06
1.199999999999999956e-01 inf
2.399999999999999911e-01 inf
3.599999999999999867e-01 inf
4.799999999999999822e-01 inf
5.999999999999999778e-01 inf
7.199999999999999734e-01 inf
8.399999999999999689e-01 inf
9.599999999999999645e-01 5.952553570594749592e-06
1.080000000000000071e+00 inf
1.199999999999999956e+00 inf
1.320000000000000062e+00 inf
1.439999999999999947e+00 inf
1.560000000000000053e+00 inf
1.679999999999999938e+00 inf
1.800000000000000044e+00 inf
1.919999999999999929e+00 5.902513769318420118e-06
2.040000000000000036e+00 inf
2.160000000000000142e+00 inf
2.279999999999999805e+00 inf
2.399999999999999911e+00 inf
2.520000000000000018e+00 inf
2.640000000000000124e+00 inf
2.759999999999999787e+00 inf
2.879999999999999893e+00 5.973560225305040174e-06
3.000000000000000000e+00 inf
3.120000000000000107e+00 inf
3.240000000000000213e+00 inf
3.359999999999999876e+00 inf
3.479999999999999982e+00 inf
3.600000000000000089e+00 inf
3.720000000000000195e+00 inf
3.839999999999999858e+00 6.033105464747570328e-06
3.959999999999999964e+00 inf
4.080000000000000071e+00 inf
4.200000000000000178e+00 inf
4.320000000000000284e+00 inf
4.440000000000000391e+00 inf
4.559999999999999609e+00 inf
4.679999999999999716e+00 inf
4.799999999999999822e+00 6.084527094570680153e-06
4.919999999999999929e+00 inf
5.040000000000000036e+00 inf
5.160000000000000142e+00 inf
5.280000000000000249e+00 inf
5.400000000000000355e+00 inf
5.519999999999999574e+00 inf
5.639999999999999680e+00 inf
5.759999999999999787e+00 6.011653696404780246e-06
5.879999999999999893e+00 inf
6.000000000000000000e+00 inf
6.120000000000000107e+00 inf
6.240000000000000213e+00 inf
6.360000000000000320e+00 inf
6.480000000000000426e+00 inf
6.599999999999999645e+00 inf
6.719999999999999751e+00 5.925208841753599947e-06
6.839999999999999858e+00 inf
6.959999999999999964e+00 inf
7.080000000000000071e+00 inf
7.200000000000000178e+00 inf
7.320000000000000284e+00 inf
7.440000000000000391e+00 inf
7.559999999999999609e+00 inf
7.679999999999999716e+00 5.831561003947310095e-06
