t ham
0.000000000000000000e+00 5.302505828710869879e-06
9.375000000000000000e-02 inf
1.875000000000000000e-01 inf
2.812500000000000000e-01 inf
3.750000000000000000e-01 inf
4.687500000000000000e-01 inf
5.625000000000000000e-01 inf
6.562500000000000000e-01 inf
7.500000000000000000e-01 5.611943337490329989e-06
8.437500000000000000e-01 inf
9.375000000000000000e-01 inf
1.031250000000000000e+00 inf
1.125000000000000000e+00 inf
1.218750000000000000e+00 inf
1.312500000000000000e+00 inf
1.406250000000000000e+00 inf
1.500000000000000000e+00 5.402939450754549796e-06
1.593750000000000000e+00 inf
1.687500000000000000e+00 inf
1.781250000000000000e+00 inf
1.875000000000000000e+00 inf
1.968750000000000000e+00 inf
2.062500000000000000e+00 inf
2.156250000000000000e+00 inf
2.250000000000000000e+00 5.347651740348829678e-06
2.343750000000000000e+00 inf
2.437500000000000000e+00 inf
2.531250000000000000e+00 inf
2.625000000000000000e+00 inf
2.718750000000000000e+00 inf
2.812500000000000000e+00 inf
2.906250000000000000e+00 inf
3.000000000000000000e+00 5.304877542795779702e-06
3.093750000000000000e+00 inf
3.187500000000000000e+00 inf
3.281250000000000000e+00 inf
3.375000000000000000e+00 inf
3.468750000000000000e+00 inf
3.562500000000000000e+00 inf
3.656250000000000000e+00 inf
3.750000000000000000e+00 5.471877315922440109e-06
3.843750000000000000e+00 inf
3.937500000000000000e+00 inf
4.031250000000000000e+00 inf
4.125000000000000000e+00 inf
4.218750000000000000e+00 inf
4.312500000000000000e+00 inf
4.406250000000000000e+00 inf
4.500000000000000000e+00 5.525513645521869835e-06
4.593750000000000000e+00 inf
4.687500000000000000e+00 inf
4.781250000000000000e+00 inf
4.875000000000000000e+00 inf
4.968750000000000000e+00 inf
5.062500000000000000e+00 inf
5.156250000000000000e+00 inf
5.250000000000000000e+00 5.615104843016970013e-06
5.343750000000000000e+00 inf
5.437500000000000000e+00 inf
5.531250000000000000e+00 inf
5.625000000000000000e+00 inf
5.718750000000000000e+00 inf
5.812500000000000000e+00 inf
5.906250000000000000e+00 inf
6.000000000000000000e+00 5.212248121663179586e-06
6.093750000000000000e+00 inf
6.187500000000000000e+00 inf
6.281250000000000000e+00 inf
6.375000000000000000e+00 inf
6.468750000000000000e+00 inf
6.562500000000000000e+00 inf
6.656250000000000000e+00 inf
6.750000000000000000e+00 5.456132129213339781e-06
6.843750000000000000e+00 inf
6.937500000000000000e+00 inf
7.031250000000000000e+00 inf
7.125000000000000000e+00 inf
7.218750000000000000e+00 inf
7.312500000000000000e+00 inf
7.406250000000000000e+00 inf
7.500000000000000000e+00 5.399246692226490133e-06
7.593750000000000000e+00 inf
7.687500000000000000e+00 inf
7.781250000000000000e+00 inf
7.875000000000000000e+00 inf
7.968750000000000000e+00 inf
8.062500000000000000e+00 inf
8.156250000000000000e+00 inf
8.250000000000000000e+00 5.369596836969470048e-06
8.343750000000000000e+00 inf
8.437500000000000000e+00 inf
8.531250000000000000e+00 inf
8.625000000000000000e+00 inf
8.718750000000000000e+00 inf
8.812500000000000000e+00 inf
8.906250000000000000e+00 inf
9.000000000000000000e+00 5.374122092189539737e-06
9.093750000000000000e+00 inf
9.187500000000000000e+00 inf
9.281250000000000000e+00 inf
9.375000000000000000e+00 inf
9.468750000000000000e+00 inf
9.562500000000000000e+00 inf
9.656250000000000000e+00 inf
9.750000000000000000e+00 5.432846642433289853e-06
9.843750000000000000e+00 inf
9.937500000000000000e+00 inf
1.003125000000000000e+01 inf
1.012500000000000000e+01 inf
1.021875000000000000e+01 inf
1.031250000000000000e+01 inf
1.040625000000000000e+01 inf
1.050000000000000000e+01 5.588635011340129682e-06
1.059375000000000000e+01 inf
1.068750000000000000e+01 inf
1.078125000000000000e+01 inf
1.087500000000000000e+01 inf
1.096875000000000000e+01 inf
1.106250000000000000e+01 inf
1.115625000000000000e+01 inf
1.125000000000000000e+01 5.424502676277810158e-06
1.134375000000000000e+01 inf
1.143750000000000000e+01 inf
1.153125000000000000e+01 inf
1.162500000000000000e+01 inf
1.171875000000000000e+01 inf
1.181250000000000000e+01 inf
1.190625000000000000e+01 inf
1.200000000000000000e+01 5.481800019780970242e-06
1.209375000000000000e+01 inf
1.218750000000000000e+01 inf
1.228125000000000000e+01 inf
1.237500000000000000e+01 inf
1.246875000000000000e+01 inf
1.256250000000000000e+01 inf
1.265625000000000000e+01 inf
1.275000000000000000e+01 5.538912755093069677e-06
1.284375000000000000e+01 inf
1.293750000000000000e+01 inf
1.303125000000000000e+01 inf
1.312500000000000000e+01 inf
1.321875000000000000e+01 inf
1.331250000000000000e+01 inf
1.340625000000000000e+01 inf
1.350000000000000000e+01 5.379493993551839884e-06
1.359375000000000000e+01 inf
1.368750000000000000e+01 inf
1.378125000000000000e+01 inf
1.387500000000000000e+01 inf
1.396875000000000000e+01 inf
1.406250000000000000e+01 inf
1.415625000000000000e+01 inf
1.425000000000000000e+01 5.423236203576250225e-06
1.434375000000000000e+01 inf
1.443750000000000000e+01 inf
1.453125000000000000e+01 inf
1.462500000000000000e+01 inf
1.471875000000000000e+01 inf
1.481250000000000000e+01 inf
1.490625000000000000e+01 inf
1.500000000000000000e+01 5.375816738786099724e-06
1.509375000000000000e+01 inf
1.518750000000000000e+01 inf
1.528125000000000000e+01 inf
1.537500000000000000e+01 inf
1.546875000000000000e+01 inf
1.556250000000000000e+01 inf
1.565625000000000000e+01 inf
1.575000000000000000e+01 5.351714922493549651e-06
1.584375000000000000e+01 inf
1.593750000000000000e+01 inf
1.603125000000000000e+01 inf
1.612500000000000000e+01 inf
1.621875000000000000e+01 inf
1.631250000000000000e+01 inf
1.640625000000000000e+01 inf
1.650000000000000000e+01 5.206274151782759626e-06
1.659375000000000000e+01 inf
1.668750000000000000e+01 inf
1.678125000000000000e+01 inf
1.687500000000000000e+01 inf
1.696875000000000000e+01 inf
1.706250000000000000e+01 inf
1.715625000000000000e+01 inf
1.725000000000000000e+01 5.449066364805050197e-06
1.734375000000000000e+01 inf
1.743750000000000000e+01 inf
1.753125000000000000e+01 inf
1.762500000000000000e+01 inf
1.771875000000000000e+01 inf
1.781250000000000000e+01 inf
1.790625000000000000e+01 inf
1.800000000000000000e+01 5.561524522972790069e-06
1.809375000000000000e+01 inf
1.818750000000000000e+01 inf
1.828125000000000000e+01 inf
1.837500000000000000e+01 inf
1.846875000000000000e+01 inf
1.856250000000000000e+01 inf
1.865625000000000000e+01 inf
1.875000000000000000e+01 5.372135208515950230e-06
1.884375000000000000e+01 inf
1.893750000000000000e+01 inf
1.903125000000000000e+01 inf
1.912500000000000000e+01 inf
1.921875000000000000e+01 inf
1.931250000000000000e+01 inf
1.940625000000000000e+01 inf
1.950000000000000000e+01 5.110965994079809938e-06
1.959375000000000000e+01 inf
1.968750000000000000e+01 inf
1.978125000000000000e+01 inf
1.987500000000000000e+01 inf
1.996875000000000000e+01 inf
2.006250000000000000e+01 inf
2.015625000000000000e+01 inf
2.025000000000000000e+01 5.301281448244049679e-06
2.034375000000000000e+01 inf
2.043750000000000000e+01 inf
2.053125000000000000e+01 inf
2.062500000000000000e+01 inf
2.071875000000000000e+01 inf
2.081250000000000000e+01 inf
2.090625000000000000e+01 inf
2.100000000000000000e+01 5.372515020717720321e-06
2.109375000000000000e+01 inf
2.118750000000000000e+01 inf
2.128125000000000000e+01 inf
2.137500000000000000e+01 inf
2.146875000000000000e+01 inf
2.156250000000000000e+01 inf
2.165625000000000000e+01 inf
2.175000000000000000e+01 5.341709180245080390e-06
2.184375000000000000e+01 inf
2.193750000000000000e+01 inf
2.203125000000000000e+01 inf
2.212500000000000000e+01 inf
2.221875000000000000e+01 inf
2.231250000000000000e+01 inf
2.240625000000000000e+01 inf
2.250000000000000000e+01 5.450764372435819955e-06
2.259375000000000000e+01 inf
2.268750000000000000e+01 inf
2.278125000000000000e+01 inf
2.287500000000000000e+01 inf
2.296875000000000000e+01 inf
2.306250000000000000e+01 inf
2.315625000000000000e+01 inf
2.325000000000000000e+01 5.536120733194620176e-06
2.334375000000000000e+01 inf
2.343750000000000000e+01 inf
2.353125000000000000e+01 inf
2.362500000000000000e+01 inf
2.371875000000000000e+01 inf
2.381250000000000000e+01 inf
2.390625000000000000e+01 inf
2.400000000000000000e+01 5.493973317553330119e-06
2.409375000000000000e+01 inf
2.418750000000000000e+01 inf
2.428125000000000000e+01 inf
2.437500000000000000e+01 inf
2.446875000000000000e+01 inf
2.456250000000000000e+01 inf
2.465625000000000000e+01 inf
2.475000000000000000e+01 5.452893178922160058e-06
2.484375000000000000e+01 inf
2.493750000000000000e+01 inf
2.503125000000000000e+01 inf
2.512500000000000000e+01 inf
2.521875000000000000e+01 inf
2.531250000000000000e+01 inf
2.540625000000000000e+01 inf
2.550000000000000000e+01 5.350481871089770082e-06
2.559375000000000000e+01 inf
2.568750000000000000e+01 inf
2.578125000000000000e+01 inf
2.587500000000000000e+01 inf
2.596875000000000000e+01 inf
2.606250000000000000e+01 inf
2.615625000000000000e+01 inf
2.625000000000000000e+01 5.406945550956359613e-06
2.634375000000000000e+01 inf
2.643750000000000000e+01 inf
2.653125000000000000e+01 inf
2.662500000000000000e+01 inf
2.671875000000000000e+01 inf
2.681250000000000000e+01 inf
2.690625000000000000e+01 inf
2.700000000000000000e+01 5.305981594908279823e-06
2.709375000000000000e+01 inf
2.718750000000000000e+01 inf
2.728125000000000000e+01 inf
2.737500000000000000e+01 inf
2.746875000000000000e+01 inf
2.756250000000000000e+01 inf
2.765625000000000000e+01 inf
2.775000000000000000e+01 5.647932798008400373e-06
2.784375000000000000e+01 inf
2.793750000000000000e+01 inf
2.803125000000000000e+01 inf
2.812500000000000000e+01 inf
2.821875000000000000e+01 inf
2.831250000000000000e+01 inf
2.840625000000000000e+01 inf
2.850000000000000000e+01 5.422126439026800143e-06
2.859375000000000000e+01 inf
2.868750000000000000e+01 inf
2.878125000000000000e+01 inf
2.887500000000000000e+01 inf
2.896875000000000000e+01 inf
2.906250000000000000e+01 inf
2.915625000000000000e+01 inf
2.925000000000000000e+01 5.355911603707429734e-06
2.934375000000000000e+01 inf
2.943750000000000000e+01 inf
2.953125000000000000e+01 inf
2.962500000000000000e+01 inf
2.971875000000000000e+01 inf
2.981250000000000000e+01 inf
2.990625000000000000e+01 inf
3.000000000000000000e+01 5.355422821733410350e-06
3.009375000000000000e+01 inf
3.018750000000000000e+01 inf
3.028125000000000000e+01 inf
3.037500000000000000e+01 inf
3.046875000000000000e+01 inf
3.056250000000000000e+01 inf
3.065625000000000000e+01 inf
3.075000000000000000e+01 5.384919486275549620e-06
3.084375000000000000e+01 inf
3.093750000000000000e+01 inf
3.103125000000000000e+01 inf
3.112500000000000000e+01 inf
3.121875000000000000e+01 inf
3.131250000000000000e+01 inf
3.140625000000000000e+01 inf
3.150000000000000000e+01 5.401662633506090082e-06
3.159375000000000000e+01 inf
3.168750000000000000e+01 inf
3.178125000000000000e+01 inf
3.187500000000000000e+01 inf
3.196875000000000000e+01 inf
3.206250000000000000e+01 inf
3.215625000000000000e+01 inf
3.225000000000000000e+01 5.625212106465820290e-06
3.234375000000000000e+01 inf
3.243750000000000000e+01 inf
3.253125000000000000e+01 inf
3.262500000000000000e+01 inf
3.271875000000000000e+01 inf
3.281250000000000000e+01 inf
3.290625000000000000e+01 inf
3.300000000000000000e+01 5.480074376769459619e-06
3.309375000000000000e+01 inf
3.318750000000000000e+01 inf
3.328125000000000000e+01 inf
3.337500000000000000e+01 inf
3.346875000000000000e+01 inf
3.356250000000000000e+01 inf
3.365625000000000000e+01 inf
3.375000000000000000e+01 5.313542742989749813e-06
3.384375000000000000e+01 inf
3.393750000000000000e+01 inf
3.403125000000000000e+01 inf
3.412500000000000000e+01 inf
3.421875000000000000e+01 inf
3.431250000000000000e+01 inf
3.440625000000000000e+01 inf
3.450000000000000000e+01 5.264005309209940089e-06
3.459375000000000000e+01 inf
3.468750000000000000e+01 inf
3.478125000000000000e+01 inf
3.487500000000000000e+01 inf
3.496875000000000000e+01 inf
3.506250000000000000e+01 inf
3.515625000000000000e+01 inf
3.525000000000000000e+01 5.428911455315549806e-06
3.534375000000000000e+01 inf
3.543750000000000000e+01 inf
3.553125000000000000e+01 inf
3.562500000000000000e+01 inf
3.571875000000000000e+01 inf
3.581250000000000000e+01 inf
3.590625000000000000e+01 inf
3.600000000000000000e+01 5.478000515665719794e-06
3.609375000000000000e+01 inf
3.618750000000000000e+01 inf
3.628125000000000000e+01 inf
3.637500000000000000e+01 inf
3.646875000000000000e+01 inf
3.656250000000000000e+01 inf
3.665625000000000000e+01 inf
3.675000000000000000e+01 5.496283032333469744e-06
3.684375000000000000e+01 inf
3.693750000000000000e+01 inf
3.703125000000000000e+01 inf
3.712500000000000000e+01 inf
3.721875000000000000e+01 inf
3.731250000000000000e+01 inf
3.740625000000000000e+01 inf
3.750000000000000000e+01 5.480242217995489657e-06
3.759375000000000000e+01 inf
3.768750000000000000e+01 inf
3.778125000000000000e+01 inf
3.787500000000000000e+01 inf
3.796875000000000000e+01 inf
3.806250000000000000e+01 inf
3.815625000000000000e+01 inf
3.825000000000000000e+01 5.447097340340440327e-06
3.834375000000000000e+01 inf
3.843750000000000000e+01 inf
3.853125000000000000e+01 inf
3.862500000000000000e+01 inf
3.871875000000000000e+01 inf
3.881250000000000000e+01 inf
3.890625000000000000e+01 inf
3.900000000000000000e+01 5.343802184547990362e-06
3.909375000000000000e+01 inf
3.918750000000000000e+01 inf
3.928125000000000000e+01 inf
3.937500000000000000e+01 inf
3.946875000000000000e+01 inf
3.956250000000000000e+01 inf
3.965625000000000000e+01 inf
3.975000000000000000e+01 5.446856505816299606e-06
3.984375000000000000e+01 inf
3.993750000000000000e+01 inf
4.003125000000000000e+01 inf
4.012500000000000000e+01 inf
4.021875000000000000e+01 inf
4.031250000000000000e+01 inf
4.040625000000000000e+01 inf
4.050000000000000000e+01 5.303523373728749984e-06
4.059375000000000000e+01 inf
4.068750000000000000e+01 inf
4.078125000000000000e+01 inf
4.087500000000000000e+01 inf
4.096875000000000000e+01 inf
4.106250000000000000e+01 inf
4.115625000000000000e+01 inf
4.125000000000000000e+01 5.617271196868199987e-06
4.134375000000000000e+01 inf
4.143750000000000000e+01 inf
4.153125000000000000e+01 inf
4.162500000000000000e+01 inf
4.171875000000000000e+01 inf
4.181250000000000000e+01 inf
4.190625000000000000e+01 inf
4.200000000000000000e+01 5.433977480183420354e-06
4.209375000000000000e+01 inf
4.218750000000000000e+01 inf
4.228125000000000000e+01 inf
4.237500000000000000e+01 inf
4.246875000000000000e+01 inf
4.256250000000000000e+01 inf
4.265625000000000000e+01 inf
4.275000000000000000e+01 5.448370477846749780e-06
4.284375000000000000e+01 inf
4.293750000000000000e+01 inf
4.303125000000000000e+01 inf
4.312500000000000000e+01 inf
4.321875000000000000e+01 inf
4.331250000000000000e+01 inf
4.340625000000000000e+01 inf
4.350000000000000000e+01 5.349598050999089668e-06
4.359375000000000000e+01 inf
4.368750000000000000e+01 inf
4.378125000000000000e+01 inf
4.387500000000000000e+01 inf
4.396875000000000000e+01 inf
4.406250000000000000e+01 inf
4.415625000000000000e+01 inf
4.425000000000000000e+01 5.568871185147489751e-06
4.434375000000000000e+01 inf
4.443750000000000000e+01 inf
4.453125000000000000e+01 inf
4.462500000000000000e+01 inf
4.471875000000000000e+01 inf
4.481250000000000000e+01 inf
4.490625000000000000e+01 inf
4.500000000000000000e+01 5.402430931582610237e-06
4.509375000000000000e+01 inf
4.518750000000000000e+01 inf
4.528125000000000000e+01 inf
4.537500000000000000e+01 inf
4.546875000000000000e+01 inf
4.556250000000000000e+01 inf
