t ham
0.000000000000000000e+00 3.825292374261869665e-06
9.599999999999999645e-01 3.176005470385789945e-06
1.919999999999999929e+00 3.266477507490699971e-06
2.879999999999999893e+00 3.299762518381589961e-06
3.839999999999999858e+00 3.286722326759410042e-06
4.799999999999999822e+00 3.705635521051780116e-06
5.759999999999999787e+00 3.261434775448400038e-06
6.719999999999999751e+00 3.502330094450400048e-06
7.679999999999999716e+00 3.429333494390329814e-06
8.640000000000000568e+00 3.236712579492100164e-06
9.599999999999999645e+00 3.266174628333900001e-06
1.056000000000000050e+01 3.411434348815479850e-06
1.151999999999999957e+01 3.358617625451040176e-06
1.248000000000000043e+01 3.368039912515630169e-06
1.343999999999999950e+01 3.239546359203449897e-06
1.440000000000000036e+01 3.257343850738759862e-06
1.535999999999999943e+01 3.314160738243990013e-06
1.632000000000000028e+01 3.355387308841009914e-06
1.728000000000000114e+01 3.432720935092410024e-06
1.823999999999999844e+01 3.352679438495140152e-06
1.919999999999999929e+01 3.265179441135050036e-06
2.016000000000000014e+01 3.166288600099759956e-06
2.112000000000000099e+01 3.277832497582570013e-06
2.207999999999999829e+01 3.337924233770600053e-06
2.303999999999999915e+01 3.319036918982129822e-06
2.400000000000000000e+01 3.235653938069049898e-06
2.496000000000000085e+01 3.301247287744950180e-06
2.592000000000000171e+01 3.233098082186600131e-06
2.687999999999999901e+01 3.286448795110190166e-06
2.783999999999999986e+01 3.345993824489470126e-06
2.880000000000000071e+01 3.373373008492279975e-06
2.976000000000000156e+01 3.271172064576890005e-06
3.071999999999999886e+01 3.406488640070469960e-06
3.167999999999999972e+01 3.190300570800319851e-06
3.264000000000000057e+01 3.296761417663929881e-06
3.360000000000000142e+01 3.268819875634310086e-06
3.456000000000000227e+01 3.379932868222739846e-06
3.552000000000000313e+01 3.321456336654789808e-06
3.647999999999999687e+01 3.438474675210490145e-06
3.743999999999999773e+01 3.460267681344189833e-06
3.839999999999999858e+01 3.288713851500009808e-06
3.935999999999999943e+01 3.495193639392010148e-06
4.032000000000000028e+01 3.142543814822190205e-06
4.128000000000000114e+01 3.077764519293320026e-06
4.224000000000000199e+01 3.490543564048299862e-06
4.320000000000000284e+01 3.300362808345300144e-06
4.415999999999999659e+01 3.358552217924659821e-06
4.511999999999999744e+01 3.442561225730499988e-06
4.607999999999999829e+01 3.253368457347839886e-06
4.703999999999999915e+01 3.282424040105849973e-06
4.800000000000000000e+01 3.379589394710440065e-06
4.896000000000000085e+01 3.313412710655900021e-06
4.992000000000000171e+01 3.417432292898609974e-06
5.088000000000000256e+01 3.225167893632149953e-06
