t ham
0.000000000000000000e+00 6.627508522093240398e-06
2.250000000000000056e-01 inf
4.500000000000000111e-01 inf
6.750000000000000444e-01 inf
9.000000000000000222e-01 inf
1.125000000000000000e+00 inf
1.350000000000000089e+00 inf
1.574999999999999956e+00 inf
1.800000000000000044e+00 6.826432347517269580e-06
2.024999999999999911e+00 inf
2.250000000000000000e+00 inf
2.475000000000000089e+00 inf
2.700000000000000178e+00 inf
2.924999999999999822e+00 inf
3.149999999999999911e+00 inf
3.375000000000000000e+00 inf
3.600000000000000089e+00 6.646161135603050339e-06
3.825000000000000178e+00 inf
4.049999999999999822e+00 inf
4.275000000000000355e+00 inf
4.500000000000000000e+00 inf
4.724999999999999645e+00 inf
4.950000000000000178e+00 inf
5.174999999999999822e+00 inf
5.400000000000000355e+00 6.884871410286079642e-06
5.625000000000000000e+00 inf
5.849999999999999645e+00 inf
6.075000000000000178e+00 inf
6.299999999999999822e+00 inf
6.525000000000000355e+00 inf
6.750000000000000000e+00 inf
6.974999999999999645e+00 inf
7.200000000000000178e+00 6.648441411210470037e-06
7.424999999999999822e+00 inf
7.650000000000000355e+00 inf
7.875000000000000000e+00 inf
8.099999999999999645e+00 inf
8.324999999999999289e+00 inf
8.550000000000000711e+00 inf
8.775000000000000355e+00 inf
9.000000000000000000e+00 6.832250314111430333e-06
9.224999999999999645e+00 inf
9.449999999999999289e+00 inf
9.675000000000000711e+00 inf
9.900000000000000355e+00 inf
1.012500000000000000e+01 inf
1.034999999999999964e+01 inf
1.057499999999999929e+01 inf
1.080000000000000071e+01 6.654160630523480210e-06
1.102500000000000036e+01 inf
1.125000000000000000e+01 inf
1.147499999999999964e+01 inf
1.169999999999999929e+01 inf
1.192500000000000071e+01 inf
1.215000000000000036e+01 inf
1.237500000000000000e+01 inf
1.259999999999999964e+01 6.802281026615760412e-06
1.282499999999999929e+01 inf
1.305000000000000071e+01 inf
1.327500000000000036e+01 inf
1.350000000000000000e+01 inf
1.372499999999999964e+01 inf
1.394999999999999929e+01 inf
1.417500000000000071e+01 inf
1.440000000000000036e+01 6.687496784945139806e-06
1.462500000000000000e+01 inf
1.484999999999999964e+01 inf
1.507499999999999929e+01 inf
1.530000000000000071e+01 inf
1.552500000000000036e+01 inf
1.575000000000000000e+01 inf
1.597499999999999964e+01 inf
1.619999999999999929e+01 6.752717292598600086e-06
1.642500000000000071e+01 inf
1.664999999999999858e+01 inf
1.687500000000000000e+01 inf
1.710000000000000142e+01 inf
1.732499999999999929e+01 inf
1.755000000000000071e+01 inf
1.777499999999999858e+01 inf
1.800000000000000000e+01 6.626313421674380385e-06
1.822500000000000142e+01 inf
1.844999999999999929e+01 inf
1.867500000000000071e+01 inf
1.889999999999999858e+01 inf
1.912500000000000000e+01 inf
1.935000000000000142e+01 inf
1.957499999999999929e+01 inf
1.980000000000000071e+01 6.788298593304860031e-06
2.002499999999999858e+01 inf
2.025000000000000000e+01 inf
2.047500000000000142e+01 inf
2.069999999999999929e+01 inf
2.092500000000000071e+01 inf
2.114999999999999858e+01 inf
2.137500000000000000e+01 inf
2.160000000000000142e+01 6.508855928061640133e-06
2.182499999999999929e+01 inf
2.205000000000000071e+01 inf
2.227499999999999858e+01 inf
2.250000000000000000e+01 inf
2.272500000000000142e+01 inf
2.294999999999999929e+01 inf
2.317500000000000071e+01 inf
2.339999999999999858e+01 6.818205362557770318e-06
2.362500000000000000e+01 inf
2.385000000000000142e+01 inf
2.407499999999999929e+01 inf
2.430000000000000071e+01 inf
2.452499999999999858e+01 inf
2.475000000000000000e+01 inf
2.497500000000000142e+01 inf
2.519999999999999929e+01 6.611770202322169898e-06
2.542500000000000071e+01 inf
2.564999999999999858e+01 inf
2.587500000000000000e+01 inf
2.610000000000000142e+01 inf
2.632499999999999929e+01 inf
2.655000000000000071e+01 inf
2.677499999999999858e+01 inf
2.700000000000000000e+01 6.686156592983680236e-06
2.722500000000000142e+01 inf
2.744999999999999929e+01 inf
2.767500000000000071e+01 inf
2.789999999999999858e+01 inf
2.812500000000000000e+01 inf
2.835000000000000142e+01 inf
2.857499999999999929e+01 inf
2.880000000000000071e+01 6.658212543315580252e-06
2.902499999999999858e+01 inf
2.925000000000000000e+01 inf
2.947500000000000142e+01 inf
2.969999999999999929e+01 inf
2.992500000000000071e+01 inf
3.014999999999999858e+01 inf
3.037500000000000000e+01 inf
3.060000000000000142e+01 6.719880537009560296e-06
3.082499999999999929e+01 inf
3.105000000000000071e+01 inf
3.127499999999999858e+01 inf
3.150000000000000000e+01 inf
3.172500000000000142e+01 inf
3.194999999999999929e+01 inf
3.217499999999999716e+01 inf
3.239999999999999858e+01 6.601278150061780413e-06
3.262500000000000000e+01 inf
3.285000000000000142e+01 inf
3.307500000000000284e+01 inf
3.329999999999999716e+01 inf
3.352499999999999858e+01 inf
3.375000000000000000e+01 inf
3.397500000000000142e+01 inf
3.420000000000000284e+01 6.873651448780080071e-06
3.442499999999999716e+01 inf
3.464999999999999858e+01 inf
3.487500000000000000e+01 inf
3.510000000000000142e+01 inf
3.532500000000000284e+01 inf
3.554999999999999716e+01 inf
3.577499999999999858e+01 inf
3.600000000000000000e+01 6.581048566966830045e-06
3.622500000000000142e+01 inf
3.645000000000000284e+01 inf
3.667499999999999716e+01 inf
3.689999999999999858e+01 inf
3.712500000000000000e+01 inf
3.735000000000000142e+01 inf
3.757500000000000284e+01 inf
3.779999999999999716e+01 6.838247490772319690e-06
3.802499999999999858e+01 inf
3.825000000000000000e+01 inf
3.847500000000000142e+01 inf
3.870000000000000284e+01 inf
3.892499999999999716e+01 inf
3.914999999999999858e+01 inf
3.937500000000000000e+01 inf
3.960000000000000142e+01 6.693689985352439773e-06
3.982500000000000284e+01 inf
4.004999999999999716e+01 inf
4.027499999999999858e+01 inf
4.050000000000000000e+01 inf
4.072500000000000142e+01 inf
4.095000000000000284e+01 inf
4.117499999999999716e+01 inf
4.139999999999999858e+01 6.764940371264869990e-06
4.162500000000000000e+01 inf
4.185000000000000142e+01 inf
4.207500000000000284e+01 inf
4.229999999999999716e+01 inf
4.252499999999999858e+01 inf
4.275000000000000000e+01 inf
4.297500000000000142e+01 inf
4.320000000000000284e+01 6.544654151363740101e-06
4.342499999999999716e+01 inf
4.364999999999999858e+01 inf
4.387500000000000000e+01 inf
4.410000000000000142e+01 inf
4.432500000000000284e+01 inf
4.454999999999999716e+01 inf
4.477499999999999858e+01 inf
4.500000000000000000e+01 6.831775853667000262e-06
4.522500000000000142e+01 inf
4.545000000000000284e+01 inf
4.567499999999999716e+01 inf
4.589999999999999858e+01 inf
4.612500000000000000e+01 inf
4.635000000000000142e+01 inf
4.657500000000000284e+01 inf
4.679999999999999716e+01 6.586046187001899963e-06
4.702499999999999858e+01 inf
4.725000000000000000e+01 inf
4.747500000000000142e+01 inf
4.770000000000000284e+01 inf
4.792499999999999716e+01 inf
4.814999999999999858e+01 inf
4.837500000000000000e+01 inf
4.860000000000000142e+01 6.836765633953399614e-06
4.882500000000000284e+01 inf
4.904999999999999716e+01 inf
4.927499999999999858e+01 inf
4.950000000000000000e+01 inf
4.972500000000000142e+01 inf
4.995000000000000284e+01 inf
5.017499999999999716e+01 inf
5.039999999999999858e+01 6.818404472106749801e-06
5.062500000000000000e+01 inf
5.085000000000000142e+01 inf
5.107500000000000284e+01 inf
5.129999999999999716e+01 inf
5.152499999999999858e+01 inf
5.175000000000000000e+01 inf
5.197500000000000142e+01 inf
5.220000000000000284e+01 6.974073855691009890e-06
5.242499999999999716e+01 inf
5.264999999999999858e+01 inf
5.287500000000000000e+01 inf
5.310000000000000142e+01 inf
5.332500000000000284e+01 inf
5.354999999999999716e+01 inf
5.377499999999999858e+01 inf
5.400000000000000000e+01 6.640457263432350044e-06
5.422500000000000142e+01 inf
5.445000000000000284e+01 inf
5.467499999999999716e+01 inf
5.489999999999999858e+01 inf
5.512500000000000000e+01 inf
5.535000000000000142e+01 inf
5.557500000000000284e+01 inf
5.579999999999999716e+01 6.826594908477779682e-06
5.602499999999999858e+01 inf
5.625000000000000000e+01 inf
5.647500000000000142e+01 inf
5.670000000000000284e+01 inf
5.692499999999999716e+01 inf
5.714999999999999858e+01 inf
5.737500000000000000e+01 inf
5.760000000000000142e+01 6.754547482083140050e-06
5.782500000000000284e+01 inf
5.804999999999999716e+01 inf
5.827499999999999858e+01 inf
5.850000000000000000e+01 inf
5.872500000000000142e+01 inf
5.895000000000000284e+01 inf
5.917499999999999716e+01 inf
5.939999999999999858e+01 6.749226930673319798e-06
5.962500000000000000e+01 inf
5.985000000000000142e+01 inf
6.007500000000000284e+01 inf
6.029999999999999716e+01 inf
6.052499999999999858e+01 inf
6.075000000000000000e+01 inf
6.097500000000000142e+01 inf
6.120000000000000284e+01 6.627901945002580339e-06
6.142499999999999716e+01 inf
6.164999999999999858e+01 inf
6.187500000000000000e+01 inf
6.210000000000000142e+01 inf
6.232500000000000284e+01 inf
6.254999999999999716e+01 inf
6.277499999999999858e+01 inf
6.300000000000000000e+01 6.802729393214630000e-06
6.322500000000000142e+01 inf
6.345000000000000284e+01 inf
6.367499999999999716e+01 inf
6.389999999999999858e+01 inf
6.412500000000000000e+01 inf
6.434999999999999432e+01 inf
6.457500000000000284e+01 inf
6.479999999999999716e+01 6.661967585587820072e-06
6.502500000000000568e+01 inf
6.525000000000000000e+01 inf
6.547499999999999432e+01 inf
6.570000000000000284e+01 inf
6.592499999999999716e+01 inf
6.615000000000000568e+01 inf
6.637500000000000000e+01 inf
6.659999999999999432e+01 6.948037587358769579e-06
6.682500000000000284e+01 inf
6.704999999999999716e+01 inf
6.727500000000000568e+01 inf
6.750000000000000000e+01 inf
6.772499999999999432e+01 inf
6.795000000000000284e+01 inf
6.817499999999999716e+01 inf
6.840000000000000568e+01 6.597946590442040014e-06
6.862500000000000000e+01 inf
6.884999999999999432e+01 inf
6.907500000000000284e+01 inf
6.929999999999999716e+01 inf
6.952500000000000568e+01 inf
6.975000000000000000e+01 inf
6.997499999999999432e+01 inf
7.020000000000000284e+01 6.910276384852860138e-06
7.042499999999999716e+01 inf
7.065000000000000568e+01 inf
7.087500000000000000e+01 inf
7.109999999999999432e+01 inf
7.132500000000000284e+01 inf
7.154999999999999716e+01 inf
7.177500000000000568e+01 inf
7.200000000000000000e+01 6.807372323577490029e-06
7.222499999999999432e+01 inf
7.245000000000000284e+01 inf
7.267499999999999716e+01 inf
7.290000000000000568e+01 inf
7.312500000000000000e+01 inf
7.334999999999999432e+01 inf
7.357500000000000284e+01 inf
7.379999999999999716e+01 6.744726959783750320e-06
7.402500000000000568e+01 inf
7.425000000000000000e+01 inf
7.447499999999999432e+01 inf
7.470000000000000284e+01 inf
7.492499999999999716e+01 inf
7.515000000000000568e+01 inf
7.537500000000000000e+01 inf
7.559999999999999432e+01 6.668666634123389914e-06
7.582500000000000284e+01 inf
7.604999999999999716e+01 inf
7.627500000000000568e+01 inf
7.650000000000000000e+01 inf
7.672499999999999432e+01 inf
7.695000000000000284e+01 inf
7.717499999999999716e+01 inf
7.740000000000000568e+01 6.679987413262390024e-06
7.762500000000000000e+01 inf
7.784999999999999432e+01 inf
7.807500000000000284e+01 inf
7.829999999999999716e+01 inf
7.852500000000000568e+01 inf
7.875000000000000000e+01 inf
7.897499999999999432e+01 inf
7.920000000000000284e+01 6.684233622482240086e-06
7.942499999999999716e+01 inf
7.965000000000000568e+01 inf
7.987500000000000000e+01 inf
8.009999999999999432e+01 inf
8.032500000000000284e+01 inf
8.054999999999999716e+01 inf
8.077500000000000568e+01 inf
8.100000000000000000e+01 7.022603492255809740e-06
8.122499999999999432e+01 inf
8.145000000000000284e+01 inf
8.167499999999999716e+01 inf
8.190000000000000568e+01 inf
8.212500000000000000e+01 inf
8.234999999999999432e+01 inf
8.257500000000000284e+01 inf
8.279999999999999716e+01 6.907763883524159784e-06
8.302500000000000568e+01 inf
8.325000000000000000e+01 inf
8.347499999999999432e+01 inf
8.370000000000000284e+01 inf
8.392499999999999716e+01 inf
8.415000000000000568e+01 inf
8.437500000000000000e+01 inf
8.459999999999999432e+01 6.925519740512699773e-06
8.482500000000000284e+01 inf
8.504999999999999716e+01 inf
8.527500000000000568e+01 inf
8.550000000000000000e+01 inf
8.572499999999999432e+01 inf
8.595000000000000284e+01 inf
8.617499999999999716e+01 inf
8.640000000000000568e+01 6.793898850859110088e-06
8.662500000000000000e+01 inf
8.684999999999999432e+01 inf
8.707500000000000284e+01 inf
8.729999999999999716e+01 inf
8.752500000000000568e+01 inf
8.775000000000000000e+01 inf
8.797499999999999432e+01 inf
8.820000000000000284e+01 6.919746016049449844e-06
8.842499999999999716e+01 inf
8.865000000000000568e+01 inf
8.887500000000000000e+01 inf
8.909999999999999432e+01 inf
8.932500000000000284e+01 inf
8.954999999999999716e+01 inf
8.977500000000000568e+01 inf
9.000000000000000000e+01 6.845576612180299874e-06
9.022499999999999432e+01 inf
9.045000000000000284e+01 inf
9.067499999999999716e+01 inf
9.090000000000000568e+01 inf
9.112500000000000000e+01 inf
9.134999999999999432e+01 inf
9.157500000000000284e+01 inf
9.179999999999999716e+01 7.066575578364420208e-06
9.202500000000000568e+01 inf
9.225000000000000000e+01 inf
9.247499999999999432e+01 inf
9.270000000000000284e+01 inf
9.292499999999999716e+01 inf
9.315000000000000568e+01 inf
9.337500000000000000e+01 inf
9.359999999999999432e+01 6.735949938075229922e-06
9.382500000000000284e+01 inf
9.404999999999999716e+01 inf
9.427500000000000568e+01 inf
9.450000000000000000e+01 inf
9.472499999999999432e+01 inf
9.495000000000000284e+01 inf
9.517499999999999716e+01 inf
9.540000000000000568e+01 6.968359816621109763e-06
9.562500000000000000e+01 inf
9.584999999999999432e+01 inf
9.607500000000000284e+01 inf
9.629999999999999716e+01 inf
9.652500000000000568e+01 inf
9.675000000000000000e+01 inf
9.697499999999999432e+01 inf
9.720000000000000284e+01 6.837168453339280071e-06
9.742499999999999716e+01 inf
9.765000000000000568e+01 inf
9.787500000000000000e+01 inf
9.809999999999999432e+01 inf
9.832500000000000284e+01 inf
9.854999999999999716e+01 inf
9.877500000000000568e+01 inf
9.900000000000000000e+01 6.958491953914679843e-06
9.922499999999999432e+01 inf
9.945000000000000284e+01 inf
9.967499999999999716e+01 inf
9.990000000000000568e+01 inf
1.001250000000000000e+02 inf
1.003499999999999943e+02 inf
1.005750000000000028e+02 inf
1.007999999999999972e+02 6.796691955016130273e-06
1.010250000000000057e+02 inf
1.012500000000000000e+02 inf
1.014749999999999943e+02 inf
1.017000000000000028e+02 inf
1.019249999999999972e+02 inf
1.021500000000000057e+02 inf
1.023750000000000000e+02 inf
1.025999999999999943e+02 6.913250654863519899e-06
1.028250000000000028e+02 inf
1.030499999999999972e+02 inf
1.032750000000000057e+02 inf
1.035000000000000000e+02 inf
1.037249999999999943e+02 inf
1.039500000000000028e+02 inf
1.041749999999999972e+02 inf
1.044000000000000057e+02 6.727550939730449646e-06
1.046250000000000000e+02 inf
1.048499999999999943e+02 inf
1.050750000000000028e+02 inf
1.052999999999999972e+02 inf
1.055250000000000057e+02 inf
1.057500000000000000e+02 inf
1.059749999999999943e+02 inf
1.062000000000000028e+02 6.917515732391070184e-06
1.064249999999999972e+02 inf
1.066500000000000057e+02 inf
1.068750000000000000e+02 inf
1.070999999999999943e+02 inf
1.073250000000000028e+02 inf
1.075499999999999972e+02 inf
1.077750000000000057e+02 inf
1.080000000000000000e+02 6.921046511083189801e-06
1.082249999999999943e+02 inf
1.084500000000000028e+02 inf
1.086749999999999972e+02 inf
1.089000000000000057e+02 inf
1.091250000000000000e+02 inf
1.093499999999999943e+02 inf
1.095750000000000028e+02 inf
1.097999999999999972e+02 7.001540889203100073e-06
1.100250000000000057e+02 inf
1.102500000000000000e+02 inf
1.104749999999999943e+02 inf
1.107000000000000028e+02 inf
1.109249999999999972e+02 inf
1.111500000000000057e+02 inf
1.113750000000000000e+02 inf
1.115999999999999943e+02 6.788393763170170209e-06
1.118250000000000028e+02 inf
1.120499999999999972e+02 inf
1.122750000000000057e+02 inf
1.125000000000000000e+02 inf
1.127249999999999943e+02 inf
1.129500000000000028e+02 inf
1.131749999999999972e+02 inf
1.134000000000000057e+02 6.890886465581919986e-06
1.136250000000000000e+02 inf
1.138499999999999943e+02 inf
1.140750000000000028e+02 inf
1.142999999999999972e+02 inf
1.145250000000000057e+02 inf
1.147500000000000000e+02 inf
1.149749999999999943e+02 inf
1.152000000000000028e+02 6.871415935257270027e-06
1.154249999999999972e+02 inf
1.156500000000000057e+02 inf
1.158750000000000000e+02 inf
1.160999999999999943e+02 inf
1.163250000000000028e+02 inf
1.165499999999999972e+02 inf
1.167750000000000057e+02 inf
1.170000000000000000e+02 7.084268013308319985e-06
1.172249999999999943e+02 inf
1.174500000000000028e+02 inf
1.176749999999999972e+02 inf
1.179000000000000057e+02 inf
1.181250000000000000e+02 inf
1.183499999999999943e+02 inf
1.185750000000000028e+02 inf
1.187999999999999972e+02 6.913964406269940137e-06
1.190250000000000057e+02 inf
1.192500000000000000e+02 inf
1.194749999999999943e+02 inf
1.197000000000000028e+02 inf
1.199249999999999972e+02 inf
1.201500000000000057e+02 inf
1.203750000000000000e+02 inf
1.205999999999999943e+02 6.935096949484989617e-06
1.208250000000000028e+02 inf
1.210499999999999972e+02 inf
1.212750000000000057e+02 inf
1.215000000000000000e+02 inf
1.217249999999999943e+02 inf
1.219500000000000028e+02 inf
1.221749999999999972e+02 inf
1.224000000000000057e+02 6.967988877240739704e-06
1.226250000000000000e+02 inf
1.228499999999999943e+02 inf
1.230750000000000028e+02 inf
1.232999999999999972e+02 inf
1.235250000000000057e+02 inf
1.237500000000000000e+02 inf
1.239749999999999943e+02 inf
1.242000000000000028e+02 7.010727244942870278e-06
1.244249999999999972e+02 inf
1.246500000000000057e+02 inf
1.248750000000000000e+02 inf
1.250999999999999943e+02 inf
1.253250000000000028e+02 inf
1.255499999999999972e+02 inf
1.257750000000000057e+02 inf
1.260000000000000000e+02 6.850289916880289716e-06
1.262249999999999943e+02 inf
1.264500000000000028e+02 inf
1.266749999999999972e+02 inf
1.269000000000000057e+02 inf
1.271250000000000000e+02 inf
1.273499999999999943e+02 inf
1.275750000000000028e+02 inf
1.277999999999999972e+02 6.897691632159949649e-06
1.280250000000000057e+02 inf
1.282500000000000000e+02 inf
1.284749999999999943e+02 inf
1.286999999999999886e+02 inf
1.289250000000000114e+02 inf
1.291500000000000057e+02 inf
1.293750000000000000e+02 inf
1.295999999999999943e+02 7.023947980622409741e-06
1.298249999999999886e+02 inf
1.300500000000000114e+02 inf
1.302750000000000057e+02 inf
1.305000000000000000e+02 inf
1.307249999999999943e+02 inf
1.309499999999999886e+02 inf
1.311750000000000114e+02 inf
1.314000000000000057e+02 7.130630002230959793e-06
1.316250000000000000e+02 inf
1.318499999999999943e+02 inf
1.320749999999999886e+02 inf
1.323000000000000114e+02 inf
1.325250000000000057e+02 inf
1.327500000000000000e+02 inf
1.329749999999999943e+02 inf
1.331999999999999886e+02 7.105803294329510315e-06
1.334250000000000114e+02 inf
1.336500000000000057e+02 inf
1.338750000000000000e+02 inf
1.340999999999999943e+02 inf
1.343249999999999886e+02 inf
1.345500000000000114e+02 inf
1.347750000000000057e+02 inf
1.350000000000000000e+02 7.190405206737870144e-06
1.352249999999999943e+02 inf
1.354499999999999886e+02 inf
1.356750000000000114e+02 inf
1.359000000000000057e+02 inf
1.361250000000000000e+02 inf
1.363499999999999943e+02 inf
1.365749999999999886e+02 inf
1.368000000000000114e+02 6.880597856403320331e-06
1.370250000000000057e+02 inf
1.372500000000000000e+02 inf
1.374749999999999943e+02 inf
1.376999999999999886e+02 inf
1.379250000000000114e+02 inf
1.381500000000000057e+02 inf
1.383750000000000000e+02 inf
1.385999999999999943e+02 7.052872109422560383e-06
1.388249999999999886e+02 inf
1.390500000000000114e+02 inf
1.392750000000000057e+02 inf
1.395000000000000000e+02 inf
1.397249999999999943e+02 inf
1.399499999999999886e+02 inf
1.401750000000000114e+02 inf
1.404000000000000057e+02 6.848314338526129708e-06
1.406250000000000000e+02 inf
1.408499999999999943e+02 inf
1.410749999999999886e+02 inf
1.413000000000000114e+02 inf
1.415250000000000057e+02 inf
1.417500000000000000e+02 inf
1.419749999999999943e+02 inf
1.421999999999999886e+02 7.150641554132279816e-06
1.424250000000000114e+02 inf
1.426500000000000057e+02 inf
1.428750000000000000e+02 inf
1.430999999999999943e+02 inf
1.433249999999999886e+02 inf
1.435500000000000114e+02 inf
1.437750000000000057e+02 inf
1.440000000000000000e+02 7.082833479098920084e-06
1.442249999999999943e+02 inf
1.444499999999999886e+02 inf
