t ham
0.000000000000000000e+00 5.970459182070370020e-06
1.199999999999999956e+00 5.633467660653000080e-06
2.399999999999999911e+00 5.765866018559860305e-06
3.600000000000000089e+00 5.446310641274269916e-06
4.799999999999999822e+00 5.297964171680439861e-06
6.000000000000000000e+00 6.000692173696820418e-06
7.200000000000000178e+00 5.680501280976649802e-06
8.400000000000000355e+00 5.496307513934410158e-06
9.599999999999999645e+00 5.776819390611110277e-06
1.080000000000000071e+01 5.773183726076490140e-06
1.200000000000000000e+01 5.711836176337910279e-06
1.319999999999999929e+01 5.651626413136979855e-06
1.440000000000000036e+01 5.694522810256250140e-06
1.559999999999999964e+01 5.534052275147700391e-06
1.680000000000000071e+01 5.481428317139329997e-06
1.800000000000000000e+01 5.421961112165860377e-06
1.919999999999999929e+01 5.840476697205760278e-06
2.039999999999999858e+01 5.624402685235460115e-06
2.160000000000000142e+01 5.460451813406220135e-06
2.280000000000000071e+01 5.521148446955110266e-06
2.400000000000000000e+01 5.449678292862160239e-06
2.519999999999999929e+01 5.344707186118999939e-06
2.639999999999999858e+01 5.535983565008430108e-06
2.760000000000000142e+01 5.277052569112039638e-06
2.880000000000000071e+01 5.541377089812259924e-06
3.000000000000000000e+01 5.300940420419770067e-06
3.119999999999999929e+01 5.427436506316330368e-06
3.239999999999999858e+01 5.116312551927179987e-06
3.360000000000000142e+01 5.559666501396999928e-06
3.479999999999999716e+01 5.696490697390129860e-06
3.600000000000000000e+01 5.449038588700059656e-06
3.720000000000000284e+01 5.440302037080369776e-06
3.839999999999999858e+01 5.389530022460560275e-06
3.960000000000000142e+01 5.542062296129509935e-06
4.079999999999999716e+01 5.500836059098999901e-06
4.200000000000000000e+01 5.407826480270130290e-06
4.320000000000000284e+01 6.063673590123040198e-06
4.439999999999999858e+01 5.674391792374199800e-06
4.560000000000000142e+01 5.503946550550370272e-06
4.679999999999999716e+01 5.446555330866629937e-06
4.800000000000000000e+01 5.588438477764620308e-06
4.920000000000000284e+01 5.705565827082639790e-06
5.039999999999999858e+01 5.431562579673290083e-06
5.160000000000000142e+01 5.622334425227039755e-06
5.279999999999999716e+01 5.315319749669930344e-06
5.400000000000000000e+01 5.469024137683050185e-06
5.520000000000000284e+01 5.604762811588449871e-06
5.639999999999999858e+01 5.417645642857219991e-06
5.760000000000000142e+01 5.685211423850160026e-06
5.879999999999999716e+01 5.498366909531979762e-06
6.000000000000000000e+01 5.442322319951930076e-06
6.120000000000000284e+01 5.469281709220929825e-06
6.239999999999999858e+01 5.575950074947310221e-06
6.360000000000000142e+01 5.406703356841130126e-06
6.479999999999999716e+01 5.660840606806810099e-06
6.600000000000000000e+01 5.750428211428340311e-06
6.720000000000000284e+01 5.614325879560759675e-06
6.840000000000000568e+01 5.601839669830580282e-06
6.959999999999999432e+01 5.846359555777900211e-06
7.079999999999999716e+01 5.820424057787699688e-06
7.200000000000000000e+01 5.583938125365270398e-06
7.320000000000000284e+01 5.577770419733790295e-06
7.440000000000000568e+01 5.580625968960209839e-06
7.559999999999999432e+01 5.568596129103739693e-06
7.679999999999999716e+01 5.680334663758780284e-06
7.800000000000000000e+01 5.838419702087659839e-06
7.920000000000000284e+01 5.336167842794699722e-06
8.040000000000000568e+01 5.804921788887790423e-06
8.159999999999999432e+01 5.780219665679539616e-06
8.279999999999999716e+01 5.514062703877849894e-06
8.400000000000000000e+01 5.819071209561270254e-06
8.520000000000000284e+01 5.860462048542680053e-06
8.640000000000000568e+01 5.297626615599630281e-06
8.759999999999999432e+01 5.364172873998149967e-06
8.879999999999999716e+01 5.325173135313540172e-06
9.000000000000000000e+01 5.721002718338619906e-06
9.120000000000000284e+01 6.031022089590889678e-06
9.240000000000000568e+01 5.404669652545809956e-06
9.359999999999999432e+01 5.577680084377139879e-06
9.479999999999999716e+01 5.555310724592799746e-06
9.600000000000000000e+01 5.529493312673050310e-06
9.720000000000000284e+01 5.375558010527559836e-06
9.840000000000000568e+01 5.610555761201639631e-06
9.959999999999999432e+01 5.357849377362939688e-06
1.007999999999999972e+02 4.818321096720849994e-06
1.020000000000000000e+02 5.564754242758339590e-06
1.032000000000000028e+02 5.526835178901180046e-06
1.044000000000000057e+02 5.249270854821409586e-06
1.055999999999999943e+02 5.602059225519130306e-06
1.067999999999999972e+02 5.450303172267999748e-06
1.080000000000000000e+02 5.284602492743249726e-06
1.092000000000000028e+02 5.508161979833119885e-06
1.104000000000000057e+02 5.413324254406539825e-06
1.115999999999999943e+02 5.537114879710749765e-06
1.127999999999999972e+02 5.396256225857050203e-06
1.140000000000000000e+02 5.327333540175410275e-06
1.152000000000000028e+02 5.448660993933369622e-06
1.164000000000000057e+02 5.384139844436719970e-06
1.175999999999999943e+02 5.236504606452210295e-06
1.187999999999999972e+02 5.816163359408889980e-06
1.200000000000000000e+02 5.354830451529610303e-06
1.212000000000000028e+02 4.463355531571689701e-06
1.224000000000000057e+02 5.691091621425129667e-06
1.235999999999999943e+02 5.662077037799599943e-06
1.247999999999999972e+02 5.637858723652739823e-06
1.260000000000000000e+02 5.380188667401299897e-06
1.272000000000000028e+02 5.663840952212740151e-06
1.284000000000000057e+02 5.322522660641860291e-06
1.295999999999999943e+02 5.609842187220519831e-06
1.308000000000000114e+02 5.475986230471899827e-06
1.320000000000000000e+02 5.717090762957630060e-06
1.331999999999999886e+02 5.709058461873650202e-06
1.344000000000000057e+02 5.363515258091879839e-06
1.355999999999999943e+02 5.652938118939219894e-06
1.368000000000000114e+02 5.450556697575779858e-06
1.380000000000000000e+02 5.290486648718049581e-06
1.391999999999999886e+02 5.810766227623289946e-06
1.404000000000000057e+02 5.426519639003589974e-06
1.415999999999999943e+02 5.738898340552589609e-06
1.428000000000000114e+02 5.644463897298059593e-06
1.440000000000000000e+02 5.555676032499239844e-06
1.451999999999999886e+02 5.629392023591920406e-06
1.464000000000000057e+02 5.548151505845059612e-06
1.475999999999999943e+02 5.632495769093849632e-06
1.488000000000000114e+02 5.726618281093690395e-06
1.500000000000000000e+02 5.465922122043519745e-06
1.511999999999999886e+02 5.543825176748700075e-06
1.524000000000000057e+02 5.720288664787170227e-06
1.535999999999999943e+02 5.452560708303909793e-06
1.548000000000000114e+02 5.508541038440999940e-06
1.560000000000000000e+02 5.455897295127099589e-06
1.571999999999999886e+02 5.383501523212429845e-06
1.584000000000000057e+02 5.524409238749719710e-06
1.595999999999999943e+02 5.864273338695889626e-06
1.608000000000000114e+02 5.375966096294359734e-06
1.620000000000000000e+02 5.657936730699799678e-06
1.631999999999999886e+02 5.668255520158140221e-06
1.644000000000000057e+02 5.637994782114440059e-06
1.655999999999999943e+02 5.773110311947529668e-06
1.668000000000000114e+02 5.739264578059109651e-06
1.680000000000000000e+02 5.385156494788579695e-06
1.691999999999999886e+02 5.870217527137790113e-06
1.704000000000000057e+02 5.539030262579179649e-06
1.715999999999999943e+02 5.690029478572509718e-06
1.728000000000000114e+02 5.762560147784460145e-06
1.740000000000000000e+02 5.502328321572830126e-06
1.751999999999999886e+02 5.644398436276909844e-06
1.764000000000000057e+02 5.339517462624739635e-06
1.775999999999999943e+02 5.613860565938700271e-06
1.788000000000000114e+02 5.651411846107839781e-06
1.800000000000000000e+02 5.588382886157319963e-06
1.811999999999999886e+02 5.301182562091229911e-06
1.824000000000000057e+02 5.501794513149360172e-06
1.835999999999999943e+02 5.664269830850539832e-06
1.848000000000000114e+02 5.520324780039270145e-06
1.860000000000000000e+02 5.645713791555479709e-06
1.871999999999999886e+02 5.645462583235380181e-06
1.884000000000000057e+02 5.471172151379579719e-06
1.895999999999999943e+02 5.490267149100309799e-06
1.908000000000000114e+02 5.992085603348570319e-06
1.920000000000000000e+02 5.534602517107459728e-06
1.931999999999999886e+02 5.415120003735570053e-06
1.944000000000000057e+02 5.488377269383900175e-06
1.955999999999999943e+02 5.625054621481390180e-06
