t ham
0.000000000000000000e+00 1.931437628241129912e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 1.541697987168410053e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 1.393742602927309913e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 1.408427978415149896e-06
2.240000000000000213e+00 inf
2.560000000000000053e+00 1.547492711640930068e-06
2.879999999999999893e+00 inf
3.200000000000000178e+00 1.649926898541269964e-06
3.520000000000000018e+00 inf
3.839999999999999858e+00 1.754498621215680073e-06
4.160000000000000142e+00 inf
4.480000000000000426e+00 1.833985515821850032e-06
4.799999999999999822e+00 inf
5.120000000000000107e+00 1.867826555999909915e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 1.870363578738350080e-06
6.080000000000000071e+00 inf
6.400000000000000355e+00 1.893256878027149952e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 1.876184396424830084e-06
7.360000000000000320e+00 inf
7.679999999999999716e+00 1.887638141797259928e-06
8.000000000000000000e+00 inf
8.320000000000000284e+00 1.875713897946999994e-06
8.640000000000000568e+00 inf
8.960000000000000853e+00 1.872900263214769965e-06
9.279999999999999361e+00 inf
9.599999999999999645e+00 1.878225018325020079e-06
9.919999999999999929e+00 inf
1.024000000000000021e+01 1.860097849350100018e-06
1.056000000000000050e+01 inf
1.088000000000000078e+01 1.883508606423010088e-06
1.119999999999999929e+01 inf
1.151999999999999957e+01 1.907811966820800092e-06
1.183999999999999986e+01 inf
1.216000000000000014e+01 1.903468464655210078e-06
1.248000000000000043e+01 inf
1.280000000000000071e+01 1.904420571000200015e-06
1.311999999999999922e+01 inf
1.343999999999999950e+01 1.911236332987850152e-06
1.375999999999999979e+01 inf
1.408000000000000007e+01 1.910780163674929958e-06
1.440000000000000036e+01 inf
1.472000000000000064e+01 1.914361191799930057e-06
1.503999999999999915e+01 inf
1.535999999999999943e+01 1.933270255210629961e-06
1.567999999999999972e+01 inf
1.600000000000000000e+01 1.939719538890289834e-06
1.632000000000000028e+01 inf
1.664000000000000057e+01 1.931618057177460206e-06
1.696000000000000085e+01 inf
1.728000000000000114e+01 1.962182418177070115e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 1.955848451819930090e-06
1.823999999999999844e+01 inf
1.855999999999999872e+01 1.939290007799350149e-06
1.887999999999999901e+01 inf
1.919999999999999929e+01 1.948624565527109798e-06
1.951999999999999957e+01 inf
1.983999999999999986e+01 1.930580495738100132e-06
2.016000000000000014e+01 inf
2.048000000000000043e+01 1.970835316993709871e-06
2.080000000000000071e+01 inf
2.112000000000000099e+01 1.962562153351499926e-06
2.144000000000000128e+01 inf
2.176000000000000156e+01 1.973425764264059870e-06
2.207999999999999829e+01 inf
2.239999999999999858e+01 1.970994896141579831e-06
2.271999999999999886e+01 inf
2.303999999999999915e+01 1.970578834310299839e-06
2.335999999999999943e+01 inf
2.367999999999999972e+01 1.982189479089230163e-06
2.400000000000000000e+01 inf
2.432000000000000028e+01 1.981706371730989797e-06
2.464000000000000057e+01 inf
2.496000000000000085e+01 1.974900839601449835e-06
2.528000000000000114e+01 inf
2.560000000000000142e+01 2.001306283226009813e-06
2.592000000000000171e+01 inf
2.623999999999999844e+01 1.989947180870700149e-06
2.655999999999999872e+01 inf
2.687999999999999901e+01 1.989997680450489874e-06
2.719999999999999929e+01 inf
2.751999999999999957e+01 1.999091026235010038e-06
2.783999999999999986e+01 inf
2.816000000000000014e+01 1.994364253627939983e-06
2.848000000000000043e+01 inf
2.880000000000000071e+01 2.009471288973949843e-06
2.912000000000000099e+01 inf
2.944000000000000128e+01 2.002802091171039857e-06
2.976000000000000156e+01 inf
3.007999999999999829e+01 2.014328338330959931e-06
3.039999999999999858e+01 inf
3.071999999999999886e+01 2.012993997191759969e-06
3.103999999999999915e+01 inf
3.135999999999999943e+01 1.995995561871750133e-06
3.167999999999999972e+01 inf
3.200000000000000000e+01 2.007256192765509989e-06
3.232000000000000028e+01 inf
3.264000000000000057e+01 2.006998195649550103e-06
3.296000000000000085e+01 inf
3.328000000000000114e+01 2.011121959266079979e-06
3.360000000000000142e+01 inf
3.392000000000000171e+01 2.010079989030479816e-06
3.424000000000000199e+01 inf
3.456000000000000227e+01 2.019876759724939926e-06
3.488000000000000256e+01 inf
3.520000000000000284e+01 2.022888458981319852e-06
3.552000000000000313e+01 inf
3.584000000000000341e+01 1.997357038761900142e-06
3.615999999999999659e+01 inf
3.647999999999999687e+01 2.025515782244689813e-06
3.679999999999999716e+01 inf
3.711999999999999744e+01 2.008635659849059892e-06
