t ham
0.000000000000000000e+00 1.928624682491429892e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 1.556993506330249921e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 1.398585686790379996e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 1.442974041716029936e-06
2.240000000000000213e+00 inf
2.560000000000000053e+00 1.563499650227870013e-06
2.879999999999999893e+00 inf
3.200000000000000178e+00 1.666862670074830049e-06
3.520000000000000018e+00 inf
3.839999999999999858e+00 1.757577312079849991e-06
4.160000000000000142e+00 inf
4.480000000000000426e+00 1.841816141280160053e-06
4.799999999999999822e+00 inf
5.120000000000000107e+00 1.867963487509299896e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 1.902220913855710084e-06
6.080000000000000071e+00 inf
6.400000000000000355e+00 1.899470545818629993e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 1.905240704698940081e-06
7.360000000000000320e+00 inf
7.679999999999999716e+00 1.876854960086309978e-06
8.000000000000000000e+00 inf
8.320000000000000284e+00 1.875625027517459978e-06
8.640000000000000568e+00 inf
8.960000000000000853e+00 1.861144528740960086e-06
9.279999999999999361e+00 inf
9.599999999999999645e+00 1.863431776909069946e-06
9.919999999999999929e+00 inf
1.024000000000000021e+01 1.867712429667010080e-06
1.056000000000000050e+01 inf
1.088000000000000078e+01 1.859337889160179903e-06
1.119999999999999929e+01 inf
1.151999999999999957e+01 1.854478191318530097e-06
1.183999999999999986e+01 inf
1.216000000000000014e+01 1.858509021257249921e-06
1.248000000000000043e+01 inf
1.280000000000000071e+01 1.857686174613339997e-06
1.311999999999999922e+01 inf
1.343999999999999950e+01 1.872900852332140057e-06
1.375999999999999979e+01 inf
1.408000000000000007e+01 1.862975717389679941e-06
1.440000000000000036e+01 inf
1.472000000000000064e+01 1.870280925555350015e-06
1.503999999999999915e+01 inf
1.535999999999999943e+01 1.860144817450930096e-06
1.567999999999999972e+01 inf
1.600000000000000000e+01 1.858926191158650049e-06
1.632000000000000028e+01 inf
1.664000000000000057e+01 1.859590883668249932e-06
1.696000000000000085e+01 inf
1.728000000000000114e+01 1.870969484797920083e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 1.872514410428220087e-06
1.823999999999999844e+01 inf
1.855999999999999872e+01 1.872283680410779999e-06
1.887999999999999901e+01 inf
1.919999999999999929e+01 1.881898767054280000e-06
1.951999999999999957e+01 inf
1.983999999999999986e+01 1.880582997675030084e-06
2.016000000000000014e+01 inf
2.048000000000000043e+01 1.879385795995519930e-06
