t ham
0.000000000000000000e+00 3.004547018085240185e-06
5.120000000000000107e-01 inf
1.024000000000000021e+00 2.924508106797240207e-06
1.536000000000000032e+00 inf
2.048000000000000043e+00 3.137997654901260024e-06
2.560000000000000053e+00 inf
3.072000000000000064e+00 3.477076671178559944e-06
3.584000000000000075e+00 inf
4.096000000000000085e+00 3.748597220528380069e-06
4.607999999999999652e+00 inf
5.120000000000000107e+00 3.838514315359659627e-06
5.631999999999999673e+00 inf
6.144000000000000128e+00 3.870673692986700126e-06
6.655999999999999694e+00 inf
7.168000000000000149e+00 3.874707838770020068e-06
7.679999999999999716e+00 inf
8.192000000000000171e+00 3.857972189788099752e-06
8.704000000000000625e+00 inf
9.215999999999999304e+00 3.864089700229209972e-06
9.727999999999999758e+00 inf
1.024000000000000021e+01 3.840740496527480310e-06
1.075200000000000067e+01 inf
1.126399999999999935e+01 3.849046631570280364e-06
1.177599999999999980e+01 inf
1.228800000000000026e+01 3.856964784145520080e-06
1.280000000000000071e+01 inf
1.331199999999999939e+01 3.847446777264329720e-06
1.382399999999999984e+01 inf
1.433600000000000030e+01 3.831317878647260131e-06
1.484800000000000075e+01 inf
1.535999999999999943e+01 3.846131897280190336e-06
1.587199999999999989e+01 inf
1.638400000000000034e+01 3.882968959706039737e-06
1.689600000000000080e+01 inf
1.740800000000000125e+01 3.858215189374059603e-06
1.792000000000000171e+01 inf
1.843199999999999861e+01 3.901120696896329754e-06
1.894399999999999906e+01 inf
1.945599999999999952e+01 3.857495667448179926e-06
1.996799999999999997e+01 inf
2.048000000000000043e+01 3.883942339212119652e-06
2.099200000000000088e+01 inf
2.150400000000000134e+01 3.941251485729049673e-06
2.201599999999999824e+01 inf
2.252799999999999869e+01 3.903953049343979720e-06
2.303999999999999915e+01 inf
2.355199999999999960e+01 3.900391705645270379e-06
2.406400000000000006e+01 inf
2.457600000000000051e+01 3.893741775886349792e-06
2.508800000000000097e+01 inf
2.560000000000000142e+01 3.955937388782970357e-06
2.611199999999999832e+01 inf
2.662399999999999878e+01 3.968820819598510349e-06
2.713599999999999923e+01 inf
2.764799999999999969e+01 3.947714297475559873e-06
2.816000000000000014e+01 inf
2.867200000000000060e+01 3.946768607101479840e-06
2.918400000000000105e+01 inf
2.969600000000000151e+01 3.992021885454289753e-06
3.020799999999999841e+01 inf
3.071999999999999886e+01 3.972577481716010326e-06
3.123199999999999932e+01 inf
3.174399999999999977e+01 3.955926513478369941e-06
3.225600000000000023e+01 inf
3.276800000000000068e+01 3.984646558821929905e-06
3.328000000000000114e+01 inf
3.379200000000000159e+01 3.995506890275869647e-06
3.430400000000000205e+01 inf
3.481600000000000250e+01 4.014023207498860087e-06
3.532800000000000296e+01 inf
3.584000000000000341e+01 3.994865506582899792e-06
3.635199999999999676e+01 inf
3.686399999999999721e+01 4.004503831482970112e-06
3.737599999999999767e+01 inf
3.788799999999999812e+01 3.997130551713499678e-06
