t ham
0.000000000000000000e+00 1.819493988052760104e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 1.346647358056069984e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 1.223518248532210002e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 1.330997656237050020e-06
2.240000000000000213e+00 inf
2.560000000000000053e+00 1.540923706639849913e-06
2.879999999999999893e+00 inf
3.200000000000000178e+00 1.791973777059680050e-06
3.520000000000000018e+00 inf
3.839999999999999858e+00 1.971910772429669984e-06
4.160000000000000142e+00 inf
4.480000000000000426e+00 2.097395274261909823e-06
4.799999999999999822e+00 inf
5.120000000000000107e+00 2.211075942291019842e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 2.306752368308400137e-06
6.080000000000000071e+00 inf
6.400000000000000355e+00 2.309551206929889828e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 2.382886622032520189e-06
7.360000000000000320e+00 inf
7.679999999999999716e+00 2.366071523217489926e-06
8.000000000000000000e+00 inf
8.320000000000000284e+00 2.377578271953219923e-06
8.640000000000000568e+00 inf
8.960000000000000853e+00 2.397554841652749963e-06
9.279999999999999361e+00 inf
9.599999999999999645e+00 2.396749350663659991e-06
9.919999999999999929e+00 inf
1.024000000000000021e+01 2.427457275481160210e-06
1.056000000000000050e+01 inf
1.088000000000000078e+01 2.431197238466519964e-06
1.119999999999999929e+01 inf
1.151999999999999957e+01 2.470860827505520083e-06
1.183999999999999986e+01 inf
1.216000000000000014e+01 2.472608184287080099e-06
1.248000000000000043e+01 inf
1.280000000000000071e+01 2.488526977835550042e-06
1.311999999999999922e+01 inf
1.343999999999999950e+01 2.519465093663550029e-06
1.375999999999999979e+01 inf
1.408000000000000007e+01 2.508994385891720176e-06
1.440000000000000036e+01 inf
1.472000000000000064e+01 2.533947826877640116e-06
1.503999999999999915e+01 inf
1.535999999999999943e+01 2.554289177325019952e-06
1.567999999999999972e+01 inf
1.600000000000000000e+01 2.556956327242840016e-06
1.632000000000000028e+01 inf
1.664000000000000057e+01 2.582700194203820189e-06
1.696000000000000085e+01 inf
1.728000000000000114e+01 2.585311968106989842e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 2.585668212925449951e-06
1.823999999999999844e+01 inf
1.855999999999999872e+01 2.609152840979170053e-06
1.887999999999999901e+01 inf
1.919999999999999929e+01 2.628300423191870164e-06
1.951999999999999957e+01 inf
1.983999999999999986e+01 2.604814485329009997e-06
2.016000000000000014e+01 inf
2.048000000000000043e+01 2.625292477506910054e-06
2.080000000000000071e+01 inf
2.112000000000000099e+01 2.631162804144120185e-06
2.144000000000000128e+01 inf
2.176000000000000156e+01 2.636880035908080100e-06
2.207999999999999829e+01 inf
2.239999999999999858e+01 2.639281981806239886e-06
2.271999999999999886e+01 inf
2.303999999999999915e+01 2.648747249764459859e-06
2.335999999999999943e+01 inf
2.367999999999999972e+01 2.665764362382629833e-06
2.400000000000000000e+01 inf
2.432000000000000028e+01 2.642068156444880102e-06
2.464000000000000057e+01 inf
2.496000000000000085e+01 2.678767372349999831e-06
2.528000000000000114e+01 inf
2.560000000000000142e+01 2.669558252650860112e-06
2.592000000000000171e+01 inf
2.623999999999999844e+01 2.664513695319980127e-06
2.655999999999999872e+01 inf
2.687999999999999901e+01 2.680218276601769893e-06
2.719999999999999929e+01 inf
2.751999999999999957e+01 2.700078121660520033e-06
2.783999999999999986e+01 inf
2.816000000000000014e+01 2.689269710553429993e-06
2.848000000000000043e+01 inf
2.880000000000000071e+01 2.684259623520229887e-06
2.912000000000000099e+01 inf
2.944000000000000128e+01 2.704680023824799789e-06
2.976000000000000156e+01 inf
3.007999999999999829e+01 2.711861187293140054e-06
3.039999999999999858e+01 inf
3.071999999999999886e+01 2.711321184151189838e-06
3.103999999999999915e+01 inf
3.135999999999999943e+01 2.703499661363319929e-06
3.167999999999999972e+01 inf
3.200000000000000000e+01 2.711311760004879838e-06
3.232000000000000028e+01 inf
3.264000000000000057e+01 2.728742731675839881e-06
3.296000000000000085e+01 inf
3.328000000000000114e+01 2.731741014323129888e-06
3.360000000000000142e+01 inf
3.392000000000000171e+01 2.742557573160770188e-06
3.424000000000000199e+01 inf
3.456000000000000227e+01 2.753288375086680099e-06
3.488000000000000256e+01 inf
3.520000000000000284e+01 2.747546260484800202e-06
3.552000000000000313e+01 inf
3.584000000000000341e+01 2.735142588460549797e-06
3.615999999999999659e+01 inf
3.647999999999999687e+01 2.722550506928339871e-06
3.679999999999999716e+01 inf
3.711999999999999744e+01 2.746114261621140076e-06
3.743999999999999773e+01 inf
3.775999999999999801e+01 2.740241740566379847e-06
3.807999999999999829e+01 inf
3.839999999999999858e+01 2.756954895570079851e-06
3.871999999999999886e+01 inf
3.903999999999999915e+01 2.730617561092589829e-06
3.935999999999999943e+01 inf
3.967999999999999972e+01 2.739364515178059990e-06
4.000000000000000000e+01 inf
4.032000000000000028e+01 2.750198123099210021e-06
4.064000000000000057e+01 inf
4.096000000000000085e+01 2.760712837644730110e-06
4.128000000000000114e+01 inf
4.160000000000000142e+01 2.765374262894530156e-06
4.192000000000000171e+01 inf
4.224000000000000199e+01 2.763066183479929824e-06
4.256000000000000227e+01 inf
4.288000000000000256e+01 2.749127731346120084e-06
4.320000000000000284e+01 inf
4.352000000000000313e+01 2.760496254709330212e-06
4.384000000000000341e+01 inf
4.415999999999999659e+01 2.748934571804269851e-06
4.447999999999999687e+01 inf
4.479999999999999716e+01 2.774911179551920209e-06
4.511999999999999744e+01 inf
4.543999999999999773e+01 2.757708028088720119e-06
4.575999999999999801e+01 inf
4.607999999999999829e+01 2.768774445893399968e-06
4.639999999999999858e+01 inf
4.671999999999999886e+01 2.745824548839580050e-06
4.703999999999999915e+01 inf
4.735999999999999943e+01 2.767765392784849957e-06
4.767999999999999972e+01 inf
4.800000000000000000e+01 2.777058680035699993e-06
4.832000000000000028e+01 inf
4.864000000000000057e+01 2.773903370784449891e-06
4.896000000000000085e+01 inf
4.928000000000000114e+01 2.760293301869100074e-06
4.960000000000000142e+01 inf
4.992000000000000171e+01 2.765565622987149834e-06
5.024000000000000199e+01 inf
5.056000000000000227e+01 2.765093835380520004e-06
5.088000000000000256e+01 inf
5.120000000000000284e+01 2.760350847015180068e-06
5.152000000000000313e+01 inf
5.184000000000000341e+01 2.757768351738999987e-06
5.215999999999999659e+01 inf
5.247999999999999687e+01 2.785711408510440001e-06
5.279999999999999716e+01 inf
5.311999999999999744e+01 2.769678500275729839e-06
5.343999999999999773e+01 inf
5.375999999999999801e+01 2.769561714311769908e-06
5.407999999999999829e+01 inf
5.439999999999999858e+01 2.767101840436340182e-06
5.471999999999999886e+01 inf
5.503999999999999915e+01 2.771708362452749826e-06
5.535999999999999943e+01 inf
5.567999999999999972e+01 2.786936582890389899e-06
5.600000000000000000e+01 inf
5.632000000000000028e+01 2.773186394046220008e-06
5.664000000000000057e+01 inf
5.696000000000000085e+01 2.788006980399440137e-06
5.728000000000000114e+01 inf
5.760000000000000142e+01 2.776049325765759997e-06
5.792000000000000171e+01 inf
5.824000000000000199e+01 2.773297638061209876e-06
5.856000000000000227e+01 inf
5.888000000000000256e+01 2.765939622887020111e-06
5.920000000000000284e+01 inf
5.952000000000000313e+01 2.774341334508479882e-06
5.984000000000000341e+01 inf
6.015999999999999659e+01 2.777461607124279900e-06
6.047999999999999687e+01 inf
6.079999999999999716e+01 2.816148639573600085e-06
6.111999999999999744e+01 inf
6.143999999999999773e+01 2.775735140398899947e-06
6.175999999999999801e+01 inf
6.207999999999999829e+01 2.797726031081609932e-06
6.239999999999999858e+01 inf
6.271999999999999886e+01 2.803812068380260085e-06
6.303999999999999915e+01 inf
6.335999999999999943e+01 2.777860222405140126e-06
6.367999999999999972e+01 inf
6.400000000000000000e+01 2.786331665816479934e-06
6.431999999999999318e+01 inf
6.464000000000000057e+01 2.792641620875870129e-06
6.495999999999999375e+01 inf
6.528000000000000114e+01 2.807093882490929945e-06
6.559999999999999432e+01 inf
6.592000000000000171e+01 2.811364691119639823e-06
6.623999999999999488e+01 inf
6.656000000000000227e+01 2.821136472582769820e-06
6.687999999999999545e+01 inf
6.720000000000000284e+01 2.787915100757539846e-06
6.751999999999999602e+01 inf
6.784000000000000341e+01 2.799592778622360114e-06
6.815999999999999659e+01 inf
6.848000000000000398e+01 2.780100284098950009e-06
6.879999999999999716e+01 inf
6.912000000000000455e+01 2.792972708828940196e-06
6.943999999999999773e+01 inf
6.976000000000000512e+01 2.795317466158109909e-06
7.007999999999999829e+01 inf
7.040000000000000568e+01 2.792822226689039827e-06
7.071999999999999886e+01 inf
7.104000000000000625e+01 2.795615014857650089e-06
7.135999999999999943e+01 inf
7.168000000000000682e+01 2.813401476745950034e-06
7.200000000000000000e+01 inf
7.231999999999999318e+01 2.802532593575950030e-06
7.264000000000000057e+01 inf
7.295999999999999375e+01 2.792266678371299826e-06
7.328000000000000114e+01 inf
7.359999999999999432e+01 2.790966700693589915e-06
7.392000000000000171e+01 inf
7.423999999999999488e+01 2.821243234602190141e-06
7.456000000000000227e+01 inf
7.487999999999999545e+01 2.775292241750020194e-06
7.520000000000000284e+01 inf
7.551999999999999602e+01 2.812783026731189793e-06
7.584000000000000341e+01 inf
7.615999999999999659e+01 2.778114291820509792e-06
7.648000000000000398e+01 inf
7.679999999999999716e+01 2.823307331713190042e-06
7.712000000000000455e+01 inf
7.743999999999999773e+01 2.794912712246600165e-06
7.776000000000000512e+01 inf
7.807999999999999829e+01 2.799805651752720198e-06
7.840000000000000568e+01 inf
7.871999999999999886e+01 2.803354539316460052e-06
7.904000000000000625e+01 inf
7.935999999999999943e+01 2.795808238139740114e-06
7.968000000000000682e+01 inf
8.000000000000000000e+01 2.775424282114379863e-06
8.031999999999999318e+01 inf
8.064000000000000057e+01 2.790309199022120063e-06
8.095999999999999375e+01 inf
8.128000000000000114e+01 2.818137272593609860e-06
8.159999999999999432e+01 inf
8.192000000000000171e+01 2.796002618591040073e-06
8.223999999999999488e+01 inf
8.256000000000000227e+01 2.808380962495049942e-06
8.287999999999999545e+01 inf
8.320000000000000284e+01 2.814570115839240062e-06
8.351999999999999602e+01 inf
8.384000000000000341e+01 2.808677421853309928e-06
8.415999999999999659e+01 inf
8.448000000000000398e+01 2.813772813145220003e-06
8.479999999999999716e+01 inf
8.512000000000000455e+01 2.833954245391090182e-06
8.543999999999999773e+01 inf
8.576000000000000512e+01 2.810291222354289887e-06
8.607999999999999829e+01 inf
8.640000000000000568e+01 2.797856112609610002e-06
8.671999999999999886e+01 inf
8.704000000000000625e+01 2.804707594925240168e-06
8.735999999999999943e+01 inf
8.768000000000000682e+01 2.825703512607140020e-06
8.800000000000000000e+01 inf
8.831999999999999318e+01 2.794339082743850119e-06
8.864000000000000057e+01 inf
8.895999999999999375e+01 2.794643952088819959e-06
8.928000000000000114e+01 inf
8.959999999999999432e+01 2.808445888241990211e-06
8.992000000000000171e+01 inf
9.023999999999999488e+01 2.829666721058809997e-06
9.056000000000000227e+01 inf
9.087999999999999545e+01 2.796181641936140190e-06
9.120000000000000284e+01 inf
9.151999999999999602e+01 2.810971446665719862e-06
9.184000000000000341e+01 inf
9.215999999999999659e+01 2.832030554314470120e-06
9.248000000000000398e+01 inf
