t ham
0.000000000000000000e+00 2.981677722092109801e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 2.765418806110030063e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 2.694872253923829888e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 2.949716659597100076e-06
2.240000000000000213e+00 inf
2.560000000000000053e+00 3.136981233388749790e-06
2.879999999999999893e+00 inf
3.200000000000000178e+00 3.397456559856289901e-06
3.520000000000000018e+00 inf
3.839999999999999858e+00 3.554020501402440092e-06
4.160000000000000142e+00 inf
4.480000000000000426e+00 3.688412158229160077e-06
4.799999999999999822e+00 inf
5.120000000000000107e+00 3.754178469126590049e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 3.848622546075230216e-06
6.080000000000000071e+00 inf
6.400000000000000355e+00 3.838800816053440141e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 3.820017765971989599e-06
7.360000000000000320e+00 inf
7.679999999999999716e+00 3.799804782481130180e-06
8.000000000000000000e+00 inf
8.320000000000000284e+00 3.814438971679859853e-06
8.640000000000000568e+00 inf
8.960000000000000853e+00 3.784306246898969961e-06
9.279999999999999361e+00 inf
9.599999999999999645e+00 3.781350933218590098e-06
9.919999999999999929e+00 inf
1.024000000000000021e+01 3.786240511765469976e-06
1.056000000000000050e+01 inf
1.088000000000000078e+01 3.813921441358940145e-06
1.119999999999999929e+01 inf
1.151999999999999957e+01 3.813808503356569794e-06
1.183999999999999986e+01 inf
1.216000000000000014e+01 3.854147291208440196e-06
1.248000000000000043e+01 inf
1.280000000000000071e+01 3.896446140030120234e-06
1.311999999999999922e+01 inf
1.343999999999999950e+01 3.863886612947460248e-06
1.375999999999999979e+01 inf
1.408000000000000007e+01 3.829050959279060070e-06
1.440000000000000036e+01 inf
1.472000000000000064e+01 3.878231174879660011e-06
1.503999999999999915e+01 inf
1.535999999999999943e+01 3.848933867310260374e-06
1.567999999999999972e+01 inf
1.600000000000000000e+01 3.884999262634189810e-06
1.632000000000000028e+01 inf
1.664000000000000057e+01 3.886114181076500238e-06
1.696000000000000085e+01 inf
1.728000000000000114e+01 3.889934460465619812e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 3.922785479123590049e-06
1.823999999999999844e+01 inf
1.855999999999999872e+01 3.929559631817139700e-06
1.887999999999999901e+01 inf
1.919999999999999929e+01 3.928101414179530297e-06
1.951999999999999957e+01 inf
1.983999999999999986e+01 3.917941560774279796e-06
2.016000000000000014e+01 inf
2.048000000000000043e+01 3.907815473655420329e-06
2.080000000000000071e+01 inf
2.112000000000000099e+01 3.907076924501230028e-06
2.144000000000000128e+01 inf
2.176000000000000156e+01 3.901046958543550239e-06
2.207999999999999829e+01 inf
2.239999999999999858e+01 3.934102096928189857e-06
2.271999999999999886e+01 inf
2.303999999999999915e+01 3.898421537669729795e-06
2.335999999999999943e+01 inf
2.367999999999999972e+01 3.925941174531079955e-06
2.400000000000000000e+01 inf
2.432000000000000028e+01 3.946249252139049725e-06
2.464000000000000057e+01 inf
2.496000000000000085e+01 3.990386993595550226e-06
2.528000000000000114e+01 inf
2.560000000000000142e+01 3.949532745937989603e-06
2.592000000000000171e+01 inf
2.623999999999999844e+01 3.922659538125449940e-06
2.655999999999999872e+01 inf
2.687999999999999901e+01 3.946121728137610080e-06
2.719999999999999929e+01 inf
2.751999999999999957e+01 3.927553344495979766e-06
2.783999999999999986e+01 inf
2.816000000000000014e+01 3.961122314283649648e-06
2.848000000000000043e+01 inf
2.880000000000000071e+01 3.931089685564899931e-06
2.912000000000000099e+01 inf
2.944000000000000128e+01 3.985197050492660273e-06
2.976000000000000156e+01 inf
3.007999999999999829e+01 3.939300613233169665e-06
3.039999999999999858e+01 inf
3.071999999999999886e+01 3.968288161692930039e-06
3.103999999999999915e+01 inf
3.135999999999999943e+01 3.957456821858439706e-06
3.167999999999999972e+01 inf
3.200000000000000000e+01 3.981028458670340371e-06
3.232000000000000028e+01 inf
3.264000000000000057e+01 3.973019973599690266e-06
3.296000000000000085e+01 inf
3.328000000000000114e+01 3.961456947258119627e-06
3.360000000000000142e+01 inf
3.392000000000000171e+01 3.983040473469930053e-06
3.424000000000000199e+01 inf
3.456000000000000227e+01 3.998374790899630246e-06
3.488000000000000256e+01 inf
3.520000000000000284e+01 3.940923464390860203e-06
3.552000000000000313e+01 inf
3.584000000000000341e+01 3.980217328500390422e-06
3.615999999999999659e+01 inf
3.647999999999999687e+01 4.020665673918069991e-06
3.679999999999999716e+01 inf
3.711999999999999744e+01 3.965768697265359812e-06
3.743999999999999773e+01 inf
3.775999999999999801e+01 4.003555403182440089e-06
3.807999999999999829e+01 inf
3.839999999999999858e+01 4.009127419127049769e-06
3.871999999999999886e+01 inf
3.903999999999999915e+01 4.017730675801820107e-06
3.935999999999999943e+01 inf
3.967999999999999972e+01 3.990140626126949819e-06
4.000000000000000000e+01 inf
4.032000000000000028e+01 3.990289303319340307e-06
4.064000000000000057e+01 inf
4.096000000000000085e+01 4.007692867633600378e-06
4.128000000000000114e+01 inf
4.160000000000000142e+01 4.015192221764469847e-06
4.192000000000000171e+01 inf
4.224000000000000199e+01 4.024479286892120299e-06
4.256000000000000227e+01 inf
4.288000000000000256e+01 4.044076435669849878e-06
4.320000000000000284e+01 inf
4.352000000000000313e+01 4.017833273354060394e-06
4.384000000000000341e+01 inf
4.415999999999999659e+01 3.975575187415039777e-06
4.447999999999999687e+01 inf
4.479999999999999716e+01 4.048688124761620259e-06
4.511999999999999744e+01 inf
4.543999999999999773e+01 4.046533592945139709e-06
4.575999999999999801e+01 inf
4.607999999999999829e+01 4.059051843056290139e-06
4.639999999999999858e+01 inf
4.671999999999999886e+01 4.046276232548140308e-06
4.703999999999999915e+01 inf
4.735999999999999943e+01 4.039774009494769633e-06
4.767999999999999972e+01 inf
4.800000000000000000e+01 4.022911184908709621e-06
4.832000000000000028e+01 inf
4.864000000000000057e+01 4.056417057256480062e-06
4.896000000000000085e+01 inf
4.928000000000000114e+01 3.987273363871219939e-06
4.960000000000000142e+01 inf
4.992000000000000171e+01 4.062836253966709799e-06
5.024000000000000199e+01 inf
5.056000000000000227e+01 4.036869289627980200e-06
5.088000000000000256e+01 inf
5.120000000000000284e+01 4.060986495966270186e-06
5.152000000000000313e+01 inf
5.184000000000000341e+01 4.084430223031659830e-06
5.215999999999999659e+01 inf
5.247999999999999687e+01 4.094573151116249613e-06
5.279999999999999716e+01 inf
5.311999999999999744e+01 4.069036020754129667e-06
5.343999999999999773e+01 inf
5.375999999999999801e+01 4.127297708756340292e-06
5.407999999999999829e+01 inf
5.439999999999999858e+01 4.098947825922779714e-06
5.471999999999999886e+01 inf
5.503999999999999915e+01 4.054041930804999695e-06
5.535999999999999943e+01 inf
5.567999999999999972e+01 4.116494539118439861e-06
5.600000000000000000e+01 inf
5.632000000000000028e+01 4.090134380328299605e-06
5.664000000000000057e+01 inf
5.696000000000000085e+01 4.081795454040519789e-06
5.728000000000000114e+01 inf
5.760000000000000142e+01 4.071375892138050171e-06
5.792000000000000171e+01 inf
5.824000000000000199e+01 4.090470379287440066e-06
5.856000000000000227e+01 inf
5.888000000000000256e+01 4.093102919395270398e-06
5.920000000000000284e+01 inf
5.952000000000000313e+01 4.076178143339710242e-06
5.984000000000000341e+01 inf
6.015999999999999659e+01 4.094357860060519819e-06
6.047999999999999687e+01 inf
6.079999999999999716e+01 4.067735418499899763e-06
6.111999999999999744e+01 inf
6.143999999999999773e+01 4.145725396100330392e-06
6.175999999999999801e+01 inf
6.207999999999999829e+01 4.082884198224720353e-06
6.239999999999999858e+01 inf
6.271999999999999886e+01 4.159260463330179770e-06
6.303999999999999915e+01 inf
6.335999999999999943e+01 4.120227521971609627e-06
6.367999999999999972e+01 inf
6.400000000000000000e+01 4.149871702633550061e-06
6.431999999999999318e+01 inf
6.464000000000000057e+01 4.132180645404719963e-06
6.495999999999999375e+01 inf
6.528000000000000114e+01 4.140762829083879946e-06
6.559999999999999432e+01 inf
6.592000000000000171e+01 4.138707903604339635e-06
6.623999999999999488e+01 inf
6.656000000000000227e+01 4.140391606603419954e-06
6.687999999999999545e+01 inf
6.720000000000000284e+01 4.153679839692219848e-06
6.751999999999999602e+01 inf
