t ham
6.400000000000000133e-01 -3.997699388407720267e-02
6.400000000000000133e-01 -6.279012775499749968e-03
6.400000000000000133e-01 4.522594784758800050e-04
6.400000000000000133e-01 1.214291391895409942e-03
6.400000000000000133e-01 6.319522996732500515e-04
1.280000000000000027e+00 -4.029866044034909750e-02
1.280000000000000027e+00 -6.369799887806449658e-03
1.280000000000000027e+00 4.300053147622269847e-04
1.280000000000000027e+00 1.210662718853119978e-03
1.280000000000000027e+00 4.569405034834110222e-04
1.919999999999999929e+00 -4.042906299228749695e-02
1.919999999999999929e+00 -6.358424471616859822e-03
1.919999999999999929e+00 4.151642197602610257e-04
1.919999999999999929e+00 1.206672900440550027e-03
1.919999999999999929e+00 3.531755812714589774e-04
2.560000000000000053e+00 -4.037821967500600240e-02
2.560000000000000053e+00 -6.320996066173779730e-03
2.560000000000000053e+00 4.112844021310900250e-04
2.560000000000000053e+00 1.241252872273030045e-03
2.560000000000000053e+00 5.831441596446390466e-04
3.200000000000000178e+00 -4.030139955381779882e-02
3.200000000000000178e+00 -6.310484353220819666e-03
3.200000000000000178e+00 4.248550363828710241e-04
3.200000000000000178e+00 1.240556634282379955e-03
3.200000000000000178e+00 7.902188726048310326e-04
3.839999999999999858e+00 -4.025763577868909926e-02
3.839999999999999858e+00 -6.316285537322909732e-03
3.839999999999999858e+00 4.169352206402630098e-04
3.839999999999999858e+00 1.209659640177660096e-03
3.839999999999999858e+00 8.694549735208390029e-04
4.480000000000000426e+00 -4.023565809167579943e-02
4.480000000000000426e+00 -6.315128289737379635e-03
4.480000000000000426e+00 4.298323130464409836e-04
4.480000000000000426e+00 1.196063373149949989e-03
4.480000000000000426e+00 9.411466866047489858e-04
5.120000000000000107e+00 -4.022906377600930089e-02
5.120000000000000107e+00 -6.307243114432309686e-03
5.120000000000000107e+00 4.346324507829009789e-04
5.120000000000000107e+00 1.187237856321739921e-03
5.120000000000000107e+00 8.897390897041059735e-04
5.759999999999999787e+00 -4.024846678840020286e-02
5.759999999999999787e+00 -6.306260607538530065e-03
5.759999999999999787e+00 4.235096093482549869e-04
5.759999999999999787e+00 1.178077826255869960e-03
5.759999999999999787e+00 6.729765052468920017e-04
6.400000000000000355e+00 -4.027591359606390309e-02
6.400000000000000355e+00 -6.315074087770159578e-03
6.400000000000000355e+00 4.233653170942760038e-04
6.400000000000000355e+00 1.187791458142429916e-03
6.400000000000000355e+00 5.566389957842310388e-04
7.040000000000000036e+00 -4.029961989954709833e-02
7.040000000000000036e+00 -6.319840722538940317e-03
7.040000000000000036e+00 4.159806743005979818e-04
7.040000000000000036e+00 1.186558911586919982e-03
7.040000000000000036e+00 5.542393030162350324e-04
7.679999999999999716e+00 -4.031723975303219687e-02
7.679999999999999716e+00 -6.322430395237169792e-03
7.679999999999999716e+00 4.069781639262910040e-04
7.679999999999999716e+00 1.161837558452200048e-03
7.679999999999999716e+00 5.043415270991340356e-04
8.320000000000000284e+00 -4.033353770481949707e-02
8.320000000000000284e+00 -6.325749649547269572e-03
8.320000000000000284e+00 4.084651842797270031e-04
8.320000000000000284e+00 1.145881796178059965e-03
8.320000000000000284e+00 5.809099081882369668e-04
8.960000000000000853e+00 -4.035320467939010336e-02
8.960000000000000853e+00 -6.323333940180919654e-03
8.960000000000000853e+00 4.162054027499749757e-04
8.960000000000000853e+00 1.162247528182889936e-03
8.960000000000000853e+00 7.609491886252649521e-04
9.599999999999999645e+00 -4.038361979326580281e-02
9.599999999999999645e+00 -6.324555674502960363e-03
9.599999999999999645e+00 4.166729120063659736e-04
9.599999999999999645e+00 1.158178521938280081e-03
9.599999999999999645e+00 7.946215434040390180e-04
1.024000000000000021e+01 -4.042344264094550194e-02
1.024000000000000021e+01 -6.330862353051939714e-03
1.024000000000000021e+01 4.170778096578289730e-04
1.024000000000000021e+01 1.158274874580089925e-03
1.024000000000000021e+01 7.758460360166029605e-04
1.088000000000000078e+01 -4.047812812145899775e-02
1.088000000000000078e+01 -6.342455366927319572e-03
1.088000000000000078e+01 4.177424104769569759e-04
1.088000000000000078e+01 1.154043143894889923e-03
1.088000000000000078e+01 8.072143710449179894e-04
1.151999999999999957e+01 -4.054785867214610179e-02
1.151999999999999957e+01 -6.359479922207150401e-03
1.151999999999999957e+01 4.101770936009440120e-04
1.151999999999999957e+01 1.141733061503590009e-03
1.151999999999999957e+01 7.579529729966619700e-04
1.216000000000000014e+01 -4.062620536383369785e-02
1.216000000000000014e+01 -6.376650647306079597e-03
1.216000000000000014e+01 4.029878450190480031e-04
1.216000000000000014e+01 1.134522664769879990e-03
1.216000000000000014e+01 6.969903835974119522e-04
1.280000000000000071e+01 -4.071015962690899964e-02
1.280000000000000071e+01 -6.391209797076249748e-03
1.280000000000000071e+01 4.069413224616619923e-04
1.280000000000000071e+01 1.139958863788229906e-03
1.280000000000000071e+01 7.541323100401230465e-04
1.343999999999999950e+01 -4.080438603149660198e-02
1.343999999999999950e+01 -6.409978007661880015e-03
1.343999999999999950e+01 4.086353444864019896e-04
1.343999999999999950e+01 1.137847653282399955e-03
1.343999999999999950e+01 7.685115863180209776e-04
1.408000000000000007e+01 -4.091413551857280007e-02
1.408000000000000007e+01 -6.436525001931399717e-03
1.408000000000000007e+01 4.031813097679910036e-04
1.408000000000000007e+01 1.123725808286239920e-03
1.408000000000000007e+01 7.025802037270709784e-04
1.472000000000000064e+01 -4.103928496608050258e-02
1.472000000000000064e+01 -6.467591904122409717e-03
1.472000000000000064e+01 3.979477082818869745e-04
1.472000000000000064e+01 1.119432440711610067e-03
1.472000000000000064e+01 7.121239982522400373e-04
1.535999999999999943e+01 -4.117552811121030082e-02
1.535999999999999943e+01 -6.502182469043660262e-03
1.535999999999999943e+01 3.933381410547440236e-04
1.535999999999999943e+01 1.120565647304509922e-03
1.535999999999999943e+01 7.544863695598540317e-04
1.600000000000000000e+01 -4.131860050005999735e-02
1.600000000000000000e+01 -6.537301990653939660e-03
1.600000000000000000e+01 3.891866061487280230e-04
1.600000000000000000e+01 1.117557256364479917e-03
1.600000000000000000e+01 7.400778807271359786e-04
1.664000000000000057e+01 -4.146644616441760162e-02
1.664000000000000057e+01 -6.568166855799359612e-03
1.664000000000000057e+01 3.915412216438650156e-04
1.664000000000000057e+01 1.116818319535890043e-03
1.664000000000000057e+01 7.369125496328450368e-04
1.728000000000000114e+01 -4.162135620433320138e-02
1.728000000000000114e+01 -6.598071642475079705e-03
1.728000000000000114e+01 3.979233976710289783e-04
1.728000000000000114e+01 1.122637881761809949e-03
1.728000000000000114e+01 7.612210168873310197e-04
1.792000000000000171e+01 -4.178870811898569709e-02
1.792000000000000171e+01 -6.633749796311119891e-03
1.792000000000000171e+01 4.009074637508490174e-04
1.792000000000000171e+01 1.126405904590009914e-03
1.792000000000000171e+01 7.633939230237419800e-04
1.855999999999999872e+01 -4.197166604767010173e-02
1.855999999999999872e+01 -6.676871778517390332e-03
1.855999999999999872e+01 3.977539515847279918e-04
1.855999999999999872e+01 1.122879230871229924e-03
1.855999999999999872e+01 7.605742863832639722e-04
1.919999999999999929e+01 -4.216884091053550027e-02
1.919999999999999929e+01 -6.727182153363260413e-03
1.919999999999999929e+01 3.911005398136990232e-04
1.919999999999999929e+01 1.117152822102779894e-03
1.919999999999999929e+01 7.737641974885359685e-04
1.983999999999999986e+01 -4.237740686153530084e-02
1.983999999999999986e+01 -6.781732746346750412e-03
1.983999999999999986e+01 3.823096259122919956e-04
1.983999999999999986e+01 1.111860864640100074e-03
1.983999999999999986e+01 7.829206541434540227e-04
2.048000000000000043e+01 -4.259275743719449780e-02
2.048000000000000043e+01 -6.836463002602020250e-03
2.048000000000000043e+01 3.741923945354550039e-04
2.048000000000000043e+01 1.106744307221409988e-03
2.048000000000000043e+01 7.902410445993770464e-04
2.112000000000000099e+01 -4.281187553299940080e-02
2.112000000000000099e+01 -6.889051328668430348e-03
