t ham
0.000000000000000000e+00 1.418873488608549941e-05
4.000000000000000222e-01 inf
8.000000000000000444e-01 1.625630089740369831e-05
1.199999999999999956e+00 inf
1.600000000000000089e+00 1.594883731637250130e-05
2.000000000000000000e+00 inf
2.399999999999999911e+00 1.620307722695279952e-05
2.799999999999999822e+00 inf
3.200000000000000178e+00 1.718536697531929922e-05
3.600000000000000089e+00 inf
4.000000000000000000e+00 1.820084857756889846e-05
4.400000000000000355e+00 inf
4.799999999999999822e+00 1.923857017067939911e-05
5.200000000000000178e+00 inf
5.599999999999999645e+00 1.954428538522959933e-05
6.000000000000000000e+00 inf
6.400000000000000355e+00 2.014799779724489882e-05
6.799999999999999822e+00 inf
7.200000000000000178e+00 2.068824729288090114e-05
7.599999999999999645e+00 inf
8.000000000000000000e+00 2.138398155826529915e-05
8.400000000000000355e+00 inf
8.800000000000000711e+00 2.195947279574809958e-05
9.199999999999999289e+00 inf
9.599999999999999645e+00 2.219165542784259942e-05
1.000000000000000000e+01 inf
1.040000000000000036e+01 2.297975506984880001e-05
1.080000000000000071e+01 inf
1.119999999999999929e+01 2.322260895340969966e-05
1.159999999999999964e+01 inf
1.200000000000000000e+01 2.341464581955390165e-05
1.240000000000000036e+01 inf
1.280000000000000071e+01 2.385574688812979846e-05
1.319999999999999929e+01 inf
1.359999999999999964e+01 2.422248089647319910e-05
1.400000000000000000e+01 inf
1.440000000000000036e+01 2.418164887193629899e-05
1.480000000000000071e+01 inf
1.519999999999999929e+01 2.463257742016699943e-05
1.559999999999999964e+01 inf
1.600000000000000000e+01 2.533743449424309999e-05
1.639999999999999858e+01 inf
1.680000000000000071e+01 2.538919592664950125e-05
1.719999999999999929e+01 inf
1.760000000000000142e+01 2.520099588700559868e-05
1.800000000000000000e+01 inf
1.839999999999999858e+01 2.531326650402050159e-05
1.880000000000000071e+01 inf
1.919999999999999929e+01 2.612358742710920063e-05
1.960000000000000142e+01 inf
2.000000000000000000e+01 2.613973106277869859e-05
2.039999999999999858e+01 inf
2.080000000000000071e+01 2.695393564148590001e-05
2.119999999999999929e+01 inf
2.160000000000000142e+01 2.661844533913320038e-05
2.200000000000000000e+01 inf
