t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-01 -1.306794531804720067e-08
3.200000000000000067e-01 -1.306794531804720067e-08
3.200000000000000067e-01 -1.306794531804720067e-08
6.400000000000000133e-01 -3.834195405188160054e-08
6.400000000000000133e-01 -3.834195405188160054e-08
6.400000000000000133e-01 -3.834195405188160054e-08
9.599999999999999645e-01 -4.003972013104339850e-08
9.599999999999999645e-01 -4.003972013104339850e-08
9.599999999999999645e-01 -4.003972013104339850e-08
1.280000000000000027e+00 -5.404652674482559618e-09
1.280000000000000027e+00 -5.404652674482559618e-09
1.280000000000000027e+00 -5.404652674482559618e-09
1.600000000000000089e+00 1.524366284734960010e-07
1.600000000000000089e+00 1.524366284734960010e-07
1.600000000000000089e+00 1.524366284734960010e-07
1.919999999999999929e+00 6.590472393413740295e-08
1.919999999999999929e+00 6.590472393413740295e-08
1.919999999999999929e+00 6.590472393413740295e-08
2.240000000000000213e+00 -3.042581832020959989e-07
2.240000000000000213e+00 -3.042581832020959989e-07
2.240000000000000213e+00 -3.042581832020959989e-07
2.560000000000000053e+00 2.823011320016799875e-08
2.560000000000000053e+00 2.823011320016799875e-08
2.560000000000000053e+00 2.823011320016799875e-08
2.879999999999999893e+00 2.192921105513550051e-07
2.879999999999999893e+00 2.192921105513550051e-07
2.879999999999999893e+00 2.192921105513550051e-07
3.200000000000000178e+00 -1.512187196922629933e-07
3.200000000000000178e+00 -1.512187196922629933e-07
3.200000000000000178e+00 -1.512187196922629933e-07
3.520000000000000018e+00 -1.639670705729419968e-07
3.520000000000000018e+00 -1.639670705729419968e-07
3.520000000000000018e+00 -1.639670705729419968e-07
3.839999999999999858e+00 2.390231298657000186e-07
3.839999999999999858e+00 2.390231298657000186e-07
3.839999999999999858e+00 2.390231298657000186e-07
4.160000000000000142e+00 -7.231996077818910260e-08
4.160000000000000142e+00 -7.231996077818910260e-08
4.160000000000000142e+00 -7.231996077818910260e-08
4.480000000000000426e+00 1.744296448995090073e-07
4.480000000000000426e+00 1.744296448995090073e-07
4.480000000000000426e+00 1.744296448995090073e-07
4.799999999999999822e+00 -2.152972954120000121e-07
4.799999999999999822e+00 -2.152972954120000121e-07
4.799999999999999822e+00 -2.152972954120000121e-07
5.120000000000000107e+00 -1.482166179469530003e-07
5.120000000000000107e+00 -1.482166179469530003e-07
5.120000000000000107e+00 -1.482166179469530003e-07
5.440000000000000391e+00 2.324575295654300030e-07
5.440000000000000391e+00 2.324575295654300030e-07
5.440000000000000391e+00 2.324575295654300030e-07
5.759999999999999787e+00 -3.703087177086170069e-08
5.759999999999999787e+00 -3.703087177086170069e-08
5.759999999999999787e+00 -3.703087177086170069e-08
6.080000000000000071e+00 1.191056218815649945e-07
6.080000000000000071e+00 1.191056218815649945e-07
6.080000000000000071e+00 1.191056218815649945e-07
6.400000000000000355e+00 -1.696892399971709914e-07
6.400000000000000355e+00 -1.696892399971709914e-07
6.400000000000000355e+00 -1.696892399971709914e-07
6.719999999999999751e+00 -2.050306976380540017e-07
6.719999999999999751e+00 -2.050306976380540017e-07
6.719999999999999751e+00 -2.050306976380540017e-07
7.040000000000000036e+00 1.520636989243529939e-07
7.040000000000000036e+00 1.520636989243529939e-07
7.040000000000000036e+00 1.520636989243529939e-07
7.360000000000000320e+00 1.311500023818119996e-07
7.360000000000000320e+00 1.311500023818119996e-07
7.360000000000000320e+00 1.311500023818119996e-07
7.679999999999999716e+00 -4.004730179991449744e-08
7.679999999999999716e+00 -4.004730179991449744e-08
7.679999999999999716e+00 -4.004730179991449744e-08
8.000000000000000000e+00 6.816290459773159845e-08
8.000000000000000000e+00 6.816290459773159845e-08
8.000000000000000000e+00 6.816290459773159845e-08
8.320000000000000284e+00 -2.123629251299099987e-07
8.320000000000000284e+00 -2.123629251299099987e-07
8.320000000000000284e+00 -2.123629251299099987e-07
8.640000000000000568e+00 3.424787767141949858e-09
8.640000000000000568e+00 3.424787767141949858e-09
8.640000000000000568e+00 3.424787767141949858e-09
8.960000000000000853e+00 3.252565987702609875e-07
8.960000000000000853e+00 3.252565987702609875e-07
8.960000000000000853e+00 3.252565987702609875e-07
9.279999999999999361e+00 -1.264641130603540088e-07
9.279999999999999361e+00 -1.264641130603540088e-07
9.279999999999999361e+00 -1.264641130603540088e-07
9.599999999999999645e+00 6.448078465067500436e-08
9.599999999999999645e+00 6.448078465067500436e-08
9.599999999999999645e+00 6.448078465067500436e-08
9.919999999999999929e+00 1.388740478321969949e-07
9.919999999999999929e+00 1.388740478321969949e-07
9.919999999999999929e+00 1.388740478321969949e-07
1.024000000000000021e+01 -8.683883571663890659e-08
1.024000000000000021e+01 -8.683883571663890659e-08
1.024000000000000021e+01 -8.683883571663890659e-08
1.056000000000000050e+01 1.799203807661520089e-07
1.056000000000000050e+01 1.799203807661520089e-07
1.056000000000000050e+01 1.799203807661520089e-07
1.088000000000000078e+01 6.558009930494109638e-08
1.088000000000000078e+01 6.558009930494109638e-08
1.088000000000000078e+01 6.558009930494109638e-08
1.119999999999999929e+01 -8.846848499200879428e-08
1.119999999999999929e+01 -8.846848499200879428e-08
1.119999999999999929e+01 -8.846848499200879428e-08
1.151999999999999957e+01 1.598444812161990019e-07
1.151999999999999957e+01 1.598444812161990019e-07
1.151999999999999957e+01 1.598444812161990019e-07
1.183999999999999986e+01 1.791728276618689974e-07
1.183999999999999986e+01 1.791728276618689974e-07
1.183999999999999986e+01 1.791728276618689974e-07
1.216000000000000014e+01 6.021249239859890319e-08
1.216000000000000014e+01 6.021249239859890319e-08
1.216000000000000014e+01 6.021249239859890319e-08
1.248000000000000043e+01 3.393647146632929886e-08
1.248000000000000043e+01 3.393647146632929886e-08
1.248000000000000043e+01 3.393647146632929886e-08
1.280000000000000071e+01 7.648723382455339437e-08
1.280000000000000071e+01 7.648723382455339437e-08
1.280000000000000071e+01 7.648723382455339437e-08
1.311999999999999922e+01 2.393528513934540052e-07
1.311999999999999922e+01 2.393528513934540052e-07
1.311999999999999922e+01 2.393528513934540052e-07
1.343999999999999950e+01 3.375804064688009723e-08
1.343999999999999950e+01 3.375804064688009723e-08
1.343999999999999950e+01 3.375804064688009723e-08
1.375999999999999979e+01 -8.464023534916420045e-08
1.375999999999999979e+01 -8.464023534916420045e-08
1.375999999999999979e+01 -8.464023534916420045e-08
1.408000000000000007e+01 2.229361242496539930e-07
1.408000000000000007e+01 2.229361242496539930e-07
1.408000000000000007e+01 2.229361242496539930e-07
1.440000000000000036e+01 6.592793491526669741e-08
1.440000000000000036e+01 6.592793491526669741e-08
1.440000000000000036e+01 6.592793491526669741e-08
1.472000000000000064e+01 -4.765110486484069768e-08
1.472000000000000064e+01 -4.765110486484069768e-08
