t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 -7.038717169853789908e-08
2.000000000000000111e-01 -7.038717169853789908e-08
2.000000000000000111e-01 -7.038717169853789908e-08
4.000000000000000222e-01 -1.018812369325630057e-08
4.000000000000000222e-01 -1.018812369325630057e-08
4.000000000000000222e-01 -1.018812369325630057e-08
5.999999999999999778e-01 -1.311990215675280020e-08
5.999999999999999778e-01 -1.311990215675280020e-08
5.999999999999999778e-01 -1.311990215675280020e-08
8.000000000000000444e-01 -5.120599079971470122e-08
8.000000000000000444e-01 -5.120599079971470122e-08
8.000000000000000444e-01 -5.120599079971470122e-08
1.000000000000000000e+00 1.146511852633689980e-08
1.000000000000000000e+00 1.146511852633689980e-08
1.000000000000000000e+00 1.146511852633689980e-08
1.199999999999999956e+00 2.394743188042129962e-08
1.199999999999999956e+00 2.394743188042129962e-08
1.199999999999999956e+00 2.394743188042129962e-08
1.399999999999999911e+00 -2.513021504165229899e-08
1.399999999999999911e+00 -2.513021504165229899e-08
1.399999999999999911e+00 -2.513021504165229899e-08
1.600000000000000089e+00 4.700844677772080005e-08
1.600000000000000089e+00 4.700844677772080005e-08
1.600000000000000089e+00 4.700844677772080005e-08
1.800000000000000044e+00 3.355645207254430022e-08
1.800000000000000044e+00 3.355645207254430022e-08
1.800000000000000044e+00 3.355645207254430022e-08
2.000000000000000000e+00 -5.894343075794669896e-08
2.000000000000000000e+00 -5.894343075794669896e-08
2.000000000000000000e+00 -5.894343075794669896e-08
2.200000000000000178e+00 -4.368401520615440325e-08
2.200000000000000178e+00 -4.368401520615440325e-08
2.200000000000000178e+00 -4.368401520615440325e-08
2.399999999999999911e+00 7.649163601021940693e-09
2.399999999999999911e+00 7.649163601021940693e-09
2.399999999999999911e+00 7.649163601021940693e-09
2.600000000000000089e+00 -7.763801768737379350e-09
2.600000000000000089e+00 -7.763801768737379350e-09
2.600000000000000089e+00 -7.763801768737379350e-09
2.799999999999999822e+00 -5.408632167054600126e-08
2.799999999999999822e+00 -5.408632167054600126e-08
2.799999999999999822e+00 -5.408632167054600126e-08
3.000000000000000000e+00 -4.470120148726319942e-08
3.000000000000000000e+00 -4.470120148726319942e-08
3.000000000000000000e+00 -4.470120148726319942e-08
3.200000000000000178e+00 3.678492199382459690e-08
3.200000000000000178e+00 3.678492199382459690e-08
3.200000000000000178e+00 3.678492199382459690e-08
3.399999999999999911e+00 1.028243127392389934e-07
3.399999999999999911e+00 1.028243127392389934e-07
3.399999999999999911e+00 1.028243127392389934e-07
3.600000000000000089e+00 6.493191596943950295e-08
3.600000000000000089e+00 6.493191596943950295e-08
3.600000000000000089e+00 6.493191596943950295e-08
3.799999999999999822e+00 -2.183885212793469865e-08
3.799999999999999822e+00 -2.183885212793469865e-08
3.799999999999999822e+00 -2.183885212793469865e-08
4.000000000000000000e+00 -3.432576594842250019e-08
4.000000000000000000e+00 -3.432576594842250019e-08
4.000000000000000000e+00 -3.432576594842250019e-08
4.200000000000000178e+00 -1.762624468096839925e-08
4.200000000000000178e+00 -1.762624468096839925e-08
4.200000000000000178e+00 -1.762624468096839925e-08
4.400000000000000355e+00 -8.206422548003430541e-08
4.400000000000000355e+00 -8.206422548003430541e-08
4.400000000000000355e+00 -8.206422548003430541e-08
4.599999999999999645e+00 -1.235304147433729903e-07
4.599999999999999645e+00 -1.235304147433729903e-07
4.599999999999999645e+00 -1.235304147433729903e-07
4.799999999999999822e+00 -3.336732127067519919e-09
4.799999999999999822e+00 -3.336732127067519919e-09
4.799999999999999822e+00 -3.336732127067519919e-09
5.000000000000000000e+00 1.434653720588819923e-07
5.000000000000000000e+00 1.434653720588819923e-07
5.000000000000000000e+00 1.434653720588819923e-07
5.200000000000000178e+00 1.130598284530500038e-07
5.200000000000000178e+00 1.130598284530500038e-07
5.200000000000000178e+00 1.130598284530500038e-07
5.400000000000000355e+00 -3.986025461754999924e-08
5.400000000000000355e+00 -3.986025461754999924e-08
5.400000000000000355e+00 -3.986025461754999924e-08
5.599999999999999645e+00 -1.219459685120159999e-07
5.599999999999999645e+00 -1.219459685120159999e-07
5.599999999999999645e+00 -1.219459685120159999e-07
5.799999999999999822e+00 -7.885054232817739849e-08
5.799999999999999822e+00 -7.885054232817739849e-08
5.799999999999999822e+00 -7.885054232817739849e-08
6.000000000000000000e+00 6.878646884619569815e-09
6.000000000000000000e+00 6.878646884619569815e-09
6.000000000000000000e+00 6.878646884619569815e-09
6.200000000000000178e+00 7.017268872855520198e-08
6.200000000000000178e+00 7.017268872855520198e-08
6.200000000000000178e+00 7.017268872855520198e-08
6.400000000000000355e+00 9.809022911074340074e-08
6.400000000000000355e+00 9.809022911074340074e-08
6.400000000000000355e+00 9.809022911074340074e-08
6.599999999999999645e+00 7.319519434809600183e-08
6.599999999999999645e+00 7.319519434809600183e-08
6.599999999999999645e+00 7.319519434809600183e-08
6.799999999999999822e+00 -1.520538728106339944e-08
6.799999999999999822e+00 -1.520538728106339944e-08
6.799999999999999822e+00 -1.520538728106339944e-08
7.000000000000000000e+00 -1.066407234434919949e-07
7.000000000000000000e+00 -1.066407234434919949e-07
7.000000000000000000e+00 -1.066407234434919949e-07
7.200000000000000178e+00 -1.055580001812219956e-07
7.200000000000000178e+00 -1.055580001812219956e-07
7.200000000000000178e+00 -1.055580001812219956e-07
7.400000000000000355e+00 -7.546572545026540082e-09
7.400000000000000355e+00 -7.546572545026540082e-09
7.400000000000000355e+00 -7.546572545026540082e-09
7.599999999999999645e+00 8.685053252690699368e-08
7.599999999999999645e+00 8.685053252690699368e-08
7.599999999999999645e+00 8.685053252690699368e-08
7.799999999999999822e+00 9.901936028914539404e-08
7.799999999999999822e+00 9.901936028914539404e-08
7.799999999999999822e+00 9.901936028914539404e-08
8.000000000000000000e+00 3.431007910085159692e-08
8.000000000000000000e+00 3.431007910085159692e-08
8.000000000000000000e+00 3.431007910085159692e-08
8.199999999999999289e+00 -5.922433170347709968e-08
8.199999999999999289e+00 -5.922433170347709968e-08
8.199999999999999289e+00 -5.922433170347709968e-08
8.400000000000000355e+00 -1.061613376433079958e-07
8.400000000000000355e+00 -1.061613376433079958e-07
8.400000000000000355e+00 -1.061613376433079958e-07
8.599999999999999645e+00 -4.003295607593959845e-08
8.599999999999999645e+00 -4.003295607593959845e-08
8.599999999999999645e+00 -4.003295607593959845e-08
8.800000000000000711e+00 8.798189278697630483e-08
8.800000000000000711e+00 8.798189278697630483e-08
8.800000000000000711e+00 8.798189278697630483e-08
9.000000000000000000e+00 1.297181048355400111e-07
9.000000000000000000e+00 1.297181048355400111e-07
9.000000000000000000e+00 1.297181048355400111e-07
9.199999999999999289e+00 3.789948370936740131e-08
