t kphi
0.000000000000000000e+00 2.927434619381219989e-32
0.000000000000000000e+00 2.927434619381219989e-32
0.000000000000000000e+00 2.927434619381219989e-32
1.000000000000000056e-01 -3.680148126786780119e-06
1.000000000000000056e-01 -3.680148126786780119e-06
1.000000000000000056e-01 -3.680148126786780119e-06
2.000000000000000111e-01 -1.791352294472050052e-06
2.000000000000000111e-01 -1.791352294472050052e-06
2.000000000000000111e-01 -1.791352294472050052e-06
2.999999999999999889e-01 -4.334143607596490063e-07
2.999999999999999889e-01 -4.334143607596490063e-07
2.999999999999999889e-01 -4.334143607596490063e-07
4.000000000000000222e-01 -1.019181170580339999e-07
4.000000000000000222e-01 -1.019181170580339999e-07
4.000000000000000222e-01 -1.019181170580339999e-07
5.000000000000000000e-01 6.446053146558599882e-07
5.000000000000000000e-01 6.446053146558599882e-07
5.000000000000000000e-01 6.446053146558599882e-07
5.999999999999999778e-01 -1.995926984306259874e-07
5.999999999999999778e-01 -1.995926984306259874e-07
5.999999999999999778e-01 -1.995926984306259874e-07
6.999999999999999556e-01 -2.780437468547930004e-06
6.999999999999999556e-01 -2.780437468547930004e-06
6.999999999999999556e-01 -2.780437468547930004e-06
8.000000000000000444e-01 -3.881288570465289858e-06
8.000000000000000444e-01 -3.881288570465289858e-06
8.000000000000000444e-01 -3.881288570465289858e-06
9.000000000000000222e-01 -1.217696279096020032e-06
9.000000000000000222e-01 -1.217696279096020032e-06
9.000000000000000222e-01 -1.217696279096020032e-06
1.000000000000000000e+00 3.800013436495859938e-06
1.000000000000000000e+00 3.800013436495859938e-06
1.000000000000000000e+00 3.800013436495859938e-06
1.100000000000000089e+00 6.809615651277219603e-06
1.100000000000000089e+00 6.809615651277219603e-06
1.100000000000000089e+00 6.809615651277219603e-06
1.199999999999999956e+00 4.310410457981549806e-06
1.199999999999999956e+00 4.310410457981549806e-06
1.199999999999999956e+00 4.310410457981549806e-06
1.300000000000000044e+00 -2.204365350642410015e-06
1.300000000000000044e+00 -2.204365350642410015e-06
1.300000000000000044e+00 -2.204365350642410015e-06
1.399999999999999911e+00 -7.085563301224429999e-06
1.399999999999999911e+00 -7.085563301224429999e-06
1.399999999999999911e+00 -7.085563301224429999e-06
1.500000000000000000e+00 -6.331767906753990116e-06
1.500000000000000000e+00 -6.331767906753990116e-06
1.500000000000000000e+00 -6.331767906753990116e-06
1.600000000000000089e+00 -1.430458720195409946e-06
1.600000000000000089e+00 -1.430458720195409946e-06
1.600000000000000089e+00 -1.430458720195409946e-06
1.699999999999999956e+00 2.999003519597839832e-06
1.699999999999999956e+00 2.999003519597839832e-06
1.699999999999999956e+00 2.999003519597839832e-06
1.800000000000000044e+00 4.062631005570379701e-06
1.800000000000000044e+00 4.062631005570379701e-06
1.800000000000000044e+00 4.062631005570379701e-06
1.899999999999999911e+00 2.458491357911800196e-06
1.899999999999999911e+00 2.458491357911800196e-06
1.899999999999999911e+00 2.458491357911800196e-06
2.000000000000000000e+00 6.087611049685919566e-07
2.000000000000000000e+00 6.087611049685919566e-07
2.000000000000000000e+00 6.087611049685919566e-07
2.100000000000000089e+00 1.195446719075450079e-07
2.100000000000000089e+00 1.195446719075450079e-07
2.100000000000000089e+00 1.195446719075450079e-07
2.200000000000000178e+00 8.819174807414329949e-07
2.200000000000000178e+00 8.819174807414329949e-07
2.200000000000000178e+00 8.819174807414329949e-07
2.299999999999999822e+00 1.717167640945939905e-06
2.299999999999999822e+00 1.717167640945939905e-06
2.299999999999999822e+00 1.717167640945939905e-06
2.399999999999999911e+00 1.458359162006039949e-06
2.399999999999999911e+00 1.458359162006039949e-06
2.399999999999999911e+00 1.458359162006039949e-06
2.500000000000000000e+00 -2.761107269887590181e-07
2.500000000000000000e+00 -2.761107269887590181e-07
2.500000000000000000e+00 -2.761107269887590181e-07
2.600000000000000089e+00 -2.867257847067900000e-06
2.600000000000000089e+00 -2.867257847067900000e-06
2.600000000000000089e+00 -2.867257847067900000e-06
2.700000000000000178e+00 -5.042226785598790299e-06
2.700000000000000178e+00 -5.042226785598790299e-06
2.700000000000000178e+00 -5.042226785598790299e-06
2.799999999999999822e+00 -5.543745898619539608e-06
2.799999999999999822e+00 -5.543745898619539608e-06
2.799999999999999822e+00 -5.543745898619539608e-06
2.899999999999999911e+00 -3.835533180121540370e-06
2.899999999999999911e+00 -3.835533180121540370e-06
2.899999999999999911e+00 -3.835533180121540370e-06
3.000000000000000000e+00 -5.744931064746299840e-07
3.000000000000000000e+00 -5.744931064746299840e-07
3.000000000000000000e+00 -5.744931064746299840e-07
3.100000000000000089e+00 2.531145620501569816e-06
3.100000000000000089e+00 2.531145620501569816e-06
3.100000000000000089e+00 2.531145620501569816e-06
3.200000000000000178e+00 3.713501298942739991e-06
3.200000000000000178e+00 3.713501298942739991e-06
3.200000000000000178e+00 3.713501298942739991e-06
3.299999999999999822e+00 2.531937151827400035e-06
3.299999999999999822e+00 2.531937151827400035e-06
3.299999999999999822e+00 2.531937151827400035e-06
3.399999999999999911e+00 4.148140176377230129e-07
3.399999999999999911e+00 4.148140176377230129e-07
3.399999999999999911e+00 4.148140176377230129e-07
3.500000000000000000e+00 -4.731879900613389813e-07
3.500000000000000000e+00 -4.731879900613389813e-07
3.500000000000000000e+00 -4.731879900613389813e-07
3.600000000000000089e+00 7.429204767994549651e-07
3.600000000000000089e+00 7.429204767994549651e-07
3.600000000000000089e+00 7.429204767994549651e-07
3.700000000000000178e+00 2.687215818979130139e-06
3.700000000000000178e+00 2.687215818979130139e-06
3.700000000000000178e+00 2.687215818979130139e-06
3.799999999999999822e+00 2.940963464715029967e-06
3.799999999999999822e+00 2.940963464715029967e-06
3.799999999999999822e+00 2.940963464715029967e-06
3.899999999999999911e+00 3.977943782732460159e-07
3.899999999999999911e+00 3.977943782732460159e-07
3.899999999999999911e+00 3.977943782732460159e-07
4.000000000000000000e+00 -3.522766401266780180e-06
4.000000000000000000e+00 -3.522766401266780180e-06
4.000000000000000000e+00 -3.522766401266780180e-06
4.099999999999999645e+00 -5.971774329011659929e-06
4.099999999999999645e+00 -5.971774329011659929e-06
4.099999999999999645e+00 -5.971774329011659929e-06
4.200000000000000178e+00 -5.033269181318519605e-06
4.200000000000000178e+00 -5.033269181318519605e-06
4.200000000000000178e+00 -5.033269181318519605e-06
4.299999999999999822e+00 -1.235968303994780065e-06
4.299999999999999822e+00 -1.235968303994780065e-06
4.299999999999999822e+00 -1.235968303994780065e-06
4.400000000000000355e+00 2.969392563555159921e-06
4.400000000000000355e+00 2.969392563555159921e-06
4.400000000000000355e+00 2.969392563555159921e-06
4.500000000000000000e+00 5.101196345554960047e-06
4.500000000000000000e+00 5.101196345554960047e-06
4.500000000000000000e+00 5.101196345554960047e-06
4.599999999999999645e+00 4.285344700038769776e-06
4.599999999999999645e+00 4.285344700038769776e-06
4.599999999999999645e+00 4.285344700038769776e-06
4.700000000000000178e+00 1.507312162831780024e-06
4.700000000000000178e+00 1.507312162831780024e-06
4.700000000000000178e+00 1.507312162831780024e-06
4.799999999999999822e+00 -1.370826021736070062e-06
4.799999999999999822e+00 -1.370826021736070062e-06
4.799999999999999822e+00 -1.370826021736070062e-06
4.900000000000000355e+00 -2.887230622811059861e-06
4.900000000000000355e+00 -2.887230622811059861e-06
