t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 -4.453328012435839707e-06
1.600000000000000033e-01 -4.453328012435839707e-06
1.600000000000000033e-01 -4.453328012435839707e-06
3.200000000000000067e-01 4.803409311453999957e-07
3.200000000000000067e-01 4.803409311453999957e-07
3.200000000000000067e-01 4.803409311453999957e-07
4.799999999999999822e-01 2.097431344575280015e-06
4.799999999999999822e-01 2.097431344575280015e-06
4.799999999999999822e-01 2.097431344575280015e-06
6.400000000000000133e-01 5.432351618687919617e-07
6.400000000000000133e-01 5.432351618687919617e-07
6.400000000000000133e-01 5.432351618687919617e-07
8.000000000000000444e-01 1.025630682684460106e-06
8.000000000000000444e-01 1.025630682684460106e-06
8.000000000000000444e-01 1.025630682684460106e-06
9.599999999999999645e-01 6.350339909014359782e-07
9.599999999999999645e-01 6.350339909014359782e-07
9.599999999999999645e-01 6.350339909014359782e-07
1.120000000000000107e+00 -2.955963986163829897e-06
1.120000000000000107e+00 -2.955963986163829897e-06
1.120000000000000107e+00 -2.955963986163829897e-06
1.280000000000000027e+00 -4.988855112266620147e-06
1.280000000000000027e+00 -4.988855112266620147e-06
1.280000000000000027e+00 -4.988855112266620147e-06
1.439999999999999947e+00 -2.309419163652410211e-06
1.439999999999999947e+00 -2.309419163652410211e-06
1.439999999999999947e+00 -2.309419163652410211e-06
1.600000000000000089e+00 1.708147356830739895e-06
1.600000000000000089e+00 1.708147356830739895e-06
1.600000000000000089e+00 1.708147356830739895e-06
1.760000000000000009e+00 3.180859391343779840e-06
1.760000000000000009e+00 3.180859391343779840e-06
1.760000000000000009e+00 3.180859391343779840e-06
1.919999999999999929e+00 2.190383604133840153e-06
1.919999999999999929e+00 2.190383604133840153e-06
1.919999999999999929e+00 2.190383604133840153e-06
2.080000000000000071e+00 5.399157417139010092e-07
2.080000000000000071e+00 5.399157417139010092e-07
2.080000000000000071e+00 5.399157417139010092e-07
2.240000000000000213e+00 -6.599050119193499656e-07
2.240000000000000213e+00 -6.599050119193499656e-07
2.240000000000000213e+00 -6.599050119193499656e-07
2.399999999999999911e+00 -8.520389169678959563e-07
2.399999999999999911e+00 -8.520389169678959563e-07
2.399999999999999911e+00 -8.520389169678959563e-07
2.560000000000000053e+00 -4.650057160098729933e-09
2.560000000000000053e+00 -4.650057160098729933e-09
2.560000000000000053e+00 -4.650057160098729933e-09
2.720000000000000195e+00 9.348088105958349660e-07
2.720000000000000195e+00 9.348088105958349660e-07
2.720000000000000195e+00 9.348088105958349660e-07
2.879999999999999893e+00 8.616747692319970310e-07
2.879999999999999893e+00 8.616747692319970310e-07
2.879999999999999893e+00 8.616747692319970310e-07
3.040000000000000036e+00 -1.368349236397419946e-07
3.040000000000000036e+00 -1.368349236397419946e-07
3.040000000000000036e+00 -1.368349236397419946e-07
3.200000000000000178e+00 -9.738792913173229522e-07
3.200000000000000178e+00 -9.738792913173229522e-07
3.200000000000000178e+00 -9.738792913173229522e-07
3.359999999999999876e+00 -1.032320778888229915e-06
3.359999999999999876e+00 -1.032320778888229915e-06
3.359999999999999876e+00 -1.032320778888229915e-06
3.520000000000000018e+00 -7.743651831376270396e-07
3.520000000000000018e+00 -7.743651831376270396e-07
3.520000000000000018e+00 -7.743651831376270396e-07
3.680000000000000160e+00 -7.832881078345089664e-07
3.680000000000000160e+00 -7.832881078345089664e-07
3.680000000000000160e+00 -7.832881078345089664e-07
3.839999999999999858e+00 -8.888230822705659846e-07
3.839999999999999858e+00 -8.888230822705659846e-07
3.839999999999999858e+00 -8.888230822705659846e-07
4.000000000000000000e+00 -5.168461321839120522e-07
4.000000000000000000e+00 -5.168461321839120522e-07
4.000000000000000000e+00 -5.168461321839120522e-07
4.160000000000000142e+00 3.204795629441839944e-07
4.160000000000000142e+00 3.204795629441839944e-07
4.160000000000000142e+00 3.204795629441839944e-07
4.320000000000000284e+00 8.339218330487119888e-07
4.320000000000000284e+00 8.339218330487119888e-07
4.320000000000000284e+00 8.339218330487119888e-07
4.480000000000000426e+00 3.246543739599229769e-07
4.480000000000000426e+00 3.246543739599229769e-07
4.480000000000000426e+00 3.246543739599229769e-07
4.639999999999999680e+00 -9.590802983576649079e-07
4.639999999999999680e+00 -9.590802983576649079e-07
4.639999999999999680e+00 -9.590802983576649079e-07
4.799999999999999822e+00 -1.906588331656920011e-06
4.799999999999999822e+00 -1.906588331656920011e-06
4.799999999999999822e+00 -1.906588331656920011e-06
4.959999999999999964e+00 -1.505906323454139910e-06
4.959999999999999964e+00 -1.505906323454139910e-06
4.959999999999999964e+00 -1.505906323454139910e-06
5.120000000000000107e+00 2.415402590589490106e-07
5.120000000000000107e+00 2.415402590589490106e-07
5.120000000000000107e+00 2.415402590589490106e-07
5.280000000000000249e+00 2.207738232265960127e-06
5.280000000000000249e+00 2.207738232265960127e-06
5.280000000000000249e+00 2.207738232265960127e-06
5.440000000000000391e+00 2.960921832742010068e-06
5.440000000000000391e+00 2.960921832742010068e-06
5.440000000000000391e+00 2.960921832742010068e-06
5.599999999999999645e+00 1.861428816159700021e-06
5.599999999999999645e+00 1.861428816159700021e-06
5.599999999999999645e+00 1.861428816159700021e-06
5.759999999999999787e+00 -4.245596961796279945e-07
5.759999999999999787e+00 -4.245596961796279945e-07
5.759999999999999787e+00 -4.245596961796279945e-07
5.919999999999999929e+00 -2.347312584433620170e-06
5.919999999999999929e+00 -2.347312584433620170e-06
5.919999999999999929e+00 -2.347312584433620170e-06
6.080000000000000071e+00 -2.630955693914139969e-06
6.080000000000000071e+00 -2.630955693914139969e-06
6.080000000000000071e+00 -2.630955693914139969e-06
6.240000000000000213e+00 -1.193526277112269997e-06
6.240000000000000213e+00 -1.193526277112269997e-06
6.240000000000000213e+00 -1.193526277112269997e-06
6.400000000000000355e+00 8.679429774405849563e-07
6.400000000000000355e+00 8.679429774405849563e-07
6.400000000000000355e+00 8.679429774405849563e-07
6.559999999999999609e+00 2.148222488686969847e-06
6.559999999999999609e+00 2.148222488686969847e-06
6.559999999999999609e+00 2.148222488686969847e-06
6.719999999999999751e+00 1.977611398017569978e-06
6.719999999999999751e+00 1.977611398017569978e-06
6.719999999999999751e+00 1.977611398017569978e-06
6.879999999999999893e+00 7.207256024845849584e-07
6.879999999999999893e+00 7.207256024845849584e-07
6.879999999999999893e+00 7.207256024845849584e-07
7.040000000000000036e+00 -7.055853470645999897e-07
7.040000000000000036e+00 -7.055853470645999897e-07
7.040000000000000036e+00 -7.055853470645999897e-07
7.200000000000000178e+00 -1.569064402722419978e-06
7.200000000000000178e+00 -1.569064402722419978e-06
7.200000000000000178e+00 -1.569064402722419978e-06
7.360000000000000320e+00 -1.737264811343320044e-06
7.360000000000000320e+00 -1.737264811343320044e-06
