t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 -2.582809895964330037e-08
1.600000000000000033e-01 -2.582809895964330037e-08
1.600000000000000033e-01 -2.582809895964330037e-08
3.200000000000000067e-01 -9.805923827479519892e-07
3.200000000000000067e-01 -9.805923827479519892e-07
3.200000000000000067e-01 -9.805923827479519892e-07
4.799999999999999822e-01 3.293657472834780201e-07
4.799999999999999822e-01 3.293657472834780201e-07
4.799999999999999822e-01 3.293657472834780201e-07
6.400000000000000133e-01 2.920383269926580037e-07
6.400000000000000133e-01 2.920383269926580037e-07
6.400000000000000133e-01 2.920383269926580037e-07
8.000000000000000444e-01 8.995032618065449825e-07
8.000000000000000444e-01 8.995032618065449825e-07
8.000000000000000444e-01 8.995032618065449825e-07
9.599999999999999645e-01 1.327892143654649960e-06
9.599999999999999645e-01 1.327892143654649960e-06
9.599999999999999645e-01 1.327892143654649960e-06
1.120000000000000107e+00 -4.123331287413449984e-06
1.120000000000000107e+00 -4.123331287413449984e-06
1.120000000000000107e+00 -4.123331287413449984e-06
1.280000000000000027e+00 -9.093135605648520513e-07
1.280000000000000027e+00 -9.093135605648520513e-07
1.280000000000000027e+00 -9.093135605648520513e-07
1.439999999999999947e+00 1.267014459972090099e-06
1.439999999999999947e+00 1.267014459972090099e-06
1.439999999999999947e+00 1.267014459972090099e-06
1.600000000000000089e+00 5.282079017993750080e-07
1.600000000000000089e+00 5.282079017993750080e-07
1.600000000000000089e+00 5.282079017993750080e-07
1.760000000000000009e+00 3.594521212761570107e-07
1.760000000000000009e+00 3.594521212761570107e-07
1.760000000000000009e+00 3.594521212761570107e-07
1.919999999999999929e+00 3.163292090562300079e-08
1.919999999999999929e+00 3.163292090562300079e-08
1.919999999999999929e+00 3.163292090562300079e-08
2.080000000000000071e+00 -1.453565555379130076e-06
2.080000000000000071e+00 -1.453565555379130076e-06
2.080000000000000071e+00 -1.453565555379130076e-06
2.240000000000000213e+00 -4.054132352152269798e-08
2.240000000000000213e+00 -4.054132352152269798e-08
2.240000000000000213e+00 -4.054132352152269798e-08
2.399999999999999911e+00 -8.587665728402029356e-08
2.399999999999999911e+00 -8.587665728402029356e-08
2.399999999999999911e+00 -8.587665728402029356e-08
2.560000000000000053e+00 2.558100647369820125e-06
2.560000000000000053e+00 2.558100647369820125e-06
2.560000000000000053e+00 2.558100647369820125e-06
2.720000000000000195e+00 -2.128720523026499913e-06
2.720000000000000195e+00 -2.128720523026499913e-06
2.720000000000000195e+00 -2.128720523026499913e-06
2.879999999999999893e+00 -3.415322616529689962e-06
2.879999999999999893e+00 -3.415322616529689962e-06
2.879999999999999893e+00 -3.415322616529689962e-06
3.040000000000000036e+00 3.405213700472340047e-06
3.040000000000000036e+00 3.405213700472340047e-06
3.040000000000000036e+00 3.405213700472340047e-06
3.200000000000000178e+00 2.198905956733980131e-06
3.200000000000000178e+00 2.198905956733980131e-06
3.200000000000000178e+00 2.198905956733980131e-06
3.359999999999999876e+00 -1.558008346798720036e-06
3.359999999999999876e+00 -1.558008346798720036e-06
3.359999999999999876e+00 -1.558008346798720036e-06
3.520000000000000018e+00 -2.120058127323329921e-06
3.520000000000000018e+00 -2.120058127323329921e-06
3.520000000000000018e+00 -2.120058127323329921e-06
3.680000000000000160e+00 -3.571122491109969812e-06
3.680000000000000160e+00 -3.571122491109969812e-06
3.680000000000000160e+00 -3.571122491109969812e-06
3.839999999999999858e+00 1.652956562651640044e-07
3.839999999999999858e+00 1.652956562651640044e-07
3.839999999999999858e+00 1.652956562651640044e-07
4.000000000000000000e+00 4.267679843980159914e-06
4.000000000000000000e+00 4.267679843980159914e-06
4.000000000000000000e+00 4.267679843980159914e-06
4.160000000000000142e+00 1.484355495503889897e-06
4.160000000000000142e+00 1.484355495503889897e-06
4.160000000000000142e+00 1.484355495503889897e-06
4.320000000000000284e+00 -1.734817601102530055e-06
4.320000000000000284e+00 -1.734817601102530055e-06
4.320000000000000284e+00 -1.734817601102530055e-06
4.480000000000000426e+00 -3.789567213433069808e-06
4.480000000000000426e+00 -3.789567213433069808e-06
4.480000000000000426e+00 -3.789567213433069808e-06
4.639999999999999680e+00 -1.810872945162000032e-06
4.639999999999999680e+00 -1.810872945162000032e-06
4.639999999999999680e+00 -1.810872945162000032e-06
4.799999999999999822e+00 4.435236189123279923e-06
4.799999999999999822e+00 4.435236189123279923e-06
4.799999999999999822e+00 4.435236189123279923e-06
4.959999999999999964e+00 1.685949668863629915e-06
4.959999999999999964e+00 1.685949668863629915e-06
4.959999999999999964e+00 1.685949668863629915e-06
5.120000000000000107e+00 -3.621831799092789959e-06
5.120000000000000107e+00 -3.621831799092789959e-06
5.120000000000000107e+00 -3.621831799092789959e-06
5.280000000000000249e+00 1.739546545099510062e-06
5.280000000000000249e+00 1.739546545099510062e-06
5.280000000000000249e+00 1.739546545099510062e-06
5.440000000000000391e+00 1.893763418779380051e-06
5.440000000000000391e+00 1.893763418779380051e-06
5.440000000000000391e+00 1.893763418779380051e-06
5.599999999999999645e+00 -3.947357196130289599e-06
5.599999999999999645e+00 -3.947357196130289599e-06
5.599999999999999645e+00 -3.947357196130289599e-06
5.759999999999999787e+00 -1.836930446545410075e-07
5.759999999999999787e+00 -1.836930446545410075e-07
5.759999999999999787e+00 -1.836930446545410075e-07
5.919999999999999929e+00 2.939912019408799790e-06
5.919999999999999929e+00 2.939912019408799790e-06
5.919999999999999929e+00 2.939912019408799790e-06
6.080000000000000071e+00 -1.242729487233390085e-06
6.080000000000000071e+00 -1.242729487233390085e-06
6.080000000000000071e+00 -1.242729487233390085e-06
6.240000000000000213e+00 -2.034593324022849875e-06
6.240000000000000213e+00 -2.034593324022849875e-06
6.240000000000000213e+00 -2.034593324022849875e-06
6.400000000000000355e+00 1.245902023322649923e-06
6.400000000000000355e+00 1.245902023322649923e-06
6.400000000000000355e+00 1.245902023322649923e-06
6.559999999999999609e+00 1.797341284241339987e-06
6.559999999999999609e+00 1.797341284241339987e-06
6.559999999999999609e+00 1.797341284241339987e-06
6.719999999999999751e+00 -8.218540985115080098e-07
6.719999999999999751e+00 -8.218540985115080098e-07
6.719999999999999751e+00 -8.218540985115080098e-07
6.879999999999999893e+00 -1.393047128335120017e-06
6.879999999999999893e+00 -1.393047128335120017e-06
6.879999999999999893e+00 -1.393047128335120017e-06
7.040000000000000036e+00 2.293685432576629795e-06
7.040000000000000036e+00 2.293685432576629795e-06
7.040000000000000036e+00 2.293685432576629795e-06
7.200000000000000178e+00 3.369458437322800013e-06
7.200000000000000178e+00 3.369458437322800013e-06
7.200000000000000178e+00 3.369458437322800013e-06
7.360000000000000320e+00 -2.792142261703779992e-06
7.360000000000000320e+00 -2.792142261703779992e-06
