t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 6.253754286615230081e-08
8.000000000000000167e-02 6.253754286615230081e-08
8.000000000000000167e-02 6.253754286615230081e-08
1.600000000000000033e-01 -3.552400087545409985e-08
1.600000000000000033e-01 -3.552400087545409985e-08
1.600000000000000033e-01 -3.552400087545409985e-08
1.600000000000000033e-01 -3.552400087545409985e-08
2.399999999999999911e-01 2.292172877058470100e-08
2.399999999999999911e-01 2.292172877058470100e-08
2.399999999999999911e-01 2.292172877058470100e-08
3.200000000000000067e-01 -5.085885826455069856e-09
3.200000000000000067e-01 -5.085885826455069856e-09
3.200000000000000067e-01 -5.085885826455069856e-09
3.200000000000000067e-01 -5.085885826455069856e-09
4.000000000000000222e-01 -3.998755796802179824e-08
4.000000000000000222e-01 -3.998755796802179824e-08
4.000000000000000222e-01 -3.998755796802179824e-08
4.799999999999999822e-01 2.290815175658289882e-08
4.799999999999999822e-01 2.290815175658289882e-08
4.799999999999999822e-01 2.290815175658289882e-08
4.799999999999999822e-01 2.290815175658289882e-08
5.600000000000000533e-01 3.619997042317100025e-08
5.600000000000000533e-01 3.619997042317100025e-08
5.600000000000000533e-01 3.619997042317100025e-08
6.400000000000000133e-01 -1.125261243635129949e-08
6.400000000000000133e-01 -1.125261243635129949e-08
6.400000000000000133e-01 -1.125261243635129949e-08
6.400000000000000133e-01 -1.125261243635129949e-08
7.199999999999999734e-01 -3.562292680893690293e-08
7.199999999999999734e-01 -3.562292680893690293e-08
7.199999999999999734e-01 -3.562292680893690293e-08
8.000000000000000444e-01 4.874078989300670113e-09
8.000000000000000444e-01 4.874078989300670113e-09
8.000000000000000444e-01 4.874078989300670113e-09
8.000000000000000444e-01 4.874078989300670113e-09
8.800000000000000044e-01 4.251494450966560318e-08
8.800000000000000044e-01 4.251494450966560318e-08
8.800000000000000044e-01 4.251494450966560318e-08
9.599999999999999645e-01 1.503079270984980120e-08
9.599999999999999645e-01 1.503079270984980120e-08
9.599999999999999645e-01 1.503079270984980120e-08
9.599999999999999645e-01 1.503079270984980120e-08
1.040000000000000036e+00 -3.603199536033090251e-08
1.040000000000000036e+00 -3.603199536033090251e-08
1.040000000000000036e+00 -3.603199536033090251e-08
1.120000000000000107e+00 -4.089319983910110065e-08
1.120000000000000107e+00 -4.089319983910110065e-08
1.120000000000000107e+00 -4.089319983910110065e-08
1.120000000000000107e+00 -4.089319983910110065e-08
1.199999999999999956e+00 1.134230254143760036e-09
1.199999999999999956e+00 1.134230254143760036e-09
1.199999999999999956e+00 1.134230254143760036e-09
1.280000000000000027e+00 3.939089899808869932e-08
1.280000000000000027e+00 3.939089899808869932e-08
1.280000000000000027e+00 3.939089899808869932e-08
1.280000000000000027e+00 3.939089899808869932e-08
1.360000000000000098e+00 4.157357360187929675e-08
1.360000000000000098e+00 4.157357360187929675e-08
1.360000000000000098e+00 4.157357360187929675e-08
1.439999999999999947e+00 1.790651806641540144e-08
1.439999999999999947e+00 1.790651806641540144e-08
1.439999999999999947e+00 1.790651806641540144e-08
1.439999999999999947e+00 1.790651806641540144e-08
1.520000000000000018e+00 -6.578520148386709731e-09
1.520000000000000018e+00 -6.578520148386709731e-09
1.520000000000000018e+00 -6.578520148386709731e-09
1.600000000000000089e+00 -2.027185406051790103e-08
1.600000000000000089e+00 -2.027185406051790103e-08
1.600000000000000089e+00 -2.027185406051790103e-08
1.600000000000000089e+00 -2.027185406051790103e-08
1.679999999999999938e+00 -2.319034189798720090e-08
1.679999999999999938e+00 -2.319034189798720090e-08
1.679999999999999938e+00 -2.319034189798720090e-08
1.760000000000000009e+00 -1.424074145937529921e-08
1.760000000000000009e+00 -1.424074145937529921e-08
1.760000000000000009e+00 -1.424074145937529921e-08
1.760000000000000009e+00 -1.424074145937529921e-08
1.840000000000000080e+00 5.753163381485579752e-09
1.840000000000000080e+00 5.753163381485579752e-09
1.840000000000000080e+00 5.753163381485579752e-09
1.919999999999999929e+00 2.210026619995409960e-08
1.919999999999999929e+00 2.210026619995409960e-08
1.919999999999999929e+00 2.210026619995409960e-08
1.919999999999999929e+00 2.210026619995409960e-08
2.000000000000000000e+00 1.475137910885710022e-08
2.000000000000000000e+00 1.475137910885710022e-08
2.000000000000000000e+00 1.475137910885710022e-08
2.080000000000000071e+00 -1.032907758464950079e-08
2.080000000000000071e+00 -1.032907758464950079e-08
2.080000000000000071e+00 -1.032907758464950079e-08
2.080000000000000071e+00 -1.032907758464950079e-08
2.160000000000000142e+00 -1.694989534886299902e-08
2.160000000000000142e+00 -1.694989534886299902e-08
2.160000000000000142e+00 -1.694989534886299902e-08
2.240000000000000213e+00 9.879093472161870448e-09
2.240000000000000213e+00 9.879093472161870448e-09
2.240000000000000213e+00 9.879093472161870448e-09
2.240000000000000213e+00 9.879093472161870448e-09
2.319999999999999840e+00 3.064316786033609811e-08
2.319999999999999840e+00 3.064316786033609811e-08
2.319999999999999840e+00 3.064316786033609811e-08
2.399999999999999911e+00 9.913426627836309593e-09
2.399999999999999911e+00 9.913426627836309593e-09
2.399999999999999911e+00 9.913426627836309593e-09
2.399999999999999911e+00 9.913426627836309593e-09
2.479999999999999982e+00 -1.863391796110070041e-08
2.479999999999999982e+00 -1.863391796110070041e-08
2.479999999999999982e+00 -1.863391796110070041e-08
2.560000000000000053e+00 -6.333126530483049984e-09
2.560000000000000053e+00 -6.333126530483049984e-09
2.560000000000000053e+00 -6.333126530483049984e-09
2.560000000000000053e+00 -6.333126530483049984e-09
2.640000000000000124e+00 2.260564972679450083e-08
2.640000000000000124e+00 2.260564972679450083e-08
2.640000000000000124e+00 2.260564972679450083e-08
2.720000000000000195e+00 1.704791165800179848e-08
2.720000000000000195e+00 1.704791165800179848e-08
2.720000000000000195e+00 1.704791165800179848e-08
2.720000000000000195e+00 1.704791165800179848e-08
2.799999999999999822e+00 -5.444440666419810268e-09
2.799999999999999822e+00 -5.444440666419810268e-09
2.799999999999999822e+00 -5.444440666419810268e-09
2.879999999999999893e+00 -1.968756888019439929e-10
2.879999999999999893e+00 -1.968756888019439929e-10
2.879999999999999893e+00 -1.968756888019439929e-10
2.879999999999999893e+00 -1.968756888019439929e-10
2.959999999999999964e+00 1.643959904541800079e-08
2.959999999999999964e+00 1.643959904541800079e-08
2.959999999999999964e+00 1.643959904541800079e-08
3.040000000000000036e+00 9.276703737792769597e-09
3.040000000000000036e+00 9.276703737792769597e-09
3.040000000000000036e+00 9.276703737792769597e-09
3.040000000000000036e+00 9.276703737792769597e-09
3.120000000000000107e+00 -6.879951780980019680e-09
3.120000000000000107e+00 -6.879951780980019680e-09
3.120000000000000107e+00 -6.879951780980019680e-09
