t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 -1.953726395800720108e-07
1.600000000000000033e-01 -1.953726395800720108e-07
1.600000000000000033e-01 -1.953726395800720108e-07
3.200000000000000067e-01 -7.344460799674580629e-08
3.200000000000000067e-01 -7.344460799674580629e-08
3.200000000000000067e-01 -7.344460799674580629e-08
4.799999999999999822e-01 -7.172635371596270359e-07
4.799999999999999822e-01 -7.172635371596270359e-07
4.799999999999999822e-01 -7.172635371596270359e-07
6.400000000000000133e-01 -4.447291455390850217e-07
6.400000000000000133e-01 -4.447291455390850217e-07
6.400000000000000133e-01 -4.447291455390850217e-07
8.000000000000000444e-01 -4.999406058257749478e-07
8.000000000000000444e-01 -4.999406058257749478e-07
8.000000000000000444e-01 -4.999406058257749478e-07
9.599999999999999645e-01 -9.799440623085879629e-07
9.599999999999999645e-01 -9.799440623085879629e-07
9.599999999999999645e-01 -9.799440623085879629e-07
1.120000000000000107e+00 -7.088332747796400346e-07
1.120000000000000107e+00 -7.088332747796400346e-07
1.120000000000000107e+00 -7.088332747796400346e-07
1.280000000000000027e+00 -1.105366969201339911e-06
1.280000000000000027e+00 -1.105366969201339911e-06
1.280000000000000027e+00 -1.105366969201339911e-06
1.439999999999999947e+00 -1.457284468775239909e-06
1.439999999999999947e+00 -1.457284468775239909e-06
1.439999999999999947e+00 -1.457284468775239909e-06
1.600000000000000089e+00 -1.284872750510059961e-06
1.600000000000000089e+00 -1.284872750510059961e-06
1.600000000000000089e+00 -1.284872750510059961e-06
1.760000000000000009e+00 -1.226255987497190048e-06
1.760000000000000009e+00 -1.226255987497190048e-06
1.760000000000000009e+00 -1.226255987497190048e-06
1.919999999999999929e+00 -1.377375750280340011e-06
1.919999999999999929e+00 -1.377375750280340011e-06
1.919999999999999929e+00 -1.377375750280340011e-06
2.080000000000000071e+00 -2.062577618467930089e-06
2.080000000000000071e+00 -2.062577618467930089e-06
2.080000000000000071e+00 -2.062577618467930089e-06
2.240000000000000213e+00 -1.383323746162570092e-06
2.240000000000000213e+00 -1.383323746162570092e-06
2.240000000000000213e+00 -1.383323746162570092e-06
2.399999999999999911e+00 -2.097160068876779899e-06
2.399999999999999911e+00 -2.097160068876779899e-06
2.399999999999999911e+00 -2.097160068876779899e-06
2.560000000000000053e+00 -2.495469934254790121e-06
2.560000000000000053e+00 -2.495469934254790121e-06
2.560000000000000053e+00 -2.495469934254790121e-06
2.720000000000000195e+00 -1.126880828891510094e-06
2.720000000000000195e+00 -1.126880828891510094e-06
2.720000000000000195e+00 -1.126880828891510094e-06
2.879999999999999893e+00 -2.564595063708729791e-06
2.879999999999999893e+00 -2.564595063708729791e-06
2.879999999999999893e+00 -2.564595063708729791e-06
3.040000000000000036e+00 -2.547385253389069901e-06
3.040000000000000036e+00 -2.547385253389069901e-06
3.040000000000000036e+00 -2.547385253389069901e-06
3.200000000000000178e+00 -1.836149242188009965e-06
3.200000000000000178e+00 -1.836149242188009965e-06
3.200000000000000178e+00 -1.836149242188009965e-06
3.359999999999999876e+00 -3.275967025480809974e-06
3.359999999999999876e+00 -3.275967025480809974e-06
3.359999999999999876e+00 -3.275967025480809974e-06
3.520000000000000018e+00 -1.735027532942080036e-06
3.520000000000000018e+00 -1.735027532942080036e-06
3.520000000000000018e+00 -1.735027532942080036e-06
3.680000000000000160e+00 -2.671007433399210114e-06
3.680000000000000160e+00 -2.671007433399210114e-06
3.680000000000000160e+00 -2.671007433399210114e-06
3.839999999999999858e+00 -3.463495801772779789e-06
3.839999999999999858e+00 -3.463495801772779789e-06
3.839999999999999858e+00 -3.463495801772779789e-06
4.000000000000000000e+00 -1.896726012635179952e-06
4.000000000000000000e+00 -1.896726012635179952e-06
4.000000000000000000e+00 -1.896726012635179952e-06
4.160000000000000142e+00 -2.626390419843380157e-06
4.160000000000000142e+00 -2.626390419843380157e-06
4.160000000000000142e+00 -2.626390419843380157e-06
4.320000000000000284e+00 -3.194905921086980000e-06
4.320000000000000284e+00 -3.194905921086980000e-06
4.320000000000000284e+00 -3.194905921086980000e-06
4.480000000000000426e+00 -2.845501125061469883e-06
4.480000000000000426e+00 -2.845501125061469883e-06
4.480000000000000426e+00 -2.845501125061469883e-06
4.639999999999999680e+00 -2.815506116443629836e-06
4.639999999999999680e+00 -2.815506116443629836e-06
4.639999999999999680e+00 -2.815506116443629836e-06
4.799999999999999822e+00 -3.150986506908389849e-06
4.799999999999999822e+00 -3.150986506908389849e-06
4.799999999999999822e+00 -3.150986506908389849e-06
4.959999999999999964e+00 -3.094475338567029990e-06
4.959999999999999964e+00 -3.094475338567029990e-06
4.959999999999999964e+00 -3.094475338567029990e-06
5.120000000000000107e+00 -2.832542985616759794e-06
5.120000000000000107e+00 -2.832542985616759794e-06
5.120000000000000107e+00 -2.832542985616759794e-06
5.280000000000000249e+00 -2.712823514658950185e-06
5.280000000000000249e+00 -2.712823514658950185e-06
5.280000000000000249e+00 -2.712823514658950185e-06
5.440000000000000391e+00 -3.444815283843179894e-06
5.440000000000000391e+00 -3.444815283843179894e-06
5.440000000000000391e+00 -3.444815283843179894e-06
5.599999999999999645e+00 -2.869295049920629877e-06
5.599999999999999645e+00 -2.869295049920629877e-06
5.599999999999999645e+00 -2.869295049920629877e-06
5.759999999999999787e+00 -2.596466716870120108e-06
5.759999999999999787e+00 -2.596466716870120108e-06
5.759999999999999787e+00 -2.596466716870120108e-06
5.919999999999999929e+00 -3.684182747994049926e-06
5.919999999999999929e+00 -3.684182747994049926e-06
5.919999999999999929e+00 -3.684182747994049926e-06
6.080000000000000071e+00 -2.259157467152229911e-06
6.080000000000000071e+00 -2.259157467152229911e-06
6.080000000000000071e+00 -2.259157467152229911e-06
6.240000000000000213e+00 -3.337084243381129999e-06
6.240000000000000213e+00 -3.337084243381129999e-06
6.240000000000000213e+00 -3.337084243381129999e-06
6.400000000000000355e+00 -4.037522649587289645e-06
6.400000000000000355e+00 -4.037522649587289645e-06
6.400000000000000355e+00 -4.037522649587289645e-06
6.559999999999999609e+00 -7.601130939106020205e-07
6.559999999999999609e+00 -7.601130939106020205e-07
6.559999999999999609e+00 -7.601130939106020205e-07
6.719999999999999751e+00 -4.332209127889589969e-06
6.719999999999999751e+00 -4.332209127889589969e-06
6.719999999999999751e+00 -4.332209127889589969e-06
6.879999999999999893e+00 -2.451176019739759898e-06
6.879999999999999893e+00 -2.451176019739759898e-06
6.879999999999999893e+00 -2.451176019739759898e-06
7.040000000000000036e+00 -2.532069206436469903e-06
7.040000000000000036e+00 -2.532069206436469903e-06
7.040000000000000036e+00 -2.532069206436469903e-06
7.200000000000000178e+00 -3.818140332946610249e-06
7.200000000000000178e+00 -3.818140332946610249e-06
