t kphi
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 -1.052823750981069932e-05
2.000000000000000111e-01 -1.052823750981069932e-05
2.000000000000000111e-01 -1.052823750981069932e-05
2.000000000000000111e-01 -1.052823750981069932e-05
4.000000000000000222e-01 1.605184936955720075e-06
4.000000000000000222e-01 1.605184936955720075e-06
4.000000000000000222e-01 1.605184936955720075e-06
4.000000000000000222e-01 1.605184936955720075e-06
5.999999999999999778e-01 -7.432864561969329789e-07
5.999999999999999778e-01 -7.432864561969329789e-07
5.999999999999999778e-01 -7.432864561969329789e-07
5.999999999999999778e-01 -7.432864561969329789e-07
8.000000000000000444e-01 2.184533074017639985e-08
8.000000000000000444e-01 2.184533074017639985e-08
8.000000000000000444e-01 2.184533074017639985e-08
8.000000000000000444e-01 2.184533074017639985e-08
1.000000000000000000e+00 -2.942796262609210137e-07
1.000000000000000000e+00 -2.942796262609210137e-07
1.000000000000000000e+00 -2.942796262609210137e-07
1.000000000000000000e+00 -2.942796262609210137e-07
1.199999999999999956e+00 -1.093296195302070045e-07
1.199999999999999956e+00 -1.093296195302070045e-07
1.199999999999999956e+00 -1.093296195302070045e-07
1.199999999999999956e+00 -1.093296195302070045e-07
1.399999999999999911e+00 -2.335403847174230118e-07
1.399999999999999911e+00 -2.335403847174230118e-07
1.399999999999999911e+00 -2.335403847174230118e-07
1.399999999999999911e+00 -2.335403847174230118e-07
1.600000000000000089e+00 -1.428712260293599969e-07
1.600000000000000089e+00 -1.428712260293599969e-07
1.600000000000000089e+00 -1.428712260293599969e-07
1.600000000000000089e+00 -1.428712260293599969e-07
1.800000000000000044e+00 -1.989874508656729907e-07
1.800000000000000044e+00 -1.989874508656729907e-07
1.800000000000000044e+00 -1.989874508656729907e-07
1.800000000000000044e+00 -1.989874508656729907e-07
2.000000000000000000e+00 -1.524886884840700017e-07
2.000000000000000000e+00 -1.524886884840700017e-07
2.000000000000000000e+00 -1.524886884840700017e-07
2.000000000000000000e+00 -1.524886884840700017e-07
2.200000000000000178e+00 -1.812046416529880041e-07
2.200000000000000178e+00 -1.812046416529880041e-07
2.200000000000000178e+00 -1.812046416529880041e-07
2.200000000000000178e+00 -1.812046416529880041e-07
2.399999999999999911e+00 -1.672238871832980120e-07
2.399999999999999911e+00 -1.672238871832980120e-07
2.399999999999999911e+00 -1.672238871832980120e-07
2.399999999999999911e+00 -1.672238871832980120e-07
2.600000000000000089e+00 -1.334651466795500072e-07
2.600000000000000089e+00 -1.334651466795500072e-07
2.600000000000000089e+00 -1.334651466795500072e-07
2.600000000000000089e+00 -1.334651466795500072e-07
2.799999999999999822e+00 3.638381494819989798e-07
2.799999999999999822e+00 3.638381494819989798e-07
2.799999999999999822e+00 3.638381494819989798e-07
2.799999999999999822e+00 3.638381494819989798e-07
3.000000000000000000e+00 1.206262473162710080e-06
3.000000000000000000e+00 1.206262473162710080e-06
3.000000000000000000e+00 1.206262473162710080e-06
3.000000000000000000e+00 1.206262473162710080e-06
3.200000000000000178e+00 1.271035206297130058e-06
3.200000000000000178e+00 1.271035206297130058e-06
3.200000000000000178e+00 1.271035206297130058e-06
3.200000000000000178e+00 1.271035206297130058e-06
3.399999999999999911e+00 4.935464389739750405e-07
3.399999999999999911e+00 4.935464389739750405e-07
3.399999999999999911e+00 4.935464389739750405e-07
3.399999999999999911e+00 4.935464389739750405e-07
3.600000000000000089e+00 2.121940134914099974e-07
3.600000000000000089e+00 2.121940134914099974e-07
3.600000000000000089e+00 2.121940134914099974e-07
3.600000000000000089e+00 2.121940134914099974e-07
3.799999999999999822e+00 -4.152937519258400287e-08
3.799999999999999822e+00 -4.152937519258400287e-08
3.799999999999999822e+00 -4.152937519258400287e-08
3.799999999999999822e+00 -4.152937519258400287e-08
4.000000000000000000e+00 -4.537383872397360102e-07
4.000000000000000000e+00 -4.537383872397360102e-07
4.000000000000000000e+00 -4.537383872397360102e-07
4.000000000000000000e+00 -4.537383872397360102e-07
4.200000000000000178e+00 -1.477971345372449917e-06
4.200000000000000178e+00 -1.477971345372449917e-06
4.200000000000000178e+00 -1.477971345372449917e-06
4.200000000000000178e+00 -1.477971345372449917e-06
4.400000000000000355e+00 -2.964723019022600037e-06
4.400000000000000355e+00 -2.964723019022600037e-06
4.400000000000000355e+00 -2.964723019022600037e-06
4.400000000000000355e+00 -2.964723019022600037e-06
4.599999999999999645e+00 -2.018711332936449838e-06
4.599999999999999645e+00 -2.018711332936449838e-06
4.599999999999999645e+00 -2.018711332936449838e-06
4.599999999999999645e+00 -2.018711332936449838e-06
4.799999999999999822e+00 1.545546817149349869e-08
4.799999999999999822e+00 1.545546817149349869e-08
4.799999999999999822e+00 1.545546817149349869e-08
4.799999999999999822e+00 1.545546817149349869e-08
5.000000000000000000e+00 8.170153307930229435e-08
5.000000000000000000e+00 8.170153307930229435e-08
5.000000000000000000e+00 8.170153307930229435e-08
5.000000000000000000e+00 8.170153307930229435e-08
5.200000000000000178e+00 6.979908296663129704e-07
5.200000000000000178e+00 6.979908296663129704e-07
5.200000000000000178e+00 6.979908296663129704e-07
5.200000000000000178e+00 6.979908296663129704e-07
5.400000000000000355e+00 2.744863961706809818e-06
5.400000000000000355e+00 2.744863961706809818e-06
5.400000000000000355e+00 2.744863961706809818e-06
5.400000000000000355e+00 2.744863961706809818e-06
5.599999999999999645e+00 -6.343246435993530351e-07
5.599999999999999645e+00 -6.343246435993530351e-07
5.599999999999999645e+00 -6.343246435993530351e-07
5.599999999999999645e+00 -6.343246435993530351e-07
5.799999999999999822e+00 -2.924101785874090040e-07
5.799999999999999822e+00 -2.924101785874090040e-07
5.799999999999999822e+00 -2.924101785874090040e-07
5.799999999999999822e+00 -2.924101785874090040e-07
6.000000000000000000e+00 -9.721810257419590130e-07
6.000000000000000000e+00 -9.721810257419590130e-07
6.000000000000000000e+00 -9.721810257419590130e-07
6.000000000000000000e+00 -9.721810257419590130e-07
6.200000000000000178e+00 -4.574457940281930145e-07
6.200000000000000178e+00 -4.574457940281930145e-07
6.200000000000000178e+00 -4.574457940281930145e-07
6.200000000000000178e+00 -4.574457940281930145e-07
6.400000000000000355e+00 -3.419286754007450017e-07
6.400000000000000355e+00 -3.419286754007450017e-07
6.400000000000000355e+00 -3.419286754007450017e-07
6.400000000000000355e+00 -3.419286754007450017e-07
6.599999999999999645e+00 1.688398781281439961e-06
6.599999999999999645e+00 1.688398781281439961e-06
6.599999999999999645e+00 1.688398781281439961e-06
6.599999999999999645e+00 1.688398781281439961e-06
6.799999999999999822e+00 1.826418364300160008e-06
6.799999999999999822e+00 1.826418364300160008e-06
6.799999999999999822e+00 1.826418364300160008e-06
