t lapse
0.000000000000000000e+00 6.660982217105430037e-01
0.000000000000000000e+00 6.660982217105430037e-01
0.000000000000000000e+00 6.660982217105430037e-01
3.200000000000000067e-01 6.660976289572160258e-01
3.200000000000000067e-01 6.660976289572160258e-01
3.200000000000000067e-01 6.660976289572160258e-01
6.400000000000000133e-01 6.660971041922190139e-01
6.400000000000000133e-01 6.660971041922190139e-01
6.400000000000000133e-01 6.660971041922190139e-01
9.599999999999999645e-01 6.660988759897940037e-01
9.599999999999999645e-01 6.660988759897940037e-01
9.599999999999999645e-01 6.660988759897940037e-01
1.280000000000000027e+00 6.660954259287299450e-01
1.280000000000000027e+00 6.660954259287299450e-01
1.280000000000000027e+00 6.660954259287299450e-01
1.600000000000000089e+00 6.660987195982660536e-01
1.600000000000000089e+00 6.660987195982660536e-01
1.600000000000000089e+00 6.660987195982660536e-01
1.919999999999999929e+00 6.660982087172030441e-01
1.919999999999999929e+00 6.660982087172030441e-01
1.919999999999999929e+00 6.660982087172030441e-01
2.240000000000000213e+00 6.660944473094260188e-01
2.240000000000000213e+00 6.660944473094260188e-01
2.240000000000000213e+00 6.660944473094260188e-01
2.560000000000000053e+00 6.660963707935160238e-01
2.560000000000000053e+00 6.660963707935160238e-01
2.560000000000000053e+00 6.660963707935160238e-01
2.879999999999999893e+00 6.660982254024060412e-01
2.879999999999999893e+00 6.660982254024060412e-01
2.879999999999999893e+00 6.660982254024060412e-01
3.200000000000000178e+00 6.660953651561889455e-01
3.200000000000000178e+00 6.660953651561889455e-01
3.200000000000000178e+00 6.660953651561889455e-01
3.520000000000000018e+00 6.660980386691539579e-01
3.520000000000000018e+00 6.660980386691539579e-01
3.520000000000000018e+00 6.660980386691539579e-01
3.839999999999999858e+00 6.660951639475549690e-01
3.839999999999999858e+00 6.660951639475549690e-01
3.839999999999999858e+00 6.660951639475549690e-01
4.160000000000000142e+00 6.660999145030790380e-01
4.160000000000000142e+00 6.660999145030790380e-01
4.160000000000000142e+00 6.660999145030790380e-01
4.480000000000000426e+00 6.660982304166479517e-01
4.480000000000000426e+00 6.660982304166479517e-01
4.480000000000000426e+00 6.660982304166479517e-01
4.799999999999999822e+00 6.660973496404000160e-01
4.799999999999999822e+00 6.660973496404000160e-01
4.799999999999999822e+00 6.660973496404000160e-01
5.120000000000000107e+00 6.661013862088309700e-01
5.120000000000000107e+00 6.661013862088309700e-01
5.120000000000000107e+00 6.661013862088309700e-01
5.440000000000000391e+00 6.661014198403759634e-01
5.440000000000000391e+00 6.661014198403759634e-01
5.440000000000000391e+00 6.661014198403759634e-01
5.759999999999999787e+00 6.661057188068489898e-01
5.759999999999999787e+00 6.661057188068489898e-01
5.759999999999999787e+00 6.661057188068489898e-01
6.080000000000000071e+00 6.661058493191169827e-01
6.080000000000000071e+00 6.661058493191169827e-01
6.080000000000000071e+00 6.661058493191169827e-01
6.400000000000000355e+00 6.661090518301649999e-01
6.400000000000000355e+00 6.661090518301649999e-01
6.400000000000000355e+00 6.661090518301649999e-01
6.719999999999999751e+00 6.661137535009049593e-01
6.719999999999999751e+00 6.661137535009049593e-01
6.719999999999999751e+00 6.661137535009049593e-01
7.040000000000000036e+00 6.661143009483290189e-01
7.040000000000000036e+00 6.661143009483290189e-01
7.040000000000000036e+00 6.661143009483290189e-01
7.360000000000000320e+00 6.661210369201320258e-01
7.360000000000000320e+00 6.661210369201320258e-01
7.360000000000000320e+00 6.661210369201320258e-01
7.679999999999999716e+00 6.661252304664290191e-01
7.679999999999999716e+00 6.661252304664290191e-01
7.679999999999999716e+00 6.661252304664290191e-01
8.000000000000000000e+00 6.661274929520140109e-01
8.000000000000000000e+00 6.661274929520140109e-01
8.000000000000000000e+00 6.661274929520140109e-01
8.320000000000000284e+00 6.661354101977110531e-01
8.320000000000000284e+00 6.661354101977110531e-01
8.320000000000000284e+00 6.661354101977110531e-01
8.640000000000000568e+00 6.661373780912880349e-01
8.640000000000000568e+00 6.661373780912880349e-01
8.640000000000000568e+00 6.661373780912880349e-01
8.960000000000000853e+00 6.661440151463520198e-01
8.960000000000000853e+00 6.661440151463520198e-01
8.960000000000000853e+00 6.661440151463520198e-01
9.279999999999999361e+00 6.661483294269370248e-01
9.279999999999999361e+00 6.661483294269370248e-01
9.279999999999999361e+00 6.661483294269370248e-01
9.599999999999999645e+00 6.661484030274169577e-01
9.599999999999999645e+00 6.661484030274169577e-01
9.599999999999999645e+00 6.661484030274169577e-01
9.919999999999999929e+00 6.661573279104610057e-01
9.919999999999999929e+00 6.661573279104610057e-01
9.919999999999999929e+00 6.661573279104610057e-01
1.024000000000000021e+01 6.661563757711479461e-01
1.024000000000000021e+01 6.661563757711479461e-01
1.024000000000000021e+01 6.661563757711479461e-01
1.056000000000000050e+01 6.661620799322860442e-01
1.056000000000000050e+01 6.661620799322860442e-01
1.056000000000000050e+01 6.661620799322860442e-01
1.088000000000000078e+01 6.661635093111100137e-01
1.088000000000000078e+01 6.661635093111100137e-01
1.088000000000000078e+01 6.661635093111100137e-01
1.119999999999999929e+01 6.661668878195829979e-01
1.119999999999999929e+01 6.661668878195829979e-01
1.119999999999999929e+01 6.661668878195829979e-01
1.151999999999999957e+01 6.661679326190860229e-01
1.151999999999999957e+01 6.661679326190860229e-01
1.151999999999999957e+01 6.661679326190860229e-01
1.183999999999999986e+01 6.661703757467110076e-01
1.183999999999999986e+01 6.661703757467110076e-01
1.183999999999999986e+01 6.661703757467110076e-01
1.216000000000000014e+01 6.661707296494210340e-01
1.216000000000000014e+01 6.661707296494210340e-01
1.216000000000000014e+01 6.661707296494210340e-01
1.248000000000000043e+01 6.661724885269769691e-01
1.248000000000000043e+01 6.661724885269769691e-01
1.248000000000000043e+01 6.661724885269769691e-01
1.280000000000000071e+01 6.661724147259420192e-01
1.280000000000000071e+01 6.661724147259420192e-01
1.280000000000000071e+01 6.661724147259420192e-01
1.311999999999999922e+01 6.661730174222549872e-01
1.311999999999999922e+01 6.661730174222549872e-01
1.311999999999999922e+01 6.661730174222549872e-01
1.343999999999999950e+01 6.661733282851129978e-01
1.343999999999999950e+01 6.661733282851129978e-01
1.343999999999999950e+01 6.661733282851129978e-01
1.375999999999999979e+01 6.661732661981080161e-01
1.375999999999999979e+01 6.661732661981080161e-01
1.375999999999999979e+01 6.661732661981080161e-01
1.408000000000000007e+01 6.661732166113919495e-01
1.408000000000000007e+01 6.661732166113919495e-01
1.408000000000000007e+01 6.661732166113919495e-01
1.440000000000000036e+01 6.661729471265730451e-01
1.440000000000000036e+01 6.661729471265730451e-01
1.440000000000000036e+01 6.661729471265730451e-01
1.472000000000000064e+01 6.661722924825129732e-01
1.472000000000000064e+01 6.661722924825129732e-01
1.472000000000000064e+01 6.661722924825129732e-01
1.503999999999999915e+01 6.661719682434600331e-01
1.503999999999999915e+01 6.661719682434600331e-01
1.503999999999999915e+01 6.661719682434600331e-01
1.535999999999999943e+01 6.661708192712839649e-01
1.535999999999999943e+01 6.661708192712839649e-01
1.535999999999999943e+01 6.661708192712839649e-01
1.567999999999999972e+01 6.661715562967409632e-01
1.567999999999999972e+01 6.661715562967409632e-01
1.567999999999999972e+01 6.661715562967409632e-01
1.600000000000000000e+01 6.661694510947959724e-01
1.600000000000000000e+01 6.661694510947959724e-01
1.600000000000000000e+01 6.661694510947959724e-01
1.632000000000000028e+01 6.661696671888099885e-01
1.632000000000000028e+01 6.661696671888099885e-01
1.632000000000000028e+01 6.661696671888099885e-01
1.664000000000000057e+01 6.661683291134450347e-01
1.664000000000000057e+01 6.661683291134450347e-01
1.664000000000000057e+01 6.661683291134450347e-01
1.696000000000000085e+01 6.661680198570999467e-01
1.696000000000000085e+01 6.661680198570999467e-01
1.696000000000000085e+01 6.661680198570999467e-01
1.728000000000000114e+01 6.661671459761080438e-01
1.728000000000000114e+01 6.661671459761080438e-01
1.728000000000000114e+01 6.661671459761080438e-01
1.760000000000000142e+01 6.661664745481850058e-01
1.760000000000000142e+01 6.661664745481850058e-01
1.760000000000000142e+01 6.661664745481850058e-01
1.792000000000000171e+01 6.661661572930339670e-01
1.792000000000000171e+01 6.661661572930339670e-01
1.792000000000000171e+01 6.661661572930339670e-01
1.823999999999999844e+01 6.661650591990549986e-01
1.823999999999999844e+01 6.661650591990549986e-01
1.823999999999999844e+01 6.661650591990549986e-01
1.855999999999999872e+01 6.661656316441909587e-01
1.855999999999999872e+01 6.661656316441909587e-01
1.855999999999999872e+01 6.661656316441909587e-01
1.887999999999999901e+01 6.661646661697560035e-01
1.887999999999999901e+01 6.661646661697560035e-01
1.887999999999999901e+01 6.661646661697560035e-01
1.919999999999999929e+01 6.661656643029539859e-01
1.919999999999999929e+01 6.661656643029539859e-01
1.919999999999999929e+01 6.661656643029539859e-01
1.951999999999999957e+01 6.661647102898180517e-01
1.951999999999999957e+01 6.661647102898180517e-01
1.951999999999999957e+01 6.661647102898180517e-01
1.983999999999999986e+01 6.661652337184029715e-01
1.983999999999999986e+01 6.661652337184029715e-01
1.983999999999999986e+01 6.661652337184029715e-01
2.016000000000000014e+01 6.661648784364420095e-01
2.016000000000000014e+01 6.661648784364420095e-01
2.016000000000000014e+01 6.661648784364420095e-01
2.048000000000000043e+01 6.661652633837360504e-01
2.048000000000000043e+01 6.661652633837360504e-01
2.048000000000000043e+01 6.661652633837360504e-01
2.080000000000000071e+01 6.661653613159550513e-01
2.080000000000000071e+01 6.661653613159550513e-01
2.080000000000000071e+01 6.661653613159550513e-01
2.112000000000000099e+01 6.661657104027469689e-01
2.112000000000000099e+01 6.661657104027469689e-01
2.112000000000000099e+01 6.661657104027469689e-01
2.144000000000000128e+01 6.661658831413089787e-01
2.144000000000000128e+01 6.661658831413089787e-01
2.144000000000000128e+01 6.661658831413089787e-01
2.176000000000000156e+01 6.661665823418290167e-01
