t lapse
0.000000000000000000e+00 6.694251491428769851e-01
0.000000000000000000e+00 6.694251491428769851e-01
0.000000000000000000e+00 6.694251491428769851e-01
3.200000000000000067e-01 6.694246581789500272e-01
3.200000000000000067e-01 6.694246581789500272e-01
3.200000000000000067e-01 6.694246581789500272e-01
6.400000000000000133e-01 6.694234446431850394e-01
6.400000000000000133e-01 6.694234446431850394e-01
6.400000000000000133e-01 6.694234446431850394e-01
9.599999999999999645e-01 6.694245190101250076e-01
9.599999999999999645e-01 6.694245190101250076e-01
9.599999999999999645e-01 6.694245190101250076e-01
1.280000000000000027e+00 6.694249277140179588e-01
1.280000000000000027e+00 6.694249277140179588e-01
1.280000000000000027e+00 6.694249277140179588e-01
1.600000000000000089e+00 6.694231991623099676e-01
1.600000000000000089e+00 6.694231991623099676e-01
1.600000000000000089e+00 6.694231991623099676e-01
1.919999999999999929e+00 6.694242155163030450e-01
1.919999999999999929e+00 6.694242155163030450e-01
1.919999999999999929e+00 6.694242155163030450e-01
2.240000000000000213e+00 6.694237363833409615e-01
2.240000000000000213e+00 6.694237363833409615e-01
2.240000000000000213e+00 6.694237363833409615e-01
2.560000000000000053e+00 6.694229774599159688e-01
2.560000000000000053e+00 6.694229774599159688e-01
2.560000000000000053e+00 6.694229774599159688e-01
2.879999999999999893e+00 6.694236493893499507e-01
2.879999999999999893e+00 6.694236493893499507e-01
2.879999999999999893e+00 6.694236493893499507e-01
3.200000000000000178e+00 6.694242749967299622e-01
3.200000000000000178e+00 6.694242749967299622e-01
3.200000000000000178e+00 6.694242749967299622e-01
3.520000000000000018e+00 6.694235047645570313e-01
3.520000000000000018e+00 6.694235047645570313e-01
3.520000000000000018e+00 6.694235047645570313e-01
3.839999999999999858e+00 6.694229754760120388e-01
3.839999999999999858e+00 6.694229754760120388e-01
3.839999999999999858e+00 6.694229754760120388e-01
4.160000000000000142e+00 6.694213754925879556e-01
4.160000000000000142e+00 6.694213754925879556e-01
4.160000000000000142e+00 6.694213754925879556e-01
4.480000000000000426e+00 6.694233777783680228e-01
4.480000000000000426e+00 6.694233777783680228e-01
4.480000000000000426e+00 6.694233777783680228e-01
4.799999999999999822e+00 6.694251464170679622e-01
4.799999999999999822e+00 6.694251464170679622e-01
4.799999999999999822e+00 6.694251464170679622e-01
5.120000000000000107e+00 6.694193296636420376e-01
5.120000000000000107e+00 6.694193296636420376e-01
5.120000000000000107e+00 6.694193296636420376e-01
5.440000000000000391e+00 6.694248959083910488e-01
5.440000000000000391e+00 6.694248959083910488e-01
5.440000000000000391e+00 6.694248959083910488e-01
5.759999999999999787e+00 6.694243121448919531e-01
5.759999999999999787e+00 6.694243121448919531e-01
5.759999999999999787e+00 6.694243121448919531e-01
6.080000000000000071e+00 6.694218832196680014e-01
6.080000000000000071e+00 6.694218832196680014e-01
6.080000000000000071e+00 6.694218832196680014e-01
6.400000000000000355e+00 6.694262085465619849e-01
6.400000000000000355e+00 6.694262085465619849e-01
6.400000000000000355e+00 6.694262085465619849e-01
6.719999999999999751e+00 6.694230445070750157e-01
6.719999999999999751e+00 6.694230445070750157e-01
6.719999999999999751e+00 6.694230445070750157e-01
7.040000000000000036e+00 6.694247003039790478e-01
7.040000000000000036e+00 6.694247003039790478e-01
7.040000000000000036e+00 6.694247003039790478e-01
7.360000000000000320e+00 6.694256864497249992e-01
7.360000000000000320e+00 6.694256864497249992e-01
7.360000000000000320e+00 6.694256864497249992e-01
7.679999999999999716e+00 6.694244104189209787e-01
7.679999999999999716e+00 6.694244104189209787e-01
7.679999999999999716e+00 6.694244104189209787e-01
8.000000000000000000e+00 6.694277865622010326e-01
8.000000000000000000e+00 6.694277865622010326e-01
8.000000000000000000e+00 6.694277865622010326e-01
8.320000000000000284e+00 6.694259219664120408e-01
8.320000000000000284e+00 6.694259219664120408e-01
8.320000000000000284e+00 6.694259219664120408e-01
8.640000000000000568e+00 6.694270892815850083e-01
8.640000000000000568e+00 6.694270892815850083e-01
8.640000000000000568e+00 6.694270892815850083e-01
8.960000000000000853e+00 6.694277805652290025e-01
8.960000000000000853e+00 6.694277805652290025e-01
8.960000000000000853e+00 6.694277805652290025e-01
9.279999999999999361e+00 6.694268897139340480e-01
9.279999999999999361e+00 6.694268897139340480e-01
9.279999999999999361e+00 6.694268897139340480e-01
9.599999999999999645e+00 6.694282335831690522e-01
9.599999999999999645e+00 6.694282335831690522e-01
9.599999999999999645e+00 6.694282335831690522e-01
9.919999999999999929e+00 6.694259338575190288e-01
9.919999999999999929e+00 6.694259338575190288e-01
9.919999999999999929e+00 6.694259338575190288e-01
1.024000000000000021e+01 6.694295725761449933e-01
1.024000000000000021e+01 6.694295725761449933e-01
1.024000000000000021e+01 6.694295725761449933e-01
1.056000000000000050e+01 6.694265959920889797e-01
1.056000000000000050e+01 6.694265959920889797e-01
1.056000000000000050e+01 6.694265959920889797e-01
1.088000000000000078e+01 6.694285386710480124e-01
1.088000000000000078e+01 6.694285386710480124e-01
1.088000000000000078e+01 6.694285386710480124e-01
1.119999999999999929e+01 6.694282663973719627e-01
1.119999999999999929e+01 6.694282663973719627e-01
1.119999999999999929e+01 6.694282663973719627e-01
1.151999999999999957e+01 6.694276477296700056e-01
1.151999999999999957e+01 6.694276477296700056e-01
1.151999999999999957e+01 6.694276477296700056e-01
1.183999999999999986e+01 6.694282217538419788e-01
1.183999999999999986e+01 6.694282217538419788e-01
1.183999999999999986e+01 6.694282217538419788e-01
1.216000000000000014e+01 6.694278160945149603e-01
1.216000000000000014e+01 6.694278160945149603e-01
1.216000000000000014e+01 6.694278160945149603e-01
1.248000000000000043e+01 6.694278653532620416e-01
1.248000000000000043e+01 6.694278653532620416e-01
1.248000000000000043e+01 6.694278653532620416e-01
1.280000000000000071e+01 6.694272226087889521e-01
1.280000000000000071e+01 6.694272226087889521e-01
1.280000000000000071e+01 6.694272226087889521e-01
1.311999999999999922e+01 6.694278189508480192e-01
1.311999999999999922e+01 6.694278189508480192e-01
1.311999999999999922e+01 6.694278189508480192e-01
1.343999999999999950e+01 6.694264822940230175e-01
1.343999999999999950e+01 6.694264822940230175e-01
1.343999999999999950e+01 6.694264822940230175e-01
1.375999999999999979e+01 6.694274369083760279e-01
1.375999999999999979e+01 6.694274369083760279e-01
1.375999999999999979e+01 6.694274369083760279e-01
1.408000000000000007e+01 6.694262279621060463e-01
1.408000000000000007e+01 6.694262279621060463e-01
1.408000000000000007e+01 6.694262279621060463e-01
1.440000000000000036e+01 6.694271404301550543e-01
1.440000000000000036e+01 6.694271404301550543e-01
1.440000000000000036e+01 6.694271404301550543e-01
1.472000000000000064e+01 6.694258879390629913e-01
1.472000000000000064e+01 6.694258879390629913e-01
1.472000000000000064e+01 6.694258879390629913e-01
1.503999999999999915e+01 6.694266337011339774e-01
1.503999999999999915e+01 6.694266337011339774e-01
1.503999999999999915e+01 6.694266337011339774e-01
1.535999999999999943e+01 6.694258403549390168e-01
1.535999999999999943e+01 6.694258403549390168e-01
1.535999999999999943e+01 6.694258403549390168e-01
1.567999999999999972e+01 6.694254890423869675e-01
1.567999999999999972e+01 6.694254890423869675e-01
1.567999999999999972e+01 6.694254890423869675e-01
1.600000000000000000e+01 6.694259014174890332e-01
1.600000000000000000e+01 6.694259014174890332e-01
1.600000000000000000e+01 6.694259014174890332e-01
1.632000000000000028e+01 6.694248586407099966e-01
1.632000000000000028e+01 6.694248586407099966e-01
1.632000000000000028e+01 6.694248586407099966e-01
1.664000000000000057e+01 6.694252602367339877e-01
1.664000000000000057e+01 6.694252602367339877e-01
1.664000000000000057e+01 6.694252602367339877e-01
1.696000000000000085e+01 6.694245824009259493e-01
1.696000000000000085e+01 6.694245824009259493e-01
1.696000000000000085e+01 6.694245824009259493e-01
1.728000000000000114e+01 6.694249073489969559e-01
1.728000000000000114e+01 6.694249073489969559e-01
1.728000000000000114e+01 6.694249073489969559e-01
1.760000000000000142e+01 6.694241568182990321e-01
1.760000000000000142e+01 6.694241568182990321e-01
1.760000000000000142e+01 6.694241568182990321e-01
1.792000000000000171e+01 6.694246998420330108e-01
1.792000000000000171e+01 6.694246998420330108e-01
1.792000000000000171e+01 6.694246998420330108e-01
1.823999999999999844e+01 6.694240079513530395e-01
1.823999999999999844e+01 6.694240079513530395e-01
1.823999999999999844e+01 6.694240079513530395e-01
1.855999999999999872e+01 6.694245288603100086e-01
1.855999999999999872e+01 6.694245288603100086e-01
1.855999999999999872e+01 6.694245288603100086e-01
1.887999999999999901e+01 6.694243342663099838e-01
1.887999999999999901e+01 6.694243342663099838e-01
1.887999999999999901e+01 6.694243342663099838e-01
1.919999999999999929e+01 6.694249920157929745e-01
1.919999999999999929e+01 6.694249920157929745e-01
1.919999999999999929e+01 6.694249920157929745e-01
1.951999999999999957e+01 6.694251112023350547e-01
1.951999999999999957e+01 6.694251112023350547e-01
1.951999999999999957e+01 6.694251112023350547e-01
1.983999999999999986e+01 6.694254113049630250e-01
1.983999999999999986e+01 6.694254113049630250e-01
1.983999999999999986e+01 6.694254113049630250e-01
2.016000000000000014e+01 6.694254970006170424e-01
2.016000000000000014e+01 6.694254970006170424e-01
2.016000000000000014e+01 6.694254970006170424e-01
2.048000000000000043e+01 6.694258509199909613e-01
2.048000000000000043e+01 6.694258509199909613e-01
2.048000000000000043e+01 6.694258509199909613e-01
2.080000000000000071e+01 6.694261539765009594e-01
2.080000000000000071e+01 6.694261539765009594e-01
2.080000000000000071e+01 6.694261539765009594e-01
2.112000000000000099e+01 6.694265471730379558e-01
2.112000000000000099e+01 6.694265471730379558e-01
2.112000000000000099e+01 6.694265471730379558e-01
2.144000000000000128e+01 6.694266940239840258e-01
2.144000000000000128e+01 6.694266940239840258e-01
2.144000000000000128e+01 6.694266940239840258e-01
2.176000000000000156e+01 6.694272588324570172e-01
2.176000000000000156e+01 6.694272588324570172e-01
2.176000000000000156e+01 6.694272588324570172e-01
2.207999999999999829e+01 6.694276160706329470e-01
2.207999999999999829e+01 6.694276160706329470e-01
2.207999999999999829e+01 6.694276160706329470e-01
2.239999999999999858e+01 6.694280085795280000e-01
2.239999999999999858e+01 6.694280085795280000e-01
2.239999999999999858e+01 6.694280085795280000e-01
2.271999999999999886e+01 6.694287429871750295e-01
2.271999999999999886e+01 6.694287429871750295e-01
2.271999999999999886e+01 6.694287429871750295e-01
2.303999999999999915e+01 6.694289622905279513e-01
2.303999999999999915e+01 6.694289622905279513e-01
2.303999999999999915e+01 6.694289622905279513e-01
2.335999999999999943e+01 6.694300049649509754e-01
2.335999999999999943e+01 6.694300049649509754e-01
2.335999999999999943e+01 6.694300049649509754e-01
2.367999999999999972e+01 6.694300991265049738e-01
2.367999999999999972e+01 6.694300991265049738e-01
2.367999999999999972e+01 6.694300991265049738e-01
2.400000000000000000e+01 6.694315519487979982e-01
2.400000000000000000e+01 6.694315519487979982e-01
2.400000000000000000e+01 6.694315519487979982e-01
2.432000000000000028e+01 6.694315612472969690e-01
2.432000000000000028e+01 6.694315612472969690e-01
2.432000000000000028e+01 6.694315612472969690e-01
2.464000000000000057e+01 6.694329803726429828e-01
2.464000000000000057e+01 6.694329803726429828e-01
2.464000000000000057e+01 6.694329803726429828e-01
2.496000000000000085e+01 6.694333754172739903e-01
2.496000000000000085e+01 6.694333754172739903e-01
2.496000000000000085e+01 6.694333754172739903e-01
2.528000000000000114e+01 6.694345081794349506e-01
2.528000000000000114e+01 6.694345081794349506e-01
2.528000000000000114e+01 6.694345081794349506e-01
2.560000000000000142e+01 6.694355919323949911e-01
2.560000000000000142e+01 6.694355919323949911e-01
2.560000000000000142e+01 6.694355919323949911e-01
2.592000000000000171e+01 6.694363195971120284e-01
2.592000000000000171e+01 6.694363195971120284e-01
2.592000000000000171e+01 6.694363195971120284e-01
2.623999999999999844e+01 6.694377351700979695e-01
2.623999999999999844e+01 6.694377351700979695e-01
2.623999999999999844e+01 6.694377351700979695e-01
2.655999999999999872e+01 6.694387375562359521e-01
2.655999999999999872e+01 6.694387375562359521e-01
2.655999999999999872e+01 6.694387375562359521e-01
2.687999999999999901e+01 6.694397978383800352e-01
2.687999999999999901e+01 6.694397978383800352e-01
2.687999999999999901e+01 6.694397978383800352e-01
2.719999999999999929e+01 6.694410968739039625e-01
2.719999999999999929e+01 6.694410968739039625e-01
2.719999999999999929e+01 6.694410968739039625e-01
2.751999999999999957e+01 6.694420610332439958e-01
2.751999999999999957e+01 6.694420610332439958e-01
2.751999999999999957e+01 6.694420610332439958e-01
2.783999999999999986e+01 6.694420084177900021e-01
2.783999999999999986e+01 6.694420084177900021e-01
2.783999999999999986e+01 6.694420084177900021e-01
2.816000000000000014e+01 6.694426338437570179e-01
2.816000000000000014e+01 6.694426338437570179e-01
2.816000000000000014e+01 6.694426338437570179e-01
2.848000000000000043e+01 6.694413420875120480e-01
2.848000000000000043e+01 6.694413420875120480e-01
2.848000000000000043e+01 6.694413420875120480e-01
2.880000000000000071e+01 6.694399185686049636e-01
2.880000000000000071e+01 6.694399185686049636e-01
2.880000000000000071e+01 6.694399185686049636e-01
2.912000000000000099e+01 6.694377770777659720e-01
2.912000000000000099e+01 6.694377770777659720e-01
2.912000000000000099e+01 6.694377770777659720e-01
2.944000000000000128e+01 6.694349770924520326e-01
2.944000000000000128e+01 6.694349770924520326e-01
2.944000000000000128e+01 6.694349770924520326e-01
2.976000000000000156e+01 6.694315767786459537e-01
2.976000000000000156e+01 6.694315767786459537e-01
2.976000000000000156e+01 6.694315767786459537e-01
3.007999999999999829e+01 6.694283109889449523e-01
3.007999999999999829e+01 6.694283109889449523e-01
3.007999999999999829e+01 6.694283109889449523e-01
3.039999999999999858e+01 6.694244509706189783e-01
3.039999999999999858e+01 6.694244509706189783e-01
3.039999999999999858e+01 6.694244509706189783e-01
3.071999999999999886e+01 6.694197380179689461e-01
3.071999999999999886e+01 6.694197380179689461e-01
3.071999999999999886e+01 6.694197380179689461e-01
3.103999999999999915e+01 6.694159568647559677e-01
3.103999999999999915e+01 6.694159568647559677e-01
3.103999999999999915e+01 6.694159568647559677e-01
3.135999999999999943e+01 6.694104335352479840e-01
3.135999999999999943e+01 6.694104335352479840e-01
3.135999999999999943e+01 6.694104335352479840e-01
3.167999999999999972e+01 6.694056514436419469e-01
3.167999999999999972e+01 6.694056514436419469e-01
3.167999999999999972e+01 6.694056514436419469e-01
3.200000000000000000e+01 6.694003274470889941e-01
3.200000000000000000e+01 6.694003274470889941e-01
3.200000000000000000e+01 6.694003274470889941e-01
3.232000000000000028e+01 6.693948586527459499e-01
3.232000000000000028e+01 6.693948586527459499e-01
3.232000000000000028e+01 6.693948586527459499e-01
3.264000000000000057e+01 6.693893320535220237e-01
3.264000000000000057e+01 6.693893320535220237e-01
3.264000000000000057e+01 6.693893320535220237e-01
3.296000000000000085e+01 6.693837458439679811e-01
3.296000000000000085e+01 6.693837458439679811e-01
3.296000000000000085e+01 6.693837458439679811e-01
3.328000000000000114e+01 6.693776633741269633e-01
3.328000000000000114e+01 6.693776633741269633e-01
3.328000000000000114e+01 6.693776633741269633e-01
3.360000000000000142e+01 6.693720867584019851e-01
3.360000000000000142e+01 6.693720867584019851e-01
3.360000000000000142e+01 6.693720867584019851e-01
3.392000000000000171e+01 6.693658019361949929e-01
3.392000000000000171e+01 6.693658019361949929e-01
3.392000000000000171e+01 6.693658019361949929e-01
3.424000000000000199e+01 6.693597624338399887e-01
3.424000000000000199e+01 6.693597624338399887e-01
3.424000000000000199e+01 6.693597624338399887e-01
3.456000000000000227e+01 6.693543034467770436e-01
3.456000000000000227e+01 6.693543034467770436e-01
3.456000000000000227e+01 6.693543034467770436e-01
3.488000000000000256e+01 6.693469010404200503e-01
3.488000000000000256e+01 6.693469010404200503e-01
3.488000000000000256e+01 6.693469010404200503e-01
3.520000000000000284e+01 6.693424974066669586e-01
3.520000000000000284e+01 6.693424974066669586e-01
3.520000000000000284e+01 6.693424974066669586e-01
3.552000000000000313e+01 6.693349994364660160e-01
3.552000000000000313e+01 6.693349994364660160e-01
3.552000000000000313e+01 6.693349994364660160e-01
3.584000000000000341e+01 6.693298000829710492e-01
3.584000000000000341e+01 6.693298000829710492e-01
3.584000000000000341e+01 6.693298000829710492e-01
3.615999999999999659e+01 6.693230556728360092e-01
3.615999999999999659e+01 6.693230556728360092e-01
3.615999999999999659e+01 6.693230556728360092e-01
3.647999999999999687e+01 6.693173179180480492e-01
3.647999999999999687e+01 6.693173179180480492e-01
3.647999999999999687e+01 6.693173179180480492e-01
3.679999999999999716e+01 6.693113277479120216e-01
3.679999999999999716e+01 6.693113277479120216e-01
3.679999999999999716e+01 6.693113277479120216e-01
3.711999999999999744e+01 6.693056206502220329e-01
3.711999999999999744e+01 6.693056206502220329e-01
3.711999999999999744e+01 6.693056206502220329e-01
3.743999999999999773e+01 6.692990577749999836e-01
3.743999999999999773e+01 6.692990577749999836e-01
3.743999999999999773e+01 6.692990577749999836e-01
3.775999999999999801e+01 6.692936466020179553e-01
3.775999999999999801e+01 6.692936466020179553e-01
3.775999999999999801e+01 6.692936466020179553e-01
3.807999999999999829e+01 6.692878614586009745e-01
3.807999999999999829e+01 6.692878614586009745e-01
3.807999999999999829e+01 6.692878614586009745e-01
3.839999999999999858e+01 6.692818059363480065e-01
3.839999999999999858e+01 6.692818059363480065e-01
3.839999999999999858e+01 6.692818059363480065e-01
3.871999999999999886e+01 6.692769709814230250e-01
3.871999999999999886e+01 6.692769709814230250e-01
3.871999999999999886e+01 6.692769709814230250e-01
3.903999999999999915e+01 6.692699244514690449e-01
3.903999999999999915e+01 6.692699244514690449e-01
