t lapse
0.000000000000000000e+00 6.496082111171550544e-01
0.000000000000000000e+00 6.496082111171550544e-01
0.000000000000000000e+00 6.496082111171550544e-01
2.000000000000000111e-01 6.496070648353989840e-01
2.000000000000000111e-01 6.496070648353989840e-01
2.000000000000000111e-01 6.496070648353989840e-01
4.000000000000000222e-01 6.496075520777480072e-01
4.000000000000000222e-01 6.496075520777480072e-01
4.000000000000000222e-01 6.496075520777480072e-01
5.999999999999999778e-01 6.496064683628760550e-01
5.999999999999999778e-01 6.496064683628760550e-01
5.999999999999999778e-01 6.496064683628760550e-01
8.000000000000000444e-01 6.496068963511190120e-01
8.000000000000000444e-01 6.496068963511190120e-01
8.000000000000000444e-01 6.496068963511190120e-01
1.000000000000000000e+00 6.496070159401150512e-01
1.000000000000000000e+00 6.496070159401150512e-01
1.000000000000000000e+00 6.496070159401150512e-01
1.199999999999999956e+00 6.496046226840980209e-01
1.199999999999999956e+00 6.496046226840980209e-01
1.199999999999999956e+00 6.496046226840980209e-01
1.399999999999999911e+00 6.496076217168950118e-01
1.399999999999999911e+00 6.496076217168950118e-01
1.399999999999999911e+00 6.496076217168950118e-01
1.600000000000000089e+00 6.496047621888809687e-01
1.600000000000000089e+00 6.496047621888809687e-01
1.600000000000000089e+00 6.496047621888809687e-01
1.800000000000000044e+00 6.496022538026560156e-01
1.800000000000000044e+00 6.496022538026560156e-01
1.800000000000000044e+00 6.496022538026560156e-01
2.000000000000000000e+00 6.496063652649479714e-01
2.000000000000000000e+00 6.496063652649479714e-01
2.000000000000000000e+00 6.496063652649479714e-01
2.200000000000000178e+00 6.496044349261870243e-01
2.200000000000000178e+00 6.496044349261870243e-01
2.200000000000000178e+00 6.496044349261870243e-01
2.399999999999999911e+00 6.496033811042819517e-01
2.399999999999999911e+00 6.496033811042819517e-01
2.399999999999999911e+00 6.496033811042819517e-01
2.600000000000000089e+00 6.496035252109989555e-01
2.600000000000000089e+00 6.496035252109989555e-01
2.600000000000000089e+00 6.496035252109989555e-01
2.799999999999999822e+00 6.496002310446370442e-01
2.799999999999999822e+00 6.496002310446370442e-01
2.799999999999999822e+00 6.496002310446370442e-01
3.000000000000000000e+00 6.496028506455849838e-01
3.000000000000000000e+00 6.496028506455849838e-01
3.000000000000000000e+00 6.496028506455849838e-01
3.200000000000000178e+00 6.496026305012649882e-01
3.200000000000000178e+00 6.496026305012649882e-01
3.200000000000000178e+00 6.496026305012649882e-01
3.399999999999999911e+00 6.495990635874869801e-01
3.399999999999999911e+00 6.495990635874869801e-01
3.399999999999999911e+00 6.495990635874869801e-01
3.600000000000000089e+00 6.496008641210230250e-01
3.600000000000000089e+00 6.496008641210230250e-01
3.600000000000000089e+00 6.496008641210230250e-01
3.799999999999999822e+00 6.496000994947590534e-01
3.799999999999999822e+00 6.496000994947590534e-01
3.799999999999999822e+00 6.496000994947590534e-01
4.000000000000000000e+00 6.496013951154410160e-01
4.000000000000000000e+00 6.496013951154410160e-01
4.000000000000000000e+00 6.496013951154410160e-01
4.200000000000000178e+00 6.495987336170330195e-01
4.200000000000000178e+00 6.495987336170330195e-01
4.200000000000000178e+00 6.495987336170330195e-01
4.400000000000000355e+00 6.495970681408239633e-01
