t lapse
0.000000000000000000e+00 6.565325963784010010e-01
0.000000000000000000e+00 6.565325963784010010e-01
0.000000000000000000e+00 6.565325963784010010e-01
1.600000000000000033e-01 6.565326541408790240e-01
1.600000000000000033e-01 6.565326541408790240e-01
1.600000000000000033e-01 6.565326541408790240e-01
3.200000000000000067e-01 6.565314712059749924e-01
3.200000000000000067e-01 6.565314712059749924e-01
3.200000000000000067e-01 6.565314712059749924e-01
4.799999999999999822e-01 6.565316386609090227e-01
4.799999999999999822e-01 6.565316386609090227e-01
4.799999999999999822e-01 6.565316386609090227e-01
6.400000000000000133e-01 6.565314513502670257e-01
6.400000000000000133e-01 6.565314513502670257e-01
6.400000000000000133e-01 6.565314513502670257e-01
8.000000000000000444e-01 6.565306620950519534e-01
8.000000000000000444e-01 6.565306620950519534e-01
8.000000000000000444e-01 6.565306620950519534e-01
9.599999999999999645e-01 6.565325136026169961e-01
9.599999999999999645e-01 6.565325136026169961e-01
9.599999999999999645e-01 6.565325136026169961e-01
1.120000000000000107e+00 6.565320338577520509e-01
1.120000000000000107e+00 6.565320338577520509e-01
1.120000000000000107e+00 6.565320338577520509e-01
1.280000000000000027e+00 6.565310994207039785e-01
1.280000000000000027e+00 6.565310994207039785e-01
1.280000000000000027e+00 6.565310994207039785e-01
1.439999999999999947e+00 6.565304505220259657e-01
1.439999999999999947e+00 6.565304505220259657e-01
1.439999999999999947e+00 6.565304505220259657e-01
1.600000000000000089e+00 6.565317000761939914e-01
1.600000000000000089e+00 6.565317000761939914e-01
1.600000000000000089e+00 6.565317000761939914e-01
1.760000000000000009e+00 6.565311067348830187e-01
1.760000000000000009e+00 6.565311067348830187e-01
1.760000000000000009e+00 6.565311067348830187e-01
1.919999999999999929e+00 6.565304440036380251e-01
1.919999999999999929e+00 6.565304440036380251e-01
1.919999999999999929e+00 6.565304440036380251e-01
2.080000000000000071e+00 6.565325138291550067e-01
2.080000000000000071e+00 6.565325138291550067e-01
2.080000000000000071e+00 6.565325138291550067e-01
2.240000000000000213e+00 6.565276546216189946e-01
2.240000000000000213e+00 6.565276546216189946e-01
2.240000000000000213e+00 6.565276546216189946e-01
2.399999999999999911e+00 6.565322574093770402e-01
2.399999999999999911e+00 6.565322574093770402e-01
2.399999999999999911e+00 6.565322574093770402e-01
2.560000000000000053e+00 6.565314394661460051e-01
2.560000000000000053e+00 6.565314394661460051e-01
2.560000000000000053e+00 6.565314394661460051e-01
2.720000000000000195e+00 6.565273381719409773e-01
2.720000000000000195e+00 6.565273381719409773e-01
2.720000000000000195e+00 6.565273381719409773e-01
2.879999999999999893e+00 6.565333542096399855e-01
2.879999999999999893e+00 6.565333542096399855e-01
2.879999999999999893e+00 6.565333542096399855e-01
3.040000000000000036e+00 6.565281720654250197e-01
3.040000000000000036e+00 6.565281720654250197e-01
3.040000000000000036e+00 6.565281720654250197e-01
3.200000000000000178e+00 6.565335090179850175e-01
3.200000000000000178e+00 6.565335090179850175e-01
3.200000000000000178e+00 6.565335090179850175e-01
3.359999999999999876e+00 6.565276644711399712e-01
3.359999999999999876e+00 6.565276644711399712e-01
3.359999999999999876e+00 6.565276644711399712e-01
3.520000000000000018e+00 6.565317287957790349e-01
3.520000000000000018e+00 6.565317287957790349e-01
3.520000000000000018e+00 6.565317287957790349e-01
3.680000000000000160e+00 6.565298667621379813e-01
3.680000000000000160e+00 6.565298667621379813e-01
3.680000000000000160e+00 6.565298667621379813e-01
3.839999999999999858e+00 6.565319617948159880e-01
3.839999999999999858e+00 6.565319617948159880e-01
3.839999999999999858e+00 6.565319617948159880e-01
4.000000000000000000e+00 6.565306939276259746e-01
4.000000000000000000e+00 6.565306939276259746e-01
4.000000000000000000e+00 6.565306939276259746e-01
4.160000000000000142e+00 6.565309872882949538e-01
4.160000000000000142e+00 6.565309872882949538e-01
4.160000000000000142e+00 6.565309872882949538e-01
4.320000000000000284e+00 6.565318440318910209e-01
4.320000000000000284e+00 6.565318440318910209e-01
4.320000000000000284e+00 6.565318440318910209e-01
4.480000000000000426e+00 6.565289883994950282e-01
4.480000000000000426e+00 6.565289883994950282e-01
4.480000000000000426e+00 6.565289883994950282e-01
4.639999999999999680e+00 6.565326008444170025e-01
4.639999999999999680e+00 6.565326008444170025e-01
4.639999999999999680e+00 6.565326008444170025e-01
4.799999999999999822e+00 6.565321424346289847e-01
4.799999999999999822e+00 6.565321424346289847e-01
4.799999999999999822e+00 6.565321424346289847e-01
4.959999999999999964e+00 6.565318118666859659e-01
