t lapse
6.400000000000000133e-01 3.290696596057720025e-01
6.400000000000000133e-01 3.290696596057720025e-01
6.400000000000000133e-01 3.290696596057720025e-01
6.400000000000000133e-01 3.290696596057720025e-01
6.400000000000000133e-01 3.290696596057720025e-01
1.280000000000000027e+00 3.283849629094259814e-01
1.280000000000000027e+00 3.283849629094259814e-01
1.280000000000000027e+00 3.283849629094259814e-01
1.280000000000000027e+00 3.283849629094259814e-01
1.280000000000000027e+00 3.283849629094259814e-01
1.919999999999999929e+00 3.273528525498750064e-01
1.919999999999999929e+00 3.273528525498750064e-01
1.919999999999999929e+00 3.273528525498750064e-01
1.919999999999999929e+00 3.273528525498750064e-01
1.919999999999999929e+00 3.273528525498750064e-01
2.560000000000000053e+00 3.261110216986459753e-01
2.560000000000000053e+00 3.261110216986459753e-01
2.560000000000000053e+00 3.261110216986459753e-01
2.560000000000000053e+00 3.261110216986459753e-01
2.560000000000000053e+00 3.261110216986459753e-01
3.200000000000000178e+00 3.248517138320299869e-01
3.200000000000000178e+00 3.248517138320299869e-01
3.200000000000000178e+00 3.248517138320299869e-01
3.200000000000000178e+00 3.248517138320299869e-01
3.200000000000000178e+00 3.248517138320299869e-01
3.839999999999999858e+00 3.237618257489339735e-01
3.839999999999999858e+00 3.237618257489339735e-01
3.839999999999999858e+00 3.237618257489339735e-01
3.839999999999999858e+00 3.237618257489339735e-01
3.839999999999999858e+00 3.237618257489339735e-01
4.480000000000000426e+00 3.230230424038900150e-01
4.480000000000000426e+00 3.230230424038900150e-01
4.480000000000000426e+00 3.230230424038900150e-01
4.480000000000000426e+00 3.230230424038900150e-01
4.480000000000000426e+00 3.230230424038900150e-01
5.120000000000000107e+00 3.227632445980759823e-01
5.120000000000000107e+00 3.227632445980759823e-01
5.120000000000000107e+00 3.227632445980759823e-01
5.120000000000000107e+00 3.227632445980759823e-01
5.120000000000000107e+00 3.227632445980759823e-01
5.759999999999999787e+00 3.229899419642199843e-01
5.759999999999999787e+00 3.229899419642199843e-01
5.759999999999999787e+00 3.229899419642199843e-01
5.759999999999999787e+00 3.229899419642199843e-01
5.759999999999999787e+00 3.229899419642199843e-01
6.400000000000000355e+00 3.236647597742020044e-01
6.400000000000000355e+00 3.236647597742020044e-01
6.400000000000000355e+00 3.236647597742020044e-01
6.400000000000000355e+00 3.236647597742020044e-01
6.400000000000000355e+00 3.236647597742020044e-01
7.040000000000000036e+00 3.246236794968940242e-01
7.040000000000000036e+00 3.246236794968940242e-01
7.040000000000000036e+00 3.246236794968940242e-01
7.040000000000000036e+00 3.246236794968940242e-01
7.040000000000000036e+00 3.246236794968940242e-01
7.679999999999999716e+00 3.257285236686839891e-01
7.679999999999999716e+00 3.257285236686839891e-01
7.679999999999999716e+00 3.257285236686839891e-01
7.679999999999999716e+00 3.257285236686839891e-01
7.679999999999999716e+00 3.257285236686839891e-01
8.320000000000000284e+00 3.268445613794490057e-01
8.320000000000000284e+00 3.268445613794490057e-01
8.320000000000000284e+00 3.268445613794490057e-01
