t lapse
1.024000000000000021e+00 4.509911001994479918e-01
1.024000000000000021e+00 4.509911001994479918e-01
1.024000000000000021e+00 4.509911001994479918e-01
1.024000000000000021e+00 4.509911001994479918e-01
1.024000000000000021e+00 4.509911001994479918e-01
2.048000000000000043e+00 4.513356838163100071e-01
2.048000000000000043e+00 4.513356838163100071e-01
2.048000000000000043e+00 4.513356838163100071e-01
2.048000000000000043e+00 4.513356838163100071e-01
2.048000000000000043e+00 4.513356838163100071e-01
3.072000000000000064e+00 4.518062153755539878e-01
3.072000000000000064e+00 4.518062153755539878e-01
3.072000000000000064e+00 4.518062153755539878e-01
3.072000000000000064e+00 4.518062153755539878e-01
3.072000000000000064e+00 4.518062153755539878e-01
4.096000000000000085e+00 4.522784988750370161e-01
4.096000000000000085e+00 4.522784988750370161e-01
4.096000000000000085e+00 4.522784988750370161e-01
4.096000000000000085e+00 4.522784988750370161e-01
4.096000000000000085e+00 4.522784988750370161e-01
5.120000000000000107e+00 4.526126338068199861e-01
5.120000000000000107e+00 4.526126338068199861e-01
5.120000000000000107e+00 4.526126338068199861e-01
5.120000000000000107e+00 4.526126338068199861e-01
5.120000000000000107e+00 4.526126338068199861e-01
6.144000000000000128e+00 4.527293508407549960e-01
6.144000000000000128e+00 4.527293508407549960e-01
6.144000000000000128e+00 4.527293508407549960e-01
6.144000000000000128e+00 4.527293508407549960e-01
6.144000000000000128e+00 4.527293508407549960e-01
7.168000000000000149e+00 4.526266595707250096e-01
7.168000000000000149e+00 4.526266595707250096e-01
7.168000000000000149e+00 4.526266595707250096e-01
7.168000000000000149e+00 4.526266595707250096e-01
7.168000000000000149e+00 4.526266595707250096e-01
8.192000000000000171e+00 4.523749991635139800e-01
8.192000000000000171e+00 4.523749991635139800e-01
8.192000000000000171e+00 4.523749991635139800e-01
8.192000000000000171e+00 4.523749991635139800e-01
8.192000000000000171e+00 4.523749991635139800e-01
9.215999999999999304e+00 4.520503025627600202e-01
9.215999999999999304e+00 4.520503025627600202e-01
9.215999999999999304e+00 4.520503025627600202e-01
9.215999999999999304e+00 4.520503025627600202e-01
9.215999999999999304e+00 4.520503025627600202e-01
1.024000000000000021e+01 4.516985876680699730e-01
1.024000000000000021e+01 4.516985876680699730e-01
1.024000000000000021e+01 4.516985876680699730e-01
1.024000000000000021e+01 4.516985876680699730e-01
1.024000000000000021e+01 4.516985876680699730e-01
1.126399999999999935e+01 4.513308922086580188e-01
1.126399999999999935e+01 4.513308922086580188e-01
1.126399999999999935e+01 4.513308922086580188e-01
