t lapse
0.000000000000000000e+00 6.698693590959260424e-01
0.000000000000000000e+00 6.698693590959260424e-01
0.000000000000000000e+00 6.698693590959260424e-01
0.000000000000000000e+00 6.698693590959260424e-01
8.000000000000000167e-02 6.698682672890410306e-01
8.000000000000000167e-02 6.698682672890410306e-01
8.000000000000000167e-02 6.698682672890410306e-01
1.600000000000000033e-01 6.698685113964599758e-01
1.600000000000000033e-01 6.698685113964599758e-01
1.600000000000000033e-01 6.698685113964599758e-01
1.600000000000000033e-01 6.698685113964599758e-01
2.399999999999999911e-01 6.698689463644159625e-01
2.399999999999999911e-01 6.698689463644159625e-01
2.399999999999999911e-01 6.698689463644159625e-01
3.200000000000000067e-01 6.698684050942740331e-01
3.200000000000000067e-01 6.698684050942740331e-01
3.200000000000000067e-01 6.698684050942740331e-01
3.200000000000000067e-01 6.698684050942740331e-01
4.000000000000000222e-01 6.698681091508750240e-01
4.000000000000000222e-01 6.698681091508750240e-01
4.000000000000000222e-01 6.698681091508750240e-01
4.799999999999999822e-01 6.698687652228459966e-01
4.799999999999999822e-01 6.698687652228459966e-01
4.799999999999999822e-01 6.698687652228459966e-01
4.799999999999999822e-01 6.698687652228459966e-01
5.600000000000000533e-01 6.698673854140340111e-01
5.600000000000000533e-01 6.698673854140340111e-01
5.600000000000000533e-01 6.698673854140340111e-01
6.400000000000000133e-01 6.698683022662199615e-01
6.400000000000000133e-01 6.698683022662199615e-01
6.400000000000000133e-01 6.698683022662199615e-01
6.400000000000000133e-01 6.698683022662199615e-01
7.199999999999999734e-01 6.698683723132200507e-01
7.199999999999999734e-01 6.698683723132200507e-01
7.199999999999999734e-01 6.698683723132200507e-01
8.000000000000000444e-01 6.698671418840449476e-01
8.000000000000000444e-01 6.698671418840449476e-01
8.000000000000000444e-01 6.698671418840449476e-01
8.000000000000000444e-01 6.698671418840449476e-01
8.800000000000000044e-01 6.698666310462210172e-01
8.800000000000000044e-01 6.698666310462210172e-01
8.800000000000000044e-01 6.698666310462210172e-01
9.599999999999999645e-01 6.698669190895190084e-01
9.599999999999999645e-01 6.698669190895190084e-01
9.599999999999999645e-01 6.698669190895190084e-01
9.599999999999999645e-01 6.698669190895190084e-01
1.040000000000000036e+00 6.698671558499470491e-01
1.040000000000000036e+00 6.698671558499470491e-01
1.040000000000000036e+00 6.698671558499470491e-01
1.120000000000000107e+00 6.698667049900479675e-01
1.120000000000000107e+00 6.698667049900479675e-01
1.120000000000000107e+00 6.698667049900479675e-01
1.120000000000000107e+00 6.698667049900479675e-01
1.199999999999999956e+00 6.698661226696509541e-01
1.199999999999999956e+00 6.698661226696509541e-01
1.199999999999999956e+00 6.698661226696509541e-01
