t lapse
0.000000000000000000e+00 6.698597281643340340e-01
0.000000000000000000e+00 6.698597281643340340e-01
0.000000000000000000e+00 6.698597281643340340e-01
0.000000000000000000e+00 6.698597281643340340e-01
8.000000000000000167e-02 6.698586432568219839e-01
8.000000000000000167e-02 6.698586432568219839e-01
8.000000000000000167e-02 6.698586432568219839e-01
1.600000000000000033e-01 6.698589080214270020e-01
1.600000000000000033e-01 6.698589080214270020e-01
1.600000000000000033e-01 6.698589080214270020e-01
1.600000000000000033e-01 6.698589080214270020e-01
2.399999999999999911e-01 6.698593785433849535e-01
2.399999999999999911e-01 6.698593785433849535e-01
2.399999999999999911e-01 6.698593785433849535e-01
3.200000000000000067e-01 6.698588879995059919e-01
3.200000000000000067e-01 6.698588879995059919e-01
3.200000000000000067e-01 6.698588879995059919e-01
3.200000000000000067e-01 6.698588879995059919e-01
4.000000000000000222e-01 6.698586580515020206e-01
4.000000000000000222e-01 6.698586580515020206e-01
4.000000000000000222e-01 6.698586580515020206e-01
4.799999999999999822e-01 6.698593969367260259e-01
4.799999999999999822e-01 6.698593969367260259e-01
4.799999999999999822e-01 6.698593969367260259e-01
4.799999999999999822e-01 6.698593969367260259e-01
5.600000000000000533e-01 6.698581145517450430e-01
5.600000000000000533e-01 6.698581145517450430e-01
5.600000000000000533e-01 6.698581145517450430e-01
6.400000000000000133e-01 6.698591444743430268e-01
6.400000000000000133e-01 6.698591444743430268e-01
6.400000000000000133e-01 6.698591444743430268e-01
6.400000000000000133e-01 6.698591444743430268e-01
7.199999999999999734e-01 6.698593434945919745e-01
7.199999999999999734e-01 6.698593434945919745e-01
7.199999999999999734e-01 6.698593434945919745e-01
8.000000000000000444e-01 6.698582589484509686e-01
8.000000000000000444e-01 6.698582589484509686e-01
8.000000000000000444e-01 6.698582589484509686e-01
8.000000000000000444e-01 6.698582589484509686e-01
8.800000000000000044e-01 6.698579088025840012e-01
8.800000000000000044e-01 6.698579088025840012e-01
8.800000000000000044e-01 6.698579088025840012e-01
9.599999999999999645e-01 6.698583734090189923e-01
9.599999999999999645e-01 6.698583734090189923e-01
9.599999999999999645e-01 6.698583734090189923e-01
9.599999999999999645e-01 6.698583734090189923e-01
1.040000000000000036e+00 6.698588010366149925e-01
1.040000000000000036e+00 6.698588010366149925e-01
1.040000000000000036e+00 6.698588010366149925e-01
1.120000000000000107e+00 6.698585556283640496e-01
1.120000000000000107e+00 6.698585556283640496e-01
1.120000000000000107e+00 6.698585556283640496e-01
1.120000000000000107e+00 6.698585556283640496e-01
1.199999999999999956e+00 6.698581957517359964e-01
1.199999999999999956e+00 6.698581957517359964e-01
1.199999999999999956e+00 6.698581957517359964e-01
1.280000000000000027e+00 6.698586336495200300e-01
1.280000000000000027e+00 6.698586336495200300e-01
1.280000000000000027e+00 6.698586336495200300e-01
1.280000000000000027e+00 6.698586336495200300e-01
1.360000000000000098e+00 6.698580632319930395e-01
1.360000000000000098e+00 6.698580632319930395e-01
1.360000000000000098e+00 6.698580632319930395e-01
1.439999999999999947e+00 6.698579797056130047e-01
1.439999999999999947e+00 6.698579797056130047e-01
1.439999999999999947e+00 6.698579797056130047e-01
1.439999999999999947e+00 6.698579797056130047e-01
1.520000000000000018e+00 6.698582265880079767e-01
1.520000000000000018e+00 6.698582265880079767e-01
1.520000000000000018e+00 6.698582265880079767e-01
1.600000000000000089e+00 6.698575773386270527e-01
1.600000000000000089e+00 6.698575773386270527e-01
1.600000000000000089e+00 6.698575773386270527e-01
1.600000000000000089e+00 6.698575773386270527e-01
1.679999999999999938e+00 6.698578802196339943e-01
1.679999999999999938e+00 6.698578802196339943e-01
1.679999999999999938e+00 6.698578802196339943e-01
1.760000000000000009e+00 6.698573323376250110e-01
1.760000000000000009e+00 6.698573323376250110e-01
1.760000000000000009e+00 6.698573323376250110e-01
1.760000000000000009e+00 6.698573323376250110e-01
1.840000000000000080e+00 6.698576152663600070e-01
1.840000000000000080e+00 6.698576152663600070e-01
1.840000000000000080e+00 6.698576152663600070e-01
1.919999999999999929e+00 6.698576738335030312e-01
1.919999999999999929e+00 6.698576738335030312e-01
1.919999999999999929e+00 6.698576738335030312e-01
1.919999999999999929e+00 6.698576738335030312e-01
2.000000000000000000e+00 6.698581652646420359e-01
2.000000000000000000e+00 6.698581652646420359e-01
2.000000000000000000e+00 6.698581652646420359e-01
2.080000000000000071e+00 6.698575353765380269e-01
2.080000000000000071e+00 6.698575353765380269e-01
2.080000000000000071e+00 6.698575353765380269e-01
2.080000000000000071e+00 6.698575353765380269e-01
2.160000000000000142e+00 6.698568464866410110e-01
2.160000000000000142e+00 6.698568464866410110e-01
2.160000000000000142e+00 6.698568464866410110e-01
2.240000000000000213e+00 6.698569220155889958e-01
2.240000000000000213e+00 6.698569220155889958e-01
2.240000000000000213e+00 6.698569220155889958e-01
2.240000000000000213e+00 6.698569220155889958e-01
2.319999999999999840e+00 6.698576262639119872e-01
2.319999999999999840e+00 6.698576262639119872e-01
2.319999999999999840e+00 6.698576262639119872e-01
2.399999999999999911e+00 6.698571451801029752e-01
2.399999999999999911e+00 6.698571451801029752e-01
2.399999999999999911e+00 6.698571451801029752e-01
2.399999999999999911e+00 6.698571451801029752e-01
2.479999999999999982e+00 6.698564278547329831e-01
2.479999999999999982e+00 6.698564278547329831e-01
2.479999999999999982e+00 6.698564278547329831e-01
2.560000000000000053e+00 6.698571289882260249e-01
2.560000000000000053e+00 6.698571289882260249e-01
2.560000000000000053e+00 6.698571289882260249e-01
2.560000000000000053e+00 6.698571289882260249e-01
2.640000000000000124e+00 6.698570554957510303e-01
2.640000000000000124e+00 6.698570554957510303e-01
2.640000000000000124e+00 6.698570554957510303e-01
2.720000000000000195e+00 6.698556924675249657e-01
2.720000000000000195e+00 6.698556924675249657e-01
2.720000000000000195e+00 6.698556924675249657e-01
2.720000000000000195e+00 6.698556924675249657e-01
