t lapse
0.000000000000000000e+00 6.698693590959260424e-01
0.000000000000000000e+00 6.698693590959260424e-01
0.000000000000000000e+00 6.698693590959260424e-01
8.000000000000000167e-02 6.698685997725299934e-01
8.000000000000000167e-02 6.698685997725299934e-01
1.600000000000000033e-01 6.698689593013520405e-01
1.600000000000000033e-01 6.698689593013520405e-01
1.600000000000000033e-01 6.698689593013520405e-01
2.399999999999999911e-01 6.698692501409529987e-01
2.399999999999999911e-01 6.698692501409529987e-01
3.200000000000000067e-01 6.698680592458069460e-01
3.200000000000000067e-01 6.698680592458069460e-01
3.200000000000000067e-01 6.698680592458069460e-01
4.000000000000000222e-01 6.698677113583220155e-01
4.000000000000000222e-01 6.698677113583220155e-01
4.799999999999999822e-01 6.698683657436680372e-01
4.799999999999999822e-01 6.698683657436680372e-01
4.799999999999999822e-01 6.698683657436680372e-01
5.600000000000000533e-01 6.698684978003339729e-01
5.600000000000000533e-01 6.698684978003339729e-01
6.400000000000000133e-01 6.698684745899130544e-01
6.400000000000000133e-01 6.698684745899130544e-01
6.400000000000000133e-01 6.698684745899130544e-01
7.199999999999999734e-01 6.698685959312959959e-01
7.199999999999999734e-01 6.698685959312959959e-01
8.000000000000000444e-01 6.698678613238859825e-01
8.000000000000000444e-01 6.698678613238859825e-01
8.000000000000000444e-01 6.698678613238859825e-01
8.800000000000000044e-01 6.698663899257359944e-01
8.800000000000000044e-01 6.698663899257359944e-01
9.599999999999999645e-01 6.698658885690880194e-01
9.599999999999999645e-01 6.698658885690880194e-01
9.599999999999999645e-01 6.698658885690880194e-01
1.040000000000000036e+00 6.698667517376799552e-01
1.040000000000000036e+00 6.698667517376799552e-01
1.120000000000000107e+00 6.698673199818110380e-01
1.120000000000000107e+00 6.698673199818110380e-01
1.120000000000000107e+00 6.698673199818110380e-01
1.199999999999999956e+00 6.698669035196560539e-01
1.199999999999999956e+00 6.698669035196560539e-01
1.280000000000000027e+00 6.698663834938980433e-01
1.280000000000000027e+00 6.698663834938980433e-01
1.280000000000000027e+00 6.698663834938980433e-01
1.360000000000000098e+00 6.698658051750639997e-01
1.360000000000000098e+00 6.698658051750639997e-01
1.439999999999999947e+00 6.698648389070970266e-01
1.439999999999999947e+00 6.698648389070970266e-01
1.439999999999999947e+00 6.698648389070970266e-01
1.520000000000000018e+00 6.698643225706240045e-01
1.520000000000000018e+00 6.698643225706240045e-01
1.600000000000000089e+00 6.698646678506380292e-01
1.600000000000000089e+00 6.698646678506380292e-01
1.600000000000000089e+00 6.698646678506380292e-01
1.679999999999999938e+00 6.698648363718320287e-01
1.679999999999999938e+00 6.698648363718320287e-01
1.760000000000000009e+00 6.698641481014370180e-01
