t lapse
0.000000000000000000e+00 6.698517518232439683e-01
0.000000000000000000e+00 6.698517518232439683e-01
0.000000000000000000e+00 6.698517518232439683e-01
8.000000000000000167e-02 6.698509995859730504e-01
8.000000000000000167e-02 6.698509995859730504e-01
1.600000000000000033e-01 6.698513804704360197e-01
1.600000000000000033e-01 6.698513804704360197e-01
1.600000000000000033e-01 6.698513804704360197e-01
2.399999999999999911e-01 6.698517067776930123e-01
2.399999999999999911e-01 6.698517067776930123e-01
3.200000000000000067e-01 6.698505654904820528e-01
3.200000000000000067e-01 6.698505654904820528e-01
3.200000000000000067e-01 6.698505654904820528e-01
4.000000000000000222e-01 6.698502814681830397e-01
4.000000000000000222e-01 6.698502814681830397e-01
4.799999999999999822e-01 6.698510137242149609e-01
4.799999999999999822e-01 6.698510137242149609e-01
4.799999999999999822e-01 6.698510137242149609e-01
5.600000000000000533e-01 6.698512375657710294e-01
5.600000000000000533e-01 6.698512375657710294e-01
6.400000000000000133e-01 6.698513201270710482e-01
6.400000000000000133e-01 6.698513201270710482e-01
6.400000000000000133e-01 6.698513201270710482e-01
7.199999999999999734e-01 6.698515610045719937e-01
7.199999999999999734e-01 6.698515610045719937e-01
8.000000000000000444e-01 6.698509595011540307e-01
8.000000000000000444e-01 6.698509595011540307e-01
8.000000000000000444e-01 6.698509595011540307e-01
8.800000000000000044e-01 6.698496349280339546e-01
8.800000000000000044e-01 6.698496349280339546e-01
9.599999999999999645e-01 6.698492941372969911e-01
9.599999999999999645e-01 6.698492941372969911e-01
9.599999999999999645e-01 6.698492941372969911e-01
1.040000000000000036e+00 6.698503311167079977e-01
1.040000000000000036e+00 6.698503311167079977e-01
1.120000000000000107e+00 6.698510860394339961e-01
1.120000000000000107e+00 6.698510860394339961e-01
1.120000000000000107e+00 6.698510860394339961e-01
1.199999999999999956e+00 6.698508692924289853e-01
1.199999999999999956e+00 6.698508692924289853e-01
1.280000000000000027e+00 6.698505619654989696e-01
1.280000000000000027e+00 6.698505619654989696e-01
1.280000000000000027e+00 6.698505619654989696e-01
1.360000000000000098e+00 6.698502088873530269e-01
1.360000000000000098e+00 6.698502088873530269e-01
1.439999999999999947e+00 6.698494803536679809e-01
1.439999999999999947e+00 6.698494803536679809e-01
1.439999999999999947e+00 6.698494803536679809e-01
1.520000000000000018e+00 6.698492142786699466e-01
1.520000000000000018e+00 6.698492142786699466e-01
1.600000000000000089e+00 6.698498217968690271e-01
1.600000000000000089e+00 6.698498217968690271e-01
1.600000000000000089e+00 6.698498217968690271e-01
1.679999999999999938e+00 6.698502640402119734e-01
1.679999999999999938e+00 6.698502640402119734e-01
1.760000000000000009e+00 6.698498610343810444e-01
1.760000000000000009e+00 6.698498610343810444e-01
1.760000000000000009e+00 6.698498610343810444e-01
1.840000000000000080e+00 6.698491829325039504e-01
1.840000000000000080e+00 6.698491829325039504e-01
1.919999999999999929e+00 6.698490197011000014e-01
1.919999999999999929e+00 6.698490197011000014e-01
1.919999999999999929e+00 6.698490197011000014e-01
2.000000000000000000e+00 6.698494699953330134e-01
2.000000000000000000e+00 6.698494699953330134e-01
2.080000000000000071e+00 6.698497992230210141e-01
2.080000000000000071e+00 6.698497992230210141e-01
2.080000000000000071e+00 6.698497992230210141e-01
2.160000000000000142e+00 6.698493424489739834e-01
2.160000000000000142e+00 6.698493424489739834e-01
2.240000000000000213e+00 6.698486802008279950e-01
2.240000000000000213e+00 6.698486802008279950e-01
2.240000000000000213e+00 6.698486802008279950e-01
2.319999999999999840e+00 6.698489218121510547e-01
2.319999999999999840e+00 6.698489218121510547e-01
2.399999999999999911e+00 6.698498835239260485e-01
2.399999999999999911e+00 6.698498835239260485e-01
2.399999999999999911e+00 6.698498835239260485e-01
2.479999999999999982e+00 6.698503383677389955e-01
2.479999999999999982e+00 6.698503383677389955e-01
2.560000000000000053e+00 6.698499238443550441e-01
2.560000000000000053e+00 6.698499238443550441e-01
2.560000000000000053e+00 6.698499238443550441e-01
2.640000000000000124e+00 6.698494259949859808e-01
2.640000000000000124e+00 6.698494259949859808e-01
2.720000000000000195e+00 6.698492891310210418e-01
2.720000000000000195e+00 6.698492891310210418e-01
2.720000000000000195e+00 6.698492891310210418e-01
2.799999999999999822e+00 6.698490949151160168e-01
2.799999999999999822e+00 6.698490949151160168e-01
2.879999999999999893e+00 6.698485762288840517e-01
2.879999999999999893e+00 6.698485762288840517e-01
2.879999999999999893e+00 6.698485762288840517e-01
2.959999999999999964e+00 6.698481602650609990e-01
2.959999999999999964e+00 6.698481602650609990e-01
3.040000000000000036e+00 6.698482314738649634e-01
3.040000000000000036e+00 6.698482314738649634e-01
3.040000000000000036e+00 6.698482314738649634e-01
3.120000000000000107e+00 6.698484494185149574e-01
3.120000000000000107e+00 6.698484494185149574e-01
3.200000000000000178e+00 6.698482304814650234e-01
3.200000000000000178e+00 6.698482304814650234e-01
3.200000000000000178e+00 6.698482304814650234e-01
3.279999999999999805e+00 6.698477266902149729e-01
3.279999999999999805e+00 6.698477266902149729e-01
3.359999999999999876e+00 6.698477586235469516e-01
3.359999999999999876e+00 6.698477586235469516e-01
3.359999999999999876e+00 6.698477586235469516e-01
3.439999999999999947e+00 6.698485433177769899e-01
3.439999999999999947e+00 6.698485433177769899e-01
3.520000000000000018e+00 6.698491293338030284e-01
3.520000000000000018e+00 6.698491293338030284e-01
3.520000000000000018e+00 6.698491293338030284e-01
3.600000000000000089e+00 6.698486740491059743e-01
3.600000000000000089e+00 6.698486740491059743e-01
3.680000000000000160e+00 6.698476839114020365e-01
3.680000000000000160e+00 6.698476839114020365e-01
3.680000000000000160e+00 6.698476839114020365e-01
3.759999999999999787e+00 6.698472537569349905e-01
3.759999999999999787e+00 6.698472537569349905e-01
3.839999999999999858e+00 6.698475942301560515e-01
3.839999999999999858e+00 6.698475942301560515e-01
3.839999999999999858e+00 6.698475942301560515e-01
3.919999999999999929e+00 6.698480431741570262e-01
3.919999999999999929e+00 6.698480431741570262e-01
4.000000000000000000e+00 6.698481098123659772e-01
4.000000000000000000e+00 6.698481098123659772e-01
4.000000000000000000e+00 6.698481098123659772e-01
4.080000000000000071e+00 6.698478589499590186e-01
4.080000000000000071e+00 6.698478589499590186e-01
4.160000000000000142e+00 6.698475452019490017e-01
4.160000000000000142e+00 6.698475452019490017e-01
4.160000000000000142e+00 6.698475452019490017e-01
4.240000000000000213e+00 6.698473520764000044e-01
4.240000000000000213e+00 6.698473520764000044e-01
4.320000000000000284e+00 6.698473426235670436e-01
4.320000000000000284e+00 6.698473426235670436e-01
4.320000000000000284e+00 6.698473426235670436e-01
4.400000000000000355e+00 6.698473907626120161e-01
4.400000000000000355e+00 6.698473907626120161e-01
4.480000000000000426e+00 6.698472728141799948e-01
4.480000000000000426e+00 6.698472728141799948e-01
4.480000000000000426e+00 6.698472728141799948e-01
4.559999999999999609e+00 6.698469750794550093e-01
4.559999999999999609e+00 6.698469750794550093e-01
4.639999999999999680e+00 6.698467812608569494e-01
4.639999999999999680e+00 6.698467812608569494e-01
4.639999999999999680e+00 6.698467812608569494e-01
4.719999999999999751e+00 6.698468978908950211e-01
4.719999999999999751e+00 6.698468978908950211e-01
4.799999999999999822e+00 6.698470836724179645e-01
4.799999999999999822e+00 6.698470836724179645e-01
4.799999999999999822e+00 6.698470836724179645e-01
4.879999999999999893e+00 6.698468738711950143e-01
4.879999999999999893e+00 6.698468738711950143e-01
4.959999999999999964e+00 6.698462180522409826e-01
4.959999999999999964e+00 6.698462180522409826e-01
4.959999999999999964e+00 6.698462180522409826e-01
5.040000000000000036e+00 6.698456785390599633e-01
5.040000000000000036e+00 6.698456785390599633e-01
5.120000000000000107e+00 6.698458071252609836e-01
5.120000000000000107e+00 6.698458071252609836e-01
5.120000000000000107e+00 6.698458071252609836e-01
5.200000000000000178e+00 6.698464374465189497e-01
5.200000000000000178e+00 6.698464374465189497e-01
5.280000000000000249e+00 6.698468379256630190e-01
5.280000000000000249e+00 6.698468379256630190e-01
5.280000000000000249e+00 6.698468379256630190e-01
5.360000000000000320e+00 6.698465705795779712e-01
5.360000000000000320e+00 6.698465705795779712e-01
5.440000000000000391e+00 6.698459721350650264e-01
5.440000000000000391e+00 6.698459721350650264e-01
5.440000000000000391e+00 6.698459721350650264e-01
5.519999999999999574e+00 6.698456779998900323e-01
5.519999999999999574e+00 6.698456779998900323e-01
5.599999999999999645e+00 6.698458355763450278e-01
5.599999999999999645e+00 6.698458355763450278e-01
5.599999999999999645e+00 6.698458355763450278e-01
5.679999999999999716e+00 6.698459952118559491e-01
5.679999999999999716e+00 6.698459952118559491e-01
5.759999999999999787e+00 6.698457529359720386e-01
5.759999999999999787e+00 6.698457529359720386e-01
5.759999999999999787e+00 6.698457529359720386e-01
5.839999999999999858e+00 6.698452615767770402e-01
5.839999999999999858e+00 6.698452615767770402e-01
5.919999999999999929e+00 6.698449549250009571e-01
5.919999999999999929e+00 6.698449549250009571e-01
5.919999999999999929e+00 6.698449549250009571e-01
6.000000000000000000e+00 6.698449336959040323e-01
6.000000000000000000e+00 6.698449336959040323e-01
6.080000000000000071e+00 6.698449060706640479e-01
6.080000000000000071e+00 6.698449060706640479e-01
6.080000000000000071e+00 6.698449060706640479e-01
6.160000000000000142e+00 6.698447021377109678e-01
6.160000000000000142e+00 6.698447021377109678e-01
6.240000000000000213e+00 6.698445215979069722e-01
6.240000000000000213e+00 6.698445215979069722e-01
6.240000000000000213e+00 6.698445215979069722e-01
6.320000000000000284e+00 6.698445706332319949e-01
6.320000000000000284e+00 6.698445706332319949e-01
6.400000000000000355e+00 6.698447305768250315e-01
