t lapse
0.000000000000000000e+00 6.698517518232439683e-01
0.000000000000000000e+00 6.698517518232439683e-01
0.000000000000000000e+00 6.698517518232439683e-01
0.000000000000000000e+00 6.698517518232439683e-01
8.000000000000000167e-02 6.698506671085819875e-01
8.000000000000000167e-02 6.698506671085819875e-01
8.000000000000000167e-02 6.698506671085819875e-01
1.600000000000000033e-01 6.698509324986180458e-01
1.600000000000000033e-01 6.698509324986180458e-01
1.600000000000000033e-01 6.698509324986180458e-01
1.600000000000000033e-01 6.698509324986180458e-01
2.399999999999999911e-01 6.698514030597799707e-01
2.399999999999999911e-01 6.698514030597799707e-01
2.399999999999999911e-01 6.698514030597799707e-01
3.200000000000000067e-01 6.698509113559649730e-01
3.200000000000000067e-01 6.698509113559649730e-01
3.200000000000000067e-01 6.698509113559649730e-01
3.200000000000000067e-01 6.698509113559649730e-01
4.000000000000000222e-01 6.698506792982239499e-01
4.000000000000000222e-01 6.698506792982239499e-01
4.000000000000000222e-01 6.698506792982239499e-01
4.799999999999999822e-01 6.698514131106150238e-01
4.799999999999999822e-01 6.698514131106150238e-01
4.799999999999999822e-01 6.698514131106150238e-01
4.799999999999999822e-01 6.698514131106150238e-01
5.600000000000000533e-01 6.698501251396959955e-01
5.600000000000000533e-01 6.698501251396959955e-01
5.600000000000000533e-01 6.698501251396959955e-01
6.400000000000000133e-01 6.698511479126959545e-01
6.400000000000000133e-01 6.698511479126959545e-01
6.400000000000000133e-01 6.698511479126959545e-01
6.400000000000000133e-01 6.698511479126959545e-01
7.199999999999999734e-01 6.698513372928519560e-01
7.199999999999999734e-01 6.698513372928519560e-01
7.199999999999999734e-01 6.698513372928519560e-01
8.000000000000000444e-01 6.698502400683660207e-01
8.000000000000000444e-01 6.698502400683660207e-01
8.000000000000000444e-01 6.698502400683660207e-01
8.000000000000000444e-01 6.698502400683660207e-01
8.800000000000000044e-01 6.698498762489289993e-01
8.800000000000000044e-01 6.698498762489289993e-01
8.800000000000000044e-01 6.698498762489289993e-01
9.599999999999999645e-01 6.698503246713749526e-01
9.599999999999999645e-01 6.698503246713749526e-01
9.599999999999999645e-01 6.698503246713749526e-01
9.599999999999999645e-01 6.698503246713749526e-01
1.040000000000000036e+00 6.698507350396339932e-01
1.040000000000000036e+00 6.698507350396339932e-01
1.040000000000000036e+00 6.698507350396339932e-01
1.120000000000000107e+00 6.698504708407210240e-01
1.120000000000000107e+00 6.698504708407210240e-01
1.120000000000000107e+00 6.698504708407210240e-01
1.120000000000000107e+00 6.698504708407210240e-01
1.199999999999999956e+00 6.698500884903280106e-01
1.199999999999999956e+00 6.698500884903280106e-01
1.199999999999999956e+00 6.698500884903280106e-01
1.280000000000000027e+00 6.698505055166039668e-01
1.280000000000000027e+00 6.698505055166039668e-01
1.280000000000000027e+00 6.698505055166039668e-01
1.280000000000000027e+00 6.698505055166039668e-01
1.360000000000000098e+00 6.698499149191690094e-01
1.360000000000000098e+00 6.698499149191690094e-01
1.360000000000000098e+00 6.698499149191690094e-01
1.439999999999999947e+00 6.698498060010289468e-01
1.439999999999999947e+00 6.698498060010289468e-01
1.439999999999999947e+00 6.698498060010289468e-01
1.439999999999999947e+00 6.698498060010289468e-01
1.520000000000000018e+00 6.698500316355340267e-01
1.520000000000000018e+00 6.698500316355340267e-01
1.520000000000000018e+00 6.698500316355340267e-01
1.600000000000000089e+00 6.698493599790790176e-01
1.600000000000000089e+00 6.698493599790790176e-01
1.600000000000000089e+00 6.698493599790790176e-01
1.600000000000000089e+00 6.698493599790790176e-01
1.679999999999999938e+00 6.698496397592420548e-01
1.679999999999999938e+00 6.698496397592420548e-01
1.679999999999999938e+00 6.698496397592420548e-01
1.760000000000000009e+00 6.698490706499820035e-01
1.760000000000000009e+00 6.698490706499820035e-01
1.760000000000000009e+00 6.698490706499820035e-01
1.760000000000000009e+00 6.698490706499820035e-01
1.840000000000000080e+00 6.698493311174239517e-01
1.840000000000000080e+00 6.698493311174239517e-01
1.840000000000000080e+00 6.698493311174239517e-01
1.919999999999999929e+00 6.698493733750220391e-01
1.919999999999999929e+00 6.698493733750220391e-01
1.919999999999999929e+00 6.698493733750220391e-01
1.919999999999999929e+00 6.698493733750220391e-01
2.000000000000000000e+00 6.698498515534370146e-01
2.000000000000000000e+00 6.698498515534370146e-01
2.000000000000000000e+00 6.698498515534370146e-01
2.080000000000000071e+00 6.698492085158790355e-01
2.080000000000000071e+00 6.698492085158790355e-01
2.080000000000000071e+00 6.698492085158790355e-01
2.080000000000000071e+00 6.698492085158790355e-01
2.160000000000000142e+00 6.698485106753300222e-01
2.160000000000000142e+00 6.698485106753300222e-01
2.160000000000000142e+00 6.698485106753300222e-01
2.240000000000000213e+00 6.698485813635349784e-01
2.240000000000000213e+00 6.698485813635349784e-01
2.240000000000000213e+00 6.698485813635349784e-01
2.240000000000000213e+00 6.698485813635349784e-01
2.319999999999999840e+00 6.698492809032530193e-01
2.319999999999999840e+00 6.698492809032530193e-01
2.319999999999999840e+00 6.698492809032530193e-01
2.399999999999999911e+00 6.698488066313620370e-01
2.399999999999999911e+00 6.698488066313620370e-01
2.399999999999999911e+00 6.698488066313620370e-01
2.399999999999999911e+00 6.698488066313620370e-01
2.479999999999999982e+00 6.698481002338090295e-01
2.479999999999999982e+00 6.698481002338090295e-01
2.479999999999999982e+00 6.698481002338090295e-01
2.560000000000000053e+00 6.698488146857860537e-01
2.560000000000000053e+00 6.698488146857860537e-01
2.560000000000000053e+00 6.698488146857860537e-01
2.560000000000000053e+00 6.698488146857860537e-01
2.640000000000000124e+00 6.698487675091540083e-01
2.640000000000000124e+00 6.698487675091540083e-01
2.640000000000000124e+00 6.698487675091540083e-01
2.720000000000000195e+00 6.698474331031579743e-01
2.720000000000000195e+00 6.698474331031579743e-01
2.720000000000000195e+00 6.698474331031579743e-01
2.720000000000000195e+00 6.698474331031579743e-01
2.799999999999999822e+00 6.698479011887179535e-01
2.799999999999999822e+00 6.698479011887179535e-01
2.799999999999999822e+00 6.698479011887179535e-01
2.879999999999999893e+00 6.698485118182739839e-01
2.879999999999999893e+00 6.698485118182739839e-01
2.879999999999999893e+00 6.698485118182739839e-01
2.879999999999999893e+00 6.698485118182739839e-01
2.959999999999999964e+00 6.698480276303300229e-01
2.959999999999999964e+00 6.698480276303300229e-01
2.959999999999999964e+00 6.698480276303300229e-01
3.040000000000000036e+00 6.698480778204169983e-01
3.040000000000000036e+00 6.698480778204169983e-01
3.040000000000000036e+00 6.698480778204169983e-01
3.040000000000000036e+00 6.698480778204169983e-01
3.120000000000000107e+00 6.698476097232080040e-01
3.120000000000000107e+00 6.698476097232080040e-01
3.120000000000000107e+00 6.698476097232080040e-01
3.200000000000000178e+00 6.698474386098850486e-01
3.200000000000000178e+00 6.698474386098850486e-01
3.200000000000000178e+00 6.698474386098850486e-01
3.200000000000000178e+00 6.698474386098850486e-01
3.279999999999999805e+00 6.698474738904479642e-01
3.279999999999999805e+00 6.698474738904479642e-01
3.279999999999999805e+00 6.698474738904479642e-01
3.359999999999999876e+00 6.698471602868190100e-01
3.359999999999999876e+00 6.698471602868190100e-01
3.359999999999999876e+00 6.698471602868190100e-01
3.359999999999999876e+00 6.698471602868190100e-01
3.439999999999999947e+00 6.698472016057109846e-01
3.439999999999999947e+00 6.698472016057109846e-01
3.439999999999999947e+00 6.698472016057109846e-01
3.520000000000000018e+00 6.698470539076309960e-01
3.520000000000000018e+00 6.698470539076309960e-01
3.520000000000000018e+00 6.698470539076309960e-01
3.520000000000000018e+00 6.698470539076309960e-01
3.600000000000000089e+00 6.698469570729890243e-01
3.600000000000000089e+00 6.698469570729890243e-01
3.600000000000000089e+00 6.698469570729890243e-01
3.680000000000000160e+00 6.698468051197240536e-01
3.680000000000000160e+00 6.698468051197240536e-01
3.680000000000000160e+00 6.698468051197240536e-01
3.680000000000000160e+00 6.698468051197240536e-01
3.759999999999999787e+00 6.698466745443629744e-01
3.759999999999999787e+00 6.698466745443629744e-01
3.759999999999999787e+00 6.698466745443629744e-01
3.839999999999999858e+00 6.698466012607360298e-01
3.839999999999999858e+00 6.698466012607360298e-01
3.839999999999999858e+00 6.698466012607360298e-01
3.839999999999999858e+00 6.698466012607360298e-01
3.919999999999999929e+00 6.698464020263289465e-01
3.919999999999999929e+00 6.698464020263289465e-01
3.919999999999999929e+00 6.698464020263289465e-01
4.000000000000000000e+00 6.698460667123420365e-01
4.000000000000000000e+00 6.698460667123420365e-01
4.000000000000000000e+00 6.698460667123420365e-01
4.000000000000000000e+00 6.698460667123420365e-01
4.080000000000000071e+00 6.698458713813359999e-01
4.080000000000000071e+00 6.698458713813359999e-01
4.080000000000000071e+00 6.698458713813359999e-01
4.160000000000000142e+00 6.698459946254190500e-01
4.160000000000000142e+00 6.698459946254190500e-01
4.160000000000000142e+00 6.698459946254190500e-01
4.160000000000000142e+00 6.698459946254190500e-01
4.240000000000000213e+00 6.698460384460379613e-01
4.240000000000000213e+00 6.698460384460379613e-01
4.240000000000000213e+00 6.698460384460379613e-01
4.320000000000000284e+00 6.698459412591529771e-01
4.320000000000000284e+00 6.698459412591529771e-01
4.320000000000000284e+00 6.698459412591529771e-01
4.320000000000000284e+00 6.698459412591529771e-01
4.400000000000000355e+00 6.698458262614089831e-01
4.400000000000000355e+00 6.698458262614089831e-01
4.400000000000000355e+00 6.698458262614089831e-01
4.480000000000000426e+00 6.698454348088720423e-01
4.480000000000000426e+00 6.698454348088720423e-01
4.480000000000000426e+00 6.698454348088720423e-01
4.480000000000000426e+00 6.698454348088720423e-01
4.559999999999999609e+00 6.698450183403430458e-01
