t lapse
3.200000000000000067e-01 5.200787946443630183e-01
3.200000000000000067e-01 5.200787946443630183e-01
3.200000000000000067e-01 5.200787946443630183e-01
6.400000000000000133e-01 5.200760461971629667e-01
6.400000000000000133e-01 5.200760461971629667e-01
6.400000000000000133e-01 5.200760461971629667e-01
9.599999999999999645e-01 5.200731547371270080e-01
9.599999999999999645e-01 5.200731547371270080e-01
9.599999999999999645e-01 5.200731547371270080e-01
1.280000000000000027e+00 5.200829074576870381e-01
1.280000000000000027e+00 5.200829074576870381e-01
1.280000000000000027e+00 5.200829074576870381e-01
1.600000000000000089e+00 5.200699513707359722e-01
1.600000000000000089e+00 5.200699513707359722e-01
1.600000000000000089e+00 5.200699513707359722e-01
1.919999999999999929e+00 5.200774594866860445e-01
1.919999999999999929e+00 5.200774594866860445e-01
1.919999999999999929e+00 5.200774594866860445e-01
2.240000000000000213e+00 5.200612406550170208e-01
2.240000000000000213e+00 5.200612406550170208e-01
2.240000000000000213e+00 5.200612406550170208e-01
2.560000000000000053e+00 5.200698478759090415e-01
2.560000000000000053e+00 5.200698478759090415e-01
2.560000000000000053e+00 5.200698478759090415e-01
2.879999999999999893e+00 5.200643735600809503e-01
2.879999999999999893e+00 5.200643735600809503e-01
2.879999999999999893e+00 5.200643735600809503e-01
3.200000000000000178e+00 5.200586740820080101e-01
3.200000000000000178e+00 5.200586740820080101e-01
3.200000000000000178e+00 5.200586740820080101e-01
3.520000000000000018e+00 5.200606537278640307e-01
3.520000000000000018e+00 5.200606537278640307e-01
3.520000000000000018e+00 5.200606537278640307e-01
3.839999999999999858e+00 5.200582641076589852e-01
3.839999999999999858e+00 5.200582641076589852e-01
3.839999999999999858e+00 5.200582641076589852e-01
4.160000000000000142e+00 5.200565609003939826e-01
4.160000000000000142e+00 5.200565609003939826e-01
4.160000000000000142e+00 5.200565609003939826e-01
4.480000000000000426e+00 5.200532343230910293e-01
4.480000000000000426e+00 5.200532343230910293e-01
4.480000000000000426e+00 5.200532343230910293e-01
4.799999999999999822e+00 5.200572516838599668e-01
4.799999999999999822e+00 5.200572516838599668e-01
4.799999999999999822e+00 5.200572516838599668e-01
5.120000000000000107e+00 5.200484279401019760e-01
5.120000000000000107e+00 5.200484279401019760e-01
5.120000000000000107e+00 5.200484279401019760e-01
5.440000000000000391e+00 5.200475696199400311e-01
5.440000000000000391e+00 5.200475696199400311e-01
5.440000000000000391e+00 5.200475696199400311e-01
5.759999999999999787e+00 5.200533206553370480e-01
5.759999999999999787e+00 5.200533206553370480e-01
5.759999999999999787e+00 5.200533206553370480e-01
6.080000000000000071e+00 5.200442058087020314e-01
6.080000000000000071e+00 5.200442058087020314e-01
6.080000000000000071e+00 5.200442058087020314e-01
6.400000000000000355e+00 5.200519333961900470e-01
6.400000000000000355e+00 5.200519333961900470e-01
6.400000000000000355e+00 5.200519333961900470e-01
6.719999999999999751e+00 5.200407701113569647e-01
6.719999999999999751e+00 5.200407701113569647e-01
6.719999999999999751e+00 5.200407701113569647e-01
7.040000000000000036e+00 5.200544379224889546e-01
7.040000000000000036e+00 5.200544379224889546e-01
7.040000000000000036e+00 5.200544379224889546e-01
7.360000000000000320e+00 5.200351442268960067e-01
7.360000000000000320e+00 5.200351442268960067e-01
7.360000000000000320e+00 5.200351442268960067e-01
7.679999999999999716e+00 5.200532063763939616e-01
7.679999999999999716e+00 5.200532063763939616e-01
7.679999999999999716e+00 5.200532063763939616e-01
8.000000000000000000e+00 5.200367597815409582e-01
8.000000000000000000e+00 5.200367597815409582e-01
8.000000000000000000e+00 5.200367597815409582e-01
8.320000000000000284e+00 5.200430523509520508e-01
8.320000000000000284e+00 5.200430523509520508e-01
8.320000000000000284e+00 5.200430523509520508e-01
8.640000000000000568e+00 5.200377049917509487e-01
8.640000000000000568e+00 5.200377049917509487e-01
8.640000000000000568e+00 5.200377049917509487e-01
8.960000000000000853e+00 5.200357644954259895e-01
8.960000000000000853e+00 5.200357644954259895e-01
8.960000000000000853e+00 5.200357644954259895e-01
9.279999999999999361e+00 5.200358282790670250e-01
9.279999999999999361e+00 5.200358282790670250e-01
