t lapse
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
3.200000000000000067e-01 6.698370622149489861e-01
3.200000000000000067e-01 6.698370622149489861e-01
3.200000000000000067e-01 6.698370622149489861e-01
3.200000000000000067e-01 6.698370622149489861e-01
6.400000000000000133e-01 6.698375575020819594e-01
6.400000000000000133e-01 6.698375575020819594e-01
6.400000000000000133e-01 6.698375575020819594e-01
6.400000000000000133e-01 6.698375575020819594e-01
9.599999999999999645e-01 6.698348681924860548e-01
9.599999999999999645e-01 6.698348681924860548e-01
9.599999999999999645e-01 6.698348681924860548e-01
9.599999999999999645e-01 6.698348681924860548e-01
1.280000000000000027e+00 6.698350153710570520e-01
1.280000000000000027e+00 6.698350153710570520e-01
1.280000000000000027e+00 6.698350153710570520e-01
1.280000000000000027e+00 6.698350153710570520e-01
1.600000000000000089e+00 6.698345439873190088e-01
1.600000000000000089e+00 6.698345439873190088e-01
1.600000000000000089e+00 6.698345439873190088e-01
1.600000000000000089e+00 6.698345439873190088e-01
1.919999999999999929e+00 6.698329552317959790e-01
1.919999999999999929e+00 6.698329552317959790e-01
1.919999999999999929e+00 6.698329552317959790e-01
1.919999999999999929e+00 6.698329552317959790e-01
2.240000000000000213e+00 6.698296078150780541e-01
2.240000000000000213e+00 6.698296078150780541e-01
2.240000000000000213e+00 6.698296078150780541e-01
2.240000000000000213e+00 6.698296078150780541e-01
2.560000000000000053e+00 6.698292839680179966e-01
2.560000000000000053e+00 6.698292839680179966e-01
2.560000000000000053e+00 6.698292839680179966e-01
2.560000000000000053e+00 6.698292839680179966e-01
2.879999999999999893e+00 6.698266031673000276e-01
2.879999999999999893e+00 6.698266031673000276e-01
2.879999999999999893e+00 6.698266031673000276e-01
2.879999999999999893e+00 6.698266031673000276e-01
3.200000000000000178e+00 6.698242020412870090e-01
3.200000000000000178e+00 6.698242020412870090e-01
3.200000000000000178e+00 6.698242020412870090e-01
3.200000000000000178e+00 6.698242020412870090e-01
3.520000000000000018e+00 6.698227775426679464e-01
3.520000000000000018e+00 6.698227775426679464e-01
3.520000000000000018e+00 6.698227775426679464e-01
3.520000000000000018e+00 6.698227775426679464e-01
3.839999999999999858e+00 6.698198291484499522e-01
3.839999999999999858e+00 6.698198291484499522e-01
3.839999999999999858e+00 6.698198291484499522e-01
3.839999999999999858e+00 6.698198291484499522e-01
4.160000000000000142e+00 6.698188973215170039e-01
4.160000000000000142e+00 6.698188973215170039e-01
4.160000000000000142e+00 6.698188973215170039e-01
4.160000000000000142e+00 6.698188973215170039e-01
4.480000000000000426e+00 6.698166206152830204e-01
4.480000000000000426e+00 6.698166206152830204e-01
4.480000000000000426e+00 6.698166206152830204e-01
4.480000000000000426e+00 6.698166206152830204e-01
4.799999999999999822e+00 6.698139459599889989e-01
4.799999999999999822e+00 6.698139459599889989e-01
4.799999999999999822e+00 6.698139459599889989e-01
4.799999999999999822e+00 6.698139459599889989e-01
5.120000000000000107e+00 6.698081979137679998e-01
5.120000000000000107e+00 6.698081979137679998e-01
5.120000000000000107e+00 6.698081979137679998e-01
5.120000000000000107e+00 6.698081979137679998e-01
5.440000000000000391e+00 6.698031264890880188e-01
5.440000000000000391e+00 6.698031264890880188e-01
5.440000000000000391e+00 6.698031264890880188e-01
5.440000000000000391e+00 6.698031264890880188e-01
5.759999999999999787e+00 6.697982220064160330e-01
5.759999999999999787e+00 6.697982220064160330e-01
5.759999999999999787e+00 6.697982220064160330e-01
5.759999999999999787e+00 6.697982220064160330e-01
6.080000000000000071e+00 6.697938946134840421e-01
6.080000000000000071e+00 6.697938946134840421e-01
6.080000000000000071e+00 6.697938946134840421e-01
6.080000000000000071e+00 6.697938946134840421e-01
6.400000000000000355e+00 6.697920839312609953e-01
6.400000000000000355e+00 6.697920839312609953e-01
6.400000000000000355e+00 6.697920839312609953e-01
6.400000000000000355e+00 6.697920839312609953e-01
6.719999999999999751e+00 6.697917236004400365e-01
6.719999999999999751e+00 6.697917236004400365e-01
6.719999999999999751e+00 6.697917236004400365e-01
6.719999999999999751e+00 6.697917236004400365e-01
7.040000000000000036e+00 6.697924103993689871e-01
7.040000000000000036e+00 6.697924103993689871e-01
7.040000000000000036e+00 6.697924103993689871e-01
7.040000000000000036e+00 6.697924103993689871e-01
7.360000000000000320e+00 6.697900884675780375e-01
7.360000000000000320e+00 6.697900884675780375e-01
7.360000000000000320e+00 6.697900884675780375e-01
7.360000000000000320e+00 6.697900884675780375e-01
7.679999999999999716e+00 6.697868162773289447e-01
7.679999999999999716e+00 6.697868162773289447e-01
7.679999999999999716e+00 6.697868162773289447e-01
7.679999999999999716e+00 6.697868162773289447e-01
8.000000000000000000e+00 6.697847568891920345e-01
8.000000000000000000e+00 6.697847568891920345e-01
8.000000000000000000e+00 6.697847568891920345e-01
8.000000000000000000e+00 6.697847568891920345e-01
8.320000000000000284e+00 6.697841386827859678e-01
8.320000000000000284e+00 6.697841386827859678e-01
8.320000000000000284e+00 6.697841386827859678e-01
8.320000000000000284e+00 6.697841386827859678e-01
8.640000000000000568e+00 6.697852386237319600e-01
8.640000000000000568e+00 6.697852386237319600e-01
8.640000000000000568e+00 6.697852386237319600e-01
8.640000000000000568e+00 6.697852386237319600e-01
8.960000000000000853e+00 6.697852828038769468e-01
8.960000000000000853e+00 6.697852828038769468e-01
8.960000000000000853e+00 6.697852828038769468e-01
8.960000000000000853e+00 6.697852828038769468e-01
9.279999999999999361e+00 6.697834157360870178e-01
9.279999999999999361e+00 6.697834157360870178e-01
9.279999999999999361e+00 6.697834157360870178e-01
9.279999999999999361e+00 6.697834157360870178e-01
9.599999999999999645e+00 6.697811159913109602e-01
9.599999999999999645e+00 6.697811159913109602e-01
