t lapse
0.000000000000000000e+00 6.698597281643350332e-01
0.000000000000000000e+00 6.698597281643350332e-01
0.000000000000000000e+00 6.698597281643350332e-01
1.600000000000000033e-01 6.698579791715080223e-01
1.600000000000000033e-01 6.698579791715080223e-01
1.600000000000000033e-01 6.698579791715080223e-01
3.200000000000000067e-01 6.698531186163459994e-01
3.200000000000000067e-01 6.698531186163459994e-01
3.200000000000000067e-01 6.698531186163459994e-01
4.799999999999999822e-01 6.698474984025140078e-01
4.799999999999999822e-01 6.698474984025140078e-01
4.799999999999999822e-01 6.698474984025140078e-01
6.400000000000000133e-01 6.698382693468010185e-01
6.400000000000000133e-01 6.698382693468010185e-01
6.400000000000000133e-01 6.698382693468010185e-01
8.000000000000000444e-01 6.698264261534470076e-01
8.000000000000000444e-01 6.698264261534470076e-01
8.000000000000000444e-01 6.698264261534470076e-01
9.599999999999999645e-01 6.698101759142790490e-01
9.599999999999999645e-01 6.698101759142790490e-01
9.599999999999999645e-01 6.698101759142790490e-01
1.120000000000000107e+00 6.697965135659510461e-01
1.120000000000000107e+00 6.697965135659510461e-01
1.120000000000000107e+00 6.697965135659510461e-01
1.280000000000000027e+00 6.697748500013750439e-01
1.280000000000000027e+00 6.697748500013750439e-01
1.280000000000000027e+00 6.697748500013750439e-01
1.439999999999999947e+00 6.697537827192220350e-01
1.439999999999999947e+00 6.697537827192220350e-01
1.439999999999999947e+00 6.697537827192220350e-01
1.600000000000000089e+00 6.697303025577390212e-01
1.600000000000000089e+00 6.697303025577390212e-01
1.600000000000000089e+00 6.697303025577390212e-01
1.760000000000000009e+00 6.697023098674630415e-01
1.760000000000000009e+00 6.697023098674630415e-01
1.760000000000000009e+00 6.697023098674630415e-01
1.919999999999999929e+00 6.696758834273720540e-01
1.919999999999999929e+00 6.696758834273720540e-01
1.919999999999999929e+00 6.696758834273720540e-01
2.080000000000000071e+00 6.696447221661290250e-01
2.080000000000000071e+00 6.696447221661290250e-01
2.080000000000000071e+00 6.696447221661290250e-01
2.240000000000000213e+00 6.696102300549080510e-01
2.240000000000000213e+00 6.696102300549080510e-01
2.240000000000000213e+00 6.696102300549080510e-01
2.399999999999999911e+00 6.695799686398680173e-01
2.399999999999999911e+00 6.695799686398680173e-01
2.399999999999999911e+00 6.695799686398680173e-01
2.560000000000000053e+00 6.695413918355139771e-01
2.560000000000000053e+00 6.695413918355139771e-01
2.560000000000000053e+00 6.695413918355139771e-01
2.720000000000000195e+00 6.695045355993689551e-01
2.720000000000000195e+00 6.695045355993689551e-01
2.720000000000000195e+00 6.695045355993689551e-01
2.879999999999999893e+00 6.694648318820759503e-01
2.879999999999999893e+00 6.694648318820759503e-01
2.879999999999999893e+00 6.694648318820759503e-01
3.040000000000000036e+00 6.694232381718590030e-01
3.040000000000000036e+00 6.694232381718590030e-01
3.040000000000000036e+00 6.694232381718590030e-01
3.200000000000000178e+00 6.693829664239779875e-01
3.200000000000000178e+00 6.693829664239779875e-01
3.200000000000000178e+00 6.693829664239779875e-01
3.359999999999999876e+00 6.693403158796129571e-01
3.359999999999999876e+00 6.693403158796129571e-01
3.359999999999999876e+00 6.693403158796129571e-01
3.520000000000000018e+00 6.692965215706879745e-01
3.520000000000000018e+00 6.692965215706879745e-01
3.520000000000000018e+00 6.692965215706879745e-01
3.680000000000000160e+00 6.692556868301440254e-01
3.680000000000000160e+00 6.692556868301440254e-01
3.680000000000000160e+00 6.692556868301440254e-01
