t lapse
0.000000000000000000e+00 6.765925618264200248e-01
0.000000000000000000e+00 6.765925618264200248e-01
0.000000000000000000e+00 6.765925618264200248e-01
1.600000000000000033e-01 6.765697191829900259e-01
1.600000000000000033e-01 6.765697191829900259e-01
1.600000000000000033e-01 6.765697191829900259e-01
3.200000000000000067e-01 6.765001901147480456e-01
3.200000000000000067e-01 6.765001901147480456e-01
3.200000000000000067e-01 6.765001901147480456e-01
4.799999999999999822e-01 6.763898406704450528e-01
4.799999999999999822e-01 6.763898406704450528e-01
4.799999999999999822e-01 6.763898406704450528e-01
6.400000000000000133e-01 6.762293335446659670e-01
6.400000000000000133e-01 6.762293335446659670e-01
6.400000000000000133e-01 6.762293335446659670e-01
8.000000000000000444e-01 6.760299825231770310e-01
8.000000000000000444e-01 6.760299825231770310e-01
8.000000000000000444e-01 6.760299825231770310e-01
9.599999999999999645e-01 6.757841128809050080e-01
9.599999999999999645e-01 6.757841128809050080e-01
9.599999999999999645e-01 6.757841128809050080e-01
1.120000000000000107e+00 6.754958703052880153e-01
1.120000000000000107e+00 6.754958703052880153e-01
1.120000000000000107e+00 6.754958703052880153e-01
1.280000000000000027e+00 6.751641484627080025e-01
1.280000000000000027e+00 6.751641484627080025e-01
1.280000000000000027e+00 6.751641484627080025e-01
1.439999999999999947e+00 6.747941685898589670e-01
1.439999999999999947e+00 6.747941685898589670e-01
1.439999999999999947e+00 6.747941685898589670e-01
1.600000000000000089e+00 6.743840123102690098e-01
1.600000000000000089e+00 6.743840123102690098e-01
1.600000000000000089e+00 6.743840123102690098e-01
1.760000000000000009e+00 6.739323215127019928e-01
1.760000000000000009e+00 6.739323215127019928e-01
1.760000000000000009e+00 6.739323215127019928e-01
1.919999999999999929e+00 6.734467318165739957e-01
1.919999999999999929e+00 6.734467318165739957e-01
1.919999999999999929e+00 6.734467318165739957e-01
2.080000000000000071e+00 6.729223321379399492e-01
2.080000000000000071e+00 6.729223321379399492e-01
2.080000000000000071e+00 6.729223321379399492e-01
2.240000000000000213e+00 6.723673086336789950e-01
2.240000000000000213e+00 6.723673086336789950e-01
2.240000000000000213e+00 6.723673086336789950e-01
2.399999999999999911e+00 6.717722765910210114e-01
2.399999999999999911e+00 6.717722765910210114e-01
2.399999999999999911e+00 6.717722765910210114e-01
2.560000000000000053e+00 6.711564621210850401e-01
