t lapse
0.000000000000000000e+00 6.694251491428769851e-01
0.000000000000000000e+00 6.694251491428769851e-01
0.000000000000000000e+00 6.694251491428769851e-01
3.200000000000000067e-01 6.694358239456900117e-01
3.200000000000000067e-01 6.694358239456900117e-01
3.200000000000000067e-01 6.694358239456900117e-01
6.400000000000000133e-01 6.694680336729440517e-01
6.400000000000000133e-01 6.694680336729440517e-01
6.400000000000000133e-01 6.694680336729440517e-01
9.599999999999999645e-01 6.695245723381290093e-01
9.599999999999999645e-01 6.695245723381290093e-01
9.599999999999999645e-01 6.695245723381290093e-01
1.280000000000000027e+00 6.696021025914670188e-01
1.280000000000000027e+00 6.696021025914670188e-01
1.280000000000000027e+00 6.696021025914670188e-01
1.600000000000000089e+00 6.696986183665509795e-01
1.600000000000000089e+00 6.696986183665509795e-01
1.600000000000000089e+00 6.696986183665509795e-01
1.919999999999999929e+00 6.698182390055840152e-01
1.919999999999999929e+00 6.698182390055840152e-01
1.919999999999999929e+00 6.698182390055840152e-01
2.240000000000000213e+00 6.699558408269039589e-01
2.240000000000000213e+00 6.699558408269039589e-01
2.240000000000000213e+00 6.699558408269039589e-01
2.560000000000000053e+00 6.701114397833219938e-01
2.560000000000000053e+00 6.701114397833219938e-01
2.560000000000000053e+00 6.701114397833219938e-01
2.879999999999999893e+00 6.702853359254620225e-01
2.879999999999999893e+00 6.702853359254620225e-01
2.879999999999999893e+00 6.702853359254620225e-01
3.200000000000000178e+00 6.704745070105150306e-01
3.200000000000000178e+00 6.704745070105150306e-01
3.200000000000000178e+00 6.704745070105150306e-01
3.520000000000000018e+00 6.706756321344700122e-01
3.520000000000000018e+00 6.706756321344700122e-01
3.520000000000000018e+00 6.706756321344700122e-01
3.839999999999999858e+00 6.708881082718639588e-01
3.839999999999999858e+00 6.708881082718639588e-01
3.839999999999999858e+00 6.708881082718639588e-01
4.160000000000000142e+00 6.711084130479000320e-01
4.160000000000000142e+00 6.711084130479000320e-01
4.160000000000000142e+00 6.711084130479000320e-01
4.480000000000000426e+00 6.713383771909829933e-01
4.480000000000000426e+00 6.713383771909829933e-01
4.480000000000000426e+00 6.713383771909829933e-01
4.799999999999999822e+00 6.715713664227920265e-01
4.799999999999999822e+00 6.715713664227920265e-01
4.799999999999999822e+00 6.715713664227920265e-01
5.120000000000000107e+00 6.717970298074089630e-01
5.120000000000000107e+00 6.717970298074089630e-01
5.120000000000000107e+00 6.717970298074089630e-01
5.440000000000000391e+00 6.720307924225350504e-01
5.440000000000000391e+00 6.720307924225350504e-01
5.440000000000000391e+00 6.720307924225350504e-01
5.759999999999999787e+00 6.722524551735460374e-01
5.759999999999999787e+00 6.722524551735460374e-01
5.759999999999999787e+00 6.722524551735460374e-01
6.080000000000000071e+00 6.724623073477610236e-01
6.080000000000000071e+00 6.724623073477610236e-01
6.080000000000000071e+00 6.724623073477610236e-01
6.400000000000000355e+00 6.726660832163050552e-01
6.400000000000000355e+00 6.726660832163050552e-01
6.400000000000000355e+00 6.726660832163050552e-01
6.719999999999999751e+00 6.728463278587709651e-01
6.719999999999999751e+00 6.728463278587709651e-01
6.719999999999999751e+00 6.728463278587709651e-01
7.040000000000000036e+00 6.730119519560630037e-01
7.040000000000000036e+00 6.730119519560630037e-01
7.040000000000000036e+00 6.730119519560630037e-01
7.360000000000000320e+00 6.731549398013509933e-01
7.360000000000000320e+00 6.731549398013509933e-01
7.360000000000000320e+00 6.731549398013509933e-01
7.679999999999999716e+00 6.732710212508280501e-01
7.679999999999999716e+00 6.732710212508280501e-01
7.679999999999999716e+00 6.732710212508280501e-01
8.000000000000000000e+00 6.733646822603379656e-01
8.000000000000000000e+00 6.733646822603379656e-01
8.000000000000000000e+00 6.733646822603379656e-01
8.320000000000000284e+00 6.734243720919239617e-01
8.320000000000000284e+00 6.734243720919239617e-01
8.320000000000000284e+00 6.734243720919239617e-01
8.640000000000000568e+00 6.734564705927099659e-01
8.640000000000000568e+00 6.734564705927099659e-01
8.640000000000000568e+00 6.734564705927099659e-01
8.960000000000000853e+00 6.734648630794130009e-01
8.960000000000000853e+00 6.734648630794130009e-01
8.960000000000000853e+00 6.734648630794130009e-01
9.279999999999999361e+00 6.734669820412040320e-01
9.279999999999999361e+00 6.734669820412040320e-01
9.279999999999999361e+00 6.734669820412040320e-01
9.599999999999999645e+00 6.734770768473099523e-01
9.599999999999999645e+00 6.734770768473099523e-01
9.599999999999999645e+00 6.734770768473099523e-01
9.919999999999999929e+00 6.734824869221479604e-01
9.919999999999999929e+00 6.734824869221479604e-01
9.919999999999999929e+00 6.734824869221479604e-01
1.024000000000000021e+01 6.734963934504549776e-01
1.024000000000000021e+01 6.734963934504549776e-01
1.024000000000000021e+01 6.734963934504549776e-01
1.056000000000000050e+01 6.735059352986140224e-01
1.056000000000000050e+01 6.735059352986140224e-01
1.056000000000000050e+01 6.735059352986140224e-01
1.088000000000000078e+01 6.735213702888109832e-01
1.088000000000000078e+01 6.735213702888109832e-01
1.088000000000000078e+01 6.735213702888109832e-01
1.119999999999999929e+01 6.735376827828579716e-01
1.119999999999999929e+01 6.735376827828579716e-01
1.119999999999999929e+01 6.735376827828579716e-01
1.151999999999999957e+01 6.735550612148070160e-01
1.151999999999999957e+01 6.735550612148070160e-01
1.151999999999999957e+01 6.735550612148070160e-01
1.183999999999999986e+01 6.735760397684870115e-01
1.183999999999999986e+01 6.735760397684870115e-01
1.183999999999999986e+01 6.735760397684870115e-01
1.216000000000000014e+01 6.735983661733180305e-01
1.216000000000000014e+01 6.735983661733180305e-01
1.216000000000000014e+01 6.735983661733180305e-01
1.248000000000000043e+01 6.736234637618320198e-01
1.248000000000000043e+01 6.736234637618320198e-01
1.248000000000000043e+01 6.736234637618320198e-01
1.280000000000000071e+01 6.736499613637160211e-01
1.280000000000000071e+01 6.736499613637160211e-01
1.280000000000000071e+01 6.736499613637160211e-01
1.311999999999999922e+01 6.736803011420550158e-01
1.311999999999999922e+01 6.736803011420550158e-01
1.311999999999999922e+01 6.736803011420550158e-01
1.343999999999999950e+01 6.737106561989669729e-01
1.343999999999999950e+01 6.737106561989669729e-01
1.343999999999999950e+01 6.737106561989669729e-01
1.375999999999999979e+01 6.737458860290229667e-01
1.375999999999999979e+01 6.737458860290229667e-01
1.375999999999999979e+01 6.737458860290229667e-01
1.408000000000000007e+01 6.737808935539869593e-01
1.408000000000000007e+01 6.737808935539869593e-01
1.408000000000000007e+01 6.737808935539869593e-01
1.440000000000000036e+01 6.738202665068500075e-01
1.440000000000000036e+01 6.738202665068500075e-01
1.440000000000000036e+01 6.738202665068500075e-01
1.472000000000000064e+01 6.738596326126240488e-01
1.472000000000000064e+01 6.738596326126240488e-01
1.472000000000000064e+01 6.738596326126240488e-01
1.503999999999999915e+01 6.739027134656280227e-01
1.503999999999999915e+01 6.739027134656280227e-01
1.503999999999999915e+01 6.739027134656280227e-01
1.535999999999999943e+01 6.739466138623759761e-01
1.535999999999999943e+01 6.739466138623759761e-01
1.535999999999999943e+01 6.739466138623759761e-01
1.567999999999999972e+01 6.739923590544429910e-01
1.567999999999999972e+01 6.739923590544429910e-01
1.567999999999999972e+01 6.739923590544429910e-01
1.600000000000000000e+01 6.740409144247809792e-01
1.600000000000000000e+01 6.740409144247809792e-01
1.600000000000000000e+01 6.740409144247809792e-01
1.632000000000000028e+01 6.740895929464200131e-01
1.632000000000000028e+01 6.740895929464200131e-01
1.632000000000000028e+01 6.740895929464200131e-01
1.664000000000000057e+01 6.741412668496139515e-01
1.664000000000000057e+01 6.741412668496139515e-01
1.664000000000000057e+01 6.741412668496139515e-01
1.696000000000000085e+01 6.741935865788759585e-01
1.696000000000000085e+01 6.741935865788759585e-01
1.696000000000000085e+01 6.741935865788759585e-01
1.728000000000000114e+01 6.742480853368589822e-01
1.728000000000000114e+01 6.742480853368589822e-01
1.728000000000000114e+01 6.742480853368589822e-01
1.760000000000000142e+01 6.743033433982109637e-01
1.760000000000000142e+01 6.743033433982109637e-01
1.760000000000000142e+01 6.743033433982109637e-01
1.792000000000000171e+01 6.743606229457880241e-01
1.792000000000000171e+01 6.743606229457880241e-01
1.792000000000000171e+01 6.743606229457880241e-01
1.823999999999999844e+01 6.744186322774099462e-01
1.823999999999999844e+01 6.744186322774099462e-01
1.823999999999999844e+01 6.744186322774099462e-01
1.855999999999999872e+01 6.744783950003769846e-01
1.855999999999999872e+01 6.744783950003769846e-01
1.855999999999999872e+01 6.744783950003769846e-01
1.887999999999999901e+01 6.745391371746920495e-01
1.887999999999999901e+01 6.745391371746920495e-01
1.887999999999999901e+01 6.745391371746920495e-01
1.919999999999999929e+01 6.746011886831879689e-01
1.919999999999999929e+01 6.746011886831879689e-01
1.919999999999999929e+01 6.746011886831879689e-01
1.951999999999999957e+01 6.746644637045869919e-01
1.951999999999999957e+01 6.746644637045869919e-01
1.951999999999999957e+01 6.746644637045869919e-01
1.983999999999999986e+01 6.747281007329649638e-01
1.983999999999999986e+01 6.747281007329649638e-01
1.983999999999999986e+01 6.747281007329649638e-01
2.016000000000000014e+01 6.747932534391669623e-01
2.016000000000000014e+01 6.747932534391669623e-01
2.016000000000000014e+01 6.747932534391669623e-01
2.048000000000000043e+01 6.748586871979910251e-01
2.048000000000000043e+01 6.748586871979910251e-01
2.048000000000000043e+01 6.748586871979910251e-01
2.080000000000000071e+01 6.749257285052909783e-01
2.080000000000000071e+01 6.749257285052909783e-01
2.080000000000000071e+01 6.749257285052909783e-01
2.112000000000000099e+01 6.749928447979219870e-01
2.112000000000000099e+01 6.749928447979219870e-01
2.112000000000000099e+01 6.749928447979219870e-01
2.144000000000000128e+01 6.750611913727549984e-01
2.144000000000000128e+01 6.750611913727549984e-01
2.144000000000000128e+01 6.750611913727549984e-01
2.176000000000000156e+01 6.751297414613529613e-01
2.176000000000000156e+01 6.751297414613529613e-01
2.176000000000000156e+01 6.751297414613529613e-01
2.207999999999999829e+01 6.751997993880419768e-01
2.207999999999999829e+01 6.751997993880419768e-01
2.207999999999999829e+01 6.751997993880419768e-01
2.239999999999999858e+01 6.752694027489719586e-01
2.239999999999999858e+01 6.752694027489719586e-01
2.239999999999999858e+01 6.752694027489719586e-01
2.271999999999999886e+01 6.753409468773550195e-01
2.271999999999999886e+01 6.753409468773550195e-01
2.271999999999999886e+01 6.753409468773550195e-01
2.303999999999999915e+01 6.754114370949070301e-01
2.303999999999999915e+01 6.754114370949070301e-01
2.303999999999999915e+01 6.754114370949070301e-01
2.335999999999999943e+01 6.754842611512750228e-01
2.335999999999999943e+01 6.754842611512750228e-01
2.335999999999999943e+01 6.754842611512750228e-01
2.367999999999999972e+01 6.755558569360510246e-01
2.367999999999999972e+01 6.755558569360510246e-01
2.367999999999999972e+01 6.755558569360510246e-01
2.400000000000000000e+01 6.756295337207389728e-01
2.400000000000000000e+01 6.756295337207389728e-01
2.400000000000000000e+01 6.756295337207389728e-01
2.432000000000000028e+01 6.757021273611829582e-01
2.432000000000000028e+01 6.757021273611829582e-01
2.432000000000000028e+01 6.757021273611829582e-01
2.464000000000000057e+01 6.757764248870969936e-01
2.464000000000000057e+01 6.757764248870969936e-01
2.464000000000000057e+01 6.757764248870969936e-01
2.496000000000000085e+01 6.758501325196739629e-01
2.496000000000000085e+01 6.758501325196739629e-01
2.496000000000000085e+01 6.758501325196739629e-01
2.528000000000000114e+01 6.759246751580579859e-01
2.528000000000000114e+01 6.759246751580579859e-01
2.528000000000000114e+01 6.759246751580579859e-01
2.560000000000000142e+01 6.759995730475549802e-01
2.560000000000000142e+01 6.759995730475549802e-01
2.560000000000000142e+01 6.759995730475549802e-01
2.592000000000000171e+01 6.760742309563599894e-01
2.592000000000000171e+01 6.760742309563599894e-01
2.592000000000000171e+01 6.760742309563599894e-01
2.623999999999999844e+01 6.761499242189760173e-01
2.623999999999999844e+01 6.761499242189760173e-01
2.623999999999999844e+01 6.761499242189760173e-01
2.655999999999999872e+01 6.762250971280460154e-01
2.655999999999999872e+01 6.762250971280460154e-01
2.655999999999999872e+01 6.762250971280460154e-01
2.687999999999999901e+01 6.763008062534010545e-01
2.687999999999999901e+01 6.763008062534010545e-01
2.687999999999999901e+01 6.763008062534010545e-01
2.719999999999999929e+01 6.763767152433719509e-01
2.719999999999999929e+01 6.763767152433719509e-01
2.719999999999999929e+01 6.763767152433719509e-01
2.751999999999999957e+01 6.764522293671410003e-01
2.751999999999999957e+01 6.764522293671410003e-01
2.751999999999999957e+01 6.764522293671410003e-01
2.783999999999999986e+01 6.765271356309570105e-01
2.783999999999999986e+01 6.765271356309570105e-01
2.783999999999999986e+01 6.765271356309570105e-01
2.816000000000000014e+01 6.766024925820549596e-01
2.816000000000000014e+01 6.766024925820549596e-01
2.816000000000000014e+01 6.766024925820549596e-01
2.848000000000000043e+01 6.766760952496809756e-01
2.848000000000000043e+01 6.766760952496809756e-01
2.848000000000000043e+01 6.766760952496809756e-01
2.880000000000000071e+01 6.767495182483419525e-01
2.880000000000000071e+01 6.767495182483419525e-01
2.880000000000000071e+01 6.767495182483419525e-01
2.912000000000000099e+01 6.768223705025250281e-01
2.912000000000000099e+01 6.768223705025250281e-01
2.912000000000000099e+01 6.768223705025250281e-01
2.944000000000000128e+01 6.768946439816270200e-01
2.944000000000000128e+01 6.768946439816270200e-01
2.944000000000000128e+01 6.768946439816270200e-01
2.976000000000000156e+01 6.769663421097700251e-01
2.976000000000000156e+01 6.769663421097700251e-01
2.976000000000000156e+01 6.769663421097700251e-01
3.007999999999999829e+01 6.770384424425609504e-01
3.007999999999999829e+01 6.770384424425609504e-01
3.007999999999999829e+01 6.770384424425609504e-01
3.039999999999999858e+01 6.771094682106130191e-01
3.039999999999999858e+01 6.771094682106130191e-01
3.039999999999999858e+01 6.771094682106130191e-01
3.071999999999999886e+01 6.771801666743979542e-01
3.071999999999999886e+01 6.771801666743979542e-01
3.071999999999999886e+01 6.771801666743979542e-01
3.103999999999999915e+01 6.772513082940180285e-01
3.103999999999999915e+01 6.772513082940180285e-01
3.103999999999999915e+01 6.772513082940180285e-01
3.135999999999999943e+01 6.773210083470420084e-01
3.135999999999999943e+01 6.773210083470420084e-01
3.135999999999999943e+01 6.773210083470420084e-01
3.167999999999999972e+01 6.773915613043289818e-01
3.167999999999999972e+01 6.773915613043289818e-01
3.167999999999999972e+01 6.773915613043289818e-01
3.200000000000000000e+01 6.774611503119369882e-01
3.200000000000000000e+01 6.774611503119369882e-01
3.200000000000000000e+01 6.774611503119369882e-01
3.232000000000000028e+01 6.775309224703920385e-01
3.232000000000000028e+01 6.775309224703920385e-01
3.232000000000000028e+01 6.775309224703920385e-01
3.264000000000000057e+01 6.776004263817270168e-01
3.264000000000000057e+01 6.776004263817270168e-01
3.264000000000000057e+01 6.776004263817270168e-01
3.296000000000000085e+01 6.776699509896439988e-01
3.296000000000000085e+01 6.776699509896439988e-01
3.296000000000000085e+01 6.776699509896439988e-01
3.328000000000000114e+01 6.777388422294640113e-01
3.328000000000000114e+01 6.777388422294640113e-01
3.328000000000000114e+01 6.777388422294640113e-01
3.360000000000000142e+01 6.778082577042690016e-01
3.360000000000000142e+01 6.778082577042690016e-01
3.360000000000000142e+01 6.778082577042690016e-01
3.392000000000000171e+01 6.778766754831789809e-01
3.392000000000000171e+01 6.778766754831789809e-01
3.392000000000000171e+01 6.778766754831789809e-01
3.424000000000000199e+01 6.779457769645249599e-01
3.424000000000000199e+01 6.779457769645249599e-01
3.424000000000000199e+01 6.779457769645249599e-01
3.456000000000000227e+01 6.780146274347419455e-01
3.456000000000000227e+01 6.780146274347419455e-01
3.456000000000000227e+01 6.780146274347419455e-01
3.488000000000000256e+01 6.780822683071100476e-01
3.488000000000000256e+01 6.780822683071100476e-01
3.488000000000000256e+01 6.780822683071100476e-01
3.520000000000000284e+01 6.781522546850019539e-01
3.520000000000000284e+01 6.781522546850019539e-01
3.520000000000000284e+01 6.781522546850019539e-01
3.552000000000000313e+01 6.782191362885060526e-01
3.552000000000000313e+01 6.782191362885060526e-01
3.552000000000000313e+01 6.782191362885060526e-01
3.584000000000000341e+01 6.782885378142200494e-01
3.584000000000000341e+01 6.782885378142200494e-01
3.584000000000000341e+01 6.782885378142200494e-01
3.615999999999999659e+01 6.783558267768979855e-01
3.615999999999999659e+01 6.783558267768979855e-01
3.615999999999999659e+01 6.783558267768979855e-01
3.647999999999999687e+01 6.784245331733439466e-01
3.647999999999999687e+01 6.784245331733439466e-01
3.647999999999999687e+01 6.784245331733439466e-01
3.679999999999999716e+01 6.784925099024009532e-01
3.679999999999999716e+01 6.784925099024009532e-01
3.679999999999999716e+01 6.784925099024009532e-01
3.711999999999999744e+01 6.785606517190749809e-01
3.711999999999999744e+01 6.785606517190749809e-01
3.711999999999999744e+01 6.785606517190749809e-01
3.743999999999999773e+01 6.786278201011809452e-01
3.743999999999999773e+01 6.786278201011809452e-01
3.743999999999999773e+01 6.786278201011809452e-01
3.775999999999999801e+01 6.786962319881659766e-01
3.775999999999999801e+01 6.786962319881659766e-01
3.775999999999999801e+01 6.786962319881659766e-01
3.807999999999999829e+01 6.787635263070870284e-01
3.807999999999999829e+01 6.787635263070870284e-01
3.807999999999999829e+01 6.787635263070870284e-01
3.839999999999999858e+01 6.788314267499999666e-01
3.839999999999999858e+01 6.788314267499999666e-01
3.839999999999999858e+01 6.788314267499999666e-01
3.871999999999999886e+01 6.788988744510330298e-01
3.871999999999999886e+01 6.788988744510330298e-01
3.871999999999999886e+01 6.788988744510330298e-01
3.903999999999999915e+01 6.789656846576119786e-01
3.903999999999999915e+01 6.789656846576119786e-01
