t lapse
0.000000000000000000e+00 5.434642411454759792e-01
0.000000000000000000e+00 5.434642411454759792e-01
0.000000000000000000e+00 5.434642411454759792e-01
0.000000000000000000e+00 5.434642411454759792e-01
3.200000000000000067e-01 5.434644859571130526e-01
3.200000000000000067e-01 5.434644859571130526e-01
3.200000000000000067e-01 5.434644859571130526e-01
3.200000000000000067e-01 5.434644859571130526e-01
6.400000000000000133e-01 5.434621342931530430e-01
6.400000000000000133e-01 5.434621342931530430e-01
6.400000000000000133e-01 5.434621342931530430e-01
6.400000000000000133e-01 5.434621342931530430e-01
9.599999999999999645e-01 5.434628639816130313e-01
9.599999999999999645e-01 5.434628639816130313e-01
9.599999999999999645e-01 5.434628639816130313e-01
9.599999999999999645e-01 5.434628639816130313e-01
1.280000000000000027e+00 5.434602756088630082e-01
1.280000000000000027e+00 5.434602756088630082e-01
1.280000000000000027e+00 5.434602756088630082e-01
1.280000000000000027e+00 5.434602756088630082e-01
1.600000000000000089e+00 5.434615808128659964e-01
1.600000000000000089e+00 5.434615808128659964e-01
1.600000000000000089e+00 5.434615808128659964e-01
1.600000000000000089e+00 5.434615808128659964e-01
1.919999999999999929e+00 5.434571356511920248e-01
1.919999999999999929e+00 5.434571356511920248e-01
1.919999999999999929e+00 5.434571356511920248e-01
1.919999999999999929e+00 5.434571356511920248e-01
2.240000000000000213e+00 5.434632115970079447e-01
2.240000000000000213e+00 5.434632115970079447e-01
2.240000000000000213e+00 5.434632115970079447e-01
2.240000000000000213e+00 5.434632115970079447e-01
2.560000000000000053e+00 5.434615543661459602e-01
2.560000000000000053e+00 5.434615543661459602e-01
2.560000000000000053e+00 5.434615543661459602e-01
2.560000000000000053e+00 5.434615543661459602e-01
2.879999999999999893e+00 5.434600390949719806e-01
2.879999999999999893e+00 5.434600390949719806e-01
2.879999999999999893e+00 5.434600390949719806e-01
2.879999999999999893e+00 5.434600390949719806e-01
3.200000000000000178e+00 5.434584691620070185e-01
3.200000000000000178e+00 5.434584691620070185e-01
3.200000000000000178e+00 5.434584691620070185e-01
3.200000000000000178e+00 5.434584691620070185e-01
3.520000000000000018e+00 5.434598231145050251e-01
3.520000000000000018e+00 5.434598231145050251e-01
3.520000000000000018e+00 5.434598231145050251e-01
3.520000000000000018e+00 5.434598231145050251e-01
3.839999999999999858e+00 5.434619653922549976e-01
3.839999999999999858e+00 5.434619653922549976e-01
3.839999999999999858e+00 5.434619653922549976e-01
3.839999999999999858e+00 5.434619653922549976e-01
4.160000000000000142e+00 5.434600480616379459e-01
4.160000000000000142e+00 5.434600480616379459e-01
4.160000000000000142e+00 5.434600480616379459e-01
4.160000000000000142e+00 5.434600480616379459e-01
4.480000000000000426e+00 5.434575712208470355e-01
4.480000000000000426e+00 5.434575712208470355e-01
4.480000000000000426e+00 5.434575712208470355e-01
4.480000000000000426e+00 5.434575712208470355e-01
4.799999999999999822e+00 5.434592667316440195e-01
4.799999999999999822e+00 5.434592667316440195e-01
4.799999999999999822e+00 5.434592667316440195e-01
4.799999999999999822e+00 5.434592667316440195e-01
5.120000000000000107e+00 5.434623954447610483e-01
5.120000000000000107e+00 5.434623954447610483e-01
5.120000000000000107e+00 5.434623954447610483e-01
5.120000000000000107e+00 5.434623954447610483e-01
5.440000000000000391e+00 5.434617390335829690e-01
5.440000000000000391e+00 5.434617390335829690e-01
5.440000000000000391e+00 5.434617390335829690e-01
5.440000000000000391e+00 5.434617390335829690e-01
5.759999999999999787e+00 5.434621691224129636e-01
5.759999999999999787e+00 5.434621691224129636e-01
5.759999999999999787e+00 5.434621691224129636e-01
5.759999999999999787e+00 5.434621691224129636e-01
6.080000000000000071e+00 5.434607979282349843e-01
6.080000000000000071e+00 5.434607979282349843e-01
6.080000000000000071e+00 5.434607979282349843e-01
6.080000000000000071e+00 5.434607979282349843e-01
6.400000000000000355e+00 5.434598772615240048e-01
6.400000000000000355e+00 5.434598772615240048e-01
6.400000000000000355e+00 5.434598772615240048e-01
6.400000000000000355e+00 5.434598772615240048e-01
6.719999999999999751e+00 5.434599343962489559e-01
6.719999999999999751e+00 5.434599343962489559e-01
6.719999999999999751e+00 5.434599343962489559e-01
6.719999999999999751e+00 5.434599343962489559e-01
7.040000000000000036e+00 5.434598605785000425e-01
7.040000000000000036e+00 5.434598605785000425e-01
7.040000000000000036e+00 5.434598605785000425e-01
7.040000000000000036e+00 5.434598605785000425e-01
7.360000000000000320e+00 5.434607180415480521e-01
7.360000000000000320e+00 5.434607180415480521e-01
7.360000000000000320e+00 5.434607180415480521e-01
7.360000000000000320e+00 5.434607180415480521e-01
7.679999999999999716e+00 5.434599978556430289e-01
7.679999999999999716e+00 5.434599978556430289e-01
7.679999999999999716e+00 5.434599978556430289e-01
7.679999999999999716e+00 5.434599978556430289e-01
8.000000000000000000e+00 5.434596410332880323e-01
8.000000000000000000e+00 5.434596410332880323e-01
8.000000000000000000e+00 5.434596410332880323e-01
8.000000000000000000e+00 5.434596410332880323e-01
8.320000000000000284e+00 5.434602253841579467e-01
8.320000000000000284e+00 5.434602253841579467e-01
8.320000000000000284e+00 5.434602253841579467e-01
8.320000000000000284e+00 5.434602253841579467e-01
8.640000000000000568e+00 5.434633704940330379e-01
8.640000000000000568e+00 5.434633704940330379e-01
8.640000000000000568e+00 5.434633704940330379e-01
8.640000000000000568e+00 5.434633704940330379e-01
8.960000000000000853e+00 5.434699809162140127e-01
8.960000000000000853e+00 5.434699809162140127e-01
8.960000000000000853e+00 5.434699809162140127e-01
8.960000000000000853e+00 5.434699809162140127e-01
9.279999999999999361e+00 5.434668896945880068e-01
9.279999999999999361e+00 5.434668896945880068e-01
9.279999999999999361e+00 5.434668896945880068e-01
9.279999999999999361e+00 5.434668896945880068e-01
9.599999999999999645e+00 5.434673294808060051e-01
9.599999999999999645e+00 5.434673294808060051e-01
9.599999999999999645e+00 5.434673294808060051e-01
9.599999999999999645e+00 5.434673294808060051e-01
9.919999999999999929e+00 5.434664429977610345e-01
9.919999999999999929e+00 5.434664429977610345e-01
9.919999999999999929e+00 5.434664429977610345e-01
9.919999999999999929e+00 5.434664429977610345e-01
1.024000000000000021e+01 5.434660983032509884e-01
1.024000000000000021e+01 5.434660983032509884e-01
1.024000000000000021e+01 5.434660983032509884e-01
1.024000000000000021e+01 5.434660983032509884e-01
1.056000000000000050e+01 5.434653257868780063e-01
1.056000000000000050e+01 5.434653257868780063e-01
1.056000000000000050e+01 5.434653257868780063e-01
1.056000000000000050e+01 5.434653257868780063e-01
1.088000000000000078e+01 5.434650114698279522e-01
1.088000000000000078e+01 5.434650114698279522e-01
1.088000000000000078e+01 5.434650114698279522e-01
1.088000000000000078e+01 5.434650114698279522e-01
1.119999999999999929e+01 5.434649538207170227e-01
1.119999999999999929e+01 5.434649538207170227e-01
1.119999999999999929e+01 5.434649538207170227e-01
1.119999999999999929e+01 5.434649538207170227e-01
1.151999999999999957e+01 5.434647237957349608e-01
1.151999999999999957e+01 5.434647237957349608e-01
1.151999999999999957e+01 5.434647237957349608e-01
1.151999999999999957e+01 5.434647237957349608e-01
1.183999999999999986e+01 5.434642219436209842e-01
1.183999999999999986e+01 5.434642219436209842e-01
1.183999999999999986e+01 5.434642219436209842e-01
1.183999999999999986e+01 5.434642219436209842e-01
1.216000000000000014e+01 5.434638321993030541e-01
1.216000000000000014e+01 5.434638321993030541e-01
1.216000000000000014e+01 5.434638321993030541e-01
1.216000000000000014e+01 5.434638321993030541e-01
1.248000000000000043e+01 5.434637585906569868e-01
1.248000000000000043e+01 5.434637585906569868e-01
1.248000000000000043e+01 5.434637585906569868e-01
1.248000000000000043e+01 5.434637585906569868e-01
1.280000000000000071e+01 5.434635698382660474e-01
1.280000000000000071e+01 5.434635698382660474e-01
1.280000000000000071e+01 5.434635698382660474e-01
1.280000000000000071e+01 5.434635698382660474e-01
1.311999999999999922e+01 5.434633169993059454e-01
1.311999999999999922e+01 5.434633169993059454e-01
1.311999999999999922e+01 5.434633169993059454e-01
1.311999999999999922e+01 5.434633169993059454e-01
1.343999999999999950e+01 5.434630978952650349e-01
1.343999999999999950e+01 5.434630978952650349e-01
1.343999999999999950e+01 5.434630978952650349e-01
1.343999999999999950e+01 5.434630978952650349e-01
1.375999999999999979e+01 5.434629727339119754e-01
1.375999999999999979e+01 5.434629727339119754e-01
1.375999999999999979e+01 5.434629727339119754e-01
1.375999999999999979e+01 5.434629727339119754e-01
1.408000000000000007e+01 5.434628825219349757e-01
1.408000000000000007e+01 5.434628825219349757e-01
1.408000000000000007e+01 5.434628825219349757e-01
1.408000000000000007e+01 5.434628825219349757e-01
1.440000000000000036e+01 5.434628145702760094e-01
1.440000000000000036e+01 5.434628145702760094e-01
1.440000000000000036e+01 5.434628145702760094e-01
1.440000000000000036e+01 5.434628145702760094e-01
1.472000000000000064e+01 5.434627678874840440e-01
1.472000000000000064e+01 5.434627678874840440e-01
1.472000000000000064e+01 5.434627678874840440e-01
1.472000000000000064e+01 5.434627678874840440e-01
1.503999999999999915e+01 5.434627013797830308e-01
1.503999999999999915e+01 5.434627013797830308e-01
1.503999999999999915e+01 5.434627013797830308e-01
1.503999999999999915e+01 5.434627013797830308e-01
1.535999999999999943e+01 5.434627293834469741e-01
1.535999999999999943e+01 5.434627293834469741e-01
1.535999999999999943e+01 5.434627293834469741e-01
1.535999999999999943e+01 5.434627293834469741e-01
1.567999999999999972e+01 5.434629311484709957e-01
1.567999999999999972e+01 5.434629311484709957e-01
1.567999999999999972e+01 5.434629311484709957e-01
1.567999999999999972e+01 5.434629311484709957e-01
1.600000000000000000e+01 5.434633085715819822e-01
1.600000000000000000e+01 5.434633085715819822e-01
1.600000000000000000e+01 5.434633085715819822e-01
1.600000000000000000e+01 5.434633085715819822e-01
1.632000000000000028e+01 5.434636319716019681e-01
1.632000000000000028e+01 5.434636319716019681e-01
1.632000000000000028e+01 5.434636319716019681e-01
1.632000000000000028e+01 5.434636319716019681e-01
1.664000000000000057e+01 5.434639282051589859e-01
1.664000000000000057e+01 5.434639282051589859e-01
1.664000000000000057e+01 5.434639282051589859e-01
1.664000000000000057e+01 5.434639282051589859e-01
1.696000000000000085e+01 5.434643722423659895e-01
1.696000000000000085e+01 5.434643722423659895e-01
1.696000000000000085e+01 5.434643722423659895e-01
1.696000000000000085e+01 5.434643722423659895e-01
1.728000000000000114e+01 5.434647453515399906e-01
1.728000000000000114e+01 5.434647453515399906e-01
1.728000000000000114e+01 5.434647453515399906e-01
1.728000000000000114e+01 5.434647453515399906e-01
1.760000000000000142e+01 5.434651844604320159e-01
1.760000000000000142e+01 5.434651844604320159e-01
1.760000000000000142e+01 5.434651844604320159e-01
1.760000000000000142e+01 5.434651844604320159e-01
1.792000000000000171e+01 5.434656437179370414e-01
1.792000000000000171e+01 5.434656437179370414e-01
1.792000000000000171e+01 5.434656437179370414e-01
1.792000000000000171e+01 5.434656437179370414e-01
1.823999999999999844e+01 5.434661544183120307e-01
1.823999999999999844e+01 5.434661544183120307e-01
1.823999999999999844e+01 5.434661544183120307e-01
1.823999999999999844e+01 5.434661544183120307e-01
1.855999999999999872e+01 5.434667216154980274e-01
1.855999999999999872e+01 5.434667216154980274e-01
1.855999999999999872e+01 5.434667216154980274e-01
1.855999999999999872e+01 5.434667216154980274e-01
1.887999999999999901e+01 5.434673781127370429e-01
1.887999999999999901e+01 5.434673781127370429e-01
1.887999999999999901e+01 5.434673781127370429e-01
1.887999999999999901e+01 5.434673781127370429e-01
1.919999999999999929e+01 5.434680778844620530e-01
1.919999999999999929e+01 5.434680778844620530e-01
1.919999999999999929e+01 5.434680778844620530e-01
1.919999999999999929e+01 5.434680778844620530e-01
1.951999999999999957e+01 5.434688637338990214e-01
1.951999999999999957e+01 5.434688637338990214e-01
1.951999999999999957e+01 5.434688637338990214e-01
1.951999999999999957e+01 5.434688637338990214e-01
1.983999999999999986e+01 5.434696202039760449e-01
1.983999999999999986e+01 5.434696202039760449e-01
1.983999999999999986e+01 5.434696202039760449e-01
1.983999999999999986e+01 5.434696202039760449e-01
2.016000000000000014e+01 5.434704797883039840e-01
2.016000000000000014e+01 5.434704797883039840e-01
2.016000000000000014e+01 5.434704797883039840e-01
2.016000000000000014e+01 5.434704797883039840e-01
2.048000000000000043e+01 5.434715278654359549e-01
2.048000000000000043e+01 5.434715278654359549e-01
2.048000000000000043e+01 5.434715278654359549e-01
2.048000000000000043e+01 5.434715278654359549e-01
2.080000000000000071e+01 5.434726991805149954e-01
2.080000000000000071e+01 5.434726991805149954e-01
2.080000000000000071e+01 5.434726991805149954e-01
2.080000000000000071e+01 5.434726991805149954e-01
2.112000000000000099e+01 5.434741355515240180e-01
2.112000000000000099e+01 5.434741355515240180e-01
2.112000000000000099e+01 5.434741355515240180e-01
2.112000000000000099e+01 5.434741355515240180e-01
2.144000000000000128e+01 5.434755672767299650e-01
2.144000000000000128e+01 5.434755672767299650e-01
2.144000000000000128e+01 5.434755672767299650e-01
2.144000000000000128e+01 5.434755672767299650e-01
2.176000000000000156e+01 5.434768671172940380e-01
2.176000000000000156e+01 5.434768671172940380e-01
2.176000000000000156e+01 5.434768671172940380e-01
2.176000000000000156e+01 5.434768671172940380e-01
2.207999999999999829e+01 5.434780990795330391e-01
2.207999999999999829e+01 5.434780990795330391e-01
2.207999999999999829e+01 5.434780990795330391e-01
2.207999999999999829e+01 5.434780990795330391e-01
2.239999999999999858e+01 5.434794418708760455e-01
2.239999999999999858e+01 5.434794418708760455e-01
2.239999999999999858e+01 5.434794418708760455e-01
2.239999999999999858e+01 5.434794418708760455e-01
2.271999999999999886e+01 5.434811921524970169e-01
