t lapse
0.000000000000000000e+00 1.632008000185010133e-01
0.000000000000000000e+00 1.632008000185010133e-01
0.000000000000000000e+00 1.632008000185010133e-01
0.000000000000000000e+00 1.632008000185010133e-01
0.000000000000000000e+00 1.632008000185010133e-01
6.400000000000000133e-01 1.632147373706250015e-01
6.400000000000000133e-01 1.632147373706250015e-01
6.400000000000000133e-01 1.632147373706250015e-01
6.400000000000000133e-01 1.632147373706250015e-01
6.400000000000000133e-01 1.632147373706250015e-01
1.280000000000000027e+00 1.632611496778119953e-01
1.280000000000000027e+00 1.632611496778119953e-01
1.280000000000000027e+00 1.632611496778119953e-01
1.280000000000000027e+00 1.632611496778119953e-01
1.280000000000000027e+00 1.632611496778119953e-01
1.919999999999999929e+00 1.633344016398469989e-01
1.919999999999999929e+00 1.633344016398469989e-01
1.919999999999999929e+00 1.633344016398469989e-01
1.919999999999999929e+00 1.633344016398469989e-01
1.919999999999999929e+00 1.633344016398469989e-01
2.560000000000000053e+00 1.634305452131840086e-01
2.560000000000000053e+00 1.634305452131840086e-01
2.560000000000000053e+00 1.634305452131840086e-01
2.560000000000000053e+00 1.634305452131840086e-01
2.560000000000000053e+00 1.634305452131840086e-01
3.200000000000000178e+00 1.635572880340279978e-01
3.200000000000000178e+00 1.635572880340279978e-01
3.200000000000000178e+00 1.635572880340279978e-01
3.200000000000000178e+00 1.635572880340279978e-01
3.200000000000000178e+00 1.635572880340279978e-01
3.839999999999999858e+00 1.636999230394380056e-01
3.839999999999999858e+00 1.636999230394380056e-01
3.839999999999999858e+00 1.636999230394380056e-01
3.839999999999999858e+00 1.636999230394380056e-01
3.839999999999999858e+00 1.636999230394380056e-01
4.480000000000000426e+00 1.638450858614750039e-01
4.480000000000000426e+00 1.638450858614750039e-01
4.480000000000000426e+00 1.638450858614750039e-01
4.480000000000000426e+00 1.638450858614750039e-01
4.480000000000000426e+00 1.638450858614750039e-01
5.120000000000000107e+00 1.639901527693859995e-01
5.120000000000000107e+00 1.639901527693859995e-01
5.120000000000000107e+00 1.639901527693859995e-01
5.120000000000000107e+00 1.639901527693859995e-01
5.120000000000000107e+00 1.639901527693859995e-01
5.759999999999999787e+00 1.641332984941369921e-01
5.759999999999999787e+00 1.641332984941369921e-01
5.759999999999999787e+00 1.641332984941369921e-01
5.759999999999999787e+00 1.641332984941369921e-01
5.759999999999999787e+00 1.641332984941369921e-01
6.400000000000000355e+00 1.642651291599850072e-01
6.400000000000000355e+00 1.642651291599850072e-01
6.400000000000000355e+00 1.642651291599850072e-01
6.400000000000000355e+00 1.642651291599850072e-01
6.400000000000000355e+00 1.642651291599850072e-01
7.040000000000000036e+00 1.643707391983889876e-01
7.040000000000000036e+00 1.643707391983889876e-01
7.040000000000000036e+00 1.643707391983889876e-01
7.040000000000000036e+00 1.643707391983889876e-01
7.040000000000000036e+00 1.643707391983889876e-01
7.679999999999999716e+00 1.644450002398460120e-01
7.679999999999999716e+00 1.644450002398460120e-01
7.679999999999999716e+00 1.644450002398460120e-01
7.679999999999999716e+00 1.644450002398460120e-01
7.679999999999999716e+00 1.644450002398460120e-01
8.320000000000000284e+00 1.644830604552409981e-01
8.320000000000000284e+00 1.644830604552409981e-01
8.320000000000000284e+00 1.644830604552409981e-01
8.320000000000000284e+00 1.644830604552409981e-01
8.320000000000000284e+00 1.644830604552409981e-01
8.960000000000000853e+00 1.644766663082500024e-01
8.960000000000000853e+00 1.644766663082500024e-01
8.960000000000000853e+00 1.644766663082500024e-01
8.960000000000000853e+00 1.644766663082500024e-01
8.960000000000000853e+00 1.644766663082500024e-01
9.599999999999999645e+00 1.644262050686469967e-01
9.599999999999999645e+00 1.644262050686469967e-01
9.599999999999999645e+00 1.644262050686469967e-01
9.599999999999999645e+00 1.644262050686469967e-01
9.599999999999999645e+00 1.644262050686469967e-01
1.024000000000000021e+01 1.643318566361779975e-01
1.024000000000000021e+01 1.643318566361779975e-01
1.024000000000000021e+01 1.643318566361779975e-01
1.024000000000000021e+01 1.643318566361779975e-01
1.024000000000000021e+01 1.643318566361779975e-01
1.088000000000000078e+01 1.642027849522650074e-01
1.088000000000000078e+01 1.642027849522650074e-01
1.088000000000000078e+01 1.642027849522650074e-01
1.088000000000000078e+01 1.642027849522650074e-01
1.088000000000000078e+01 1.642027849522650074e-01
1.151999999999999957e+01 1.640647403971459972e-01
1.151999999999999957e+01 1.640647403971459972e-01
1.151999999999999957e+01 1.640647403971459972e-01
1.151999999999999957e+01 1.640647403971459972e-01
1.151999999999999957e+01 1.640647403971459972e-01
1.216000000000000014e+01 1.639296761773179900e-01
1.216000000000000014e+01 1.639296761773179900e-01
1.216000000000000014e+01 1.639296761773179900e-01
