t lapse
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
3.200000000000000067e-01 6.698371685768299555e-01
3.200000000000000067e-01 6.698371685768299555e-01
3.200000000000000067e-01 6.698371685768299555e-01
3.200000000000000067e-01 6.698371685768299555e-01
6.400000000000000133e-01 6.698379587058800322e-01
6.400000000000000133e-01 6.698379587058800322e-01
6.400000000000000133e-01 6.698379587058800322e-01
6.400000000000000133e-01 6.698379587058800322e-01
9.599999999999999645e-01 6.698357671437179528e-01
9.599999999999999645e-01 6.698357671437179528e-01
9.599999999999999645e-01 6.698357671437179528e-01
9.599999999999999645e-01 6.698357671437179528e-01
1.280000000000000027e+00 6.698366403279329973e-01
1.280000000000000027e+00 6.698366403279329973e-01
1.280000000000000027e+00 6.698366403279329973e-01
1.280000000000000027e+00 6.698366403279329973e-01
1.600000000000000089e+00 6.698371556433380114e-01
1.600000000000000089e+00 6.698371556433380114e-01
1.600000000000000089e+00 6.698371556433380114e-01
1.600000000000000089e+00 6.698371556433380114e-01
1.919999999999999929e+00 6.698368492873749691e-01
1.919999999999999929e+00 6.698368492873749691e-01
1.919999999999999929e+00 6.698368492873749691e-01
1.919999999999999929e+00 6.698368492873749691e-01
2.240000000000000213e+00 6.698351134317149791e-01
2.240000000000000213e+00 6.698351134317149791e-01
2.240000000000000213e+00 6.698351134317149791e-01
2.240000000000000213e+00 6.698351134317149791e-01
2.560000000000000053e+00 6.698367582169799661e-01
2.560000000000000053e+00 6.698367582169799661e-01
2.560000000000000053e+00 6.698367582169799661e-01
2.560000000000000053e+00 6.698367582169799661e-01
2.879999999999999893e+00 6.698364247224930512e-01
2.879999999999999893e+00 6.698364247224930512e-01
2.879999999999999893e+00 6.698364247224930512e-01
2.879999999999999893e+00 6.698364247224930512e-01
3.200000000000000178e+00 6.698365283064730002e-01
3.200000000000000178e+00 6.698365283064730002e-01
3.200000000000000178e+00 6.698365283064730002e-01
3.200000000000000178e+00 6.698365283064730002e-01
3.520000000000000018e+00 6.698371032542630443e-01
3.520000000000000018e+00 6.698371032542630443e-01
3.520000000000000018e+00 6.698371032542630443e-01
3.520000000000000018e+00 6.698371032542630443e-01
3.839999999999999858e+00 6.698358410879540203e-01
3.839999999999999858e+00 6.698358410879540203e-01
3.839999999999999858e+00 6.698358410879540203e-01
3.839999999999999858e+00 6.698358410879540203e-01
4.160000000000000142e+00 6.698366672929889631e-01
4.160000000000000142e+00 6.698366672929889631e-01
4.160000000000000142e+00 6.698366672929889631e-01
4.160000000000000142e+00 6.698366672929889631e-01
4.480000000000000426e+00 6.698364068990569908e-01
4.480000000000000426e+00 6.698364068990569908e-01
4.480000000000000426e+00 6.698364068990569908e-01
4.480000000000000426e+00 6.698364068990569908e-01
4.799999999999999822e+00 6.698366442565319989e-01
4.799999999999999822e+00 6.698366442565319989e-01
4.799999999999999822e+00 6.698366442565319989e-01
4.799999999999999822e+00 6.698366442565319989e-01
5.120000000000000107e+00 6.698351996119320528e-01
5.120000000000000107e+00 6.698351996119320528e-01
5.120000000000000107e+00 6.698351996119320528e-01
5.120000000000000107e+00 6.698351996119320528e-01
5.440000000000000391e+00 6.698355556544830502e-01
5.440000000000000391e+00 6.698355556544830502e-01
5.440000000000000391e+00 6.698355556544830502e-01
5.440000000000000391e+00 6.698355556544830502e-01
5.759999999999999787e+00 6.698362833971009955e-01
5.759999999999999787e+00 6.698362833971009955e-01
5.759999999999999787e+00 6.698362833971009955e-01
5.759999999999999787e+00 6.698362833971009955e-01
6.080000000000000071e+00 6.698367883383169463e-01
6.080000000000000071e+00 6.698367883383169463e-01
6.080000000000000071e+00 6.698367883383169463e-01
6.080000000000000071e+00 6.698367883383169463e-01
6.400000000000000355e+00 6.698379705119319460e-01
6.400000000000000355e+00 6.698379705119319460e-01
6.400000000000000355e+00 6.698379705119319460e-01
6.400000000000000355e+00 6.698379705119319460e-01
6.719999999999999751e+00 6.698381304792899726e-01
6.719999999999999751e+00 6.698381304792899726e-01
6.719999999999999751e+00 6.698381304792899726e-01
6.719999999999999751e+00 6.698381304792899726e-01
7.040000000000000036e+00 6.698386557961250043e-01
7.040000000000000036e+00 6.698386557961250043e-01
7.040000000000000036e+00 6.698386557961250043e-01
7.040000000000000036e+00 6.698386557961250043e-01
7.360000000000000320e+00 6.698379218707209981e-01
7.360000000000000320e+00 6.698379218707209981e-01
7.360000000000000320e+00 6.698379218707209981e-01
7.360000000000000320e+00 6.698379218707209981e-01
7.679999999999999716e+00 6.698381192919200533e-01
7.679999999999999716e+00 6.698381192919200533e-01
7.679999999999999716e+00 6.698381192919200533e-01
7.679999999999999716e+00 6.698381192919200533e-01
8.000000000000000000e+00 6.698391361371429653e-01
8.000000000000000000e+00 6.698391361371429653e-01
8.000000000000000000e+00 6.698391361371429653e-01
8.000000000000000000e+00 6.698391361371429653e-01
8.320000000000000284e+00 6.698390701208319920e-01
8.320000000000000284e+00 6.698390701208319920e-01
8.320000000000000284e+00 6.698390701208319920e-01
8.320000000000000284e+00 6.698390701208319920e-01
8.640000000000000568e+00 6.698388750078320131e-01
8.640000000000000568e+00 6.698388750078320131e-01
8.640000000000000568e+00 6.698388750078320131e-01
8.640000000000000568e+00 6.698388750078320131e-01
8.960000000000000853e+00 6.698381651746589949e-01
8.960000000000000853e+00 6.698381651746589949e-01
8.960000000000000853e+00 6.698381651746589949e-01
8.960000000000000853e+00 6.698381651746589949e-01
9.279999999999999361e+00 6.698378558750770484e-01
9.279999999999999361e+00 6.698378558750770484e-01
9.279999999999999361e+00 6.698378558750770484e-01
9.279999999999999361e+00 6.698378558750770484e-01
9.599999999999999645e+00 6.698375150623829821e-01
9.599999999999999645e+00 6.698375150623829821e-01
