t ml_ham
0.000000000000000000e+00 -9.818187544890640776e-04
0.000000000000000000e+00 -9.818187544890640776e-04
0.000000000000000000e+00 -9.818187544890640776e-04
1.600000000000000033e-01 -1.150888002323660012e-03
1.600000000000000033e-01 -1.150888002323660012e-03
1.600000000000000033e-01 -1.150888002323660012e-03
3.200000000000000067e-01 -1.197726293842049953e-03
3.200000000000000067e-01 -1.197726293842049953e-03
3.200000000000000067e-01 -1.197726293842049953e-03
4.799999999999999822e-01 -1.210848956809650002e-03
4.799999999999999822e-01 -1.210848956809650002e-03
4.799999999999999822e-01 -1.210848956809650002e-03
6.400000000000000133e-01 -1.025229733567490070e-03
6.400000000000000133e-01 -1.025229733567490070e-03
6.400000000000000133e-01 -1.025229733567490070e-03
8.000000000000000444e-01 -9.269780064124300088e-04
8.000000000000000444e-01 -9.269780064124300088e-04
8.000000000000000444e-01 -9.269780064124300088e-04
9.599999999999999645e-01 -9.459740250956779565e-04
9.599999999999999645e-01 -9.459740250956779565e-04
9.599999999999999645e-01 -9.459740250956779565e-04
1.120000000000000107e+00 -1.803026954764490016e-03
1.120000000000000107e+00 -1.803026954764490016e-03
1.120000000000000107e+00 -1.803026954764490016e-03
1.280000000000000027e+00 -1.196120225727120108e-03
1.280000000000000027e+00 -1.196120225727120108e-03
1.280000000000000027e+00 -1.196120225727120108e-03
1.439999999999999947e+00 -3.717936676677610131e-04
1.439999999999999947e+00 -3.717936676677610131e-04
1.439999999999999947e+00 -3.717936676677610131e-04
1.600000000000000089e+00 -9.454664895851020096e-04
1.600000000000000089e+00 -9.454664895851020096e-04
1.600000000000000089e+00 -9.454664895851020096e-04
1.760000000000000009e+00 -1.660382633570099990e-03
1.760000000000000009e+00 -1.660382633570099990e-03
1.760000000000000009e+00 -1.660382633570099990e-03
1.919999999999999929e+00 -1.156002619835729993e-03
1.919999999999999929e+00 -1.156002619835729993e-03
1.919999999999999929e+00 -1.156002619835729993e-03
2.080000000000000071e+00 -4.846637675267229822e-04
2.080000000000000071e+00 -4.846637675267229822e-04
2.080000000000000071e+00 -4.846637675267229822e-04
2.240000000000000213e+00 -1.335182323875649902e-03
2.240000000000000213e+00 -1.335182323875649902e-03
2.240000000000000213e+00 -1.335182323875649902e-03
2.399999999999999911e+00 -1.440472243647510087e-03
2.399999999999999911e+00 -1.440472243647510087e-03
2.399999999999999911e+00 -1.440472243647510087e-03
2.560000000000000053e+00 -6.943964472219770184e-04
2.560000000000000053e+00 -6.943964472219770184e-04
2.560000000000000053e+00 -6.943964472219770184e-04
2.720000000000000195e+00 -1.237032881360840102e-03
2.720000000000000195e+00 -1.237032881360840102e-03
2.720000000000000195e+00 -1.237032881360840102e-03
2.879999999999999893e+00 -1.211421953967880020e-03
2.879999999999999893e+00 -1.211421953967880020e-03
2.879999999999999893e+00 -1.211421953967880020e-03
3.040000000000000036e+00 -5.930140733409349938e-04
3.040000000000000036e+00 -5.930140733409349938e-04
3.040000000000000036e+00 -5.930140733409349938e-04
3.200000000000000178e+00 -9.718299546691020266e-04
3.200000000000000178e+00 -9.718299546691020266e-04
3.200000000000000178e+00 -9.718299546691020266e-04
3.359999999999999876e+00 -1.291752895837850043e-03
3.359999999999999876e+00 -1.291752895837850043e-03
3.359999999999999876e+00 -1.291752895837850043e-03
3.520000000000000018e+00 -1.712099980978679927e-03
3.520000000000000018e+00 -1.712099980978679927e-03
3.520000000000000018e+00 -1.712099980978679927e-03
3.680000000000000160e+00 -4.564637606014200055e-04
3.680000000000000160e+00 -4.564637606014200055e-04
3.680000000000000160e+00 -4.564637606014200055e-04
3.839999999999999858e+00 -6.590945599391390434e-04
3.839999999999999858e+00 -6.590945599391390434e-04
3.839999999999999858e+00 -6.590945599391390434e-04
4.000000000000000000e+00 -1.562233969345349976e-03
4.000000000000000000e+00 -1.562233969345349976e-03
