t ml_ham
0.000000000000000000e+00 -9.858860701511740210e-02
0.000000000000000000e+00 -9.858860701511740210e-02
0.000000000000000000e+00 -9.858860701511740210e-02
2.500000000000000000e-01 -9.925962974546440054e-02
2.500000000000000000e-01 -9.925962974546440054e-02
2.500000000000000000e-01 -9.925962974546440054e-02
5.000000000000000000e-01 -9.830918799241020190e-02
5.000000000000000000e-01 -9.830918799241020190e-02
5.000000000000000000e-01 -9.830918799241020190e-02
7.500000000000000000e-01 -9.862852438850210068e-02
7.500000000000000000e-01 -9.862852438850210068e-02
7.500000000000000000e-01 -9.862852438850210068e-02
1.000000000000000000e+00 -1.000850252249359945e-01
1.000000000000000000e+00 -1.000850252249359945e-01
1.000000000000000000e+00 -1.000850252249359945e-01
1.250000000000000000e+00 -9.865096739246939639e-02
1.250000000000000000e+00 -9.865096739246939639e-02
1.250000000000000000e+00 -9.865096739246939639e-02
1.500000000000000000e+00 -9.699782123591479954e-02
1.500000000000000000e+00 -9.699782123591479954e-02
1.500000000000000000e+00 -9.699782123591479954e-02
1.750000000000000000e+00 -9.886133632070709387e-02
1.750000000000000000e+00 -9.886133632070709387e-02
1.750000000000000000e+00 -9.886133632070709387e-02
2.000000000000000000e+00 -1.005289185517899975e-01
2.000000000000000000e+00 -1.005289185517899975e-01
2.000000000000000000e+00 -1.005289185517899975e-01
2.250000000000000000e+00 -9.792131316156049703e-02
2.250000000000000000e+00 -9.792131316156049703e-02
2.250000000000000000e+00 -9.792131316156049703e-02
2.500000000000000000e+00 -9.609591483656060307e-02
2.500000000000000000e+00 -9.609591483656060307e-02
2.500000000000000000e+00 -9.609591483656060307e-02
2.750000000000000000e+00 -9.888871174046319490e-02
2.750000000000000000e+00 -9.888871174046319490e-02
2.750000000000000000e+00 -9.888871174046319490e-02
3.000000000000000000e+00 -1.006006568272800050e-01
3.000000000000000000e+00 -1.006006568272800050e-01
3.000000000000000000e+00 -1.006006568272800050e-01
3.250000000000000000e+00 -9.823791622168880078e-02
3.250000000000000000e+00 -9.823791622168880078e-02
3.250000000000000000e+00 -9.823791622168880078e-02
3.500000000000000000e+00 -9.634598854567570647e-02
3.500000000000000000e+00 -9.634598854567570647e-02
3.500000000000000000e+00 -9.634598854567570647e-02
3.750000000000000000e+00 -9.885582534802569987e-02
3.750000000000000000e+00 -9.885582534802569987e-02
3.750000000000000000e+00 -9.885582534802569987e-02
4.000000000000000000e+00 -9.966405919657199408e-02
4.000000000000000000e+00 -9.966405919657199408e-02
4.000000000000000000e+00 -9.966405919657199408e-02
4.250000000000000000e+00 -9.830874514309359546e-02
4.250000000000000000e+00 -9.830874514309359546e-02
4.250000000000000000e+00 -9.830874514309359546e-02
4.500000000000000000e+00 -9.795297958306339869e-02
4.500000000000000000e+00 -9.795297958306339869e-02
4.500000000000000000e+00 -9.795297958306339869e-02
4.750000000000000000e+00 -9.701978368078760517e-02
4.750000000000000000e+00 -9.701978368078760517e-02
4.750000000000000000e+00 -9.701978368078760517e-02
5.000000000000000000e+00 -1.008906412034859951e-01
5.000000000000000000e+00 -1.008906412034859951e-01
5.000000000000000000e+00 -1.008906412034859951e-01
5.250000000000000000e+00 -9.927455632558229714e-02
5.250000000000000000e+00 -9.927455632558229714e-02
5.250000000000000000e+00 -9.927455632558229714e-02
5.500000000000000000e+00 -9.547641750016190587e-02
5.500000000000000000e+00 -9.547641750016190587e-02
5.500000000000000000e+00 -9.547641750016190587e-02
5.750000000000000000e+00 -9.931813542213820123e-02
5.750000000000000000e+00 -9.931813542213820123e-02
5.750000000000000000e+00 -9.931813542213820123e-02
6.000000000000000000e+00 -9.857303021271959786e-02
6.000000000000000000e+00 -9.857303021271959786e-02
6.000000000000000000e+00 -9.857303021271959786e-02
6.250000000000000000e+00 -9.940898530401580391e-02
6.250000000000000000e+00 -9.940898530401580391e-02
6.250000000000000000e+00 -9.940898530401580391e-02
6.500000000000000000e+00 -9.829167307082339877e-02
6.500000000000000000e+00 -9.829167307082339877e-02
6.500000000000000000e+00 -9.829167307082339877e-02
