t phi
0.000000000000000000e+00 5.231108723999999648e-03
0.000000000000000000e+00 5.231108723999999648e-03
0.000000000000000000e+00 5.231108723999999648e-03
3.200000000000000067e-01 5.231114615790889884e-03
3.200000000000000067e-01 5.231114615790889884e-03
3.200000000000000067e-01 5.231114615790889884e-03
6.400000000000000133e-01 5.231115885060350253e-03
6.400000000000000133e-01 5.231115885060350253e-03
6.400000000000000133e-01 5.231115885060350253e-03
9.599999999999999645e-01 5.231128905845009933e-03
9.599999999999999645e-01 5.231128905845009933e-03
9.599999999999999645e-01 5.231128905845009933e-03
1.280000000000000027e+00 5.231131386612940422e-03
1.280000000000000027e+00 5.231131386612940422e-03
1.280000000000000027e+00 5.231131386612940422e-03
1.600000000000000089e+00 5.231120855167899729e-03
1.600000000000000089e+00 5.231120855167899729e-03
1.600000000000000089e+00 5.231120855167899729e-03
1.919999999999999929e+00 5.231083312290420173e-03
1.919999999999999929e+00 5.231083312290420173e-03
1.919999999999999929e+00 5.231083312290420173e-03
2.240000000000000213e+00 5.231118953791839658e-03
2.240000000000000213e+00 5.231118953791839658e-03
2.240000000000000213e+00 5.231118953791839658e-03
2.560000000000000053e+00 5.231155421649249723e-03
2.560000000000000053e+00 5.231155421649249723e-03
2.560000000000000053e+00 5.231155421649249723e-03
2.879999999999999893e+00 5.231119230158409912e-03
2.879999999999999893e+00 5.231119230158409912e-03
2.879999999999999893e+00 5.231119230158409912e-03
3.200000000000000178e+00 5.231105445594920120e-03
3.200000000000000178e+00 5.231105445594920120e-03
3.200000000000000178e+00 5.231105445594920120e-03
3.520000000000000018e+00 5.231157907934520269e-03
3.520000000000000018e+00 5.231157907934520269e-03
3.520000000000000018e+00 5.231157907934520269e-03
3.839999999999999858e+00 5.231137800993809761e-03
3.839999999999999858e+00 5.231137800993809761e-03
3.839999999999999858e+00 5.231137800993809761e-03
4.160000000000000142e+00 5.231120569668280124e-03
4.160000000000000142e+00 5.231120569668280124e-03
4.160000000000000142e+00 5.231120569668280124e-03
4.480000000000000426e+00 5.231114370382489685e-03
4.480000000000000426e+00 5.231114370382489685e-03
4.480000000000000426e+00 5.231114370382489685e-03
4.799999999999999822e+00 5.231103997245159683e-03
4.799999999999999822e+00 5.231103997245159683e-03
4.799999999999999822e+00 5.231103997245159683e-03
5.120000000000000107e+00 5.231168049865259941e-03
5.120000000000000107e+00 5.231168049865259941e-03
5.120000000000000107e+00 5.231168049865259941e-03
5.440000000000000391e+00 5.231141367999660174e-03
5.440000000000000391e+00 5.231141367999660174e-03
5.440000000000000391e+00 5.231141367999660174e-03
5.759999999999999787e+00 5.231125125168659823e-03
5.759999999999999787e+00 5.231125125168659823e-03
5.759999999999999787e+00 5.231125125168659823e-03
6.080000000000000071e+00 5.231116154924269658e-03
6.080000000000000071e+00 5.231116154924269658e-03
6.080000000000000071e+00 5.231116154924269658e-03
6.400000000000000355e+00 5.231114552971280127e-03
6.400000000000000355e+00 5.231114552971280127e-03
6.400000000000000355e+00 5.231114552971280127e-03
6.719999999999999751e+00 5.231167619768859606e-03
6.719999999999999751e+00 5.231167619768859606e-03
6.719999999999999751e+00 5.231167619768859606e-03
7.040000000000000036e+00 5.231171929398059986e-03
7.040000000000000036e+00 5.231171929398059986e-03
7.040000000000000036e+00 5.231171929398059986e-03
7.360000000000000320e+00 5.231132256831959662e-03
7.360000000000000320e+00 5.231132256831959662e-03
7.360000000000000320e+00 5.231132256831959662e-03
7.679999999999999716e+00 5.231128547972209962e-03
7.679999999999999716e+00 5.231128547972209962e-03
7.679999999999999716e+00 5.231128547972209962e-03
8.000000000000000000e+00 5.231123631408449680e-03
8.000000000000000000e+00 5.231123631408449680e-03
8.000000000000000000e+00 5.231123631408449680e-03
8.320000000000000284e+00 5.231134863607479930e-03
8.320000000000000284e+00 5.231134863607479930e-03
8.320000000000000284e+00 5.231134863607479930e-03
8.640000000000000568e+00 5.231174429991799872e-03
8.640000000000000568e+00 5.231174429991799872e-03
8.640000000000000568e+00 5.231174429991799872e-03
8.960000000000000853e+00 5.231122467221079909e-03
8.960000000000000853e+00 5.231122467221079909e-03
8.960000000000000853e+00 5.231122467221079909e-03
9.279999999999999361e+00 5.231101179564519657e-03
9.279999999999999361e+00 5.231101179564519657e-03
9.279999999999999361e+00 5.231101179564519657e-03
9.599999999999999645e+00 5.231120927371900320e-03
9.599999999999999645e+00 5.231120927371900320e-03
9.599999999999999645e+00 5.231120927371900320e-03
9.919999999999999929e+00 5.231084930407839742e-03
9.919999999999999929e+00 5.231084930407839742e-03
9.919999999999999929e+00 5.231084930407839742e-03
1.024000000000000021e+01 5.231087327200320373e-03
1.024000000000000021e+01 5.231087327200320373e-03
1.024000000000000021e+01 5.231087327200320373e-03
1.056000000000000050e+01 5.231079406133139729e-03
1.056000000000000050e+01 5.231079406133139729e-03
1.056000000000000050e+01 5.231079406133139729e-03
1.088000000000000078e+01 5.231043082386139902e-03
1.088000000000000078e+01 5.231043082386139902e-03
1.088000000000000078e+01 5.231043082386139902e-03
1.119999999999999929e+01 5.231054579800040183e-03
1.119999999999999929e+01 5.231054579800040183e-03
1.119999999999999929e+01 5.231054579800040183e-03
1.151999999999999957e+01 5.231048129828559656e-03
1.151999999999999957e+01 5.231048129828559656e-03
1.151999999999999957e+01 5.231048129828559656e-03
1.183999999999999986e+01 5.231005484838830051e-03
1.183999999999999986e+01 5.231005484838830051e-03
1.183999999999999986e+01 5.231005484838830051e-03
1.216000000000000014e+01 5.230981624815320141e-03
1.216000000000000014e+01 5.230981624815320141e-03
1.216000000000000014e+01 5.230981624815320141e-03
1.248000000000000043e+01 5.230972167213929734e-03
1.248000000000000043e+01 5.230972167213929734e-03
1.248000000000000043e+01 5.230972167213929734e-03
1.280000000000000071e+01 5.230963450342560050e-03
