t phi
2.500000000000000000e-01 1.780749739157549971e-01
2.500000000000000000e-01 1.780749739157549971e-01
2.500000000000000000e-01 1.780749739157549971e-01
5.000000000000000000e-01 1.780751876966200076e-01
5.000000000000000000e-01 1.780751876966200076e-01
5.000000000000000000e-01 1.780751876966200076e-01
7.500000000000000000e-01 1.780752127218639957e-01
7.500000000000000000e-01 1.780752127218639957e-01
7.500000000000000000e-01 1.780752127218639957e-01
1.000000000000000000e+00 1.780748393058519952e-01
1.000000000000000000e+00 1.780748393058519952e-01
1.000000000000000000e+00 1.780748393058519952e-01
1.250000000000000000e+00 1.780746742790260129e-01
1.250000000000000000e+00 1.780746742790260129e-01
1.250000000000000000e+00 1.780746742790260129e-01
1.500000000000000000e+00 1.780748655713410011e-01
1.500000000000000000e+00 1.780748655713410011e-01
1.500000000000000000e+00 1.780748655713410011e-01
1.750000000000000000e+00 1.780755419587440047e-01
1.750000000000000000e+00 1.780755419587440047e-01
1.750000000000000000e+00 1.780755419587440047e-01
2.000000000000000000e+00 1.780756450787339962e-01
2.000000000000000000e+00 1.780756450787339962e-01
2.000000000000000000e+00 1.780756450787339962e-01
2.250000000000000000e+00 1.780752194206610128e-01
2.250000000000000000e+00 1.780752194206610128e-01
2.250000000000000000e+00 1.780752194206610128e-01
2.500000000000000000e+00 1.780754778563440055e-01
2.500000000000000000e+00 1.780754778563440055e-01
2.500000000000000000e+00 1.780754778563440055e-01
2.750000000000000000e+00 1.780755292854880045e-01
2.750000000000000000e+00 1.780755292854880045e-01
2.750000000000000000e+00 1.780755292854880045e-01
3.000000000000000000e+00 1.780748988612450012e-01
3.000000000000000000e+00 1.780748988612450012e-01
3.000000000000000000e+00 1.780748988612450012e-01
3.250000000000000000e+00 1.780750720768589923e-01
3.250000000000000000e+00 1.780750720768589923e-01
3.250000000000000000e+00 1.780750720768589923e-01
3.500000000000000000e+00 1.780757891889259981e-01
3.500000000000000000e+00 1.780757891889259981e-01
3.500000000000000000e+00 1.780757891889259981e-01
3.750000000000000000e+00 1.780756888220799972e-01
3.750000000000000000e+00 1.780756888220799972e-01
3.750000000000000000e+00 1.780756888220799972e-01
4.000000000000000000e+00 1.780753262746219978e-01
4.000000000000000000e+00 1.780753262746219978e-01
4.000000000000000000e+00 1.780753262746219978e-01
4.250000000000000000e+00 1.780755425574649942e-01
4.250000000000000000e+00 1.780755425574649942e-01
4.250000000000000000e+00 1.780755425574649942e-01
4.500000000000000000e+00 1.780758597158129952e-01
4.500000000000000000e+00 1.780758597158129952e-01
4.500000000000000000e+00 1.780758597158129952e-01
4.750000000000000000e+00 1.780757025689750084e-01
4.750000000000000000e+00 1.780757025689750084e-01
4.750000000000000000e+00 1.780757025689750084e-01
5.000000000000000000e+00 1.780752213179470078e-01
5.000000000000000000e+00 1.780752213179470078e-01
5.000000000000000000e+00 1.780752213179470078e-01
5.250000000000000000e+00 1.780750412794500082e-01
5.250000000000000000e+00 1.780750412794500082e-01
5.250000000000000000e+00 1.780750412794500082e-01
5.500000000000000000e+00 1.780754996981190053e-01
5.500000000000000000e+00 1.780754996981190053e-01
5.500000000000000000e+00 1.780754996981190053e-01
5.750000000000000000e+00 1.780760220637709890e-01
5.750000000000000000e+00 1.780760220637709890e-01
5.750000000000000000e+00 1.780760220637709890e-01
6.000000000000000000e+00 1.780759215656390060e-01
6.000000000000000000e+00 1.780759215656390060e-01
6.000000000000000000e+00 1.780759215656390060e-01
6.250000000000000000e+00 1.780754890507869892e-01
6.250000000000000000e+00 1.780754890507869892e-01
6.250000000000000000e+00 1.780754890507869892e-01
6.500000000000000000e+00 1.780752609211919968e-01
6.500000000000000000e+00 1.780752609211919968e-01
6.500000000000000000e+00 1.780752609211919968e-01
6.750000000000000000e+00 1.780753029454210101e-01
6.750000000000000000e+00 1.780753029454210101e-01
6.750000000000000000e+00 1.780753029454210101e-01
7.000000000000000000e+00 1.780756619118450124e-01
7.000000000000000000e+00 1.780756619118450124e-01
7.000000000000000000e+00 1.780756619118450124e-01
7.250000000000000000e+00 1.780759862080590061e-01
7.250000000000000000e+00 1.780759862080590061e-01
7.250000000000000000e+00 1.780759862080590061e-01
7.500000000000000000e+00 1.780756777831820070e-01
7.500000000000000000e+00 1.780756777831820070e-01
7.500000000000000000e+00 1.780756777831820070e-01
7.750000000000000000e+00 1.780751433326240030e-01
7.750000000000000000e+00 1.780751433326240030e-01
7.750000000000000000e+00 1.780751433326240030e-01
8.000000000000000000e+00 1.780751539839539876e-01
8.000000000000000000e+00 1.780751539839539876e-01
8.000000000000000000e+00 1.780751539839539876e-01
8.250000000000000000e+00 1.780755256107940110e-01
8.250000000000000000e+00 1.780755256107940110e-01
8.250000000000000000e+00 1.780755256107940110e-01
8.500000000000000000e+00 1.780756726564599879e-01
8.500000000000000000e+00 1.780756726564599879e-01
8.500000000000000000e+00 1.780756726564599879e-01
8.750000000000000000e+00 1.780755150763299877e-01
8.750000000000000000e+00 1.780755150763299877e-01
8.750000000000000000e+00 1.780755150763299877e-01
9.000000000000000000e+00 1.780753504536810028e-01
9.000000000000000000e+00 1.780753504536810028e-01
9.000000000000000000e+00 1.780753504536810028e-01
9.250000000000000000e+00 1.780753508718360134e-01
9.250000000000000000e+00 1.780753508718360134e-01
9.250000000000000000e+00 1.780753508718360134e-01
9.500000000000000000e+00 1.780753469523159993e-01
9.500000000000000000e+00 1.780753469523159993e-01
9.500000000000000000e+00 1.780753469523159993e-01
9.750000000000000000e+00 1.780752119535440048e-01
9.750000000000000000e+00 1.780752119535440048e-01
9.750000000000000000e+00 1.780752119535440048e-01
1.000000000000000000e+01 1.780751600286100134e-01
1.000000000000000000e+01 1.780751600286100134e-01
1.000000000000000000e+01 1.780751600286100134e-01
1.025000000000000000e+01 1.780752499369170072e-01
1.025000000000000000e+01 1.780752499369170072e-01
1.025000000000000000e+01 1.780752499369170072e-01
1.050000000000000000e+01 1.780752390191459866e-01
1.050000000000000000e+01 1.780752390191459866e-01
1.050000000000000000e+01 1.780752390191459866e-01
1.075000000000000000e+01 1.780751031541510099e-01
1.075000000000000000e+01 1.780751031541510099e-01
1.075000000000000000e+01 1.780751031541510099e-01
1.100000000000000000e+01 1.780749348874280102e-01
1.100000000000000000e+01 1.780749348874280102e-01
1.100000000000000000e+01 1.780749348874280102e-01
1.125000000000000000e+01 1.780747203545650081e-01
1.125000000000000000e+01 1.780747203545650081e-01
1.125000000000000000e+01 1.780747203545650081e-01
1.150000000000000000e+01 1.780746090359019984e-01
1.150000000000000000e+01 1.780746090359019984e-01
1.150000000000000000e+01 1.780746090359019984e-01
1.175000000000000000e+01 1.780746630933749963e-01
1.175000000000000000e+01 1.780746630933749963e-01
1.175000000000000000e+01 1.780746630933749963e-01
1.200000000000000000e+01 1.780746200310220073e-01
1.200000000000000000e+01 1.780746200310220073e-01
1.200000000000000000e+01 1.780746200310220073e-01
1.225000000000000000e+01 1.780743923715980004e-01
1.225000000000000000e+01 1.780743923715980004e-01
1.225000000000000000e+01 1.780743923715980004e-01
1.250000000000000000e+01 1.780741571417180091e-01
1.250000000000000000e+01 1.780741571417180091e-01
1.250000000000000000e+01 1.780741571417180091e-01
1.275000000000000000e+01 1.780740275804240103e-01
1.275000000000000000e+01 1.780740275804240103e-01
1.275000000000000000e+01 1.780740275804240103e-01
1.300000000000000000e+01 1.780740604553300022e-01
1.300000000000000000e+01 1.780740604553300022e-01
1.300000000000000000e+01 1.780740604553300022e-01
1.325000000000000000e+01 1.780742117692210025e-01
1.325000000000000000e+01 1.780742117692210025e-01
1.325000000000000000e+01 1.780742117692210025e-01
1.350000000000000000e+01 1.780742693455799885e-01
1.350000000000000000e+01 1.780742693455799885e-01
1.350000000000000000e+01 1.780742693455799885e-01
1.375000000000000000e+01 1.780741365559480038e-01
1.375000000000000000e+01 1.780741365559480038e-01
1.375000000000000000e+01 1.780741365559480038e-01
1.400000000000000000e+01 1.780740027958259974e-01
1.400000000000000000e+01 1.780740027958259974e-01
1.400000000000000000e+01 1.780740027958259974e-01
1.425000000000000000e+01 1.780740497885540119e-01
1.425000000000000000e+01 1.780740497885540119e-01
1.425000000000000000e+01 1.780740497885540119e-01
1.450000000000000000e+01 1.780741742553449969e-01
1.450000000000000000e+01 1.780741742553449969e-01
1.450000000000000000e+01 1.780741742553449969e-01
1.475000000000000000e+01 1.780741712873339933e-01
1.475000000000000000e+01 1.780741712873339933e-01
1.475000000000000000e+01 1.780741712873339933e-01
1.500000000000000000e+01 1.780740591854970134e-01
1.500000000000000000e+01 1.780740591854970134e-01
1.500000000000000000e+01 1.780740591854970134e-01
1.525000000000000000e+01 1.780740442611460084e-01
