t phi
0.000000000000000000e+00 5.380971010899999671e-03
0.000000000000000000e+00 5.380971010899999671e-03
0.000000000000000000e+00 5.380971010899999671e-03
2.000000000000000111e-01 5.380981072550929632e-03
2.000000000000000111e-01 5.380981072550929632e-03
2.000000000000000111e-01 5.380981072550929632e-03
4.000000000000000222e-01 5.380991187851049719e-03
4.000000000000000222e-01 5.380991187851049719e-03
4.000000000000000222e-01 5.380991187851049719e-03
5.999999999999999778e-01 5.380988225289030230e-03
5.999999999999999778e-01 5.380988225289030230e-03
5.999999999999999778e-01 5.380988225289030230e-03
8.000000000000000444e-01 5.380975743431250236e-03
8.000000000000000444e-01 5.380975743431250236e-03
8.000000000000000444e-01 5.380975743431250236e-03
1.000000000000000000e+00 5.380972659942800419e-03
1.000000000000000000e+00 5.380972659942800419e-03
1.000000000000000000e+00 5.380972659942800419e-03
1.199999999999999956e+00 5.380972357894659580e-03
1.199999999999999956e+00 5.380972357894659580e-03
1.199999999999999956e+00 5.380972357894659580e-03
1.399999999999999911e+00 5.380986598945020245e-03
1.399999999999999911e+00 5.380986598945020245e-03
1.399999999999999911e+00 5.380986598945020245e-03
1.600000000000000089e+00 5.380989908938670074e-03
1.600000000000000089e+00 5.380989908938670074e-03
1.600000000000000089e+00 5.380989908938670074e-03
1.800000000000000044e+00 5.380980093453479815e-03
1.800000000000000044e+00 5.380980093453479815e-03
1.800000000000000044e+00 5.380980093453479815e-03
2.000000000000000000e+00 5.380988801460760348e-03
2.000000000000000000e+00 5.380988801460760348e-03
2.000000000000000000e+00 5.380988801460760348e-03
2.200000000000000178e+00 5.380998880503920327e-03
2.200000000000000178e+00 5.380998880503920327e-03
2.200000000000000178e+00 5.380998880503920327e-03
2.399999999999999911e+00 5.380989481748139729e-03
2.399999999999999911e+00 5.380989481748139729e-03
2.399999999999999911e+00 5.380989481748139729e-03
2.600000000000000089e+00 5.380981777086729992e-03
2.600000000000000089e+00 5.380981777086729992e-03
2.600000000000000089e+00 5.380981777086729992e-03
2.799999999999999822e+00 5.380982347513259788e-03
2.799999999999999822e+00 5.380982347513259788e-03
2.799999999999999822e+00 5.380982347513259788e-03
3.000000000000000000e+00 5.380977602515359982e-03
3.000000000000000000e+00 5.380977602515359982e-03
3.000000000000000000e+00 5.380977602515359982e-03
3.200000000000000178e+00 5.380975974642709936e-03
3.200000000000000178e+00 5.380975974642709936e-03
3.200000000000000178e+00 5.380975974642709936e-03
3.399999999999999911e+00 5.380990576444220040e-03
3.399999999999999911e+00 5.380990576444220040e-03
3.399999999999999911e+00 5.380990576444220040e-03
3.600000000000000089e+00 5.381008019896910133e-03
3.600000000000000089e+00 5.381008019896910133e-03
3.600000000000000089e+00 5.381008019896910133e-03
3.799999999999999822e+00 5.381007448087500415e-03
3.799999999999999822e+00 5.381007448087500415e-03
3.799999999999999822e+00 5.381007448087500415e-03
4.000000000000000000e+00 5.380991873173339955e-03
4.000000000000000000e+00 5.380991873173339955e-03
4.000000000000000000e+00 5.380991873173339955e-03
4.200000000000000178e+00 5.380984279725170225e-03
4.200000000000000178e+00 5.380984279725170225e-03
4.200000000000000178e+00 5.380984279725170225e-03
4.400000000000000355e+00 5.380996407602140277e-03
4.400000000000000355e+00 5.380996407602140277e-03
4.400000000000000355e+00 5.380996407602140277e-03
4.599999999999999645e+00 5.381011120563660398e-03
4.599999999999999645e+00 5.381011120563660398e-03
4.599999999999999645e+00 5.381011120563660398e-03
4.799999999999999822e+00 5.381005546037430018e-03
4.799999999999999822e+00 5.381005546037430018e-03
4.799999999999999822e+00 5.381005546037430018e-03
5.000000000000000000e+00 5.380985530215370329e-03
5.000000000000000000e+00 5.380985530215370329e-03
5.000000000000000000e+00 5.380985530215370329e-03
5.200000000000000178e+00 5.380977277512770038e-03
5.200000000000000178e+00 5.380977277512770038e-03
5.200000000000000178e+00 5.380977277512770038e-03
5.400000000000000355e+00 5.380988272232590380e-03
5.400000000000000355e+00 5.380988272232590380e-03
5.400000000000000355e+00 5.380988272232590380e-03
5.599999999999999645e+00 5.381001127969449981e-03
5.599999999999999645e+00 5.381001127969449981e-03
5.599999999999999645e+00 5.381001127969449981e-03
5.799999999999999822e+00 5.381003854133179637e-03
5.799999999999999822e+00 5.381003854133179637e-03
5.799999999999999822e+00 5.381003854133179637e-03
6.000000000000000000e+00 5.381001810956280267e-03
6.000000000000000000e+00 5.381001810956280267e-03
6.000000000000000000e+00 5.381001810956280267e-03
6.200000000000000178e+00 5.381001189978150238e-03
6.200000000000000178e+00 5.381001189978150238e-03
6.200000000000000178e+00 5.381001189978150238e-03
6.400000000000000355e+00 5.381001108482260341e-03
6.400000000000000355e+00 5.381001108482260341e-03
6.400000000000000355e+00 5.381001108482260341e-03
6.599999999999999645e+00 5.381001445810180278e-03
6.599999999999999645e+00 5.381001445810180278e-03
6.599999999999999645e+00 5.381001445810180278e-03
6.799999999999999822e+00 5.381004173136290022e-03
6.799999999999999822e+00 5.381004173136290022e-03
6.799999999999999822e+00 5.381004173136290022e-03
7.000000000000000000e+00 5.381007109186699763e-03
7.000000000000000000e+00 5.381007109186699763e-03
7.000000000000000000e+00 5.381007109186699763e-03
7.200000000000000178e+00 5.381005332482760410e-03
7.200000000000000178e+00 5.381005332482760410e-03
7.200000000000000178e+00 5.381005332482760410e-03
7.400000000000000355e+00 5.380998205809080399e-03
7.400000000000000355e+00 5.380998205809080399e-03
7.400000000000000355e+00 5.380998205809080399e-03
7.599999999999999645e+00 5.380990010066489734e-03
7.599999999999999645e+00 5.380990010066489734e-03
7.599999999999999645e+00 5.380990010066489734e-03
7.799999999999999822e+00 5.380985979151089657e-03
7.799999999999999822e+00 5.380985979151089657e-03
7.799999999999999822e+00 5.380985979151089657e-03
8.000000000000000000e+00 5.380989338336019875e-03
8.000000000000000000e+00 5.380989338336019875e-03
8.000000000000000000e+00 5.380989338336019875e-03
8.199999999999999289e+00 5.380997315776660239e-03
8.199999999999999289e+00 5.380997315776660239e-03
8.199999999999999289e+00 5.380997315776660239e-03
8.400000000000000355e+00 5.381001192168700063e-03
8.400000000000000355e+00 5.381001192168700063e-03
8.400000000000000355e+00 5.381001192168700063e-03
8.599999999999999645e+00 5.380996951971029653e-03
8.599999999999999645e+00 5.380996951971029653e-03
8.599999999999999645e+00 5.380996951971029653e-03
8.800000000000000711e+00 5.380991778695010282e-03
8.800000000000000711e+00 5.380991778695010282e-03
8.800000000000000711e+00 5.380991778695010282e-03
9.000000000000000000e+00 5.380992911823000158e-03
9.000000000000000000e+00 5.380992911823000158e-03
9.000000000000000000e+00 5.380992911823000158e-03
9.199999999999999289e+00 5.380996924296319907e-03
9.199999999999999289e+00 5.380996924296319907e-03
9.199999999999999289e+00 5.380996924296319907e-03
9.400000000000000355e+00 5.380997152604459662e-03
9.400000000000000355e+00 5.380997152604459662e-03
9.400000000000000355e+00 5.380997152604459662e-03
9.599999999999999645e+00 5.380993957511269639e-03
9.599999999999999645e+00 5.380993957511269639e-03
9.599999999999999645e+00 5.380993957511269639e-03
9.800000000000000711e+00 5.380991258085349865e-03
9.800000000000000711e+00 5.380991258085349865e-03
9.800000000000000711e+00 5.380991258085349865e-03
1.000000000000000000e+01 5.380989434127929870e-03
1.000000000000000000e+01 5.380989434127929870e-03
1.000000000000000000e+01 5.380989434127929870e-03
1.019999999999999929e+01 5.380986778038280433e-03
1.019999999999999929e+01 5.380986778038280433e-03
1.019999999999999929e+01 5.380986778038280433e-03
1.040000000000000036e+01 5.380984096894880254e-03
1.040000000000000036e+01 5.380984096894880254e-03
1.040000000000000036e+01 5.380984096894880254e-03
1.059999999999999964e+01 5.380983741892869827e-03
1.059999999999999964e+01 5.380983741892869827e-03
1.059999999999999964e+01 5.380983741892869827e-03
1.080000000000000071e+01 5.380985278328229843e-03
1.080000000000000071e+01 5.380985278328229843e-03
1.080000000000000071e+01 5.380985278328229843e-03
1.100000000000000000e+01 5.380985490942260391e-03
1.100000000000000000e+01 5.380985490942260391e-03
1.100000000000000000e+01 5.380985490942260391e-03
