t phi
0.000000000000000000e+00 1.780746685500000093e-01
0.000000000000000000e+00 1.780746685500000093e-01
0.000000000000000000e+00 1.780746685500000093e-01
1.600000000000000033e-01 1.780750984725900099e-01
1.600000000000000033e-01 1.780750984725900099e-01
1.600000000000000033e-01 1.780750984725900099e-01
3.200000000000000067e-01 1.780752117071119911e-01
3.200000000000000067e-01 1.780752117071119911e-01
3.200000000000000067e-01 1.780752117071119911e-01
4.799999999999999822e-01 1.780750507212829903e-01
4.799999999999999822e-01 1.780750507212829903e-01
4.799999999999999822e-01 1.780750507212829903e-01
6.400000000000000133e-01 1.780749601926270020e-01
6.400000000000000133e-01 1.780749601926270020e-01
6.400000000000000133e-01 1.780749601926270020e-01
8.000000000000000444e-01 1.780748623127970109e-01
8.000000000000000444e-01 1.780748623127970109e-01
8.000000000000000444e-01 1.780748623127970109e-01
9.599999999999999645e-01 1.780747843071270042e-01
9.599999999999999645e-01 1.780747843071270042e-01
9.599999999999999645e-01 1.780747843071270042e-01
1.120000000000000107e+00 1.780749473883659895e-01
1.120000000000000107e+00 1.780749473883659895e-01
1.120000000000000107e+00 1.780749473883659895e-01
1.280000000000000027e+00 1.780753256496359904e-01
1.280000000000000027e+00 1.780753256496359904e-01
1.280000000000000027e+00 1.780753256496359904e-01
1.439999999999999947e+00 1.780756359559390045e-01
1.439999999999999947e+00 1.780756359559390045e-01
1.439999999999999947e+00 1.780756359559390045e-01
1.600000000000000089e+00 1.780756793626850076e-01
1.600000000000000089e+00 1.780756793626850076e-01
1.600000000000000089e+00 1.780756793626850076e-01
1.760000000000000009e+00 1.780754895766089863e-01
1.760000000000000009e+00 1.780754895766089863e-01
1.760000000000000009e+00 1.780754895766089863e-01
1.919999999999999929e+00 1.780752335988740054e-01
1.919999999999999929e+00 1.780752335988740054e-01
1.919999999999999929e+00 1.780752335988740054e-01
2.080000000000000071e+00 1.780750731785240015e-01
2.080000000000000071e+00 1.780750731785240015e-01
2.080000000000000071e+00 1.780750731785240015e-01
2.240000000000000213e+00 1.780750677470200050e-01
2.240000000000000213e+00 1.780750677470200050e-01
2.240000000000000213e+00 1.780750677470200050e-01
2.399999999999999911e+00 1.780751467807550059e-01
2.399999999999999911e+00 1.780751467807550059e-01
2.399999999999999911e+00 1.780751467807550059e-01
2.560000000000000053e+00 1.780751888440059993e-01
2.560000000000000053e+00 1.780751888440059993e-01
2.560000000000000053e+00 1.780751888440059993e-01
2.720000000000000195e+00 1.780751427603010084e-01
2.720000000000000195e+00 1.780751427603010084e-01
2.720000000000000195e+00 1.780751427603010084e-01
2.879999999999999893e+00 1.780750634234969931e-01
2.879999999999999893e+00 1.780750634234969931e-01
2.879999999999999893e+00 1.780750634234969931e-01
3.040000000000000036e+00 1.780750354308610062e-01
3.040000000000000036e+00 1.780750354308610062e-01
3.040000000000000036e+00 1.780750354308610062e-01
3.200000000000000178e+00 1.780750876337729993e-01
3.200000000000000178e+00 1.780750876337729993e-01
3.200000000000000178e+00 1.780750876337729993e-01
3.359999999999999876e+00 1.780751862992329959e-01
3.359999999999999876e+00 1.780751862992329959e-01
3.359999999999999876e+00 1.780751862992329959e-01
3.520000000000000018e+00 1.780752907946989982e-01
3.520000000000000018e+00 1.780752907946989982e-01
3.520000000000000018e+00 1.780752907946989982e-01
3.680000000000000160e+00 1.780753846024140108e-01
3.680000000000000160e+00 1.780753846024140108e-01
3.680000000000000160e+00 1.780753846024140108e-01
3.839999999999999858e+00 1.780754612160800054e-01
3.839999999999999858e+00 1.780754612160800054e-01
3.839999999999999858e+00 1.780754612160800054e-01
4.000000000000000000e+00 1.780755030105360126e-01
4.000000000000000000e+00 1.780755030105360126e-01
4.000000000000000000e+00 1.780755030105360126e-01
4.160000000000000142e+00 1.780754945576530079e-01
4.160000000000000142e+00 1.780754945576530079e-01
4.160000000000000142e+00 1.780754945576530079e-01
4.320000000000000284e+00 1.780754560056919955e-01
4.320000000000000284e+00 1.780754560056919955e-01
4.320000000000000284e+00 1.780754560056919955e-01
4.480000000000000426e+00 1.780754448910719934e-01
4.480000000000000426e+00 1.780754448910719934e-01
4.480000000000000426e+00 1.780754448910719934e-01
4.639999999999999680e+00 1.780755132742410096e-01
4.639999999999999680e+00 1.780755132742410096e-01
4.639999999999999680e+00 1.780755132742410096e-01
4.799999999999999822e+00 1.780756523136539926e-01
4.799999999999999822e+00 1.780756523136539926e-01
4.799999999999999822e+00 1.780756523136539926e-01
4.959999999999999964e+00 1.780757811668970125e-01
4.959999999999999964e+00 1.780757811668970125e-01
4.959999999999999964e+00 1.780757811668970125e-01
5.120000000000000107e+00 1.780757983279739887e-01
5.120000000000000107e+00 1.780757983279739887e-01
5.120000000000000107e+00 1.780757983279739887e-01
5.280000000000000249e+00 1.780756626914850038e-01
5.280000000000000249e+00 1.780756626914850038e-01
5.280000000000000249e+00 1.780756626914850038e-01
5.440000000000000391e+00 1.780754371495550104e-01
5.440000000000000391e+00 1.780754371495550104e-01
5.440000000000000391e+00 1.780754371495550104e-01
5.599999999999999645e+00 1.780752531940419936e-01
5.599999999999999645e+00 1.780752531940419936e-01
5.599999999999999645e+00 1.780752531940419936e-01
5.759999999999999787e+00 1.780752228288260131e-01
5.759999999999999787e+00 1.780752228288260131e-01
5.759999999999999787e+00 1.780752228288260131e-01
5.919999999999999929e+00 1.780753588085139949e-01
5.919999999999999929e+00 1.780753588085139949e-01
5.919999999999999929e+00 1.780753588085139949e-01
6.080000000000000071e+00 1.780755669459219981e-01
6.080000000000000071e+00 1.780755669459219981e-01
6.080000000000000071e+00 1.780755669459219981e-01
6.240000000000000213e+00 1.780757147584119959e-01
6.240000000000000213e+00 1.780757147584119959e-01
6.240000000000000213e+00 1.780757147584119959e-01
6.400000000000000355e+00 1.780757186268530079e-01
6.400000000000000355e+00 1.780757186268530079e-01
6.400000000000000355e+00 1.780757186268530079e-01
6.559999999999999609e+00 1.780755924560359915e-01
6.559999999999999609e+00 1.780755924560359915e-01
