t phi
0.000000000000000000e+00 1.606898701199999946e-01
0.000000000000000000e+00 1.606898701199999946e-01
0.000000000000000000e+00 1.606898701199999946e-01
1.600000000000000033e-01 1.606901793569089909e-01
1.600000000000000033e-01 1.606901793569089909e-01
1.600000000000000033e-01 1.606901793569089909e-01
3.200000000000000067e-01 1.606900851167969990e-01
3.200000000000000067e-01 1.606900851167969990e-01
3.200000000000000067e-01 1.606900851167969990e-01
4.799999999999999822e-01 1.606902046862500044e-01
4.799999999999999822e-01 1.606902046862500044e-01
4.799999999999999822e-01 1.606902046862500044e-01
6.400000000000000133e-01 1.606900974489660072e-01
6.400000000000000133e-01 1.606900974489660072e-01
6.400000000000000133e-01 1.606900974489660072e-01
8.000000000000000444e-01 1.606901103046430024e-01
8.000000000000000444e-01 1.606901103046430024e-01
8.000000000000000444e-01 1.606901103046430024e-01
9.599999999999999645e-01 1.606899154692200127e-01
9.599999999999999645e-01 1.606899154692200127e-01
9.599999999999999645e-01 1.606899154692200127e-01
1.120000000000000107e+00 1.606901129936680050e-01
1.120000000000000107e+00 1.606901129936680050e-01
1.120000000000000107e+00 1.606901129936680050e-01
1.280000000000000027e+00 1.606903786329129946e-01
1.280000000000000027e+00 1.606903786329129946e-01
1.280000000000000027e+00 1.606903786329129946e-01
1.439999999999999947e+00 1.606903274793080039e-01
1.439999999999999947e+00 1.606903274793080039e-01
1.439999999999999947e+00 1.606903274793080039e-01
1.600000000000000089e+00 1.606902763102779907e-01
1.600000000000000089e+00 1.606902763102779907e-01
1.600000000000000089e+00 1.606902763102779907e-01
1.760000000000000009e+00 1.606902218041749986e-01
1.760000000000000009e+00 1.606902218041749986e-01
1.760000000000000009e+00 1.606902218041749986e-01
1.919999999999999929e+00 1.606901582741860068e-01
1.919999999999999929e+00 1.606901582741860068e-01
1.919999999999999929e+00 1.606901582741860068e-01
2.080000000000000071e+00 1.606902566335990101e-01
2.080000000000000071e+00 1.606902566335990101e-01
2.080000000000000071e+00 1.606902566335990101e-01
2.240000000000000213e+00 1.606903667433429994e-01
2.240000000000000213e+00 1.606903667433429994e-01
2.240000000000000213e+00 1.606903667433429994e-01
2.399999999999999911e+00 1.606903370864549985e-01
2.399999999999999911e+00 1.606903370864549985e-01
2.399999999999999911e+00 1.606903370864549985e-01
2.560000000000000053e+00 1.606901949645050121e-01
2.560000000000000053e+00 1.606901949645050121e-01
2.560000000000000053e+00 1.606901949645050121e-01
2.720000000000000195e+00 1.606902403571250082e-01
2.720000000000000195e+00 1.606902403571250082e-01
2.720000000000000195e+00 1.606902403571250082e-01
2.879999999999999893e+00 1.606904757146009888e-01
2.879999999999999893e+00 1.606904757146009888e-01
2.879999999999999893e+00 1.606904757146009888e-01
3.040000000000000036e+00 1.606904601988350112e-01
3.040000000000000036e+00 1.606904601988350112e-01
3.040000000000000036e+00 1.606904601988350112e-01
3.200000000000000178e+00 1.606902174697290020e-01
3.200000000000000178e+00 1.606902174697290020e-01
3.200000000000000178e+00 1.606902174697290020e-01
3.359999999999999876e+00 1.606901461935640041e-01
3.359999999999999876e+00 1.606901461935640041e-01
3.359999999999999876e+00 1.606901461935640041e-01
3.520000000000000018e+00 1.606903535617379974e-01
3.520000000000000018e+00 1.606903535617379974e-01
3.520000000000000018e+00 1.606903535617379974e-01
3.680000000000000160e+00 1.606906720341159944e-01
3.680000000000000160e+00 1.606906720341159944e-01
3.680000000000000160e+00 1.606906720341159944e-01
3.839999999999999858e+00 1.606908157034049878e-01
3.839999999999999858e+00 1.606908157034049878e-01
3.839999999999999858e+00 1.606908157034049878e-01
4.000000000000000000e+00 1.606906166791030044e-01
4.000000000000000000e+00 1.606906166791030044e-01
4.000000000000000000e+00 1.606906166791030044e-01
4.160000000000000142e+00 1.606903027851309951e-01
4.160000000000000142e+00 1.606903027851309951e-01
4.160000000000000142e+00 1.606903027851309951e-01
4.320000000000000284e+00 1.606902802765209914e-01
4.320000000000000284e+00 1.606902802765209914e-01
4.320000000000000284e+00 1.606902802765209914e-01
4.480000000000000426e+00 1.606906250589610063e-01
4.480000000000000426e+00 1.606906250589610063e-01
4.480000000000000426e+00 1.606906250589610063e-01
4.639999999999999680e+00 1.606908990003720061e-01
4.639999999999999680e+00 1.606908990003720061e-01
4.639999999999999680e+00 1.606908990003720061e-01
