t phi
6.400000000000000133e-01 -7.005350999748649610e-01
6.400000000000000133e-01 -7.005350999748649610e-01
6.400000000000000133e-01 -7.005350999748649610e-01
6.400000000000000133e-01 -7.005350999748649610e-01
6.400000000000000133e-01 -7.005350999748649610e-01
1.280000000000000027e+00 -7.007135375233569663e-01
1.280000000000000027e+00 -7.007135375233569663e-01
1.280000000000000027e+00 -7.007135375233569663e-01
1.280000000000000027e+00 -7.007135375233569663e-01
1.280000000000000027e+00 -7.007135375233569663e-01
1.919999999999999929e+00 -7.010071958258820013e-01
1.919999999999999929e+00 -7.010071958258820013e-01
1.919999999999999929e+00 -7.010071958258820013e-01
1.919999999999999929e+00 -7.010071958258820013e-01
1.919999999999999929e+00 -7.010071958258820013e-01
2.560000000000000053e+00 -7.014074237106849852e-01
2.560000000000000053e+00 -7.014074237106849852e-01
2.560000000000000053e+00 -7.014074237106849852e-01
2.560000000000000053e+00 -7.014074237106849852e-01
2.560000000000000053e+00 -7.014074237106849852e-01
3.200000000000000178e+00 -7.019120556551909917e-01
3.200000000000000178e+00 -7.019120556551909917e-01
3.200000000000000178e+00 -7.019120556551909917e-01
3.200000000000000178e+00 -7.019120556551909917e-01
3.200000000000000178e+00 -7.019120556551909917e-01
3.839999999999999858e+00 -7.025045963202189991e-01
3.839999999999999858e+00 -7.025045963202189991e-01
3.839999999999999858e+00 -7.025045963202189991e-01
3.839999999999999858e+00 -7.025045963202189991e-01
3.839999999999999858e+00 -7.025045963202189991e-01
4.480000000000000426e+00 -7.031717583276250183e-01
4.480000000000000426e+00 -7.031717583276250183e-01
4.480000000000000426e+00 -7.031717583276250183e-01
4.480000000000000426e+00 -7.031717583276250183e-01
4.480000000000000426e+00 -7.031717583276250183e-01
5.120000000000000107e+00 -7.039039114807700281e-01
5.120000000000000107e+00 -7.039039114807700281e-01
5.120000000000000107e+00 -7.039039114807700281e-01
5.120000000000000107e+00 -7.039039114807700281e-01
5.120000000000000107e+00 -7.039039114807700281e-01
5.759999999999999787e+00 -7.046795063625840294e-01
5.759999999999999787e+00 -7.046795063625840294e-01
5.759999999999999787e+00 -7.046795063625840294e-01
5.759999999999999787e+00 -7.046795063625840294e-01
5.759999999999999787e+00 -7.046795063625840294e-01
6.400000000000000355e+00 -7.054977308273719938e-01
6.400000000000000355e+00 -7.054977308273719938e-01
6.400000000000000355e+00 -7.054977308273719938e-01
6.400000000000000355e+00 -7.054977308273719938e-01
6.400000000000000355e+00 -7.054977308273719938e-01
7.040000000000000036e+00 -7.063369676769449823e-01
7.040000000000000036e+00 -7.063369676769449823e-01
7.040000000000000036e+00 -7.063369676769449823e-01
7.040000000000000036e+00 -7.063369676769449823e-01
7.040000000000000036e+00 -7.063369676769449823e-01
7.679999999999999716e+00 -7.071684611032049705e-01
7.679999999999999716e+00 -7.071684611032049705e-01
7.679999999999999716e+00 -7.071684611032049705e-01
7.679999999999999716e+00 -7.071684611032049705e-01
7.679999999999999716e+00 -7.071684611032049705e-01
8.320000000000000284e+00 -7.079885293628620513e-01
8.320000000000000284e+00 -7.079885293628620513e-01
8.320000000000000284e+00 -7.079885293628620513e-01
8.320000000000000284e+00 -7.079885293628620513e-01
8.320000000000000284e+00 -7.079885293628620513e-01
8.960000000000000853e+00 -7.087872956871069663e-01
8.960000000000000853e+00 -7.087872956871069663e-01
8.960000000000000853e+00 -7.087872956871069663e-01
8.960000000000000853e+00 -7.087872956871069663e-01
8.960000000000000853e+00 -7.087872956871069663e-01
9.599999999999999645e+00 -7.095420066411269877e-01
9.599999999999999645e+00 -7.095420066411269877e-01
9.599999999999999645e+00 -7.095420066411269877e-01
9.599999999999999645e+00 -7.095420066411269877e-01
9.599999999999999645e+00 -7.095420066411269877e-01
1.024000000000000021e+01 -7.102453993888150352e-01
1.024000000000000021e+01 -7.102453993888150352e-01
1.024000000000000021e+01 -7.102453993888150352e-01
1.024000000000000021e+01 -7.102453993888150352e-01
1.024000000000000021e+01 -7.102453993888150352e-01
1.088000000000000078e+01 -7.108937562420970524e-01
1.088000000000000078e+01 -7.108937562420970524e-01
1.088000000000000078e+01 -7.108937562420970524e-01
1.088000000000000078e+01 -7.108937562420970524e-01
1.088000000000000078e+01 -7.108937562420970524e-01
1.151999999999999957e+01 -7.114818329545750109e-01
1.151999999999999957e+01 -7.114818329545750109e-01
1.151999999999999957e+01 -7.114818329545750109e-01
1.151999999999999957e+01 -7.114818329545750109e-01
1.151999999999999957e+01 -7.114818329545750109e-01
1.216000000000000014e+01 -7.120096334270550331e-01
1.216000000000000014e+01 -7.120096334270550331e-01
1.216000000000000014e+01 -7.120096334270550331e-01
1.216000000000000014e+01 -7.120096334270550331e-01
1.216000000000000014e+01 -7.120096334270550331e-01
1.280000000000000071e+01 -7.124715545981350484e-01
1.280000000000000071e+01 -7.124715545981350484e-01
1.280000000000000071e+01 -7.124715545981350484e-01
1.280000000000000071e+01 -7.124715545981350484e-01
1.280000000000000071e+01 -7.124715545981350484e-01
1.343999999999999950e+01 -7.128719243659239480e-01
1.343999999999999950e+01 -7.128719243659239480e-01
1.343999999999999950e+01 -7.128719243659239480e-01
1.343999999999999950e+01 -7.128719243659239480e-01
1.343999999999999950e+01 -7.128719243659239480e-01
1.408000000000000007e+01 -7.132219732032789583e-01
1.408000000000000007e+01 -7.132219732032789583e-01
1.408000000000000007e+01 -7.132219732032789583e-01
1.408000000000000007e+01 -7.132219732032789583e-01
1.408000000000000007e+01 -7.132219732032789583e-01
1.472000000000000064e+01 -7.135272368957870093e-01
1.472000000000000064e+01 -7.135272368957870093e-01
1.472000000000000064e+01 -7.135272368957870093e-01
1.472000000000000064e+01 -7.135272368957870093e-01
1.472000000000000064e+01 -7.135272368957870093e-01
1.535999999999999943e+01 -7.137961335394259477e-01
1.535999999999999943e+01 -7.137961335394259477e-01
1.535999999999999943e+01 -7.137961335394259477e-01
1.535999999999999943e+01 -7.137961335394259477e-01
1.535999999999999943e+01 -7.137961335394259477e-01
1.600000000000000000e+01 -7.140363213590750213e-01
1.600000000000000000e+01 -7.140363213590750213e-01
