t phi
0.000000000000000000e+00 5.860837346799999681e-01
0.000000000000000000e+00 5.860837346799999681e-01
0.000000000000000000e+00 5.860837346799999681e-01
2.500000000000000000e-01 5.860845698568719619e-01
2.500000000000000000e-01 5.860845698568719619e-01
2.500000000000000000e-01 5.860845698568719619e-01
5.000000000000000000e-01 5.860851807366770361e-01
5.000000000000000000e-01 5.860851807366770361e-01
5.000000000000000000e-01 5.860851807366770361e-01
7.500000000000000000e-01 5.860850679861540069e-01
7.500000000000000000e-01 5.860850679861540069e-01
7.500000000000000000e-01 5.860850679861540069e-01
1.000000000000000000e+00 5.860852056461219872e-01
1.000000000000000000e+00 5.860852056461219872e-01
1.000000000000000000e+00 5.860852056461219872e-01
1.250000000000000000e+00 5.860855429277920248e-01
1.250000000000000000e+00 5.860855429277920248e-01
1.250000000000000000e+00 5.860855429277920248e-01
1.500000000000000000e+00 5.860848780975219663e-01
1.500000000000000000e+00 5.860848780975219663e-01
1.500000000000000000e+00 5.860848780975219663e-01
1.750000000000000000e+00 5.860845650819409558e-01
1.750000000000000000e+00 5.860845650819409558e-01
1.750000000000000000e+00 5.860845650819409558e-01
2.000000000000000000e+00 5.860849458967529735e-01
2.000000000000000000e+00 5.860849458967529735e-01
2.000000000000000000e+00 5.860849458967529735e-01
2.250000000000000000e+00 5.860840309702349815e-01
2.250000000000000000e+00 5.860840309702349815e-01
2.250000000000000000e+00 5.860840309702349815e-01
2.500000000000000000e+00 5.860844854184309449e-01
2.500000000000000000e+00 5.860844854184309449e-01
2.500000000000000000e+00 5.860844854184309449e-01
2.750000000000000000e+00 5.860885133145330439e-01
2.750000000000000000e+00 5.860885133145330439e-01
2.750000000000000000e+00 5.860885133145330439e-01
3.000000000000000000e+00 5.860893800971780365e-01
3.000000000000000000e+00 5.860893800971780365e-01
3.000000000000000000e+00 5.860893800971780365e-01
3.250000000000000000e+00 5.860857225208110366e-01
3.250000000000000000e+00 5.860857225208110366e-01
3.250000000000000000e+00 5.860857225208110366e-01
3.500000000000000000e+00 5.860838510193250306e-01
3.500000000000000000e+00 5.860838510193250306e-01
3.500000000000000000e+00 5.860838510193250306e-01
3.750000000000000000e+00 5.860852464909970250e-01
3.750000000000000000e+00 5.860852464909970250e-01
3.750000000000000000e+00 5.860852464909970250e-01
4.000000000000000000e+00 5.860862472346319851e-01
4.000000000000000000e+00 5.860862472346319851e-01
4.000000000000000000e+00 5.860862472346319851e-01
4.250000000000000000e+00 5.860866885832429762e-01
4.250000000000000000e+00 5.860866885832429762e-01
4.250000000000000000e+00 5.860866885832429762e-01
4.500000000000000000e+00 5.860875426868139559e-01
4.500000000000000000e+00 5.860875426868139559e-01
4.500000000000000000e+00 5.860875426868139559e-01
4.750000000000000000e+00 5.860863405981989738e-01
4.750000000000000000e+00 5.860863405981989738e-01
4.750000000000000000e+00 5.860863405981989738e-01
5.000000000000000000e+00 5.860842403387700461e-01
5.000000000000000000e+00 5.860842403387700461e-01
5.000000000000000000e+00 5.860842403387700461e-01
5.250000000000000000e+00 5.860848070143189759e-01
5.250000000000000000e+00 5.860848070143189759e-01
5.250000000000000000e+00 5.860848070143189759e-01
5.500000000000000000e+00 5.860864533393169706e-01
5.500000000000000000e+00 5.860864533393169706e-01
5.500000000000000000e+00 5.860864533393169706e-01
5.750000000000000000e+00 5.860866774463330264e-01
5.750000000000000000e+00 5.860866774463330264e-01
5.750000000000000000e+00 5.860866774463330264e-01
6.000000000000000000e+00 5.860870604911410098e-01
6.000000000000000000e+00 5.860870604911410098e-01
6.000000000000000000e+00 5.860870604911410098e-01
6.250000000000000000e+00 5.860883490910420157e-01
6.250000000000000000e+00 5.860883490910420157e-01
6.250000000000000000e+00 5.860883490910420157e-01
6.500000000000000000e+00 5.860874264904749609e-01
6.500000000000000000e+00 5.860874264904749609e-01
6.500000000000000000e+00 5.860874264904749609e-01
6.750000000000000000e+00 5.860840764614060339e-01
6.750000000000000000e+00 5.860840764614060339e-01
6.750000000000000000e+00 5.860840764614060339e-01
7.000000000000000000e+00 5.860831754149250505e-01
7.000000000000000000e+00 5.860831754149250505e-01
7.000000000000000000e+00 5.860831754149250505e-01
7.250000000000000000e+00 5.860859565774529933e-01
7.250000000000000000e+00 5.860859565774529933e-01
7.250000000000000000e+00 5.860859565774529933e-01
7.500000000000000000e+00 5.860874317384849874e-01
7.500000000000000000e+00 5.860874317384849874e-01
7.500000000000000000e+00 5.860874317384849874e-01
7.750000000000000000e+00 5.860851231903310143e-01
7.750000000000000000e+00 5.860851231903310143e-01
7.750000000000000000e+00 5.860851231903310143e-01
8.000000000000000000e+00 5.860828811866140020e-01
8.000000000000000000e+00 5.860828811866140020e-01
8.000000000000000000e+00 5.860828811866140020e-01
8.250000000000000000e+00 5.860837361429189762e-01
8.250000000000000000e+00 5.860837361429189762e-01
8.250000000000000000e+00 5.860837361429189762e-01
8.500000000000000000e+00 5.860856270992810257e-01
8.500000000000000000e+00 5.860856270992810257e-01
8.500000000000000000e+00 5.860856270992810257e-01
8.750000000000000000e+00 5.860858150697869640e-01
8.750000000000000000e+00 5.860858150697869640e-01
8.750000000000000000e+00 5.860858150697869640e-01
9.000000000000000000e+00 5.860839949575270547e-01
9.000000000000000000e+00 5.860839949575270547e-01
9.000000000000000000e+00 5.860839949575270547e-01
9.250000000000000000e+00 5.860816351306630256e-01
9.250000000000000000e+00 5.860816351306630256e-01
9.250000000000000000e+00 5.860816351306630256e-01
9.500000000000000000e+00 5.860809295705380340e-01
9.500000000000000000e+00 5.860809295705380340e-01
9.500000000000000000e+00 5.860809295705380340e-01
9.750000000000000000e+00 5.860824123442039957e-01
9.750000000000000000e+00 5.860824123442039957e-01
9.750000000000000000e+00 5.860824123442039957e-01
1.000000000000000000e+01 5.860834461695509923e-01
1.000000000000000000e+01 5.860834461695509923e-01
1.000000000000000000e+01 5.860834461695509923e-01
1.025000000000000000e+01 5.860816570749950438e-01
1.025000000000000000e+01 5.860816570749950438e-01
1.025000000000000000e+01 5.860816570749950438e-01
1.050000000000000000e+01 5.860792484174409678e-01
1.050000000000000000e+01 5.860792484174409678e-01
1.050000000000000000e+01 5.860792484174409678e-01
