t phi
0.000000000000000000e+00 5.860837346799999681e-01
0.000000000000000000e+00 5.860837346799999681e-01
0.000000000000000000e+00 5.860837346799999681e-01
2.500000000000000000e-01 5.860845698568739603e-01
2.500000000000000000e-01 5.860845698568739603e-01
2.500000000000000000e-01 5.860845698568739603e-01
5.000000000000000000e-01 5.860851807366720401e-01
5.000000000000000000e-01 5.860851807366720401e-01
5.000000000000000000e-01 5.860851807366720401e-01
7.500000000000000000e-01 5.860850679861749901e-01
7.500000000000000000e-01 5.860850679861749901e-01
7.500000000000000000e-01 5.860850679861749901e-01
1.000000000000000000e+00 5.860852056461709481e-01
1.000000000000000000e+00 5.860852056461709481e-01
1.000000000000000000e+00 5.860852056461709481e-01
1.250000000000000000e+00 5.860855429300759756e-01
1.250000000000000000e+00 5.860855429300759756e-01
1.250000000000000000e+00 5.860855429300759756e-01
1.500000000000000000e+00 5.860848781021750220e-01
1.500000000000000000e+00 5.860848781021750220e-01
1.500000000000000000e+00 5.860848781021750220e-01
1.750000000000000000e+00 5.860845650811929985e-01
1.750000000000000000e+00 5.860845650811929985e-01
1.750000000000000000e+00 5.860845650811929985e-01
2.000000000000000000e+00 5.860849459050929688e-01
2.000000000000000000e+00 5.860849459050929688e-01
2.000000000000000000e+00 5.860849459050929688e-01
2.250000000000000000e+00 5.860840310064500125e-01
2.250000000000000000e+00 5.860840310064500125e-01
2.250000000000000000e+00 5.860840310064500125e-01
2.500000000000000000e+00 5.860844853343200045e-01
2.500000000000000000e+00 5.860844853343200045e-01
2.500000000000000000e+00 5.860844853343200045e-01
2.750000000000000000e+00 5.860885130253390418e-01
2.750000000000000000e+00 5.860885130253390418e-01
2.750000000000000000e+00 5.860885130253390418e-01
3.000000000000000000e+00 5.860893800027939804e-01
3.000000000000000000e+00 5.860893800027939804e-01
3.000000000000000000e+00 5.860893800027939804e-01
3.250000000000000000e+00 5.860857229142220071e-01
3.250000000000000000e+00 5.860857229142220071e-01
3.250000000000000000e+00 5.860857229142220071e-01
3.500000000000000000e+00 5.860838515512050151e-01
3.500000000000000000e+00 5.860838515512050151e-01
3.500000000000000000e+00 5.860838515512050151e-01
3.750000000000000000e+00 5.860852467958990175e-01
3.750000000000000000e+00 5.860852467958990175e-01
3.750000000000000000e+00 5.860852467958990175e-01
4.000000000000000000e+00 5.860862473692559638e-01
4.000000000000000000e+00 5.860862473692559638e-01
4.000000000000000000e+00 5.860862473692559638e-01
4.250000000000000000e+00 5.860866883434100449e-01
4.250000000000000000e+00 5.860866883434100449e-01
4.250000000000000000e+00 5.860866883434100449e-01
4.500000000000000000e+00 5.860875421569089472e-01
4.500000000000000000e+00 5.860875421569089472e-01
4.500000000000000000e+00 5.860875421569089472e-01
4.750000000000000000e+00 5.860863413749229922e-01
4.750000000000000000e+00 5.860863413749229922e-01
4.750000000000000000e+00 5.860863413749229922e-01
5.000000000000000000e+00 5.860842426502299585e-01
5.000000000000000000e+00 5.860842426502299585e-01
5.000000000000000000e+00 5.860842426502299585e-01
5.250000000000000000e+00 5.860848083650329610e-01
5.250000000000000000e+00 5.860848083650329610e-01
5.250000000000000000e+00 5.860848083650329610e-01
5.500000000000000000e+00 5.860864529039260251e-01
5.500000000000000000e+00 5.860864529039260251e-01
5.500000000000000000e+00 5.860864529039260251e-01
5.750000000000000000e+00 5.860866767656589538e-01
5.750000000000000000e+00 5.860866767656589538e-01
5.750000000000000000e+00 5.860866767656589538e-01
6.000000000000000000e+00 5.860870591611719860e-01
6.000000000000000000e+00 5.860870591611719860e-01
6.000000000000000000e+00 5.860870591611719860e-01
6.250000000000000000e+00 5.860883461691229757e-01
6.250000000000000000e+00 5.860883461691229757e-01
6.250000000000000000e+00 5.860883461691229757e-01
6.500000000000000000e+00 5.860874272879369462e-01
6.500000000000000000e+00 5.860874272879369462e-01
6.500000000000000000e+00 5.860874272879369462e-01
6.750000000000000000e+00 5.860840860658239615e-01
6.750000000000000000e+00 5.860840860658239615e-01
6.750000000000000000e+00 5.860840860658239615e-01
7.000000000000000000e+00 5.860831856134619544e-01
7.000000000000000000e+00 5.860831856134619544e-01
7.000000000000000000e+00 5.860831856134619544e-01
7.250000000000000000e+00 5.860859566747159688e-01
7.250000000000000000e+00 5.860859566747159688e-01
7.250000000000000000e+00 5.860859566747159688e-01
7.500000000000000000e+00 5.860874281788519546e-01
7.500000000000000000e+00 5.860874281788519546e-01
7.500000000000000000e+00 5.860874281788519546e-01
7.750000000000000000e+00 5.860851307663830223e-01
7.750000000000000000e+00 5.860851307663830223e-01
7.750000000000000000e+00 5.860851307663830223e-01
8.000000000000000000e+00 5.860828975220360171e-01
8.000000000000000000e+00 5.860828975220360171e-01
8.000000000000000000e+00 5.860828975220360171e-01
8.250000000000000000e+00 5.860837450892429912e-01
8.250000000000000000e+00 5.860837450892429912e-01
8.250000000000000000e+00 5.860837450892429912e-01
8.500000000000000000e+00 5.860856249977429711e-01
8.500000000000000000e+00 5.860856249977429711e-01
8.500000000000000000e+00 5.860856249977429711e-01
8.750000000000000000e+00 5.860858132522820396e-01
8.750000000000000000e+00 5.860858132522820396e-01
8.750000000000000000e+00 5.860858132522820396e-01
9.000000000000000000e+00 5.860840064934850213e-01
9.000000000000000000e+00 5.860840064934850213e-01
9.000000000000000000e+00 5.860840064934850213e-01
9.250000000000000000e+00 5.860816637605890111e-01
9.250000000000000000e+00 5.860816637605890111e-01
9.250000000000000000e+00 5.860816637605890111e-01
9.500000000000000000e+00 5.860809597607590238e-01
9.500000000000000000e+00 5.860809597607590238e-01
9.500000000000000000e+00 5.860809597607590238e-01
9.750000000000000000e+00 5.860824233432649910e-01
9.750000000000000000e+00 5.860824233432649910e-01
9.750000000000000000e+00 5.860824233432649910e-01
1.000000000000000000e+01 5.860834445724449893e-01
1.000000000000000000e+01 5.860834445724449893e-01
1.000000000000000000e+01 5.860834445724449893e-01
1.025000000000000000e+01 5.860816746196120253e-01
1.025000000000000000e+01 5.860816746196120253e-01
1.025000000000000000e+01 5.860816746196120253e-01
1.050000000000000000e+01 5.860792896317109646e-01
1.050000000000000000e+01 5.860792896317109646e-01
1.050000000000000000e+01 5.860792896317109646e-01
