t phi
1.024000000000000021e+00 3.317970663585200208e-01
1.024000000000000021e+00 3.317970663585200208e-01
1.024000000000000021e+00 3.317970663585200208e-01
1.024000000000000021e+00 3.317970663585200208e-01
1.024000000000000021e+00 3.317970663585200208e-01
2.048000000000000043e+00 3.320308522781459937e-01
2.048000000000000043e+00 3.320308522781459937e-01
2.048000000000000043e+00 3.320308522781459937e-01
2.048000000000000043e+00 3.320308522781459937e-01
2.048000000000000043e+00 3.320308522781459937e-01
3.072000000000000064e+00 3.324059846671499896e-01
3.072000000000000064e+00 3.324059846671499896e-01
3.072000000000000064e+00 3.324059846671499896e-01
3.072000000000000064e+00 3.324059846671499896e-01
3.072000000000000064e+00 3.324059846671499896e-01
4.096000000000000085e+00 3.328996087174139751e-01
4.096000000000000085e+00 3.328996087174139751e-01
4.096000000000000085e+00 3.328996087174139751e-01
4.096000000000000085e+00 3.328996087174139751e-01
4.096000000000000085e+00 3.328996087174139751e-01
5.120000000000000107e+00 3.334834376586209848e-01
5.120000000000000107e+00 3.334834376586209848e-01
5.120000000000000107e+00 3.334834376586209848e-01
5.120000000000000107e+00 3.334834376586209848e-01
5.120000000000000107e+00 3.334834376586209848e-01
6.144000000000000128e+00 3.341283499118199996e-01
6.144000000000000128e+00 3.341283499118199996e-01
6.144000000000000128e+00 3.341283499118199996e-01
6.144000000000000128e+00 3.341283499118199996e-01
6.144000000000000128e+00 3.341283499118199996e-01
7.168000000000000149e+00 3.348010471728899984e-01
7.168000000000000149e+00 3.348010471728899984e-01
7.168000000000000149e+00 3.348010471728899984e-01
7.168000000000000149e+00 3.348010471728899984e-01
7.168000000000000149e+00 3.348010471728899984e-01
8.192000000000000171e+00 3.354728113654810162e-01
8.192000000000000171e+00 3.354728113654810162e-01
8.192000000000000171e+00 3.354728113654810162e-01
8.192000000000000171e+00 3.354728113654810162e-01
8.192000000000000171e+00 3.354728113654810162e-01
9.215999999999999304e+00 3.361204577838869945e-01
9.215999999999999304e+00 3.361204577838869945e-01
9.215999999999999304e+00 3.361204577838869945e-01
9.215999999999999304e+00 3.361204577838869945e-01
9.215999999999999304e+00 3.361204577838869945e-01
1.024000000000000021e+01 3.367308571349060253e-01
1.024000000000000021e+01 3.367308571349060253e-01
1.024000000000000021e+01 3.367308571349060253e-01
1.024000000000000021e+01 3.367308571349060253e-01
1.024000000000000021e+01 3.367308571349060253e-01
1.126399999999999935e+01 3.372983393740520142e-01
1.126399999999999935e+01 3.372983393740520142e-01
1.126399999999999935e+01 3.372983393740520142e-01
1.126399999999999935e+01 3.372983393740520142e-01
1.126399999999999935e+01 3.372983393740520142e-01
1.228800000000000026e+01 3.378276982421539731e-01
1.228800000000000026e+01 3.378276982421539731e-01
1.228800000000000026e+01 3.378276982421539731e-01
1.228800000000000026e+01 3.378276982421539731e-01
1.228800000000000026e+01 3.378276982421539731e-01
1.331199999999999939e+01 3.383278963949700180e-01
1.331199999999999939e+01 3.383278963949700180e-01
1.331199999999999939e+01 3.383278963949700180e-01
1.331199999999999939e+01 3.383278963949700180e-01
1.331199999999999939e+01 3.383278963949700180e-01
1.433600000000000030e+01 3.388115844696130141e-01
1.433600000000000030e+01 3.388115844696130141e-01
1.433600000000000030e+01 3.388115844696130141e-01
1.433600000000000030e+01 3.388115844696130141e-01
1.433600000000000030e+01 3.388115844696130141e-01
1.535999999999999943e+01 3.392901005749939802e-01
1.535999999999999943e+01 3.392901005749939802e-01
1.535999999999999943e+01 3.392901005749939802e-01
1.535999999999999943e+01 3.392901005749939802e-01
1.535999999999999943e+01 3.392901005749939802e-01
1.638400000000000034e+01 3.397713626522679831e-01
1.638400000000000034e+01 3.397713626522679831e-01
1.638400000000000034e+01 3.397713626522679831e-01
1.638400000000000034e+01 3.397713626522679831e-01
1.638400000000000034e+01 3.397713626522679831e-01
1.740800000000000125e+01 3.402593994054080029e-01
1.740800000000000125e+01 3.402593994054080029e-01
1.740800000000000125e+01 3.402593994054080029e-01
1.740800000000000125e+01 3.402593994054080029e-01
1.740800000000000125e+01 3.402593994054080029e-01
1.843199999999999861e+01 3.407559340816360138e-01
1.843199999999999861e+01 3.407559340816360138e-01
1.843199999999999861e+01 3.407559340816360138e-01
1.843199999999999861e+01 3.407559340816360138e-01
1.843199999999999861e+01 3.407559340816360138e-01
1.945599999999999952e+01 3.412567018203589986e-01
1.945599999999999952e+01 3.412567018203589986e-01
1.945599999999999952e+01 3.412567018203589986e-01
1.945599999999999952e+01 3.412567018203589986e-01
1.945599999999999952e+01 3.412567018203589986e-01
2.048000000000000043e+01 3.417602707465379752e-01
2.048000000000000043e+01 3.417602707465379752e-01
2.048000000000000043e+01 3.417602707465379752e-01
2.048000000000000043e+01 3.417602707465379752e-01
2.048000000000000043e+01 3.417602707465379752e-01
2.150400000000000134e+01 3.422644004170289911e-01
2.150400000000000134e+01 3.422644004170289911e-01
2.150400000000000134e+01 3.422644004170289911e-01
2.150400000000000134e+01 3.422644004170289911e-01
2.150400000000000134e+01 3.422644004170289911e-01
2.252799999999999869e+01 3.427664453784339815e-01
2.252799999999999869e+01 3.427664453784339815e-01
2.252799999999999869e+01 3.427664453784339815e-01
2.252799999999999869e+01 3.427664453784339815e-01
2.252799999999999869e+01 3.427664453784339815e-01
2.355199999999999960e+01 3.432634847173369752e-01
