t phi
0.000000 -0.000263
0.000000 -0.000263
0.000000 -0.000263
0.000000 -0.000263
0.080000 -0.000263
0.080000 -0.000263
0.080000 -0.000263
0.160000 -0.000263
0.160000 -0.000263
0.160000 -0.000263
0.160000 -0.000263
0.240000 -0.000263
0.240000 -0.000263
0.240000 -0.000263
0.320000 -0.000263
0.320000 -0.000263
0.320000 -0.000263
0.320000 -0.000263
0.400000 -0.000263
0.400000 -0.000263
0.400000 -0.000263
0.480000 -0.000263
0.480000 -0.000263
0.480000 -0.000263
0.480000 -0.000263
0.560000 -0.000263
0.560000 -0.000263
0.560000 -0.000263
0.640000 -0.000263
0.640000 -0.000263
0.640000 -0.000263
0.640000 -0.000263
0.720000 -0.000263
0.720000 -0.000263
0.720000 -0.000263
0.800000 -0.000263
0.800000 -0.000263
0.800000 -0.000263
0.800000 -0.000263
0.880000 -0.000263
0.880000 -0.000263
0.880000 -0.000263
0.960000 -0.000263
0.960000 -0.000263
0.960000 -0.000263
0.960000 -0.000263
1.040000 -0.000263
1.040000 -0.000263
1.040000 -0.000263
1.120000 -0.000263
1.120000 -0.000263
1.120000 -0.000263
1.120000 -0.000263
1.200000 -0.000263
1.200000 -0.000263
1.200000 -0.000263
1.280000 -0.000263
1.280000 -0.000263
1.280000 -0.000263
1.280000 -0.000263
1.360000 -0.000263
1.360000 -0.000263
1.360000 -0.000263
1.440000 -0.000263
1.440000 -0.000263
1.440000 -0.000263
1.440000 -0.000263
1.520000 -0.000263
1.520000 -0.000263
1.520000 -0.000263
1.600000 -0.000263
1.600000 -0.000263
1.600000 -0.000263
1.600000 -0.000263
1.680000 -0.000263
1.680000 -0.000263
1.680000 -0.000263
1.760000 -0.000263
1.760000 -0.000263
1.760000 -0.000263
1.760000 -0.000263
1.840000 -0.000263
1.840000 -0.000263
1.840000 -0.000263
1.920000 -0.000263
1.920000 -0.000263
1.920000 -0.000263
1.920000 -0.000263
2.000000 -0.000263
2.000000 -0.000263
2.000000 -0.000263
2.080000 -0.000263
2.080000 -0.000263
2.080000 -0.000263
2.080000 -0.000263
2.160000 -0.000263
2.160000 -0.000263
2.160000 -0.000263
2.240000 -0.000263
2.240000 -0.000263
2.240000 -0.000263
2.240000 -0.000263
2.320000 -0.000263
2.320000 -0.000263
2.320000 -0.000263
2.400000 -0.000263
2.400000 -0.000263
2.400000 -0.000263
2.400000 -0.000263
2.480000 -0.000263
2.480000 -0.000263
2.480000 -0.000263
2.560000 -0.000263
2.560000 -0.000263
2.560000 -0.000263
2.560000 -0.000263
2.640000 -0.000263
2.640000 -0.000263
2.640000 -0.000263
2.720000 -0.000263
2.720000 -0.000263
2.720000 -0.000263
2.720000 -0.000263
2.800000 -0.000263
2.800000 -0.000263
2.800000 -0.000263
2.880000 -0.000263
2.880000 -0.000263
2.880000 -0.000263
2.880000 -0.000263
2.960000 -0.000263
2.960000 -0.000263
2.960000 -0.000263
3.040000 -0.000263
3.040000 -0.000263
3.040000 -0.000263
3.040000 -0.000263
3.120000 -0.000263
3.120000 -0.000263
3.120000 -0.000263
3.200000 -0.000263
3.200000 -0.000263
3.200000 -0.000263
3.200000 -0.000263
3.280000 -0.000263
3.280000 -0.000263
3.280000 -0.000263
3.360000 -0.000263
3.360000 -0.000263
3.360000 -0.000263
3.360000 -0.000263
3.440000 -0.000263
3.440000 -0.000263
3.440000 -0.000263
3.520000 -0.000263
3.520000 -0.000263
3.520000 -0.000263
3.520000 -0.000263
3.600000 -0.000263
3.600000 -0.000263
3.600000 -0.000263
3.680000 -0.000263
3.680000 -0.000263
3.680000 -0.000263
3.680000 -0.000263
3.760000 -0.000263
3.760000 -0.000263
3.760000 -0.000263
3.840000 -0.000263
3.840000 -0.000263
3.840000 -0.000263
3.840000 -0.000263
3.920000 -0.000263
3.920000 -0.000263
3.920000 -0.000263
4.000000 -0.000263
4.000000 -0.000263
4.000000 -0.000263
4.000000 -0.000263
4.080000 -0.000263
4.080000 -0.000263
4.080000 -0.000263
4.160000 -0.000263
4.160000 -0.000263
4.160000 -0.000263
4.160000 -0.000263
4.240000 -0.000263
4.240000 -0.000263
4.240000 -0.000263
4.320000 -0.000263
4.320000 -0.000263
4.320000 -0.000263
4.320000 -0.000263
4.400000 -0.000263
4.400000 -0.000263
4.400000 -0.000263
4.480000 -0.000263
4.480000 -0.000263
4.480000 -0.000263
4.480000 -0.000263
4.560000 -0.000263
4.560000 -0.000263
4.560000 -0.000263
4.640000 -0.000263
4.640000 -0.000263
4.640000 -0.000263
4.640000 -0.000263
4.720000 -0.000263
4.720000 -0.000263
4.720000 -0.000263
4.800000 -0.000263
4.800000 -0.000263
4.800000 -0.000263
4.800000 -0.000263
4.880000 -0.000263
4.880000 -0.000263
4.880000 -0.000263
4.960000 -0.000263
4.960000 -0.000263
4.960000 -0.000263
4.960000 -0.000263
5.040000 -0.000263
5.040000 -0.000263
5.040000 -0.000263
5.120000 -0.000263
5.120000 -0.000263
5.120000 -0.000263
5.120000 -0.000263
5.200000 -0.000263
5.200000 -0.000263
5.200000 -0.000263
5.280000 -0.000263
5.280000 -0.000263
5.280000 -0.000263
5.280000 -0.000263
5.360000 -0.000263
5.360000 -0.000263
5.360000 -0.000263
5.440000 -0.000263
5.440000 -0.000263
5.440000 -0.000263
5.440000 -0.000263
5.520000 -0.000263
5.520000 -0.000263
5.520000 -0.000263
5.600000 -0.000263
5.600000 -0.000263
5.600000 -0.000263
5.600000 -0.000263
5.680000 -0.000263
5.680000 -0.000263
5.680000 -0.000263
5.760000 -0.000263
5.760000 -0.000263
5.760000 -0.000263
5.760000 -0.000263
5.840000 -0.000263
5.840000 -0.000263
5.840000 -0.000263
5.920000 -0.000263
5.920000 -0.000263
5.920000 -0.000263
5.920000 -0.000263
6.000000 -0.000263
6.000000 -0.000263
6.000000 -0.000263
6.080000 -0.000263
